市区町村名,地番,大字名,center_lng,center_lat
苫前郡初山別村,1458,字有明,141.857705,44.404862
苫前郡初山別村,741,字有明,141.834919,44.39437
苫前郡初山別村,1811,字有明,141.832352,44.392717
苫前郡初山別村,1810,字有明,141.832109,44.395489
苫前郡初山別村,735,字有明,141.831583,44.39956
苫前郡初山別村,734-1,字有明,141.83265,44.3999
苫前郡初山別村,734-2,字有明,141.831346,44.399702
苫前郡初山別村,1774,字有明,141.831855,44.40026
苫前郡初山別村,737-8,字有明,141.831132,44.399532
苫前郡初山別村,737-1,字有明,141.832015,44.399267
苫前郡初山別村,734-3,字有明,141.831405,44.400031
苫前郡初山別村,737-4,字有明,141.831466,44.399468
苫前郡初山別村,737-7,字有明,141.832209,44.398588
苫前郡初山別村,737-3,字有明,141.832098,44.39888
苫前郡初山別村,737-9,字有明,141.830995,44.399233
苫前郡初山別村,727-2,字有明,141.830052,44.400267
苫前郡初山別村,727-1,字有明,141.830197,44.400364
苫前郡初山別村,724,字有明,141.830207,44.399453
苫前郡初山別村,737-2,字有明,141.830877,44.398671
苫前郡初山別村,730-1,字有明,141.829718,44.401437
苫前郡初山別村,731-1,字有明,141.834521,44.400518
苫前郡初山別村,737-5,字有明,141.832821,44.399582
苫前郡初山別村,740-1,字有明,141.833051,44.39859
苫前郡初山別村,740-2,字有明,141.832901,44.398828
苫前郡初山別村,水-13,字有明,141.834626,44.39801
苫前郡初山別村,739-1,字有明,141.834864,44.399257
苫前郡初山別村,1775,字有明,141.834685,44.399851
苫前郡初山別村,732,字有明,141.835161,44.39988
苫前郡初山別村,731-2,字有明,141.834956,44.399954
苫前郡初山別村,1778,字有明,141.83551,44.399923
苫前郡初山別村,1779,字有明,141.835499,44.399808
苫前郡初山別村,733-2,字有明,141.835433,44.399852
苫前郡初山別村,733-1,字有明,141.835411,44.399812
苫前郡初山別村,1776,字有明,141.835314,44.39976
苫前郡初山別村,1780,字有明,141.835387,44.39887
苫前郡初山別村,1782,字有明,141.832187,44.397952
苫前郡初山別村,水-17,字有明,141.835913,44.398045
苫前郡初山別村,745-3,字有明,141.836,44.399022
苫前郡初山別村,745-2,字有明,141.835685,44.39899
苫前郡初山別村,746-2,字有明,141.83563,44.399803
苫前郡初山別村,749-7,字有明,141.835583,44.399988
苫前郡初山別村,1777,字有明,141.835563,44.400377
苫前郡初山別村,746-3,字有明,141.836456,44.399935
苫前郡初山別村,748-5,字有明,141.835891,44.400012
苫前郡初山別村,745-1,字有明,141.836101,44.39936
苫前郡初山別村,1783,字有明,141.836119,44.399647
苫前郡初山別村,746-1,字有明,141.836357,44.399776
苫前郡初山別村,749-3,字有明,141.83619,44.400619
苫前郡初山別村,749-4,字有明,141.837797,44.401067
苫前郡初山別村,749-1,字有明,141.83871,44.401909
苫前郡初山別村,750,字有明,141.837902,44.399825
苫前郡初山別村,751-1,字有明,141.838406,44.399515
苫前郡初山別村,752-5,字有明,141.838511,44.399184
苫前郡初山別村,752-3,字有明,141.838528,44.398947
苫前郡初山別村,752-4,字有明,141.838829,44.39837
苫前郡初山別村,748-2,字有明,141.840776,44.399293
苫前郡初山別村,751-7,字有明,141.838702,44.399378
苫前郡初山別村,751-3,字有明,141.838699,44.39962
苫前郡初山別村,748-4,字有明,141.838002,44.400053
苫前郡初山別村,752-2,字有明,141.839252,44.398928
苫前郡初山別村,水-20,字有明,141.839088,44.39651
苫前郡初山別村,749-8,字有明,141.837785,44.400181
苫前郡初山別村,748-1,字有明,141.83722,44.400182
苫前郡初山別村,743-1,字有明,141.837399,44.398625
苫前郡初山別村,1784,字有明,141.83715,44.399503
苫前郡初山別村,744,字有明,141.83702,44.399605
苫前郡初山別村,743-2,字有明,141.836548,44.398584
苫前郡初山別村,水-9,字有明,141.838459,44.393492
苫前郡初山別村,1812,字有明,141.838683,44.396457
苫前郡初山別村,1813,字有明,141.842628,44.390505
苫前郡初山別村,756,字有明,141.842586,44.39932
苫前郡初山別村,757-1,字有明,141.842336,44.399456
苫前郡初山別村,757-2,字有明,141.842256,44.399363
苫前郡初山別村,754,字有明,141.842421,44.398763
苫前郡初山別村,755-1,字有明,141.842325,44.399101
苫前郡初山別村,1788,字有明,141.841985,44.399077
苫前郡初山別村,755-3,字有明,141.842134,44.399213
苫前郡初山別村,1786,字有明,141.842222,44.399454
苫前郡初山別村,1787,字有明,141.842122,44.399293
苫前郡初山別村,751-6,字有明,141.841426,44.399122
苫前郡初山別村,753-2,字有明,141.84159,44.398216
苫前郡初山別村,1789,字有明,141.841421,44.398191
苫前郡初山別村,1794,字有明,141.841721,44.397391
苫前郡初山別村,753-1,字有明,141.841639,44.397821
苫前郡初山別村,1793,字有明,141.841381,44.397163
苫前郡初山別村,1790,字有明,141.841215,44.397871
苫前郡初山別村,753-3,字有明,141.841102,44.397441
苫前郡初山別村,1792,字有明,141.840864,44.396814
苫前郡初山別村,1791,字有明,141.840973,44.39749
苫前郡初山別村,752-1,字有明,141.839939,44.398074
苫前郡初山別村,1785,字有明,141.840075,44.399099
苫前郡初山別村,751-5,字有明,141.840027,44.39937
苫前郡初山別村,751-2,字有明,141.838942,44.39942
苫前郡初山別村,749-2,字有明,141.839772,44.400197
苫前郡初山別村,1796,字有明,141.843909,44.399128
苫前郡初山別村,1799,字有明,141.844828,44.399036
苫前郡初山別村,1801,字有明,141.843976,44.398731
苫前郡初山別村,1800,字有明,141.844245,44.398956
苫前郡初山別村,水-16,字有明,141.844473,44.399403
苫前郡初山別村,1795,字有明,141.846072,44.399497
苫前郡初山別村,水-19,字有明,141.845227,44.399128
苫前郡初山別村,758-1,字有明,141.845684,44.399225
苫前郡初山別村,1797,字有明,141.845985,44.399378
苫前郡初山別村,758-2,字有明,141.846069,44.399311
苫前郡初山別村,759,字有明,141.846215,44.399341
苫前郡初山別村,760,字有明,141.846342,44.399367
苫前郡初山別村,822-4,字有明,141.84876,44.401329
苫前郡初山別村,961,字有明,141.84909,44.400603
苫前郡初山別村,1468,字有明,141.84976,44.39943
苫前郡初山別村,1454-3,字有明,141.849072,44.399511
苫前郡初山別村,1454-1,字有明,141.849305,44.399625
苫前郡初山別村,1454-2,字有明,141.846841,44.399012
苫前郡初山別村,1473,字有明,141.847902,44.399954
苫前郡初山別村,960,字有明,141.849683,44.398782
苫前郡初山別村,1474,字有明,141.848747,44.399064
苫前郡初山別村,1798,字有明,141.846326,44.399419
苫前郡初山別村,1814,字有明,141.842975,44.396196
苫前郡初山別村,水-4,字有明,141.84482,44.392748
苫前郡初山別村,742,字有明,141.841271,44.393537
苫前郡初山別村,1476,字有明,141.852137,44.400098
苫前郡初山別村,1469,字有明,141.850965,44.399953
苫前郡初山別村,1475,字有明,141.850706,44.400357
苫前郡初山別村,1457-2,字有明,141.850865,44.400587
苫前郡初山別村,829-3,字有明,141.851453,44.401583
苫前郡初山別村,963,字有明,141.84991,44.400683
苫前郡初山別村,822-5,字有明,141.850029,44.402782
苫前郡初山別村,822-2,字有明,141.849856,44.401802
苫前郡初山別村,830-1,字有明,141.85081,44.402828
苫前郡初山別村,831-1,字有明,141.851925,44.403448
苫前郡初山別村,983,字有明,141.851997,44.40168
苫前郡初山別村,1457-1,字有明,141.853502,44.40169
苫前郡初山別村,965,字有明,141.852558,44.401507
苫前郡初山別村,984,字有明,141.851171,44.404514
苫前郡初山別村,826-1,字有明,141.853845,44.404299
苫前郡初山別村,826-9,字有明,141.853975,44.403861
苫前郡初山別村,826-14,字有明,141.854565,44.404069
苫前郡初山別村,826-7,字有明,141.854499,44.403437
苫前郡初山別村,826-5,字有明,141.855773,44.404976
苫前郡初山別村,826-8,字有明,141.855283,44.40445
苫前郡初山別村,826-11,字有明,141.854118,44.403426
苫前郡初山別村,826-10,字有明,141.853913,44.402616
苫前郡初山別村,1457-3,字有明,141.854475,44.401866
苫前郡初山別村,1471,字有明,141.853737,44.402235
苫前郡初山別村,1470,字有明,141.853327,44.40185
苫前郡初山別村,826-6,字有明,141.855361,44.404631
苫前郡初山別村,966,字有明,141.856056,44.404445
苫前郡初山別村,823-2,字有明,141.856163,44.406887
苫前郡初山別村,985,字有明,141.855551,44.406517
苫前郡初山別村,825-3,字有明,141.855488,44.406475
苫前郡初山別村,822-9,字有明,141.855331,44.406535
苫前郡初山別村,822-10,字有明,141.855298,44.406852
苫前郡初山別村,1685,字有明,141.855462,44.406809
苫前郡初山別村,823-1,字有明,141.855604,44.406942
苫前郡初山別村,986,字有明,141.855178,44.407774
苫前郡初山別村,828-3,字有明,141.855773,44.409534
苫前郡初山別村,1688,字有明,141.8557,44.407874
苫前郡初山別村,826-4,字有明,141.854911,44.412725
苫前郡初山別村,828-2,字有明,141.855333,44.410287
苫前郡初山別村,988,字有明,141.854199,44.411231
苫前郡初山別村,826-3,字有明,141.854318,44.41151
苫前郡初山別村,1684,字有明,141.853833,44.412627
苫前郡初山別村,827-4,字有明,141.853799,44.411122
苫前郡初山別村,1687,字有明,141.853174,44.408563
苫前郡初山別村,1686,字有明,141.853936,44.409786
苫前郡初山別村,987,字有明,141.854573,44.40979
苫前郡初山別村,825-4,字有明,141.854154,44.407392
苫前郡初山別村,989,字有明,141.852528,44.405225
苫前郡初山別村,822-11,字有明,141.854432,44.406914
苫前郡初山別村,829-2,字有明,141.855037,44.406008
苫前郡初山別村,825-2,字有明,141.853731,44.406327
苫前郡初山別村,822-8,字有明,141.854032,44.406442
苫前郡初山別村,822-14,字有明,141.853528,44.406952
苫前郡初山別村,827-2,字有明,141.852326,44.405775
苫前郡初山別村,822-3,字有明,141.852211,44.409356
苫前郡初山別村,822-6,字有明,141.852051,44.409349
苫前郡初山別村,822-12,字有明,141.85174,44.410096
苫前郡初山別村,822-1,字有明,141.848472,44.412941
苫前郡初山別村,822-13,字有明,141.853085,44.411355
苫前郡初山別村,774,字有明,141.845042,44.428743
苫前郡初山別村,783-3,字有明,141.831879,44.417093
苫前郡初山別村,783-1,字有明,141.831599,44.417122
苫前郡初山別村,1680,字有明,141.832097,44.417644
苫前郡初山別村,783-2,字有明,141.832003,44.416973
苫前郡初山別村,780-3,字有明,141.830784,44.416585
苫前郡初山別村,780-1,字有明,141.830823,44.416686
苫前郡初山別村,952-6,字有明,141.830054,44.416208
苫前郡初山別村,780-4,字有明,141.833491,44.418582
苫前郡初山別村,780-5,字有明,141.833523,44.418434
苫前郡初山別村,783-4,字有明,141.833356,44.418129
苫前郡初山別村,857-2,字有明,141.83416,44.418776
苫前郡初山別村,857-3,字有明,141.833738,44.418767
苫前郡初山別村,856-2,字有明,141.83481,44.419259
苫前郡初山別村,856-3,字有明,141.834998,44.419612
苫前郡初山別村,1681,字有明,141.8347,44.419374
苫前郡初山別村,1682,字有明,141.835137,44.419926
苫前郡初山別村,856-1,字有明,141.835381,44.419856
苫前郡初山別村,857-1,字有明,141.835785,44.419197
苫前郡初山別村,855,字有明,141.835814,44.420666
苫前郡初山別村,1683,字有明,141.835478,44.42036
苫前郡初山別村,312-3,字栄,141.830764,44.462522
苫前郡初山別村,819-3,字有明,141.861839,44.438756
苫前郡初山別村,819-2,字有明,141.861748,44.442868
苫前郡初山別村,822-7,字有明,141.856327,44.418924
苫前郡初山別村,964,字有明,141.857834,44.407437
苫前郡初山別村,829-1,字有明,141.857715,44.405986
苫前郡初山別村,824,字有明,141.857116,44.406831
苫前郡初山別村,962,字有明,141.859957,44.406698
苫前郡初山別村,2001,字明里,141.869817,44.541746
苫前郡初山別村,1991,字明里,141.867869,44.541519
苫前郡初山別村,2191,字明里,141.862442,44.544773
苫前郡初山別村,1981,字明里,141.863503,44.545278
苫前郡初山別村,1982,字明里,141.863055,44.544583
苫前郡初山別村,2185,字明里,141.860127,44.544508
苫前郡初山別村,2188,字明里,141.861751,44.544504
苫前郡初山別村,1983-1,字明里,141.861451,44.544633
苫前郡初山別村,1983-2,字明里,141.86067,44.544337
苫前郡初山別村,2186,字明里,141.860634,44.544245
苫前郡初山別村,2187,字明里,141.861357,44.544411
苫前郡初山別村,1979-2,字明里,141.858851,44.545527
苫前郡初山別村,1979-1,字明里,141.85935,44.545313
苫前郡初山別村,1979-3,字明里,141.859326,44.545045
