小字名,市区町村名,地番,大字名,丁目名,center_lng,center_lat
字高嶺,虻田郡倶知安町,23-105,,,140.838117,42.86406
字高嶺,虻田郡倶知安町,23-104,,,140.838282,42.864034
字高嶺,虻田郡倶知安町,23-103,,,140.838455,42.864033
字高嶺,虻田郡倶知安町,23-96,,,140.838817,42.863951
字高嶺,虻田郡倶知安町,23-95,,,140.838654,42.863978
字高嶺,虻田郡倶知安町,23-97,,,140.838983,42.863925
字高嶺,虻田郡倶知安町,23-98,,,140.839177,42.863897
字高嶺,虻田郡倶知安町,24-269,,,140.8394,42.863908
字高嶺,虻田郡倶知安町,24-270,,,140.839511,42.863845
字高嶺,虻田郡倶知安町,24-194,,,140.839814,42.864043
字高嶺,虻田郡倶知安町,24-193,,,140.839961,42.864062
字高嶺,虻田郡倶知安町,24-275,,,140.840077,42.863758
字高嶺,虻田郡倶知安町,24-274,,,140.839964,42.863775
字高嶺,虻田郡倶知安町,24-273,,,140.839854,42.863818
字高嶺,虻田郡倶知安町,24-271,,,140.839622,42.863829
字高嶺,虻田郡倶知安町,24-272,,,140.839733,42.863811
字高嶺,虻田郡倶知安町,24-277,,,140.840296,42.863699
字高嶺,虻田郡倶知安町,24-278,,,140.840418,42.863706
字高嶺,虻田郡倶知安町,24-279,,,140.840533,42.863686
字高嶺,虻田郡倶知安町,24-276,,,140.840188,42.863741
字高嶺,虻田郡倶知安町,24-195,,,140.840349,42.863972
字高嶺,虻田郡倶知安町,24-196,,,140.840519,42.863957
字高嶺,虻田郡倶知安町,24-197,,,140.840633,42.86402
字高嶺,虻田郡倶知安町,24-198,,,140.840766,42.86407
字高嶺,虻田郡倶知安町,24-227,,,140.840937,42.863857
字高嶺,虻田郡倶知安町,24-226,,,140.841087,42.863854
字高嶺,虻田郡倶知安町,24-224,,,140.84136,42.863936
字高嶺,虻田郡倶知安町,24-222,,,140.84162,42.864033
字高嶺,虻田郡倶知安町,24-223,,,140.841488,42.863983
字高嶺,虻田郡倶知安町,24-229,,,140.841633,42.863771
字高嶺,虻田郡倶知安町,24-228,,,140.841482,42.863774
字高嶺,虻田郡倶知安町,24-225,,,140.84123,42.863887
字高嶺,虻田郡倶知安町,24-285,,,140.841225,42.86358
字高嶺,虻田郡倶知安町,24-287,,,140.841462,42.863544
字高嶺,虻田郡倶知安町,24-288,,,140.841578,42.863527
字高嶺,虻田郡倶知安町,24-286,,,140.841343,42.863562
字高嶺,虻田郡倶知安町,24-284,,,140.841111,42.863597
字高嶺,虻田郡倶知安町,24-283,,,140.841003,42.863639
字高嶺,虻田郡倶知安町,24-282,,,140.840881,42.863634
字高嶺,虻田郡倶知安町,24-281,,,140.840764,42.863651
字高嶺,虻田郡倶知安町,24-280,,,140.840655,42.863693
字高嶺,虻田郡倶知安町,24-304,,,140.843376,42.863197
字高嶺,虻田郡倶知安町,24-303,,,140.84339,42.8633
字高嶺,虻田郡倶知安町,24-302,,,140.843252,42.863295
字高嶺,虻田郡倶知安町,24-301,,,140.843125,42.863291
字高嶺,虻田郡倶知安町,24-300,,,140.843006,42.863309
字高嶺,虻田郡倶知安町,24-299,,,140.842887,42.86333
字高嶺,虻田郡倶知安町,24-298,,,140.842766,42.863347
字高嶺,虻田郡倶知安町,24-296,,,140.842533,42.863382
字高嶺,虻田郡倶知安町,24-297,,,140.842651,42.863365
字高嶺,虻田郡倶知安町,24-243,,,140.842504,42.86371
字高嶺,虻田郡倶知安町,24-244,,,140.842343,42.863703
字高嶺,虻田郡倶知安町,24-245,,,140.842199,42.863669
字高嶺,虻田郡倶知安町,24-295,,,140.842408,42.863402
字高嶺,虻田郡倶知安町,24-294,,,140.842289,42.86342
字高嶺,虻田郡倶知安町,24-293,,,140.842172,42.863437
字高嶺,虻田郡倶知安町,24-292,,,140.842051,42.863456
字高嶺,虻田郡倶知安町,24-291,,,140.841928,42.86345
字高嶺,虻田郡倶知安町,24-289,,,140.841696,42.863509
字高嶺,虻田郡倶知安町,24-290,,,140.841816,42.863491
字高嶺,虻田郡倶知安町,24-232,,,140.842041,42.863904
字高嶺,虻田郡倶知安町,24-231,,,140.84191,42.863855
字高嶺,虻田郡倶知安町,24-230,,,140.841775,42.863804
字高嶺,虻田郡倶知安町,24-234,,,140.842306,42.864003
字高嶺,虻田郡倶知安町,24-233,,,140.842174,42.863954
字高嶺,虻田郡倶知安町,24-242,,,140.842633,42.86376
字高嶺,虻田郡倶知安町,24-235,,,140.842434,42.864051
字高嶺,虻田郡倶知安町,24-239,,,140.843039,42.863915
字高嶺,虻田郡倶知安町,24-240,,,140.842893,42.863857
字高嶺,虻田郡倶知安町,24-241,,,140.842762,42.863808
字高嶺,虻田郡倶知安町,24-247,,,140.84289,42.86362
字高嶺,虻田郡倶知安町,24-246,,,140.842755,42.863587
字高嶺,虻田郡倶知安町,24-248,,,140.843048,42.863628
字高嶺,虻田郡倶知安町,24-249,,,140.843162,42.86371
字高嶺,虻田郡倶知安町,24-250,,,140.843271,42.863504
