市区町村名,地番,大字名,center_lng,center_lat
虻田郡洞爺湖町,77-4,岩屋,140.907101,42.627436
虻田郡洞爺湖町,長狭物不明-17,岩屋,140.907273,42.62828
虻田郡洞爺湖町,77-6,岩屋,140.906505,42.627462
虻田郡洞爺湖町,75-1,岩屋,140.905677,42.627712
虻田郡洞爺湖町,74-1,岩屋,140.906758,42.628509
虻田郡洞爺湖町,74-5,岩屋,140.906696,42.629046
虻田郡洞爺湖町,73-1,岩屋,140.905524,42.628795
虻田郡洞爺湖町,73-3,岩屋,140.905621,42.629354
虻田郡洞爺湖町,67-1,岩屋,140.910162,42.631687
虻田郡洞爺湖町,道-10,岩屋,140.908306,42.629113
虻田郡洞爺湖町,長狭物不明-15,岩屋,140.908456,42.629202
虻田郡洞爺湖町,道-11,岩屋,140.908527,42.629234
虻田郡洞爺湖町,74-2,岩屋,140.906576,42.629585
虻田郡洞爺湖町,74-4,岩屋,140.906448,42.630132
虻田郡洞爺湖町,74-3,岩屋,140.908541,42.63038
虻田郡洞爺湖町,71,岩屋,140.90621,42.630301
虻田郡洞爺湖町,67-2,岩屋,140.911166,42.634974
虻田郡洞爺湖町,長狭物不明-16,岩屋,140.90648,42.630382
虻田郡洞爺湖町,66,岩屋,140.910622,42.636238
虻田郡洞爺湖町,32-74,岩屋,140.908229,42.643552
虻田郡洞爺湖町,筆界未定地-30,岩屋,140.909284,42.643101
虻田郡洞爺湖町,32-109,岩屋,140.909136,42.643155
虻田郡洞爺湖町,32-76,岩屋,140.908589,42.64335
虻田郡洞爺湖町,32-75,岩屋,140.908387,42.64342
虻田郡洞爺湖町,筆界未定地-18,岩屋,140.908903,42.643238
虻田郡洞爺湖町,32-93,岩屋,140.909118,42.643408
虻田郡洞爺湖町,32-72,岩屋,140.90938,42.643432
虻田郡洞爺湖町,32-108,岩屋,140.909578,42.643458
虻田郡洞爺湖町,32-73,岩屋,140.909608,42.643352
虻田郡洞爺湖町,筆界未定地-29,岩屋,140.909755,42.643376
虻田郡洞爺湖町,32-96,岩屋,140.909509,42.643099
虻田郡洞爺湖町,36-9,岩屋,140.909843,42.64312
虻田郡洞爺湖町,36-8,岩屋,140.91005,42.642952
虻田郡洞爺湖町,36-15,岩屋,140.910955,42.643498
虻田郡洞爺湖町,36-7,岩屋,140.910333,42.642772
虻田郡洞爺湖町,36-19,岩屋,140.910615,42.642592
虻田郡洞爺湖町,36-6,岩屋,140.910805,42.642471
虻田郡洞爺湖町,36-5,岩屋,140.911088,42.642292
虻田郡洞爺湖町,長狭物不明-4,岩屋,140.906912,42.643721
虻田郡洞爺湖町,36-4,岩屋,140.911463,42.642052
虻田郡洞爺湖町,36-3,岩屋,140.911838,42.641812
虻田郡洞爺湖町,35,岩屋,140.913221,42.642221
虻田郡洞爺湖町,36-2,岩屋,140.912195,42.641552
虻田郡洞爺湖町,36-1,岩屋,140.911337,42.64267
虻田郡洞爺湖町,筆界未定地-28,岩屋,140.911577,42.643074
虻田郡洞爺湖町,33-2,岩屋,140.913056,42.642588
虻田郡洞爺湖町,34,岩屋,140.914402,42.643299
虻田郡洞爺湖町,66-2,早月,140.917455,42.64515
虻田郡洞爺湖町,66-1,早月,140.919631,42.64669
虻田郡洞爺湖町,63-2,早月,140.918606,42.649482
虻田郡洞爺湖町,67-5,早月,140.917187,42.647982
虻田郡洞爺湖町,67-9,早月,140.916502,42.645445
虻田郡洞爺湖町,67-11,早月,140.916284,42.646668
虻田郡洞爺湖町,67-7,早月,140.9157,42.647317
虻田郡洞爺湖町,67-3,早月,140.916388,42.648643
虻田郡洞爺湖町,68-6,早月,140.91424,42.647952
虻田郡洞爺湖町,67-12,早月,140.914797,42.647306
虻田郡洞爺湖町,67-1,早月,140.913932,42.645527
虻田郡洞爺湖町,67-13,早月,140.915565,42.646098
虻田郡洞爺湖町,67-6,早月,140.915319,42.6455
虻田郡洞爺湖町,67-2,早月,140.915496,42.644682
虻田郡洞爺湖町,67-10,早月,140.916321,42.644504
