市区町村名,地番,大字名,丁目名,center_lng,center_lat
足寄郡足寄町,415-19,稲牛,,143.770947,43.227994
足寄郡足寄町,415-16W2,稲牛,,143.771397,43.227844
足寄郡足寄町,541,稲牛,,143.76579,43.222727
足寄郡足寄町,421-2,稲牛,,143.764977,43.221987
足寄郡足寄町,421-1,稲牛,,143.764726,43.221517
足寄郡足寄町,道-5,稲牛,,143.764588,43.221368
足寄郡足寄町,422,稲牛,,143.764351,43.221763
足寄郡足寄町,337,稲牛,,143.720963,43.218258
足寄郡足寄町,335,稲牛,,143.720448,43.218019
足寄郡足寄町,334,稲牛,,143.719696,43.218303
足寄郡足寄町,333,稲牛,,143.719042,43.21792
足寄郡足寄町,329-1,稲牛,,143.717146,43.218198
足寄郡足寄町,331,稲牛,,143.717806,43.218276
足寄郡足寄町,332,稲牛,,143.719092,43.21837
足寄郡足寄町,302-2,稲牛,,143.716176,43.220338
足寄郡足寄町,300-1,稲牛,,143.714723,43.221166
足寄郡足寄町,299,稲牛,,143.714516,43.22129
足寄郡足寄町,300-2,稲牛,,143.714625,43.221554
足寄郡足寄町,301,稲牛,,143.714619,43.220926
足寄郡足寄町,294-5,稲牛,,143.714779,43.221671
足寄郡足寄町,294-1,稲牛,,143.71455,43.222095
足寄郡足寄町,297-4,稲牛,,143.713641,43.221436
足寄郡足寄町,297-1,稲牛,,143.713006,43.222114
足寄郡足寄町,291-2,稲牛,,143.712736,43.222397
足寄郡足寄町,297-2,稲牛,,143.714159,43.221609
足寄郡足寄町,298-1,稲牛,,143.713239,43.221237
足寄郡足寄町,291-6,稲牛,,143.7133,43.221322
足寄郡足寄町,298-2,稲牛,,143.713048,43.220969
足寄郡足寄町,298-3,稲牛,,143.713298,43.221249
足寄郡足寄町,297-3,稲牛,,143.71342,43.220958
足寄郡足寄町,306-2,稲牛,,143.713099,43.220636
足寄郡足寄町,298-4,稲牛,,143.713153,43.220746
足寄郡足寄町,303,稲牛,,143.714087,43.221038
足寄郡足寄町,302-1,稲牛,,143.715023,43.220732
足寄郡足寄町,302-8,稲牛,,143.714563,43.220609
足寄郡足寄町,302-5,稲牛,,143.714379,43.220698
足寄郡足寄町,304,稲牛,,143.714068,43.220673
足寄郡足寄町,302-6,稲牛,,143.714771,43.220287
足寄郡足寄町,302-9,稲牛,,143.715029,43.220257
足寄郡足寄町,302-3,稲牛,,143.715279,43.220272
足寄郡足寄町,307,稲牛,,143.714556,43.220037
足寄郡足寄町,306-3,稲牛,,143.713453,43.220632
足寄郡足寄町,306-1,稲牛,,143.713181,43.220581
足寄郡足寄町,309-1,稲牛,,143.714826,43.219268
足寄郡足寄町,308-2,稲牛,,143.715019,43.219317
足寄郡足寄町,308-1,稲牛,,143.715231,43.219326
足寄郡足寄町,308-4,稲牛,,143.714867,43.219572
足寄郡足寄町,308-3,稲牛,,143.714882,43.219774
足寄郡足寄町,309-2,稲牛,,143.714237,43.219856
足寄郡足寄町,305,稲牛,,143.713846,43.220716
足寄郡足寄町,302-7,稲牛,,143.715395,43.219675
足寄郡足寄町,302-4,稲牛,,143.71571,43.219615
足寄郡足寄町,313,稲牛,,143.716779,43.218943
足寄郡足寄町,314-1,稲牛,,143.716155,43.218999
足寄郡足寄町,無地番-10,稲牛,,143.715989,43.219123
足寄郡足寄町,312-1,稲牛,,143.715914,43.21921
足寄郡足寄町,312-2,稲牛,,143.715686,43.219286
足寄郡足寄町,311-2,稲牛,,143.715636,43.218947
足寄郡足寄町,535,稲牛,,143.715832,43.219008
足寄郡足寄町,315-2,稲牛,,143.715636,43.218643
足寄郡足寄町,328-2,稲牛,,143.716532,43.218541
足寄郡足寄町,314-2,稲牛,,143.716133,43.218816
足寄郡足寄町,328-4,稲牛,,143.71648,43.218844
足寄郡足寄町,329-3,稲牛,,143.716764,43.218727
足寄郡足寄町,329-2,稲牛,,143.716811,43.218545
足寄郡足寄町,330,稲牛,,143.717515,43.218317
足寄郡足寄町,328-1,稲牛,,143.71651,43.218345
足寄郡足寄町,316,稲牛,,143.714625,43.21779
足寄郡足寄町,315-1,稲牛,,143.714106,43.217693
足寄郡足寄町,310,稲牛,,143.715003,43.218829
足寄郡足寄町,328-3,稲牛,,143.715249,43.218157
足寄郡足寄町,311-1,稲牛,,143.715275,43.218985
足寄郡足寄町,318,稲牛,,143.713375,43.21753
足寄郡足寄町,317,稲牛,,143.713753,43.217507
足寄郡足寄町,320,稲牛,,143.713996,43.217323
足寄郡足寄町,319,稲牛,,143.713623,43.217302
足寄郡足寄町,322,稲牛,,143.713815,43.216148
足寄郡足寄町,321,稲牛,,143.71334,43.217058
足寄郡足寄町,323,稲牛,,143.713346,43.216562
足寄郡足寄町,336,稲牛,,143.719123,43.217807
足寄郡足寄町,338,稲牛,,143.719603,43.21781
