小字名,市区町村名,地番,center_lng,center_lat
字妹背牛,雨竜郡妹背牛町,5319-2,141.99033,43.683813
字妹背牛,雨竜郡妹背牛町,5319-1,141.990313,43.683944
字妹背牛,雨竜郡妹背牛町,4359-3,141.990108,43.683884
字妹背牛,雨竜郡妹背牛町,5320-2,141.989967,43.683925
字妹背牛,雨竜郡妹背牛町,213-13,141.989516,43.682766
字妹背牛,雨竜郡妹背牛町,358-33,141.988194,43.682737
字妹背牛,雨竜郡妹背牛町,358-32,141.988541,43.682434
字妹背牛,雨竜郡妹背牛町,3443,141.987447,43.68361
字妹背牛,雨竜郡妹背牛町,3444,141.987014,43.683465
字妹背牛,雨竜郡妹背牛町,3442,141.986953,43.683808
字妹背牛,雨竜郡妹背牛町,3448,141.986816,43.68404
字妹背牛,雨竜郡妹背牛町,3445-1,141.986061,43.683435
字妹背牛,雨竜郡妹背牛町,3446,141.985397,43.683052
字妹背牛,雨竜郡妹背牛町,3447-2,141.985064,43.682835
字妹背牛,雨竜郡妹背牛町,3447-3,141.985003,43.682812
字妹背牛,雨竜郡妹背牛町,5284,141.985201,43.683061
字妹背牛,雨竜郡妹背牛町,無地番-98,141.985199,43.683058
字妹背牛,雨竜郡妹背牛町,3447-1,141.985265,43.682935
字妹背牛,雨竜郡妹背牛町,3445-2,141.985179,43.68327
字妹背牛,雨竜郡妹背牛町,無地番-117,141.984751,43.684289
字妹背牛,雨竜郡妹背牛町,5281-1,141.984748,43.684291
字妹背牛,雨竜郡妹背牛町,無地番-124,141.984741,43.684014
字妹背牛,雨竜郡妹背牛町,5281-2,141.984729,43.684027
字妹背牛,雨竜郡妹背牛町,5511,141.984312,43.684562
字妹背牛,雨竜郡妹背牛町,無地番-112,141.984837,43.682944
字妹背牛,雨竜郡妹背牛町,5283-3,141.984835,43.682941
字妹背牛,雨竜郡妹背牛町,無地番-101,141.984848,43.682845
字妹背牛,雨竜郡妹背牛町,5283-2,141.984847,43.682843
字妹背牛,雨竜郡妹背牛町,無地番-168,141.984143,43.683583
字妹背牛,雨竜郡妹背牛町,5283-1,141.984141,43.683584
字妹背牛,雨竜郡妹背牛町,水-3,141.984961,43.683273
字妹背牛,雨竜郡妹背牛町,3563-2,141.983181,43.683793
字妹背牛,雨竜郡妹背牛町,3553,141.983108,43.68402
字妹背牛,雨竜郡妹背牛町,3561,141.983242,43.683926
字妹背牛,雨竜郡妹背牛町,3559,141.982663,43.683942
字妹背牛,雨竜郡妹背牛町,3560-1,141.982981,43.683896
字妹背牛,雨竜郡妹背牛町,3560-2,141.982916,43.683652
字妹背牛,雨竜郡妹背牛町,3558,141.982688,43.683616
字妹背牛,雨竜郡妹背牛町,3568,141.982076,43.683422
字妹背牛,雨竜郡妹背牛町,3563-1,141.981675,43.682888
字妹背牛,雨竜郡妹背牛町,3557,141.982415,43.68353
字妹背牛,雨竜郡妹背牛町,3556,141.982289,43.684078
字妹背牛,雨竜郡妹背牛町,3567,141.982206,43.683788
字妹背牛,雨竜郡妹背牛町,3569,141.981718,43.683913
字妹背牛,雨竜郡妹背牛町,3562,141.980513,43.683783
字妹背牛,雨竜郡妹背牛町,3565-3,141.981262,43.683904
字妹背牛,雨竜郡妹背牛町,3565-2,141.980867,43.683662
字妹背牛,雨竜郡妹背牛町,3566,141.981303,43.683439
字妹背牛,雨竜郡妹背牛町,3570-3,141.979575,43.683523
字妹背牛,雨竜郡妹背牛町,3575-1,141.979799,43.683186
字妹背牛,雨竜郡妹背牛町,3571-1,141.980433,43.682961
字妹背牛,雨竜郡妹背牛町,3571-4,141.97948,43.682446
字妹背牛,雨竜郡妹背牛町,無地番-183,141.981119,43.682569
字妹背牛,雨竜郡妹背牛町,水-43,141.981116,43.682569
字妹背牛,雨竜郡妹背牛町,3676-4,141.978532,43.682226
字妹背牛,雨竜郡妹背牛町,3676-3,141.978616,43.682297
字妹背牛,雨竜郡妹背牛町,3676-7,141.978521,43.682245
字妹背牛,雨竜郡妹背牛町,3676-5,141.977609,43.682107
字妹背牛,雨竜郡妹背牛町,3571-2,141.979045,43.682325
字妹背牛,雨竜郡妹背牛町,3571-3,141.978914,43.682713
字妹背牛,雨竜郡妹背牛町,3575-3,141.978789,43.682867
字妹背牛,雨竜郡妹背牛町,3570-6,141.978704,43.68377
字妹背牛,雨竜郡妹背牛町,3570-5,141.978321,43.683621
字妹背牛,雨竜郡妹背牛町,3570-7,141.978736,43.68398
字妹背牛,雨竜郡妹背牛町,3570-8,141.978642,43.684124
字妹背牛,雨竜郡妹背牛町,3572-1,141.978486,43.684098
字妹背牛,雨竜郡妹背牛町,3572-2,141.978427,43.683996
字妹背牛,雨竜郡妹背牛町,5267-1,141.978292,43.684113
字妹背牛,雨竜郡妹背牛町,3574-1,141.978312,43.684078
字妹背牛,雨竜郡妹背牛町,3574-3,141.978417,43.683837
字妹背牛,雨竜郡妹背牛町,3574-4,141.978159,43.683881
字妹背牛,雨竜郡妹背牛町,5267-3,141.977909,43.684006
字妹背牛,雨竜郡妹背牛町,無地番-196,141.977911,43.684008
字妹背牛,雨竜郡妹背牛町,無地番-28,141.977909,43.684132
字妹背牛,雨竜郡妹背牛町,5266-3,141.977897,43.684128
字妹背牛,雨竜郡妹背牛町,3574-2,141.977964,43.683735
字妹背牛,雨竜郡妹背牛町,3573-1,141.978111,43.683675
字妹背牛,雨竜郡妹背牛町,3573-2,141.978013,43.683642
字妹背牛,雨竜郡妹背牛町,3570-4,141.978567,43.683133
字妹背牛,雨竜郡妹背牛町,3570-2,141.978074,43.683524
字妹背牛,雨竜郡妹背牛町,3575-2,141.978629,43.682816
字妹背牛,雨竜郡妹背牛町,3678,141.977823,43.683119
字妹背牛,雨竜郡妹背牛町,無地番-207,141.977537,43.683599
字妹背牛,雨竜郡妹背牛町,491-16,141.977672,43.683533
字妹背牛,雨竜郡妹背牛町,491-12,141.977492,43.683744
字妹背牛,雨竜郡妹背牛町,5267-2,141.977834,43.683985
字妹背牛,雨竜郡妹背牛町,無地番-198,141.977834,43.683985
字妹背牛,雨竜郡妹背牛町,5266-2,141.977789,43.684079
字妹背牛,雨竜郡妹背牛町,無地番-29,141.977777,43.684106
字妹背牛,雨竜郡妹背牛町,無地番-209,141.977341,43.683959
字妹背牛,雨竜郡妹背牛町,5265,141.977344,43.68396
字妹背牛,雨竜郡妹背牛町,4506-2,141.977343,43.683698
字妹背牛,雨竜郡妹背牛町,485-18,141.977299,43.683612
字妹背牛,雨竜郡妹背牛町,5271,141.977309,43.684296
字妹背牛,雨竜郡妹背牛町,無地番-210,141.977308,43.684293
字妹背牛,雨竜郡妹背牛町,3673,141.977027,43.682962
字妹背牛,雨竜郡妹背牛町,水-10,141.975283,43.682083
字妹背牛,雨竜郡妹背牛町,長狭物不明-24,141.976396,43.683487
字妹背牛,雨竜郡妹背牛町,3676-1,141.977789,43.682465
字妹背牛,雨竜郡妹背牛町,3674,141.977185,43.682601
字妹背牛,雨竜郡妹背牛町,3676-6,141.978425,43.682315
字妹背牛,雨竜郡妹背牛町,3676-2,141.977252,43.682012
字妹背牛,雨竜郡妹背牛町,3684-1,141.972998,43.680024
字妹背牛,雨竜郡妹背牛町,3683,141.973989,43.680724
字妹背牛,雨竜郡妹背牛町,3680-1,141.974021,43.681483
字妹背牛,雨竜郡妹背牛町,3680-3,141.973426,43.681285
字妹背牛,雨竜郡妹背牛町,473-25,141.974932,43.681303
字妹背牛,雨竜郡妹背牛町,5262-2,141.975176,43.68146
字妹背牛,雨竜郡妹背牛町,5263-2,141.975389,43.681529
字妹背牛,雨竜郡妹背牛町,無地番-37,141.975435,43.681715
字妹背牛,雨竜郡妹背牛町,8302,141.975279,43.681503
字妹背牛,雨竜郡妹背牛町,5262-1,141.975066,43.681628
字妹背牛,雨竜郡妹背牛町,無地番-215,141.97506,43.681482
字妹背牛,雨竜郡妹背牛町,5263-1,141.975407,43.681781
字妹背牛,雨竜郡妹背牛町,無地番-38,141.975633,43.682689
字妹背牛,雨竜郡妹背牛町,5270,141.975639,43.682695
字妹背牛,雨竜郡妹背牛町,5264,141.976814,43.683588
字妹背牛,雨竜郡妹背牛町,無地番-36,141.976813,43.683587
字妹背牛,雨竜郡妹背牛町,3646-1,141.975058,43.683063
字妹背牛,雨竜郡妹背牛町,3654,141.973922,43.683694
字妹背牛,雨竜郡妹背牛町,3652,141.974632,43.682598
字妹背牛,雨竜郡妹背牛町,3664,141.973744,43.683419
字妹背牛,雨竜郡妹背牛町,3667,141.973465,43.682534
字妹背牛,雨竜郡妹背牛町,3668-1,141.972094,43.681832
字妹背牛,雨竜郡妹背牛町,3669,141.972081,43.682423
字妹背牛,雨竜郡妹背牛町,3672-1,141.97175,43.682146
字妹背牛,雨竜郡妹背牛町,3665,141.972931,43.683156
字妹背牛,雨竜郡妹背牛町,3660-1,141.972228,43.683896
字妹背牛,雨竜郡妹背牛町,3662-1,141.972341,43.683391
字妹背牛,雨竜郡妹背牛町,3666-2,141.972014,43.682861
字妹背牛,雨竜郡妹背牛町,3663,141.970465,43.683495
字妹背牛,雨竜郡妹背牛町,3661-2,141.970468,43.683543
字妹背牛,雨竜郡妹背牛町,3661-1,141.970624,43.683594
字妹背牛,雨竜郡妹背牛町,3715-2,141.970091,43.683873
字妹背牛,雨竜郡妹背牛町,3657-2,141.970309,43.683813
字妹背牛,雨竜郡妹背牛町,3717-1,141.970151,43.68337
字妹背牛,雨竜郡妹背牛町,3718-1,141.970314,43.683241
字妹背牛,雨竜郡妹背牛町,3718-2,141.970438,43.68328
字妹背牛,雨竜郡妹背牛町,3717-2,141.970349,43.683433
字妹背牛,雨竜郡妹背牛町,3660-2,141.97062,43.683284
字妹背牛,雨竜郡妹背牛町,3719-2,141.970524,43.683133
字妹背牛,雨竜郡妹背牛町,3662-2,141.970839,43.682909
字妹背牛,雨竜郡妹背牛町,3715-3,141.97063,43.68295
字妹背牛,雨竜郡妹背牛町,3719-1,141.970326,43.683073
字妹背牛,雨竜郡妹背牛町,3725-1,141.970225,43.682438
字妹背牛,雨竜郡妹背牛町,3726-1,141.97078,43.682427
字妹背牛,雨竜郡妹背牛町,3724-3,141.970721,43.682796
字妹背牛,雨竜郡妹背牛町,3725-2,141.970807,43.68265
字妹背牛,雨竜郡妹背牛町,3666-3,141.97103,43.682548
字妹背牛,雨竜郡妹背牛町,3666-1,141.971333,43.682643
字妹背牛,雨竜郡妹背牛町,3670-1,141.971512,43.682335
字妹背牛,雨竜郡妹背牛町,3670-2,141.971145,43.682352
