市区町村名,地番,大字名,center_lng,center_lat
雨竜郡幌加内町,7878-3,字沼牛,142.237334,43.97441
雨竜郡幌加内町,7878-7,字沼牛,142.237902,43.975419
雨竜郡幌加内町,7878-8,字沼牛,142.237392,43.974946
雨竜郡幌加内町,7878-6,字沼牛,142.237761,43.975092
雨竜郡幌加内町,7878-1,字沼牛,142.238461,43.974686
雨竜郡幌加内町,10093,字沼牛,142.239437,43.975806
雨竜郡幌加内町,7905-4,字沼牛,142.244563,43.977499
雨竜郡幌加内町,7905-3,字沼牛,142.240884,43.976078
雨竜郡幌加内町,7905-1,字沼牛,142.243757,43.975986
雨竜郡幌加内町,7905-2,字沼牛,142.245683,43.976146
雨竜郡幌加内町,7905-6,字沼牛,142.246537,43.978154
雨竜郡幌加内町,7905-5,字沼牛,142.248545,43.977322
雨竜郡幌加内町,7905-7,字沼牛,142.24722,43.977139
雨竜郡幌加内町,10094,字沼牛,142.251656,43.977682
雨竜郡幌加内町,無地番-2,字沼牛,142.233238,43.972749
雨竜郡幌加内町,水-85,字沼牛,142.233709,43.972578
雨竜郡幌加内町,7878-5,字沼牛,142.234375,43.972807
雨竜郡幌加内町,7878-4,字沼牛,142.236064,43.973977
雨竜郡幌加内町,7878-2,字沼牛,142.236034,43.973286
雨竜郡幌加内町,10092,字沼牛,142.234357,43.973611
雨竜郡幌加内町,7282,字沼牛,142.230861,43.979282
雨竜郡幌加内町,794,字沼牛,142.229074,43.972239
雨竜郡幌加内町,928-2,字沼牛,142.229368,43.971749
雨竜郡幌加内町,928-17,字沼牛,142.229546,43.971747
雨竜郡幌加内町,810,字沼牛,142.22944,43.971771
雨竜郡幌加内町,812,字沼牛,142.229466,43.971343
雨竜郡幌加内町,567-10,字沼牛,142.22938,43.971548
雨竜郡幌加内町,1735-1,字沼牛,142.229136,43.970116
雨竜郡幌加内町,122,字沼牛,142.229318,43.971242
雨竜郡幌加内町,813,字沼牛,142.230186,43.971152
雨竜郡幌加内町,928-13,字沼牛,142.230172,43.971952
雨竜郡幌加内町,567-17,字沼牛,142.229933,43.971648
雨竜郡幌加内町,811,字沼牛,142.23004,43.972175
雨竜郡幌加内町,567-11,字沼牛,142.230052,43.971758
雨竜郡幌加内町,水-2,字沼牛,142.230631,43.972239
雨竜郡幌加内町,567-2,字沼牛,142.230521,43.971856
雨竜郡幌加内町,1538-3,字沼牛,142.231044,43.972038
雨竜郡幌加内町,567-8,字沼牛,142.230626,43.971936
雨竜郡幌加内町,9270,字沼牛,142.23234,43.971619
雨竜郡幌加内町,1738,字沼牛,142.230854,43.96716
雨竜郡幌加内町,1736,字沼牛,142.230041,43.969965
雨竜郡幌加内町,水-87,字沼牛,142.229807,43.967747
雨竜郡幌加内町,1737,字沼牛,142.230166,43.968742
雨竜郡幌加内町,1735-2,字沼牛,142.229017,43.969025
雨竜郡幌加内町,125,字沼牛,142.225499,43.970573
雨竜郡幌加内町,567-18,字沼牛,142.226203,43.971366
雨竜郡幌加内町,807,字沼牛,142.225081,43.97162
雨竜郡幌加内町,567-12,字沼牛,142.225952,43.971388
雨竜郡幌加内町,928-12,字沼牛,142.225623,43.971472
雨竜郡幌加内町,928-11,字沼牛,142.224901,43.971441
雨竜郡幌加内町,801,字沼牛,142.225305,43.971887
雨竜郡幌加内町,798,字沼牛,142.225671,43.972289
雨竜郡幌加内町,790-1,字沼牛,142.225133,43.972995
雨竜郡幌加内町,789-1,字沼牛,142.226007,43.972869
雨竜郡幌加内町,795,字沼牛,142.226257,43.972239
雨竜郡幌加内町,802,字沼牛,142.225906,43.971869
雨竜郡幌加内町,800,字沼牛,142.226414,43.972167
雨竜郡幌加内町,805,字沼牛,142.226594,43.971824
雨竜郡幌加内町,804,字沼牛,142.226565,43.971793
雨竜郡幌加内町,803,字沼牛,142.226465,43.971794
雨竜郡幌加内町,928-19,字沼牛,142.226484,43.971804
雨竜郡幌加内町,928-20,字沼牛,142.226513,43.971851
雨竜郡幌加内町,567-7,字沼牛,142.226438,43.971499
雨竜郡幌加内町,567-13,字沼牛,142.226744,43.971424
雨竜郡幌加内町,567-14,字沼牛,142.226993,43.971582
雨竜郡幌加内町,928-15,字沼牛,142.226831,43.971753
