小字名,市区町村名,地番,center_lng,center_lat
字尾白利加,雨竜郡雨竜町,85-74,141.893238,43.621043
字尾白利加,雨竜郡雨竜町,85-89,141.894284,43.621176
字尾白利加,雨竜郡雨竜町,85-59,141.89371,43.621687
字尾白利加,雨竜郡雨竜町,85-80,141.893014,43.621742
字尾白利加,雨竜郡雨竜町,85-81,141.893152,43.621797
字伏古,雨竜郡雨竜町,40-32,141.913245,43.633682
字伏古,雨竜郡雨竜町,40-17,141.913846,43.633713
字伏古,雨竜郡雨竜町,40-35,141.912966,43.633978
字伏古,雨竜郡雨竜町,42-4,141.914103,43.635802
字伏古,雨竜郡雨竜町,42-8,141.913634,43.636582
字伏古,雨竜郡雨竜町,42-2,141.913609,43.636125
字伏古,雨竜郡雨竜町,41-7,141.913919,43.634775
字伏古,雨竜郡雨竜町,41-2,141.913132,43.634824
字伏古,雨竜郡雨竜町,41-6,141.91263,43.635499
字伏古,雨竜郡雨竜町,41-5,141.911354,43.636153
字伏古,雨竜郡雨竜町,40-16,141.910385,43.634949
字伏古,雨竜郡雨竜町,40-28,141.910017,43.634239
字伏古,雨竜郡雨竜町,40-41,141.911168,43.634209
字伏古,雨竜郡雨竜町,40-25,141.912077,43.634079
字伏古,雨竜郡雨竜町,40-4,141.91003,43.633508
字伏古,雨竜郡雨竜町,40-34,141.909365,43.633382
字伏古,雨竜郡雨竜町,40-26,141.90839,43.63259
字伏古,雨竜郡雨竜町,40-2,141.91111,43.632168
字伏古,雨竜郡雨竜町,40-3,141.910785,43.63269
字伏古,雨竜郡雨竜町,40-29,141.912728,43.632819
字伏古,雨竜郡雨竜町,40-22,141.902415,43.632299
字伏古,雨竜郡雨竜町,40-44,141.901533,43.632752
字伏古,雨竜郡雨竜町,40-43,141.901249,43.632851
字伏古,雨竜郡雨竜町,40-8,141.903594,43.632539
字伏古,雨竜郡雨竜町,40-23,141.90396,43.632123
字伏古,雨竜郡雨竜町,40-1,141.906387,43.632882
字伏古,雨竜郡雨竜町,419-5,141.904294,43.63267
字伏古,雨竜郡雨竜町,40-36,141.905579,43.632521
字伏古,雨竜郡雨竜町,40-12,141.906589,43.632745
字伏古,雨竜郡雨竜町,40-37,141.90512,43.632196
字伏古,雨竜郡雨竜町,40-24,141.90537,43.631877
字伏古,雨竜郡雨竜町,40-11,141.907366,43.633091
字伏古,雨竜郡雨竜町,40-10,141.906195,43.633375
字伏古,雨竜郡雨竜町,40-9,141.905177,43.633064
字伏古,雨竜郡雨竜町,418,141.904759,43.634634
字伏古,雨竜郡雨竜町,418-4,141.906443,43.634528
字伏古,雨竜郡雨竜町,40-13,141.907221,43.634349
字伏古,雨竜郡雨竜町,418-2,141.907029,43.633962
字伏古,雨竜郡雨竜町,418-3,141.907265,43.633854
字伏古,雨竜郡雨竜町,40-14,141.907286,43.634268
字伏古,雨竜郡雨竜町,40-20,141.90749,43.63439
字伏古,雨竜郡雨竜町,40-15,141.908133,43.633805
字伏古,雨竜郡雨竜町,40-27,141.908802,43.634975
字伏古,雨竜郡雨竜町,40-5,141.908697,43.63571
字伏古,雨竜郡雨竜町,40-6,141.908591,43.635763
