A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,水涵保,None,東大雪支,136,よ,6.31,None,上士幌町,他Ｌ,ミズナラ,水源涵養,0,143.279985,43.371414
None,ミズナラ,水涵保,None,東大雪支,136,る,3.16,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.281748,43.36861
None,アカエゾマツ,水涵保,None,東大雪支,134,く,3.0,None,上士幌町,他Ｎ,他Ｌ,水源涵養,0,143.2835,43.366464
None,アカエゾマツ,水涵保,None,東大雪支,136,ぬ,0.9,None,上士幌町,None,他Ｎ,水源涵養,0,143.282736,43.367225
None,アカエゾマツ,水涵保,None,東大雪支,136,い,8.06,None,上士幌町,他Ｎ,他Ｌ,水源涵養,0,143.280678,43.369892
None,ミズナラ,水涵保,None,東大雪支,134,ゆ,0.27,None,上士幌町,ダケカンバ,他Ｌ,水源涵養,0,143.283796,43.365288
None,トドマツ,水涵保,None,東大雪支,134,の,13.0,None,上士幌町,None,他Ｌ,水源涵養,0,143.283585,43.363408
None,トドマツ,水涵保,None,東大雪支,134,の,13.0,None,上士幌町,None,他Ｌ,水源涵養,0,143.2841,43.360998
None,トドマツ,水涵保,None,東大雪支,134,う,3.48,None,上士幌町,None,None,水源涵養,0,143.282359,43.359937
None,トドマツ,水涵保,None,東大雪支,136,ろ,37.33,None,上士幌町,None,ダケカンバ,水源涵養,0,143.279484,43.364638
None,アカエゾマツ,水涵保,None,東大雪支,136,は,13.46,None,上士幌町,None,ダケカンバ,水源涵養,0,143.281022,43.361535
None,None,None,None,東大雪支,136,ホ,0.56,None,上士幌町,None,None,水源涵養,0,143.277507,43.361971
None,ダケカンバ,水涵保,None,東大雪支,136,お,13.12,None,上士幌町,他Ｌ,ミズナラ,水源涵養,0,143.278102,43.361333
None,None,None,None,東大雪支,133,ロ,2.05,None,上士幌町,None,None,水源涵養,0,143.306902,43.344335
None,ミズナラ,水涵保,None,東大雪支,133,か,0.47,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.305303,43.344812
None,アカエゾマツ,水涵保,None,東大雪支,133,わ,7.65,None,上士幌町,None,None,水源涵養,0,143.303315,43.344792
None,None,None,None,東大雪支,133,ロ,2.05,None,上士幌町,None,None,水源涵養,0,143.308585,43.342998
None,アカエゾマツ,水涵保,None,東大雪支,133,お,3.28,None,上士幌町,None,ダケカンバ,水源涵養,0,143.308171,43.341518
None,ミズナラ,水涵保,None,東大雪支,133,お,3.49,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,1,143.306888,43.341307
None,アカエゾマツ,水涵保,None,東大雪支,133,ぬ,6.99,None,上士幌町,ダケカンバ,他Ｌ,水源涵養,0,143.308062,43.339004
None,アカエゾマツ,水涵保,None,東大雪支,133,る,7.03,None,上士幌町,None,他Ｌ,水源涵養,0,143.305695,43.34
None,アカエゾマツ,水涵保,None,東大雪支,133,よ,8.1,None,上士幌町,None,ダケカンバ,水源涵養,1,143.303611,43.343342
None,トドマツ,水涵保,None,東大雪支,133,よ,3.1,None,上士幌町,None,None,水源涵養,0,143.302843,43.342051
None,アカエゾマツ,水涵保,None,東大雪支,133,よ,8.1,None,上士幌町,None,ダケカンバ,水源涵養,1,143.301551,43.341904
None,ヤチダモ,水涵保,None,東大雪支,133,る,8.31,None,上士幌町,None,他Ｌ,水源涵養,1,143.30298,43.340068
None,ミズナラ,水涵保,None,東大雪支,133,た,0.69,None,上士幌町,ニレ,ダケカンバ,水源涵養,0,143.300929,43.340813
None,ヤチダモ,水涵保,None,東大雪支,133,ふ,0.86,None,上士幌町,None,他Ｌ,水源涵養,0,143.296879,43.348388
None,ヤチダモ,水涵保,None,東大雪支,133,け,2.68,None,上士幌町,None,他Ｌ,水源涵養,0,143.297519,43.347174
None,ミズナラ,水涵保,None,東大雪支,133,や,0.73,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.300219,43.345218
None,アカエゾマツ,水涵保,None,東大雪支,133,ま,6.7,None,上士幌町,None,ダケカンバ,水源涵養,0,143.299164,43.346333
None,アカエゾマツ,水涵保,None,東大雪支,133,む,1.19,None,上士幌町,None,None,水源涵養,0,143.296966,43.344251
None,ミズナラ,水涵保,None,東大雪支,133,こ,0.79,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.298228,43.348104
None,ミズナラ,水涵保,None,東大雪支,133,て,2.65,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.295558,43.34761
None,ヤチダモ,水涵保,None,東大雪支,133,え,5.0,None,上士幌町,他Ｌ,他Ｎ,水源涵養,0,143.29405,43.348671
None,アカエゾマツ,水涵保,None,東大雪支,133,あ,2.95,None,上士幌町,None,ダケカンバ,水源涵養,0,143.293817,43.346939
None,トドマツ,水涵保,None,東大雪支,133,の,1.5,None,上士幌町,None,ダケカンバ,水源涵養,0,143.296509,43.34535
None,ミズナラ,水涵保,None,東大雪支,133,う,0.15,None,上士幌町,他Ｌ,ダケカンバ,水源涵養,0,143.296186,43.344169
None,トドマツ,水涵保,None,東大雪支,133,さ,4.61,None,上士幌町,None,None,水源涵養,0,143.294598,43.345603
