A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,水涵保,None,上川北部,55,イ,53.87,None,下川町,None,None,自然維持,0,142.847307,44.458104
None,None,水涵保,None,上川北部,54,ロ,14.19,None,下川町,None,None,自然維持,0,142.810792,44.457917
None,None,水涵保,None,上川北部,53,ロ,6.5,None,下川町,None,None,自然維持,0,142.808726,44.457753
None,None,水涵保,None,上川北部,53,ニ,4.88,None,下川町,None,None,自然維持,0,142.806644,44.456616
None,カンバ,水涵保,None,上川北部,53,い,35.87,None,下川町,天エゾマツ,他Ｌ,自然維持,0,142.802609,44.454994
None,None,水涵保,None,上川北部,53,ハ,8.94,None,下川町,None,None,自然維持,0,142.798524,44.456154
None,カンバ,水涵保,None,上川北部,51,い,19.62,None,下川町,天エゾマツ,他Ｌ,自然維持,0,142.781255,44.460134
None,カンバ,水涵保,None,上川北部,51,る,6.16,None,下川町,シナノキ,他Ｌ,自然維持,0,142.780895,44.458607
None,None,水涵保,None,上川北部,51,ロ,2.63,None,下川町,None,None,自然維持,0,142.777437,44.459661
None,None,水涵保,None,上川北部,50,ニ,8.03,None,下川町,None,None,自然維持,0,142.775233,44.460667
None,カンバ,水涵保,None,上川北部,50,い,12.41,None,下川町,天エゾマツ,他Ｌ,自然維持,0,142.76861,44.464184
None,カンバ,水涵保,None,上川北部,50,り,19.92,None,下川町,天エゾマツ,他Ｌ,自然維持,0,142.757727,44.455128
None,None,水涵保,None,上川北部,50,ハ,3.94,None,下川町,None,None,自然維持,0,142.767157,44.465307
None,カンバ,水涵保,None,上川北部,50,ぬ,16.1,None,下川町,シナノキ,他Ｌ,自然維持,0,142.77005,44.461712
None,アカエゾマツ,水涵保,None,上川北部,50,へ,33.52,None,下川町,None,カンバ,水源涵養,0,142.765225,44.459551
None,カンバ,水涵保,None,上川北部,50,ち,10.13,None,下川町,天エゾマツ,他Ｌ,水源涵養,0,142.764015,44.455375
None,アカエゾマツ,水涵保,None,上川北部,50,ほ,6.92,None,下川町,None,カンバ,水源涵養,0,142.760913,44.458294
None,カンバ,水涵保,None,上川北部,49,な,2.06,None,下川町,シナノキ,他Ｌ,自然維持,0,142.755844,44.455818
None,カンバ,水涵保,None,上川北部,55,い,105.79,None,下川町,天エゾマツ,他Ｌ,自然維持,0,142.842506,44.455576
None,None,水涵保,None,上川北部,57,ハ,5.56,None,下川町,None,None,自然維持,0,142.845572,44.437504
