A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,カンバ,水涵保,None,宗谷,2148,い,157.69,None,中頓別町,天エゾマツ,他Ｌ,自然維持,0,142.38699,45.004564
None,カンバ,干害保,None,宗谷,2143,い,116.4,None,中頓別町,他Ｌ,天エゾマツ,自然維持,0,142.39167,44.992958
None,他Ｌ,水涵保,None,宗谷,2148,ろ,117.29,None,中頓別町,天エゾマツ,天トドマツ,水源涵養,0,142.376801,45.001749
None,カンバ,干害保,None,宗谷,2144,い,23.31,None,中頓別町,天エゾマツ,天トドマツ,自然維持,0,142.373998,44.994418
None,カンバ,水涵保,None,宗谷,2136,い,215.92,None,中頓別町,天トドマツ,他Ｌ,自然維持,0,142.393396,44.978216
None,カンバ,干害保,None,宗谷,2142,い,156.38,None,中頓別町,他Ｌ,天エゾマツ,自然維持,0,142.383046,44.98302
None,カンバ,干害保,None,宗谷,2143,ろ,51.69,None,中頓別町,シナノキ,天トドマツ,水源涵養,0,142.376302,44.989359
None,カンバ,干害保,None,宗谷,2141,い,41.13,None,中頓別町,天エゾマツ,他Ｌ,自然維持,0,142.372957,44.978543
None,カンバ,干害保,None,宗谷,2140,い,61.88,None,中頓別町,天トドマツ,他Ｌ,自然維持,0,142.371908,44.972559
None,カンバ,水涵保,None,宗谷,2147,ほ,17.0,None,中頓別町,シナノキ,他Ｌ,水源涵養,0,142.361029,45.012418
None,天トドマツ,水涵保,None,宗谷,2147,は,126.17,None,中頓別町,他Ｌ,天エゾマツ,水源涵養,0,142.361432,45.00703
None,カンバ,水涵保,None,宗谷,2146,い,6.93,None,中頓別町,天エゾマツ,天トドマツ,自然維持,0,142.36518,44.999038
None,カンバ,水涵保,None,宗谷,2145,い,8.81,None,中頓別町,天エゾマツ,他Ｌ,自然維持,0,142.367369,44.997076
None,天エゾマツ,水涵保,None,宗谷,2146,に,50.82,None,中頓別町,他Ｌ,天トドマツ,水源涵養,0,142.357301,45.002177
None,天トドマツ,水涵保,None,宗谷,2145,に,141.43,None,中頓別町,カンバ,天エゾマツ,水源涵養,0,142.357779,44.995278
None,天トドマツ,水涵保,None,宗谷,2147,に,10.7,None,中頓別町,他Ｌ,天エゾマツ,水源涵養,0,142.352565,45.01287
None,他Ｌ,水涵保,None,宗谷,2147,り,7.66,None,中頓別町,天トドマツ,カンバ,水源涵養,0,142.350005,45.010594
None,トドマツ,水涵保,None,宗谷,2147,ち,4.44,None,中頓別町,None,他Ｌ,水源涵養,0,142.347863,45.009066
None,カンバ,水涵保,None,宗谷,2146,ほ,10.0,None,中頓別町,シナノキ,他Ｌ,水源涵養,0,142.354007,45.00519
