A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ブナ,水涵保,None,檜山,1465,ろ,87.28,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.269755,42.053442
None,ブナ,水涵保,None,檜山,1465,ろ,87.28,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.264294,42.051947
None,ブナ,水涵保,None,檜山,1465,ろ,87.28,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.259454,42.058014
None,None,None,None,檜山,1465,イ,1.25,None,乙部町,None,None,自然維持,0,140.259407,42.055209
None,ブナ,水涵保,None,檜山,1464,に,24.43,None,乙部町,ダケカンバ,他Ｌ,自然維持,0,140.257129,42.057575
None,ブナ,水涵保,None,檜山,1464,は,33.83,None,乙部町,他Ｌ,イタヤカエデ,自然維持,0,140.258268,42.053849
None,None,None,None,檜山,1465,イ,1.25,None,乙部町,None,None,自然維持,0,140.258585,42.053097
None,ブナ,水涵保,None,檜山,1465,い,22.94,None,乙部町,イタヤカエデ,他Ｌ,自然維持,0,140.259926,42.05048
None,トドマツ,水涵保,None,檜山,1464,い,2.0,None,乙部町,None,ダケカンバ,山地災害防止（土砂）,0,140.257183,42.05272
None,ブナ,水涵保,None,檜山,1464,は,33.83,None,乙部町,他Ｌ,イタヤカエデ,自然維持,0,140.256034,42.05492
None,ブナ,水涵保,None,檜山,1464,は,33.83,None,乙部町,他Ｌ,イタヤカエデ,自然維持,0,140.254431,42.053247
None,ブナ,水涵保,None,檜山,1464,ろ,11.69,None,乙部町,ダケカンバ,他Ｌ,山地災害防止（土砂）,0,140.257546,42.051245
None,ブナ,水涵保,None,檜山,1463,ろ,9.12,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.25139,42.055617
None,ブナ,水涵保,None,檜山,1462,ほ,22.48,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.247772,42.056073
None,None,None,None,檜山,1464,イ,2.05,None,乙部町,None,None,山地災害防止（土砂）,0,140.25557,42.055337
None,ブナ,水涵保,None,檜山,1463,い,46.02,None,乙部町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.250788,42.053024
None,ブナ,水涵保,None,檜山,1463,い,46.02,None,乙部町,イタヤカエデ,他Ｌ,山地災害防止（土砂）,0,140.252062,42.049638
None,None,None,None,檜山,1463,イ,1.17,None,乙部町,None,None,山地災害防止（土砂）,0,140.251835,42.052786
None,ブナ,水涵保,None,檜山,1462,に,43.16,None,乙部町,他Ｎ,他Ｌ,山地災害防止（土砂）,0,140.248335,42.052536
None,ブナ,水涵保,None,檜山,1466,ろ,87.8,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.279737,42.048144
None,ブナ,水涵保,None,檜山,1466,ろ,87.8,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.278087,42.04842
None,ブナ,水涵保,None,檜山,1466,ろ,87.8,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.279256,42.04602
None,ブナ,水涵保,None,檜山,1465,ろ,87.28,None,乙部町,他Ｌ,ダケカンバ,自然維持,0,140.276585,42.049381
None,ブナ,水涵保,None,檜山,1466,ろ,87.8,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.273243,42.045622
None,ブナ,水涵保,None,檜山,1466,ろ,87.8,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.27421,42.040623
None,None,None,None,檜山,1466,イ,0.01,None,乙部町,None,None,森林空間利用,0,140.274656,42.039955
None,ブナ,水涵保,None,檜山,1467,ろ,62.36,None,乙部町,他Ｌ,ダケカンバ,森林空間利用,0,140.273913,42.040077
