A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,水涵保,None,後志,106,は,5.07,None,京極町,None,None,自然維持,0,141.043929,42.951975
None,ダケカンバ,水涵保,None,後志,106,へ,27.2,None,京極町,None,エゾマツ,自然維持,0,141.040001,42.95633
None,ダケカンバ,水涵保,None,後志,106,に,6.06,None,京極町,None,エゾマツ,自然維持,0,141.039834,42.954125
None,ダケカンバ,水涵保,None,後志,106,ろ,5.0,None,京極町,None,None,自然維持,0,141.040662,42.952563
None,ダケカンバ,水涵保,None,後志,106,い,12.08,None,京極町,None,None,自然維持,0,141.037404,42.954169
None,ダケカンバ,水涵保,None,後志,105,ろ,35.88,None,京極町,None,None,自然維持,0,141.027832,42.959871
None,ダケカンバ,水涵保,None,後志,107,ほ,2.2,None,京極町,None,None,自然維持,1,141.033981,42.952494
None,ダケカンバ,水涵保,None,後志,107,と,8.07,None,京極町,トドマツ,エゾマツ,自然維持,0,141.028532,42.955308
None,ダケカンバ,水涵保,None,後志,107,に,11.7,None,京極町,None,None,自然維持,0,141.030478,42.952749
None,None,水涵保,None,後志,94,イ,0.7,None,京極町,None,None,自然維持,0,141.005844,42.974391
None,エゾマツ,水涵保,None,後志,92,ほ,63.94,None,京極町,None,ダケカンバ,自然維持,0,140.996614,42.980381
None,ダケカンバ,水涵保,None,後志,93,は,15.46,None,京極町,None,エゾマツ,自然維持,0,141.001871,42.977067
None,ダケカンバ,水涵保,None,後志,104,ろ,37.13,None,京極町,None,エゾマツ,自然維持,0,141.021865,42.961377
None,ダケカンバ,水涵保,None,後志,107,は,11.03,None,京極町,None,None,自然維持,0,141.025615,42.953988
None,None,None,None,後志,107,イ,0.1,None,京極町,None,None,自然維持,0,141.023991,42.952578
None,ダケカンバ,水涵保,None,後志,105,い,40.72,None,京極町,トドマツ,エゾマツ,自然維持,0,141.030486,42.956656
None,ダケカンバ,水涵保,None,後志,107,ろ,8.64,None,京極町,None,None,自然維持,0,141.020817,42.952956
None,ダケカンバ,水涵保,None,後志,104,い,51.6,None,京極町,他Ｌ,エゾマツ,水源涵養,0,141.016705,42.959825
None,ダケカンバ,水涵保,None,後志,107,い,2.1,None,京極町,None,None,自然維持,0,141.015956,42.954469
None,エゾマツ,水涵保,None,後志,107,へ,12.83,None,京極町,トドマツ,ダケカンバ,自然維持,0,141.019152,42.952584
None,エゾマツ,水涵保,None,後志,108,と,11.81,None,京極町,トドマツ,ダケカンバ,水源涵養,0,141.015417,42.955296
None,他Ｌ,水涵保,None,後志,108,へ,2.59,None,京極町,None,ダケカンバ,水源涵養,0,141.014232,42.955264
None,エゾマツ,水涵保,None,後志,108,と,11.81,None,京極町,トドマツ,ダケカンバ,水源涵養,0,141.013666,42.954199
None,ダケカンバ,水涵保,None,後志,109,へ,5.55,None,京極町,None,None,水源涵養,0,141.014971,42.952152
None,ダケカンバ,水涵保,None,後志,103,れ,25.69,None,京極町,None,エゾマツ,自然維持,0,141.010654,42.965042
None,ダケカンバ,水涵保,None,後志,103,る,2.27,None,京極町,None,None,水源涵養,0,141.00912,42.963255
None,ダケカンバ,水涵保,None,後志,103,か,13.44,None,京極町,他Ｌ,エゾマツ,水源涵養,0,141.008001,42.962995
None,エゾマツ,水涵保,None,後志,94,は,80.92,None,京極町,None,ダケカンバ,自然維持,0,141.006865,42.968495
None,ダケカンバ,水涵保,None,後志,94,い,4.7,None,京極町,None,None,自然維持,0,141.002655,42.967888
None,ダケカンバ,水涵保,None,後志,94,ろ,7.46,None,京極町,トドマツ,エゾマツ,自然維持,0,140.998032,42.969914
None,ダケカンバ,水涵保,None,後志,95,と,1.25,None,京極町,None,エゾマツ,自然維持,0,141.003005,42.966594
None,エゾマツ,水涵保,None,後志,96,へ,16.49,None,京極町,None,ダケカンバ,自然維持,0,141.002466,42.964312
None,ダケカンバ,水涵保,None,後志,95,に,9.16,None,京極町,None,None,自然維持,0,140.998859,42.967029
None,ダケカンバ,水涵保,None,後志,96,に,5.07,None,京極町,トドマツ,エゾマツ,自然維持,0,141.000428,42.965267
None,エゾマツ,水涵保,None,後志,95,ほ,9.63,None,京極町,トドマツ,ダケカンバ,自然維持,0,140.997159,42.967842
None,ダケカンバ,水涵保,None,後志,96,ろ,8.65,None,京極町,None,None,自然維持,0,140.997822,42.964136
None,ダケカンバ,水涵保,None,後志,103,か,13.44,None,京極町,他Ｌ,エゾマツ,水源涵養,0,141.006467,42.958714
None,ダケカンバ,水涵保,None,後志,108,ち,34.58,None,京極町,トドマツ,エゾマツ,水源涵養,0,141.010132,42.957664
None,ダケカンバ,水涵保,None,後志,103,ぬ,5.04,None,京極町,None,None,水源涵養,0,141.006867,42.961872
None,ダケカンバ,水涵保,None,後志,103,そ,4.98,None,京極町,None,None,水源涵養,0,141.007291,42.959619
None,ダケカンバ,水涵保,None,後志,103,わ,3.93,None,京極町,None,None,水源涵養,0,141.00673,42.957529
None,他Ｌ,水涵保,None,後志,108,ほ,4.14,None,京極町,None,ダケカンバ,水源涵養,0,141.012065,42.954834
None,アカエゾマツ,水涵保,None,後志,108,に,5.25,None,京極町,None,ダケカンバ,水源涵養,0,141.009567,42.953943
None,トドマツ,水涵保,None,後志,109,り,7.74,None,京極町,エゾマツ,ダケカンバ,水源涵養,0,141.009843,42.951637
