A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
ミズナラ,3020,ろ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,2.24,水涵保,石狩,None,140.819144,43.130595
None,3020,と,水源涵養,仁木町,None,カラマツ,0,None,None,12.45,水涵保,石狩,None,140.816966,43.130119
None,3020,に,水源涵養,仁木町,None,カラマツ,0,None,None,1.7,水涵保,石狩,None,140.823343,43.127039
None,3020,へ,水源涵養,仁木町,None,カラマツ,0,None,None,8.78,水涵保,石狩,None,140.821689,43.129018
None,3020,り,水源涵養,仁木町,None,トドマツ,0,None,None,25.38,水涵保,石狩,None,140.819461,43.12407
None,3020,は,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,6.34,水涵保,石狩,None,140.817616,43.125616
None,3020,ロ,水源涵養,仁木町,None,None,0,None,None,0.43,水涵保,石狩,None,140.815943,43.127194
None,3020,は,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,6.34,水涵保,石狩,None,140.817325,43.12399
ミズナラ,3020,い,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,2.63,水涵保,石狩,None,140.814511,43.130759
None,3020,ほ,水源涵養,仁木町,None,カラマツ,0,None,None,6.16,水涵保,石狩,None,140.814857,43.126509
None,3020,は,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,6.34,水涵保,石狩,None,140.815344,43.123966
None,3021,ほ,水源涵養,仁木町,None,カラマツ,0,None,None,0.56,水涵保,石狩,None,140.814415,43.123722
ミズナラ,3020,ろ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,2.24,水涵保,石狩,None,140.816713,43.123577
None,3020,ち,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,10.76,水涵保,石狩,None,140.818377,43.121764
ミズナラ,3020,ろ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,2.24,水涵保,石狩,None,140.816533,43.120635
None,3020,ち,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,10.76,水涵保,石狩,None,140.815727,43.123448
ミズナラ,3020,ろ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,2.24,水涵保,石狩,None,140.815985,43.123593
None,3021,る,水源涵養,仁木町,None,カラマツ,0,None,None,0.5,水涵保,石狩,None,140.815925,43.12239
None,3021,に,水源涵養,仁木町,None,カラマツ,0,None,None,6.85,水涵保,石狩,None,140.815281,43.12202
None,3021,に,水源涵養,仁木町,None,カラマツ,0,None,None,6.85,水涵保,石狩,None,140.813869,43.122589
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.814511,43.12142
None,3021,ぬ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,5.89,水涵保,石狩,None,140.814473,43.121042
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.815742,43.120346
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.8138,43.120258
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.81409,43.120798
None,3021,イ,水源涵養,仁木町,None,None,0,None,None,0.46,水涵保,石狩,None,140.812,43.119074
None,3021,ぬ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,5.89,水涵保,石狩,None,140.813357,43.120567
他Ｌ,3021,ろ,水源涵養,仁木町,None,エゾマツ,0,他Ｌ,None,3.02,水涵保,石狩,None,140.81316,43.119519
None,3021,は,水源涵養,仁木町,None,エゾマツ,0,他Ｌ,None,0.77,水涵保,石狩,None,140.812646,43.123321
None,3021,と,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,3.25,水涵保,石狩,None,140.810533,43.122485
ミズナラ,3021,ち,水源涵養,仁木町,None,カンバ,0,他Ｌ,None,0.05,水涵保,石狩,None,140.809833,43.122935
None,3021,ぬ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,5.89,水涵保,石狩,None,140.811461,43.120696
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.812179,43.118765
None,3021,り,水源涵養,仁木町,None,トドマツ,0,None,None,4.1,水涵保,石狩,None,140.809701,43.119698
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.811226,43.118801
None,3022,ち,水源涵養,仁木町,None,カラマツ,0,None,None,2.0,水涵保,石狩,None,140.803802,43.130377
ミズナラ,3022,い,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,12.16,水涵保,石狩,None,140.801307,43.130016
None,3022,か,水源涵養,仁木町,None,トドマツ,0,None,None,4.48,水涵保,石狩,None,140.805458,43.124816
None,3022,り,水源涵養,仁木町,None,カラマツ,0,None,None,5.0,水涵保,石狩,None,140.803713,43.127753
ミズナラ,3022,つ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,1.62,水涵保,石狩,None,140.804772,43.127339
None,3022,ろ,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,4.65,水涵保,石狩,None,140.801741,43.12734
None,3022,ぬ,水源涵養,仁木町,None,カラマツ,2,他Ｌ,None,3.84,水涵保,石狩,None,140.803678,43.125079
None,3022,ぬ,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,4.28,水涵保,石狩,None,140.801183,43.125138
None,3023,に,水源涵養,仁木町,None,トドマツ,0,None,None,2.37,水涵保,石狩,None,140.79747,43.129802
None,3023,り,水源涵養,仁木町,None,トドマツ,0,None,None,1.86,水涵保,石狩,None,140.79553,43.129322
None,3022,な,水源涵養,仁木町,None,トドマツ,0,None,None,1.17,水涵保,石狩,None,140.799102,43.125055
None,3022,わ,水源涵養,仁木町,None,トドマツ,0,None,None,8.35,水涵保,石狩,None,140.799469,43.124724
None,3022,わ,水源涵養,仁木町,None,トドマツ,0,None,None,8.35,水涵保,石狩,None,140.798231,43.126612
イタヤカエデ,3022,よ,水源涵養,仁木町,None,トドマツ,0,カンバ,None,3.94,水涵保,石狩,None,140.797511,43.123832
None,3023,は,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,4.8,水涵保,石狩,None,140.79702,43.128484
None,3023,ほ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,4.6,水涵保,石狩,None,140.794814,43.128031
None,3023,ち,水源涵養,仁木町,None,トドマツ,0,None,None,4.3,水涵保,石狩,None,140.795785,43.125723
None,3023,へ,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,8.75,水涵保,石狩,None,140.790677,43.126107
None,3023,ろ,水源涵養,仁木町,None,カラマツ,0,None,None,6.8,水涵保,石狩,None,140.792879,43.127446
None,3021,か,水源涵養,仁木町,None,トドマツ,0,None,None,2.83,水涵保,石狩,None,140.808694,43.122427
ミズナラ,3021,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,6.55,水涵保,石狩,None,140.808468,43.121241
None,3021,わ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,2.71,水涵保,石狩,None,140.80691,43.122051
ミズナラ,3022,つ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,1.62,水涵保,石狩,None,140.805371,43.12277
他Ｌ,3021,い,水源涵養,仁木町,None,カンバ,1,ミズナラ,None,13.2,水涵保,石狩,None,140.805376,43.119444
None,3022,は,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,8.82,水涵保,石狩,None,140.803286,43.123289
None,3022,に,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,11.32,水涵保,石狩,None,140.800778,43.121822
他Ｌ,3021,い,水源涵養,仁木町,None,カンバ,3,ミズナラ,None,9.44,水涵保,石狩,None,140.805252,43.113271
他Ｌ,3021,へ,水源涵養,仁木町,None,カンバ,0,ミズナラ,None,10.1,水涵保,石狩,None,140.804778,43.11611
他Ｌ,3022,た,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,7.0,水涵保,石狩,None,140.796784,43.121584
None,3022,ほ,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,10.26,水涵保,石狩,None,140.801778,43.119738
ミズナラ,3022,れ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,37.69,水涵保,石狩,None,140.794982,43.115997
None,3022,へ,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,10.41,水涵保,石狩,None,140.801658,43.117803
None,3022,と,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,10.87,水涵保,石狩,None,140.79971,43.11619
None,3022,る,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,14.43,水涵保,石狩,None,140.799298,43.114189
None,3022,ね,水源涵養,仁木町,None,トドマツ,0,他Ｌ,None,12.84,水涵保,石狩,None,140.799797,43.112277
ミズナラ,3022,れ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,37.69,水涵保,石狩,None,140.798222,43.109783
他Ｌ,3022,そ,水源涵養,仁木町,None,カンバ,0,他Ｌ,None,22.94,水涵保,石狩,None,140.793739,43.110538
None,3023,と,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,11.1,水涵保,石狩,None,140.790942,43.123678
ミズナラ,3023,い,山地災害防止（土砂）,仁木町,None,カンバ,1,他Ｌ,None,46.53,水涵保,石狩,None,140.791424,43.118174
ミズナラ,3023,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,31.9,水涵保,石狩,None,140.789627,43.111468
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,5,イタヤカエデ,None,16.88,水涵保,石狩,None,140.782078,43.108826
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,1,イタヤカエデ,None,13.8,水涵保,石狩,None,140.774213,43.119237
None,3024,ほ,山地災害防止（土砂）,仁木町,None,カラマツ,0,他Ｌ,None,2.9,水涵保,石狩,None,140.773019,43.119311
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,1,イタヤカエデ,None,13.8,水涵保,石狩,None,140.776364,43.117191
None,3024,ち,山地災害防止（土砂）,仁木町,None,トドマツ,0,None,None,8.7,水涵保,石狩,None,140.775907,43.116049
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,1,イタヤカエデ,None,13.8,水涵保,石狩,None,140.777486,43.113887
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,2,イタヤカエデ,None,9.6,水涵保,石狩,None,140.772518,43.117723
None,3024,へ,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,9.47,水涵保,石狩,None,140.770096,43.118058
イタヤカエデ,3024,り,山地災害防止（土砂）,仁木町,None,カンバ,0,他Ｌ,None,3.3,水涵保,石狩,None,140.773273,43.11542
None,3024,は,山地災害防止（土砂）,仁木町,None,カラマツ,0,他Ｌ,None,2.04,水涵保,石狩,None,140.76793,43.121456
None,3025,ろ,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,3.46,水涵保,石狩,None,140.766741,43.122646
None,3024,に,山地災害防止（土砂）,仁木町,None,カラマツ,0,他Ｌ,None,0.25,水涵保,石狩,None,140.766962,43.121138
None,3025,は,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,2.85,水涵保,石狩,None,140.764247,43.122208
None,3024,ろ,山地災害防止（土砂）,仁木町,None,カラマツ,0,他Ｌ,None,5.15,水涵保,石狩,None,140.769362,43.120536
None,3024,と,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,9.68,水涵保,石狩,None,140.768222,43.118598
None,3024,と,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,9.68,水涵保,石狩,None,140.766523,43.118459
None,3025,に,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,6.27,水涵保,石狩,None,140.762148,43.121142
カンバ,3025,い,水源涵養,仁木町,None,他Ｌ,0,イタヤカエデ,None,67.0,水涵保,石狩,None,140.764129,43.120193
None,3024,へ,山地災害防止（土砂）,仁木町,None,トドマツ,0,他Ｌ,None,9.47,水涵保,石狩,None,140.767841,43.116207
None,3024,イ,山地災害防止（土砂）,仁木町,None,None,0,None,None,0.95,None,石狩,None,140.767362,43.118306
カンバ,3025,い,水源涵養,仁木町,None,他Ｌ,0,イタヤカエデ,None,67.0,水涵保,石狩,None,140.763087,43.117079
イタヤカエデ,3026,ほ,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,7.0,水涵保,石狩,None,140.763794,43.113571
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,4,イタヤカエデ,None,36.74,水涵保,石狩,None,140.777143,43.109417
カンバ,3024,い,山地災害防止（土砂）,仁木町,None,他Ｌ,3,イタヤカエデ,None,33.35,水涵保,石狩,None,140.771067,43.112095
シナノキ,3028,い,水源涵養,仁木町,None,カンバ,1,他Ｌ,None,59.72,水涵保,石狩,None,140.770121,43.102156
ミズナラ,3027,い,水源涵養,仁木町,None,カンバ,3,他Ｌ,None,10.78,水涵保,石狩,None,140.767943,43.109963
イタヤカエデ,3027,い,水源涵養,仁木町,None,カンバ,1,他Ｌ,None,7.23,水涵保,石狩,None,140.767694,43.107702
イタヤカエデ,3026,い,水源涵養,仁木町,None,他Ｌ,3,カンバ,None,22.66,水涵保,石狩,None,140.762025,43.111471
イタヤカエデ,3027,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,5.4,水涵保,石狩,None,140.764203,43.109374
他Ｌ,3027,わ,水源涵養,仁木町,None,アカエゾマツ,0,カンバ,None,3.15,水涵保,石狩,None,140.764324,43.107719
None,3027,ぬ,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,3.0,水涵保,石狩,None,140.762238,43.108386
イタヤカエデ,3028,い,水源涵養,仁木町,None,カンバ,3,他Ｌ,None,23.81,水涵保,石狩,None,140.768369,43.105219
None,3028,ぬ,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,6.15,水涵保,石狩,None,140.760657,43.106507
ミズナラ,3028,い,水源涵養,仁木町,None,カンバ,2,他Ｌ,None,9.0,水涵保,石狩,None,140.765411,43.103481
None,3025,ほ,水源涵養,仁木町,None,カラマツ,0,None,None,9.64,水涵保,石狩,None,140.75879,43.12031
None,3025,イ,水源涵養,仁木町,None,None,0,None,None,1.57,None,石狩,None,140.753855,43.117763
None,3025,と,水源涵養,仁木町,None,カラマツ,0,None,None,9.81,水涵保,石狩,None,140.75566,43.119942
イタヤカエデ,3026,い,水源涵養,仁木町,None,カンバ,1,他Ｌ,None,44.48,水涵保,石狩,None,140.754904,43.113336
None,3025,へ,水源涵養,仁木町,None,カラマツ,0,None,None,7.73,水涵保,石狩,None,140.753275,43.118914
イタヤカエデ,3026,い,水源涵養,仁木町,None,カンバ,1,他Ｌ,None,44.48,水涵保,石狩,None,140.750266,43.115196
None,3026,イ,水源涵養,仁木町,None,None,0,None,None,2.01,None,石狩,None,140.751085,43.116257
カンバ,3025,い,水源涵養,仁木町,None,他Ｌ,0,イタヤカエデ,None,67.0,水涵保,石狩,None,140.748356,43.116912
アカエゾマツ,3026,に,水源涵養,仁木町,None,他Ｌ,0,カンバ,None,9.1,水涵保,石狩,None,140.747505,43.115011
None,3027,り,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,3.68,水涵保,石狩,None,140.76102,43.109314
None,3027,り,水源涵養,仁木町,None,カラマツ,2,None,None,2.47,水涵保,石狩,None,140.760729,43.107996
None,3027,ち,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,3.1,水涵保,石狩,None,140.757348,43.108954
None,3027,ち,水源涵養,仁木町,None,カラマツ,2,他Ｌ,None,3.28,水涵保,石狩,None,140.758387,43.108003
None,3027,と,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,2.08,水涵保,石狩,None,140.755426,43.10869
None,3027,と,水源涵養,仁木町,None,カラマツ,2,他Ｌ,None,1.52,水涵保,石狩,None,140.755987,43.107693
None,3028,り,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,2.71,水涵保,石狩,None,140.758745,43.10655
None,3028,る,水源涵養,仁木町,None,トドマツ,0,None,None,4.95,水涵保,石狩,None,140.760931,43.104674
None,3028,り,水源涵養,仁木町,None,カラマツ,2,None,None,2.29,水涵保,石狩,None,140.758109,43.104513
None,3028,ち,水源涵養,仁木町,None,カラマツ,1,他Ｌ,None,4.67,水涵保,石狩,None,140.756901,43.106286
None,3028,と,水源涵養,仁木町,None,カラマツ,0,他Ｌ,None,2.69,水涵保,石狩,None,140.754429,43.105755
None,3028,ち,水源涵養,仁木町,None,カラマツ,2,他Ｌ,None,1.83,水涵保,石狩,None,140.755934,43.104921
シナノキ,3029,い,水源涵養,仁木町,None,カンバ,1,他Ｌ,None,10.65,水涵保,石狩,None,140.757965,43.10255
