A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,水涵保,None,後志,257,い,57.46,None,伊達市,None,エゾマツ,自然維持,0,141.194031,42.782605
None,None,水涵保,None,後志,257,イ,41.27,None,伊達市,None,None,自然維持,0,141.187636,42.782599
None,ダケカンバ,水涵保,None,後志,258,ろ,5.19,None,伊達市,None,None,自然維持,0,141.184939,42.778899
None,None,水涵保,None,後志,258,イ,37.13,None,伊達市,None,None,自然維持,0,141.184678,42.774663
None,エゾマツ,水涵保,None,後志,258,い,93.29,None,伊達市,None,ダケカンバ,自然維持,0,141.184398,42.767461
None,None,水涵保,None,後志,257,イ,41.27,None,伊達市,None,None,自然維持,0,141.181988,42.781977
None,ダケカンバ,水涵保,None,後志,255,ろ,108.53,None,伊達市,None,None,自然維持,0,141.174813,42.78215
None,ダケカンバ,水涵保,None,後志,249,へ,53.03,None,伊達市,None,エゾマツ,自然維持,0,141.153607,42.779903
None,ダケカンバ,水涵保,None,後志,230,い,101.32,None,伊達市,None,エゾマツ,自然維持,0,141.11987,42.805018
None,ダケカンバ,水涵保,None,後志,248,に,87.34,None,伊達市,None,エゾマツ,自然維持,0,141.145851,42.783986
None,None,水涵保,None,後志,248,イ,6.13,None,伊達市,None,None,自然維持,0,141.141822,42.781737
None,None,水涵保,None,後志,243,イ,12.98,None,伊達市,None,None,自然維持,0,141.140101,42.781382
None,ダケカンバ,水涵保,None,後志,239,い,72.61,None,伊達市,None,エゾマツ,自然維持,0,141.135309,42.791472
None,None,水涵保,None,後志,230,ロ,26.38,None,伊達市,None,None,自然維持,0,141.127533,42.800132
None,ダケカンバ,水涵保,None,後志,231,ほ,89.99,None,伊達市,None,エゾマツ,自然維持,0,141.125924,42.79361
None,ダケカンバ,水涵保,None,後志,243,ほ,33.43,None,伊達市,None,エゾマツ,自然維持,0,141.138101,42.785416
None,None,水涵保,None,後志,239,イ,16.86,None,伊達市,None,None,自然維持,0,141.133126,42.783988
None,ダケカンバ,水涵保,None,後志,238,ほ,68.06,None,伊達市,None,エゾマツ,自然維持,0,141.127927,42.784839
None,ダケカンバ,水涵保,None,後志,232,か,22.68,None,伊達市,トドマツ,他Ｌ,水源涵養,0,141.122266,42.78008
None,None,水涵保,None,後志,255,イ,31.76,None,伊達市,None,None,自然維持,0,141.175626,42.778929
None,None,水涵保,None,後志,256,イ,10.45,None,伊達市,None,None,自然維持,0,141.177725,42.776953
None,ダケカンバ,水涵保,None,後志,256,ろ,59.08,None,伊達市,None,None,自然維持,0,141.17642,42.773563
None,None,水涵保,None,後志,255,イ,31.76,None,伊達市,None,None,自然維持,0,141.169666,42.779539
None,None,水涵保,None,後志,256,イ,10.45,None,伊達市,None,None,自然維持,0,141.173636,42.770856
None,ダケカンバ,水涵保,None,後志,256,い,32.81,None,伊達市,他Ｌ,エゾマツ,水源涵養,0,141.172876,42.769714
None,ダケカンバ,水涵保,None,後志,259,に,47.57,None,伊達市,トドマツ,他Ｌ,自然維持,0,141.1781,42.768912
None,ダケカンバ,水涵保,None,後志,260,と,9.97,None,伊達市,None,None,自然維持,0,141.180241,42.758709
None,ダケカンバ,水涵保,None,後志,260,へ,10.05,None,伊達市,None,None,水源涵養,0,141.176952,42.758942
None,ダケカンバ,水涵保,None,後志,259,へ,1.12,None,伊達市,None,アカエゾマツ,水源涵養,0,141.174183,42.76488
None,ダケカンバ,水涵保,None,後志,259,ろ,14.53,None,伊達市,他Ｌ,エゾマツ,水源涵養,0,141.173526,42.766557
None,ダケカンバ,水涵保,None,後志,256,は,9.22,None,伊達市,None,他Ｌ,水源涵養,0,141.171251,42.768506
None,ダケカンバ,水涵保,None,後志,259,と,2.0,None,伊達市,None,None,水源涵養,0,141.171694,42.766044
None,ダケカンバ,水涵保,None,後志,259,は,42.51,None,伊達市,シナノキ,他Ｌ,水源涵養,0,141.173677,42.760993
None,ダケカンバ,水涵保,None,後志,259,ほ,1.63,None,伊達市,None,アカエゾマツ,水源涵養,0,141.172564,42.763631
