A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
シナノキ,2056,つ,水源涵養,佐呂間町,None,他Ｌ,0,ダケカンバ,None,14.98,水涵保,網走中部,None,143.615328,43.994397
None,2058,さ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,22.29,水涵保,網走中部,None,143.600326,43.990014
None,2058,た,水源涵養,佐呂間町,None,カラマツ,0,他Ｌ,None,2.02,水涵保,網走中部,None,143.603947,43.987174
None,2058,い,水源涵養,佐呂間町,None,エゾマツ,0,トドマツ,None,6.99,水涵保,網走中部,None,143.603093,43.987795
None,2058,た,水源涵養,佐呂間町,None,カラマツ,0,他Ｌ,None,2.02,水涵保,網走中部,None,143.603514,43.986467
None,2058,い,水源涵養,佐呂間町,None,エゾマツ,0,トドマツ,None,6.99,水涵保,網走中部,None,143.601813,43.985827
None,2058,れ,水源涵養,佐呂間町,None,ストローブマツ,0,他Ｌ,None,4.29,水涵保,網走中部,None,143.604188,43.984487
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.603191,43.985388
None,2058,れ,水源涵養,佐呂間町,None,ストローブマツ,0,他Ｌ,None,4.29,水涵保,網走中部,None,143.602227,43.984261
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.600674,43.987199
None,2058,ぬ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,4.92,None,網走中部,None,143.598979,43.987057
None,2058,ろ,水源涵養,佐呂間町,None,エゾマツ,0,他Ｌ,None,0.7,水涵保,網走中部,None,143.601184,43.98351
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.599396,43.99144
None,2058,さ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,22.29,水涵保,網走中部,None,143.596334,43.988801
None,2058,さ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,22.29,水涵保,網走中部,None,143.599821,43.988432
None,2058,ふ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,2.66,水涵保,網走中部,None,143.594889,43.98473
他Ｎ,2058,こ,水源涵養,佐呂間町,None,トドマツ,0,他Ｌ,None,2.87,水涵保,網走中部,None,143.592963,43.983357
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.593583,43.988172
None,2058,け,水源涵養,佐呂間町,None,カラマツ,0,他Ｌ,None,9.92,水涵保,網走中部,None,143.592547,43.988224
None,2058,け,水源涵養,佐呂間町,None,カラマツ,0,他Ｌ,None,9.92,水涵保,網走中部,None,143.59127,43.987368
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.591938,43.986663
None,2058,る,水源涵養,佐呂間町,None,カラマツ,0,他Ｌ,None,7.96,水涵保,網走中部,None,143.590469,43.986631
シナノキ,2058,ち,水源涵養,佐呂間町,None,他Ｌ,0,ミズナラ,None,54.82,水涵保,網走中部,None,143.593023,43.984478
