A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,水涵保,None,後志,1409,へ,8.06,None,共和町,None,他Ｌ,自然維持,0,140.766845,43.00766
None,ダケカンバ,水涵保,None,後志,1408,ろ,7.56,None,共和町,None,他Ｌ,自然維持,0,140.7655,43.00916
None,ダケカンバ,水涵保,None,後志,1408,い,63.03,None,共和町,シナノキ,他Ｌ,自然維持,0,140.761368,43.009925
None,ダケカンバ,水涵保,None,後志,1409,ほ,23.62,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.764113,43.005251
None,トドマツ,水涵保,None,後志,1409,い,2.5,None,共和町,None,他Ｌ,水源涵養,0,140.762691,43.001679
None,ダケカンバ,水涵保,None,後志,1409,は,6.18,None,共和町,None,None,水源涵養,0,140.762428,43.000259
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.762113,42.997089
None,ダケカンバ,水涵保,None,後志,1407,に,51.2,None,共和町,シナノキ,他Ｌ,自然維持,0,140.754904,43.006117
None,ダケカンバ,水涵保,None,後志,1408,は,1.08,None,共和町,None,他Ｌ,自然維持,0,140.75231,43.009525
None,ダケカンバ,水涵保,None,後志,1407,ほ,8.31,None,共和町,None,他Ｌ,自然維持,0,140.751268,43.007966
None,None,水涵保,None,後志,1400,イ,5.63,None,共和町,None,None,自然維持,0,140.74916,43.007904
None,ダケカンバ,水涵保,None,後志,1409,は,6.18,None,共和町,None,None,水源涵養,0,140.761225,43.003229
None,ダケカンバ,水涵保,None,後志,1407,へ,2.23,None,共和町,None,他Ｌ,自然維持,0,140.758959,43.00428
None,ダケカンバ,水涵保,None,後志,1409,は,6.18,None,共和町,None,None,水源涵養,0,140.761458,43.001595
None,トドマツ,水涵保,None,後志,1409,ろ,1.26,None,共和町,None,ダケカンバ,水源涵養,0,140.76113,43.00126
None,ダケカンバ,水涵保,None,後志,1409,は,6.18,None,共和町,None,None,水源涵養,0,140.7612,43.000732
None,ダケカンバ,水涵保,None,後志,1407,ろ,0.77,None,共和町,None,None,自然維持,0,140.759751,43.002642
None,ダケカンバ,水涵保,None,後志,1407,ろ,0.77,None,共和町,None,None,自然維持,0,140.759276,43.001901
None,ダケカンバ,水涵保,None,後志,1407,は,0.43,None,共和町,None,None,自然維持,0,140.758788,43.002274
None,トドマツ,水涵保,None,後志,1407,い,1.08,None,共和町,None,ダケカンバ,自然維持,0,140.757464,43.001145
None,ダケカンバ,水涵保,None,後志,1409,に,1.0,None,共和町,None,他Ｌ,水源涵養,0,140.760762,42.998838
None,ダケカンバ,水涵保,None,後志,1410,ほ,4.81,None,共和町,None,トドマツ,水源涵養,0,140.760524,42.99553
None,ダケカンバ,水涵保,None,後志,1406,へ,17.63,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.758126,42.994859
None,ダケカンバ,水涵保,None,後志,1406,ほ,5.52,None,共和町,None,トドマツ,水源涵養,0,140.757014,42.999756
None,ダケカンバ,水涵保,None,後志,1406,り,6.2,None,共和町,他Ｌ,トドマツ,水源涵養,0,140.755344,42.998499
None,ダケカンバ,水涵保,None,後志,1406,ほ,5.52,None,共和町,None,トドマツ,水源涵養,0,140.756559,42.997458
None,ダケカンバ,水涵保,None,後志,1406,ぬ,0.26,None,共和町,None,None,水源涵養,0,140.757786,42.995341
None,ダケカンバ,水涵保,None,後志,1406,ち,3.58,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.756941,42.995574
None,ダケカンバ,水涵保,None,後志,1406,に,4.13,None,共和町,None,トドマツ,水源涵養,0,140.755484,42.996257
None,ダケカンバ,水涵保,None,後志,1406,と,16.19,None,共和町,None,他Ｌ,自然維持,0,140.75175,43.001308
None,None,水涵保,None,後志,1401,イ,0.5,None,共和町,None,None,自然維持,0,140.750084,43.004985
None,ダケカンバ,水涵保,None,後志,1402,ぬ,10.12,None,共和町,None,他Ｌ,自然維持,0,140.749034,43.0009
None,ダケカンバ,水涵保,None,後志,1406,ほ,5.52,None,共和町,None,トドマツ,水源涵養,0,140.754167,42.998878
None,ダケカンバ,水涵保,None,後志,1406,へ,17.63,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.754927,43.000587
None,ダケカンバ,水涵保,None,後志,1405,と,31.39,None,共和町,None,他Ｌ,自然維持,0,140.748941,42.997255
None,ダケカンバ,水涵保,None,後志,1410,ほ,4.81,None,共和町,None,トドマツ,水源涵養,0,140.761687,42.993665
None,ダケカンバ,水涵保,None,後志,1410,ほ,4.81,None,共和町,None,トドマツ,水源涵養,0,140.76138,42.993405
None,None,水涵保,None,後志,1410,ロ,1.11,None,共和町,None,None,水源涵養,0,140.760643,42.993985
None,ダケカンバ,水涵保,None,後志,1410,ほ,4.81,None,共和町,None,トドマツ,水源涵養,0,140.760703,42.993414
None,ダケカンバ,水涵保,None,後志,1410,ほ,4.81,None,共和町,None,トドマツ,水源涵養,0,140.7582,42.994563
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.758667,42.993829
None,ダケカンバ,水涵保,None,後志,1410,と,4.41,None,共和町,None,他Ｌ,水源涵養,0,140.759735,42.992462
None,トドマツ,水涵保,None,後志,1410,は,0.89,None,共和町,None,ダケカンバ,水源涵養,0,140.75824,42.991199
None,トドマツ,水涵保,None,後志,1410,に,1.42,None,共和町,None,ダケカンバ,水源涵養,0,140.758038,42.990489
None,ダケカンバ,水涵保,None,後志,1406,ろ,5.22,None,共和町,None,トドマツ,水源涵養,0,140.757691,42.994158
None,None,None,None,後志,1406,イ,0.74,None,共和町,None,None,水源涵養,0,140.757032,42.993347
None,ダケカンバ,水涵保,None,後志,1406,へ,17.63,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.75669,42.992466
None,ダケカンバ,水涵保,None,後志,1406,ろ,5.22,None,共和町,None,トドマツ,水源涵養,0,140.755924,42.994175
None,ダケカンバ,水涵保,None,後志,1406,ち,3.58,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.75497,42.992049
None,トドマツ,水涵保,None,後志,1410,は,0.89,None,共和町,None,ダケカンバ,水源涵養,0,140.757338,42.99171
None,トドマツ,水涵保,None,後志,1410,は,0.89,None,共和町,None,ダケカンバ,水源涵養,0,140.757975,42.991877
None,None,None,None,後志,1410,イ,0.82,None,共和町,None,None,水源涵養,0,140.757457,42.989426
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.756331,42.991268
None,None,None,None,後志,1410,イ,0.82,None,共和町,None,None,水源涵養,0,140.756408,42.991443
None,トドマツ,水涵保,None,後志,1410,に,1.42,None,共和町,None,ダケカンバ,水源涵養,0,140.757588,42.990628
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.757659,42.990211
None,トドマツ,水涵保,None,後志,1410,ろ,2.88,None,共和町,None,ダケカンバ,水源涵養,0,140.757876,42.989666
None,トドマツ,水涵保,None,後志,1410,ろ,2.88,None,共和町,None,ダケカンバ,水源涵養,0,140.757391,42.989989
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.7588,42.988743
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.75809,42.988295
None,トドマツ,水涵保,None,後志,1410,ろ,2.88,None,共和町,None,ダケカンバ,水源涵養,0,140.756485,42.988975
None,None,None,None,後志,1406,イ,0.74,None,共和町,None,None,水源涵養,0,140.755458,42.989981
None,ダケカンバ,水涵保,None,後志,1406,ち,3.58,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.7546,42.988222
None,トドマツ,水涵保,None,後志,1406,は,1.73,None,共和町,None,他Ｌ,水源涵養,0,140.753985,42.988541
None,ダケカンバ,水涵保,None,後志,1410,ち,1.98,None,共和町,None,他Ｌ,水源涵養,0,140.756741,42.986513
None,トドマツ,水涵保,None,後志,1406,い,7.73,None,共和町,None,ダケカンバ,水源涵養,0,140.753511,42.993678
None,None,水涵保,None,後志,1406,ロ,1.0,None,共和町,None,None,水源涵養,0,140.754254,42.993294
None,トドマツ,水涵保,None,後志,1406,い,7.73,None,共和町,None,ダケカンバ,水源涵養,0,140.753957,42.991056
None,ダケカンバ,水涵保,None,後志,1405,ち,1.75,None,共和町,None,他Ｌ,水源涵養,0,140.750735,42.990322
None,ダケカンバ,水涵保,None,後志,1405,と,31.39,None,共和町,None,他Ｌ,自然維持,0,140.746781,42.992206
None,ダケカンバ,水涵保,None,後志,1405,へ,22.72,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.75138,42.993858
None,トドマツ,水涵保,None,後志,1405,に,1.8,None,共和町,None,ダケカンバ,水源涵養,0,140.749596,42.990239
None,他Ｌ,水涵保,None,後志,1405,り,3.05,None,共和町,None,None,水源涵養,0,140.74839,42.990265
None,ダケカンバ,水涵保,None,後志,1405,へ,22.72,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.747693,42.990908
None,他Ｌ,水涵保,None,後志,1404,と,0.35,None,共和町,None,None,水源涵養,0,140.747659,42.989549
None,トドマツ,水涵保,None,後志,1405,ほ,4.18,None,共和町,ホオノキ,イタヤカエデ,水源涵養,0,140.752218,42.987702
None,ダケカンバ,水涵保,None,後志,1405,へ,22.72,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.750895,42.987662
None,ダケカンバ,水涵保,None,後志,1406,ち,3.58,None,共和町,イタヤカエデ,他Ｌ,水源涵養,0,140.753447,42.986393
None,ダケカンバ,水涵保,None,後志,1410,へ,39.02,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.754901,42.98583
None,ダケカンバ,水涵保,None,後志,1405,へ,22.72,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.753223,42.984804
None,None,None,None,後志,1405,イ,0.28,None,共和町,None,None,水源涵養,0,140.753089,42.985038
None,トドマツ,水涵保,None,後志,1405,ろ,2.66,None,共和町,ダケカンバ,他Ｌ,水源涵養,0,140.751586,42.986024
None,ダケカンバ,水涵保,None,後志,1405,は,2.15,None,共和町,ホオノキ,他Ｌ,水源涵養,0,140.749445,42.988587
None,トドマツ,水涵保,None,後志,1404,は,11.11,None,共和町,None,ダケカンバ,水源涵養,0,140.747483,42.987604
None,トドマツ,水涵保,None,後志,1405,い,6.14,None,共和町,None,ダケカンバ,水源涵養,0,140.749725,42.986252
None,ダケカンバ,水涵保,None,後志,1405,へ,22.72,None,共和町,シナノキ,他Ｌ,水源涵養,0,140.750539,42.984216
