A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,None,None,根釧東部,1127,る,25.55,None,別海町,ミズナラ,ハンノキ,山地災害防止（気象）,0,145.048742,43.546694
None,ハンノキ,None,None,根釧東部,1127,わ,26.83,None,別海町,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.041402,43.545117
None,ミズナラ,None,None,根釧東部,1127,へ,3.82,None,別海町,ダケカンバ,他Ｌ,山地災害防止（気象）,0,145.041689,43.544253
None,ミズナラ,None,None,根釧東部,1127,へ,3.82,None,別海町,ダケカンバ,他Ｌ,山地災害防止（気象）,0,145.039976,43.544132
None,ハンノキ,None,None,根釧東部,1127,わ,26.83,None,別海町,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.036641,43.543919
None,ミズナラ,None,None,根釧東部,1127,か,1.0,None,別海町,ダケカンバ,他Ｌ,山地災害防止（気象）,0,145.032339,43.540614
None,ハンノキ,None,None,根釧東部,1127,わ,26.83,None,別海町,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.03114,43.539472
None,ハンノキ,None,None,根釧東部,1127,わ,26.83,None,別海町,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.030788,43.54128
None,None,None,None,根釧東部,1127,ト,0.07,None,別海町,None,None,山地災害防止（気象）,0,145.030931,43.539619
None,ハンノキ,None,None,根釧東部,1127,わ,26.83,None,別海町,ダケカンバ,ミズナラ,山地災害防止（気象）,0,145.028769,43.539399
None,アカエゾマツ,防風保,None,根釧東部,1105,か,14.72,None,別海町,他Ｌ,カラマツ,山地災害防止（気象）,0,145.049835,43.528409
None,カラマツ,防風保,None,根釧東部,1105,か,4.87,None,別海町,None,他Ｌ,山地災害防止（気象）,2,145.04847,43.52825
None,カラマツ,防風保,None,根釧東部,1105,か,4.87,None,別海町,None,他Ｌ,山地災害防止（気象）,2,145.046279,43.526832
None,アカエゾマツ,防風保,None,根釧東部,1105,か,14.72,None,別海町,他Ｌ,カラマツ,山地災害防止（気象）,0,145.046161,43.526028
None,None,None,None,根釧東部,1105,ホ,1.76,None,別海町,None,None,山地災害防止（気象）,0,145.04355,43.524671
None,None,防風保,None,根釧東部,1105,ホ,1.09,None,別海町,None,None,山地災害防止（気象）,1,145.044692,43.525579
None,None,防風保,None,根釧東部,1105,ホ,1.09,None,別海町,None,None,山地災害防止（気象）,1,145.044375,43.52446
None,アカエゾマツ,防風保,None,根釧東部,1105,か,14.72,None,別海町,他Ｌ,カラマツ,山地災害防止（気象）,0,145.043058,43.523815
None,アカエゾマツ,防風保,None,根釧東部,1107,わ,2.41,None,別海町,None,カラマツ,山地災害防止（気象）,0,145.044231,43.516152
None,アカエゾマツ,防風保,None,根釧東部,1107,わ,2.34,None,別海町,None,カラマツ,山地災害防止（気象）,2,145.047387,43.513604
None,None,防風保,None,根釧東部,1107,ニ,1.56,None,別海町,None,None,山地災害防止（気象）,0,145.048914,43.512347
