A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,石狩,56,イ,0.71,None,北広島市,None,None,森林空間利用,0,141.551624,43.017325
None,センノキ,水涵保,None,石狩,56,い,9.17,None,北広島市,トドマツ,他Ｌ,自然維持,0,141.550141,43.01733
None,None,None,None,石狩,56,ロ,0.22,None,北広島市,None,None,森林空間利用,0,141.549466,43.017822
None,センノキ,水涵保,None,石狩,56,い,9.17,None,北広島市,トドマツ,他Ｌ,自然維持,0,141.548177,43.017267
None,他Ｌ,水涵保,None,石狩,56,ろ,11.7,None,北広島市,トドマツ,センノキ,自然維持,0,141.541494,43.018238
None,トドマツ,水涵保,None,石狩,56,は,4.64,None,北広島市,None,None,森林空間利用,0,141.538195,43.017246
None,カラマツ,水涵保,None,石狩,56,ほ,9.49,None,北広島市,None,他Ｌ,森林空間利用,0,141.534926,43.016437
None,カラマツ,水涵保,None,石狩,56,と,8.04,None,北広島市,None,他Ｌ,森林空間利用,0,141.544507,43.015775
None,トドマツ,水涵保,None,石狩,57,い,2.56,None,北広島市,シナノキ,イタヤカエデ,森林空間利用,0,141.550158,43.008861
None,None,None,None,石狩,57,イ,2.01,None,北広島市,None,None,森林空間利用,0,141.549727,43.008427
None,トドマツ,水涵保,None,石狩,57,と,1.26,None,北広島市,None,None,森林空間利用,2,141.547269,43.009362
None,トドマツ,水涵保,None,石狩,57,と,1.26,None,北広島市,None,None,森林空間利用,2,141.547055,43.009911
None,トドマツ,水涵保,None,石狩,57,い,2.56,None,北広島市,シナノキ,イタヤカエデ,森林空間利用,0,141.548593,43.009251
None,カラマツ,水涵保,None,石狩,57,に,8.15,None,北広島市,None,他Ｌ,森林空間利用,0,141.54743,43.00826
None,トドマツ,水涵保,None,石狩,57,へ,1.59,None,北広島市,None,他Ｌ,森林空間利用,0,141.546167,43.010557
None,トドマツ,水涵保,None,石狩,57,い,2.56,None,北広島市,シナノキ,イタヤカエデ,森林空間利用,0,141.546356,43.010129
None,None,水涵保,None,石狩,57,ロ,0.31,None,北広島市,None,None,森林空間利用,0,141.546694,43.009745
None,トドマツ,水涵保,None,石狩,57,い,2.56,None,北広島市,シナノキ,イタヤカエデ,森林空間利用,0,141.54527,43.009751
None,トドマツ,水涵保,None,石狩,57,と,10.12,None,北広島市,None,None,森林空間利用,1,141.543195,43.009455
None,トドマツ,水涵保,None,石狩,57,い,2.56,None,北広島市,シナノキ,イタヤカエデ,森林空間利用,0,141.545505,43.007892
None,トドマツ,水涵保,None,石狩,56,に,1.41,None,北広島市,None,None,森林空間利用,0,141.540996,43.015455
None,カラマツ,水涵保,None,石狩,56,へ,2.76,None,北広島市,None,他Ｌ,森林空間利用,0,141.539566,43.015845
None,他Ｌ,水涵保,None,石狩,57,ろ,2.13,None,北広島市,イタヤカエデ,シナノキ,森林空間利用,0,141.541859,43.008598
None,トドマツ,水涵保,None,石狩,57,と,1.94,None,北広島市,None,None,森林空間利用,3,141.54053,43.008362
None,トドマツ,水涵保,None,石狩,57,ほ,1.55,None,北広島市,None,ヤチダモ,森林空間利用,0,141.539413,43.008751
None,トドマツ,水涵保,None,石狩,57,ち,17.54,None,北広島市,None,None,森林空間利用,0,141.539573,43.010415
None,トドマツ,水涵保,None,石狩,57,と,4.67,None,北広島市,None,None,森林空間利用,4,141.539258,43.00676
None,カラマツ,水涵保,None,石狩,57,は,4.5,None,北広島市,None,None,森林空間利用,0,141.537099,43.006543
None,トドマツ,None,None,石狩,57,り,1.14,None,北広島市,イタヤカエデ,シナノキ,森林空間利用,0,141.531028,43.007841
None,他Ｌ,水涵保,None,石狩,55,へ,5.21,None,北広島市,None,他Ｌ,森林空間利用,0,141.518717,43.017168
None,トドマツ,水涵保,None,石狩,55,ろ,2.13,None,北広島市,None,None,森林空間利用,0,141.517345,43.016871
None,他Ｌ,水涵保,None,石狩,55,い,20.29,None,北広島市,ミズナラ,トドマツ,森林空間利用,0,141.514257,43.016864
None,ヤチダモ,水涵保,None,石狩,55,は,0.59,None,北広島市,None,他Ｌ,森林空間利用,0,141.506092,43.020313
None,アカエゾマツ,水涵保,None,石狩,55,わ,0.93,None,北広島市,None,None,森林空間利用,0,141.523939,43.015674
None,トドマツ,水涵保,None,石狩,55,と,0.46,None,北広島市,None,ハンノキ,森林空間利用,0,141.525101,43.014399
None,アカエゾマツ,水涵保,None,石狩,55,に,1.06,None,北広島市,None,None,森林空間利用,0,141.524386,43.014535
None,トドマツ,水涵保,None,石狩,55,と,0.46,None,北広島市,None,ハンノキ,森林空間利用,0,141.523938,43.014896
None,トドマツ,水涵保,None,石狩,55,と,0.46,None,北広島市,None,ハンノキ,森林空間利用,0,141.524514,43.015834
None,アカエゾマツ,水涵保,None,石狩,55,ん,1.06,None,北広島市,None,None,森林空間利用,0,141.522556,43.015899
None,ハンノキ,水涵保,None,石狩,55,ぬ,0.8,None,北広島市,None,None,森林空間利用,0,141.522271,43.014876
