A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840798,43.844878
None,None,None,None,北空知支,475,ロ,1.6,None,北竜町,None,None,水源涵養,0,141.842217,43.844479
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840641,43.843618
None,天トドマツ,None,None,北空知支,475,た,5.0,None,北竜町,他Ｌ,ミズナラ,水源涵養,0,141.841794,43.8414
None,天トドマツ,None,None,北空知支,475,や,1.7,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840234,43.842
None,天トドマツ,None,None,北空知支,475,よ,0.75,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.842017,43.839983
None,天トドマツ,None,None,北空知支,475,ま,1.2,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.842025,43.839075
None,天トドマツ,None,None,北空知支,475,か,2.2,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840387,43.838379
None,天トドマツ,None,None,北空知支,475,に,22.84,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.84128,43.837127
None,天トドマツ,None,None,北空知支,475,わ,2.59,None,北竜町,他Ｌ,ミズナラ,水源涵養,0,141.841181,43.836111
None,None,None,None,北空知支,475,ニ,0.02,None,北竜町,None,None,水源涵養,0,141.842566,43.832831
None,天トドマツ,None,None,北空知支,475,お,2.96,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840558,43.83455
None,天トドマツ,None,None,北空知支,475,る,1.78,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.840345,43.833166
None,天トドマツ,None,None,北空知支,475,に,22.84,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.841361,43.831993
None,None,None,None,北空知支,475,ロ,1.6,None,北竜町,None,None,水源涵養,0,141.836227,43.844069
None,ミズナラ,None,None,北空知支,475,へ,4.8,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.839185,43.842545
None,天トドマツ,None,None,北空知支,475,や,1.7,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.838892,43.843304
None,ミズナラ,None,None,北空知支,475,へ,4.8,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.839688,43.840676
None,天トドマツ,None,None,北空知支,475,の,4.07,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.837503,43.842345
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.836669,43.840849
None,ミズナラ,None,None,北空知支,475,け,0.26,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.838326,43.840533
None,天トドマツ,None,None,北空知支,475,か,2.2,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.83977,43.838696
None,天トドマツ,None,None,北空知支,475,に,22.84,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.839295,43.838458
None,天トドマツ,None,None,北空知支,475,と,2.7,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.838659,43.839398
None,他Ｌ,None,None,北空知支,475,う,0.41,None,北竜町,カンバ,天トドマツ,水源涵養,0,141.837531,43.840364
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.837521,43.839777
None,他Ｌ,None,None,北空知支,475,う,0.41,None,北竜町,カンバ,天トドマツ,水源涵養,0,141.836747,43.840355
None,他Ｌ,None,None,北空知支,475,く,1.65,None,北竜町,カンバ,天トドマツ,水源涵養,0,141.836878,43.838026
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.835965,43.839201
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.835448,43.842896
None,天トドマツ,None,None,北空知支,475,む,7.56,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.832637,43.840904
None,他Ｌ,None,None,北空知支,475,く,1.65,None,北竜町,カンバ,天トドマツ,水源涵養,0,141.835545,43.838048
None,None,None,None,北空知支,475,ホ,1.89,None,北竜町,None,None,水源涵養,0,141.838971,43.832821
None,天トドマツ,None,None,北空知支,475,ち,4.98,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.838194,43.836636
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.837199,43.837707
None,天トドマツ,None,None,北空知支,475,れ,3.83,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.83691,43.836839
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.836107,43.837165
None,None,None,None,北空知支,475,ヘ,0.77,None,北竜町,None,None,水源涵養,0,141.838725,43.834743
None,天トドマツ,None,None,北空知支,475,ら,2.1,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.838263,43.834143
None,None,None,None,北空知支,475,ヘ,0.77,None,北竜町,None,None,水源涵養,0,141.839333,43.833732
None,天トドマツ,None,None,北空知支,475,る,1.78,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.839463,43.833139
None,天トドマツ,None,None,北空知支,475,れ,3.83,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.836816,43.8353
None,他Ｌ,None,None,北空知支,475,つ,2.16,None,北竜町,ミズナラ,天トドマツ,水源涵養,0,141.835154,43.836546
None,他Ｌ,None,None,北空知支,475,つ,2.16,None,北竜町,ミズナラ,天トドマツ,水源涵養,0,141.835388,43.835509
None,天トドマツ,None,None,北空知支,475,ふ,6.34,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.832481,43.837331
None,天トドマツ,None,None,北空知支,475,れ,3.83,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.834997,43.83444
None,他Ｌ,None,None,北空知支,475,つ,2.16,None,北竜町,ミズナラ,天トドマツ,水源涵養,0,141.835801,43.834226
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.830445,43.841117
None,天トドマツ,None,None,北空知支,475,こ,2.97,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.831851,43.834228
None,天トドマツ,None,None,北空知支,475,な,22.92,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.83144,43.833419
None,天トドマツ,None,None,北空知支,475,ぬ,2.82,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.839866,43.830161
None,天トドマツ,None,None,北空知支,475,り,6.04,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.83863,43.830902
None,天トドマツ,None,None,北空知支,475,そ,4.73,None,北竜町,他Ｌ,ミズナラ,水源涵養,0,141.836988,43.830635
None,他Ｌ,None,None,北空知支,475,ね,1.6,None,北竜町,ミズナラ,天トドマツ,水源涵養,0,141.837735,43.831298
None,天トドマツ,None,None,北空知支,475,ほ,23.8,None,北竜町,シナノキ,他Ｌ,水源涵養,0,141.834957,43.832418
None,天トドマツ,None,None,北空知支,475,い,4.23,None,北竜町,ミズナラ,他Ｌ,水源涵養,0,141.833139,43.831227
None,None,None,None,北空知支,475,イ,1.36,None,北竜町,None,None,水源涵養,0,141.834674,43.829374
