A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,1144,リ,山地災害防止（気象）,名寄市,None,None,0,None,None,0.18,防風保,上川北部,None,142.441517,44.304362
カンバ,1144,わ,山地災害防止（気象）,名寄市,None,他Ｌ,0,シナノキ,None,1.15,防風保,上川北部,None,142.441248,44.304422
None,1144,る,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,他Ｌ,None,1.0,防風保,上川北部,None,142.441027,44.304372
None,1144,る,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,他Ｌ,None,1.0,防風保,上川北部,None,142.439829,44.303868
ヤチダモ,1144,い,山地災害防止（気象）,名寄市,None,カラマツ,0,他Ｌ,None,4.88,防風保,上川北部,None,142.439804,44.304123
None,1144,ロ,山地災害防止（気象）,名寄市,None,None,0,None,None,0.44,None,上川北部,None,142.439826,44.303814
None,1144,チ,山地災害防止（気象）,名寄市,None,None,0,None,None,0.18,防風保,上川北部,None,142.438105,44.303964
カンバ,1144,わ,山地災害防止（気象）,名寄市,None,他Ｌ,0,シナノキ,None,1.15,防風保,上川北部,None,142.437221,44.304418
None,1144,る,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,他Ｌ,None,1.0,防風保,上川北部,None,142.436507,44.30437
None,1144,る,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,他Ｌ,None,1.0,防風保,上川北部,None,142.437248,44.303868
ヤチダモ,1144,い,山地災害防止（気象）,名寄市,None,カラマツ,0,他Ｌ,None,4.88,防風保,上川北部,None,142.437232,44.304122
カンバ,1144,わ,山地災害防止（気象）,名寄市,None,他Ｌ,0,シナノキ,None,1.15,防風保,上川北部,None,142.436106,44.304412
None,1144,ろ,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,None,None,0.44,防風保,上川北部,None,142.436099,44.304369
None,1144,は,山地災害防止（気象）,名寄市,None,アカエゾマツ,0,None,None,0.45,防風保,上川北部,None,142.435331,44.303872
ヤチダモ,1144,い,山地災害防止（気象）,名寄市,None,カラマツ,0,他Ｌ,None,4.88,防風保,上川北部,None,142.436012,44.304133
None,1144,ロ,山地災害防止（気象）,名寄市,None,None,0,None,None,0.44,None,上川北部,None,142.437233,44.303818
None,1144,ロ,山地災害防止（気象）,名寄市,None,None,0,None,None,0.44,None,上川北部,None,142.435751,44.30382
ヤチダモ,1144,い,山地災害防止（気象）,名寄市,None,カラマツ,0,他Ｌ,None,4.88,防風保,上川北部,None,142.434124,44.304153
カンバ,1144,わ,山地災害防止（気象）,名寄市,None,他Ｌ,0,シナノキ,None,1.15,防風保,上川北部,None,142.434325,44.304412
