A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
シナノキ,2345,れ,水源涵養,和寒町,None,他Ｌ,0,カンバ,None,2.8,水涵保,上川北部,None,142.440943,44.022041
None,2345,ハ,水源涵養,和寒町,None,None,0,None,None,0.89,水涵保,上川北部,None,142.439534,44.021566
None,2345,イ,水源涵養,和寒町,None,None,0,None,None,2.99,None,上川北部,None,142.444374,44.021848
カンバ,2345,ろ,水源涵養,和寒町,None,カラマツ,0,トドマツ,None,4.96,水涵保,上川北部,None,142.441348,44.020362
None,2353,ほ,水源涵養,和寒町,None,None,0,None,None,1.75,None,上川北部,None,142.435212,43.962082
None,2353,に,水源涵養,和寒町,None,None,0,None,None,2.92,None,上川北部,None,142.436203,43.961217
None,2353,に,水源涵養,和寒町,None,None,1,None,None,6.63,None,上川北部,None,142.434716,43.959788
天トドマツ,2353,の,水源涵養,和寒町,None,シナノキ,0,他Ｌ,None,3.83,水涵保,上川北部,None,142.433539,43.950697
None,2353,ほ,水源涵養,和寒町,None,None,1,None,None,0.63,None,上川北部,None,142.43296,43.961599
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.412331,43.968591
None,2354,ト,水源涵養,和寒町,None,None,0,None,None,0.68,水涵保,上川北部,None,142.41291,43.968046
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.414253,43.966052
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.413818,43.964868
ミズナラ,2353,た,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.94,水涵保,上川北部,None,142.416293,43.962342
ミズナラ,2353,よ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.97,水涵保,上川北部,None,142.415783,43.962968
None,2354,イ,水源涵養,和寒町,None,None,0,None,None,1.2,None,上川北部,None,142.415677,43.963656
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.415361,43.963092
None,2354,チ,水源涵養,和寒町,None,None,0,None,None,1.36,水涵保,上川北部,None,142.411937,43.963492
ミズナラ,2353,よ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.97,水涵保,上川北部,None,142.415179,43.961973
ミズナラ,2353,た,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.94,水涵保,上川北部,None,142.415792,43.961829
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.414658,43.962547
None,2354,イ,水源涵養,和寒町,None,None,0,None,None,1.2,None,上川北部,None,142.41486,43.965568
ミズナラ,2354,ろ,水源涵養,和寒町,None,他Ｌ,0,天トドマツ,None,3.87,水涵保,上川北部,None,142.411451,43.965711
ミズナラ,2354,も,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,14.3,水涵保,上川北部,None,142.413906,43.963195
None,2354,イ,水源涵養,和寒町,None,None,0,None,None,1.2,None,上川北部,None,142.414143,43.961653
ミズナラ,2354,ひ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,26.66,水涵保,上川北部,None,142.413863,43.962035
None,2354,に,水源涵養,和寒町,None,トドマツ,0,他Ｌ,None,4.94,水涵保,上川北部,None,142.411759,43.963775
None,2354,に,水源涵養,和寒町,None,トドマツ,0,他Ｌ,None,4.94,水涵保,上川北部,None,142.411379,43.962873
ミズナラ,2354,み,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,75.77,水涵保,上川北部,None,142.409889,43.967119
ミズナラ,2354,み,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,75.77,水涵保,上川北部,None,142.410139,43.966715
None,2354,は,水源涵養,和寒町,None,トドマツ,0,他Ｌ,None,2.5,水涵保,上川北部,None,142.408657,43.965545
None,2354,は,水源涵養,和寒町,None,トドマツ,0,他Ｌ,None,2.5,水涵保,上川北部,None,142.409007,43.96451
ミズナラ,2354,み,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,75.77,水涵保,上川北部,None,142.412178,43.964369
None,2354,へ,水源涵養,和寒町,None,トドマツ,0,カンバ,None,4.5,水涵保,上川北部,None,142.408876,43.962328
None,2354,ほ,水源涵養,和寒町,None,トドマツ,0,カンバ,None,2.31,水涵保,上川北部,None,142.407281,43.96372
None,2354,ほ,水源涵養,和寒町,None,トドマツ,0,カンバ,None,2.31,水涵保,上川北部,None,142.406023,43.964225
ミズナラ,2354,み,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,75.77,水涵保,上川北部,None,142.408719,43.963652
None,2354,ち,水源涵養,和寒町,None,トドマツ,0,シナノキ,None,4.0,水涵保,上川北部,None,142.402376,43.963482
None,2354,ち,水源涵養,和寒町,None,トドマツ,0,シナノキ,None,4.0,水涵保,上川北部,None,142.405269,43.963013
カンバ,2353,む,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,4.86,水涵保,上川北部,None,142.433558,43.953037
天トドマツ,2353,な,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,22.28,水涵保,上川北部,None,142.428686,43.954269
カンバ,2353,ら,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,3.34,水涵保,上川北部,None,142.426914,43.953926
None,2353,い,水源涵養,和寒町,None,トドマツ,0,ダケカンバ,None,15.5,水涵保,上川北部,None,142.429183,43.951862
天トドマツ,2353,な,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,22.28,水涵保,上川北部,None,142.426923,43.95152
天トドマツ,2353,な,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,22.28,水涵保,上川北部,None,142.423122,43.950066
天トドマツ,2353,は,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,6.1,水涵保,上川北部,None,142.424423,43.952574
ミズナラ,2353,こ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,10.79,水涵保,上川北部,None,142.418978,43.955004
天トドマツ,2353,ま,水源涵養,和寒町,None,シナノキ,0,他Ｌ,None,2.29,水涵保,上川北部,None,142.419432,43.95418
ヤチダモ,2353,つ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,1.11,水涵保,上川北部,None,142.41906,43.952182
ミズナラ,2353,こ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,10.79,水涵保,上川北部,None,142.41864,43.953148
カンバ,2353,る,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,1.71,水涵保,上川北部,None,142.418871,43.952659
天トドマツ,2353,ぬ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,1.51,水涵保,上川北部,None,142.419386,43.951709
ヤチダモ,2353,ね,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.63,水涵保,上川北部,None,142.419816,43.95132
ヤチダモ,2353,つ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,1.11,水涵保,上川北部,None,142.41818,43.951718
ヤチダモ,2353,ね,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,0.63,水涵保,上川北部,None,142.418856,43.95098
天トドマツ,2353,ぬ,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,1.51,水涵保,上川北部,None,142.417969,43.951069
カンバ,2353,う,水源涵養,和寒町,None,他Ｌ,0,シナノキ,None,4.98,水涵保,上川北部,None,142.432272,43.951228
None,2353,ろ,水源涵養,和寒町,None,トドマツ,0,カンバ,None,1.44,水涵保,上川北部,None,142.430463,43.949667
天トドマツ,2353,く,水源涵養,和寒町,None,シナノキ,0,他Ｌ,None,0.69,水涵保,上川北部,None,142.430962,43.948873
ミズナラ,2353,や,水源涵養,和寒町,None,シナノキ,0,他Ｌ,None,13.85,水涵保,上川北部,None,142.427053,43.947274
