A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,68,ぬ,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,3.05,水涵保,留萌南部,None,141.683847,43.834924
None,67,ち,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,3.36,水涵保,留萌南部,None,141.693295,43.823992
トドマツ,68,る,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,7.66,水涵保,留萌南部,None,141.684607,43.831553
None,67,と,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,7.46,水涵保,留萌南部,None,141.689418,43.825417
カンバ,67,わ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,41.11,水涵保,留萌南部,None,141.685388,43.827229
None,67,へ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,7.06,水涵保,留萌南部,None,141.686864,43.826423
None,67,ほ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,7.11,水涵保,留萌南部,None,141.685361,43.824054
シナノキ,67,よ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,カンバ,None,15.81,水涵保,留萌南部,None,141.693369,43.820918
None,66,ち,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,1.71,水涵保,留萌南部,None,141.693061,43.814197
None,66,り,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,5.67,水涵保,留萌南部,None,141.69315,43.812208
None,67,り,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,1.12,水涵保,留萌南部,None,141.691487,43.821425
None,66,は,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,5.75,水涵保,留萌南部,None,141.688915,43.820154
None,66,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,5.25,水涵保,留萌南部,None,141.691384,43.81787
None,66,ほ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,1.27,水涵保,留萌南部,None,141.689035,43.817299
None,67,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,1.9,水涵保,留萌南部,None,141.68371,43.821689
None,66,ろ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,3.84,水涵保,留萌南部,None,141.686288,43.819266
None,66,と,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,4.84,水涵保,留萌南部,None,141.689894,43.814685
None,66,へ,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,3.55,水涵保,留萌南部,None,141.688128,43.815765
カンバ,66,わ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,50.39,水涵保,留萌南部,None,141.687564,43.816597
None,66,い,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,5.73,水涵保,留萌南部,None,141.685906,43.816504
None,66,イ,山地災害防止（土砂）,増毛町,None,None,0,None,None,2.14,None,留萌南部,None,141.688682,43.809114
カンバ,66,わ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,50.39,水涵保,留萌南部,None,141.687995,43.809858
None,64,ロ,山地災害防止（土砂）,増毛町,None,None,0,None,None,1.6,水涵保,留萌南部,None,141.685087,43.814117
None,64,と,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,5.44,水涵保,留萌南部,None,141.686981,43.811947
ミズナラ,64,い,山地災害防止（土砂）,増毛町,None,他Ｌ,0,カンバ,None,17.27,水涵保,留萌南部,None,141.683916,43.812596
None,66,ぬ,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,2.5,水涵保,留萌南部,None,141.693322,43.81048
カンバ,66,わ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,50.39,水涵保,留萌南部,None,141.690643,43.808584
None,66,る,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,6.14,水涵保,留萌南部,None,141.694919,43.808195
カンバ,66,わ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,50.39,水涵保,留萌南部,None,141.69491,43.80723
None,65,い,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,4.7,水涵保,留萌南部,None,141.694633,43.806425
None,66,ロ,山地災害防止（土砂）,増毛町,None,None,0,None,None,0.25,None,留萌南部,None,141.693399,43.808074
None,65,い,山地災害防止（土砂）,増毛町,None,トドマツ,0,None,None,4.7,水涵保,留萌南部,None,141.693082,43.807068
シナノキ,65,と,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,37.18,水涵保,留萌南部,None,141.696615,43.804656
トドマツ,65,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.95,水涵保,留萌南部,None,141.697138,43.80171
トドマツ,65,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.95,水涵保,留萌南部,None,141.69716,43.800711
トドマツ,65,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.95,水涵保,留萌南部,None,141.696625,43.800952
シナノキ,65,と,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,37.18,水涵保,留萌南部,None,141.694325,43.801395
None,65,は,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,8.0,水涵保,留萌南部,None,141.695522,43.803359
None,65,ろ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,8.03,水涵保,留萌南部,None,141.693152,43.805136
None,65,は,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,8.0,水涵保,留萌南部,None,141.692213,43.803518
None,65,ロ,山地災害防止（土砂）,増毛町,None,None,0,None,None,0.55,None,留萌南部,None,141.694423,43.807096
トドマツ,65,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.95,水涵保,留萌南部,None,141.694943,43.801428
トドマツ,65,に,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.95,水涵保,留萌南部,None,141.690033,43.803132
カンバ,66,お,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,4.19,水涵保,留萌南部,None,141.689483,43.809608
カンバ,66,お,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,4.19,水涵保,留萌南部,None,141.691357,43.808866
None,65,イ,山地災害防止（土砂）,増毛町,None,None,0,None,None,0.1,None,留萌南部,None,141.689255,43.808093
None,64,ハ,山地災害防止（土砂）,増毛町,None,None,0,None,None,10.4,水涵保,留萌南部,None,141.686829,43.808197
None,65,ろ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,8.03,水涵保,留萌南部,None,141.690572,43.805655
シナノキ,65,と,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,37.18,水涵保,留萌南部,None,141.689963,43.80202
None,64,ニ,山地災害防止（土砂）,増毛町,None,None,0,None,None,5.7,水涵保,留萌南部,None,141.68887,43.800711
シナノキ,64,は,山地災害防止（土砂）,増毛町,None,他Ｌ,0,カンバ,None,72.56,水涵保,留萌南部,None,141.686031,43.803189
カンバ,65,ほ,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,9.6,水涵保,留萌南部,None,141.698763,43.799661
None,65,ニ,山地災害防止（土砂）,増毛町,None,None,0,None,None,0.32,水涵保,留萌南部,None,141.698459,43.801627
シナノキ,65,と,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,37.18,水涵保,留萌南部,None,141.697679,43.800156
カンバ,65,ほ,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,9.6,水涵保,留萌南部,None,141.697733,43.799378
シナノキ,65,と,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,37.18,水涵保,留萌南部,None,141.697869,43.798583
None,65,ハ,山地災害防止（土砂）,増毛町,None,None,0,None,None,0.38,None,留萌南部,None,141.696168,43.798646
ミズナラ,65,ち,山地災害防止（土砂）,増毛町,None,他Ｌ,0,カンバ,None,1.7,水涵保,留萌南部,None,141.697127,43.797771
カンバ,65,り,山地災害防止（土砂）,増毛町,None,他Ｌ,0,ミズナラ,None,7.53,水涵保,留萌南部,None,141.697291,43.795403
カンバ,65,ほ,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,9.6,水涵保,留萌南部,None,141.691438,43.801081
トドマツ,65,へ,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,7.48,水涵保,留萌南部,None,141.692787,43.797466
カンバ,65,ぬ,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,19.07,水涵保,留萌南部,None,141.696765,43.791854
カンバ,62,ほ,水源涵養,増毛町,None,トドマツ,0,トドマツ,None,6.9,水涵保,留萌南部,None,141.689572,43.791737
トドマツ,62,へ,水源涵養,増毛町,None,トドマツ,0,カンバ,None,4.94,水涵保,留萌南部,None,141.687614,43.793365
天トドマツ,62,ね,水源涵養,増毛町,None,他Ｌ,0,カンバ,None,3.88,水涵保,留萌南部,None,141.686538,43.792399
カンバ,62,む,水源涵養,増毛町,None,他Ｌ,0,天トドマツ,None,10.63,水涵保,留萌南部,None,141.684499,43.795852
トドマツ,62,と,水源涵養,増毛町,None,トドマツ,0,カンバ,None,3.77,水涵保,留萌南部,None,141.685012,43.792499
None,62,は,水源涵養,増毛町,None,トドマツ,0,None,None,9.87,None,留萌南部,None,141.69227,43.788843
None,62,よ,水源涵養,増毛町,None,トドマツ,0,None,None,5.7,None,留萌南部,None,141.697922,43.778464
カンバ,62,う,水源涵養,増毛町,None,他Ｌ,0,天トドマツ,None,26.17,水涵保,留萌南部,None,141.695276,43.784159
None,62,わ,水源涵養,増毛町,None,トドマツ,0,None,None,6.12,None,留萌南部,None,141.691683,43.782906
None,62,か,水源涵養,増毛町,None,トドマツ,0,None,None,4.97,None,留萌南部,None,141.695763,43.781633
カンバ,62,つ,水源涵養,増毛町,None,他Ｌ,0,天トドマツ,None,15.43,水涵保,留萌南部,None,141.687458,43.790726
カンバ,62,に,水源涵養,増毛町,None,トドマツ,0,トドマツ,None,4.23,水涵保,留萌南部,None,141.68848,43.787938
None,62,お,水源涵養,増毛町,None,トドマツ,0,None,None,2.04,None,留萌南部,None,141.68963,43.785058
シナノキ,62,ろ,水源涵養,増毛町,None,トドマツ,0,カンバ,None,5.42,水涵保,留萌南部,None,141.694924,43.777854
天トドマツ,62,そ,水源涵養,増毛町,None,他Ｌ,0,カンバ,None,20.06,水涵保,留萌南部,None,141.696826,43.778409
None,62,た,水源涵養,増毛町,None,トドマツ,0,None,None,4.31,None,留萌南部,None,141.694796,43.776008
カンバ,62,い,水源涵養,増毛町,None,トドマツ,0,トドマツ,None,4.67,水涵保,留萌南部,None,141.697401,43.772747
None,62,れ,水源涵養,増毛町,None,トドマツ,0,None,None,2.18,None,留萌南部,None,141.695501,43.773607
None,61,い,水源涵養,増毛町,None,トドマツ,0,None,None,4.55,水涵保,留萌南部,None,141.698386,43.770786
カンバ,61,は,水源涵養,増毛町,None,トドマツ,0,トドマツ,None,9.79,None,留萌南部,None,141.697545,43.768163
カンバ,58,ろ,山地災害防止（土砂）,増毛町,None,トドマツ,0,トドマツ,None,7.37,水涵保,留萌南部,None,141.685973,43.776666
天トドマツ,57,か,山地災害防止（土砂）,増毛町,None,他Ｌ,0,カンバ,None,2.0,水涵保,留萌南部,None,141.684595,43.778413
ミズナラ,59,へ,水源涵養,増毛町,None,カンバ,0,他Ｌ,None,0.75,水涵保,留萌南部,None,141.688589,43.772568
トドマツ,59,ろ,水源涵養,増毛町,None,トドマツ,0,カンバ,None,3.38,水涵保,留萌南部,None,141.688458,43.771544
シナノキ,59,と,水源涵養,増毛町,None,カンバ,0,他Ｌ,None,2.0,水涵保,留萌南部,None,141.688462,43.77004
カンバ,59,は,水源涵養,増毛町,None,トドマツ,0,トドマツ,None,2.53,水涵保,留萌南部,None,141.689204,43.769019
トドマツ,58,は,山地災害防止（土砂）,増毛町,None,トドマツ,0,カンバ,None,6.42,水涵保,留萌南部,None,141.684713,43.773425
シナノキ,59,る,水源涵養,増毛町,None,カンバ,0,他Ｌ,None,8.1,水涵保,留萌南部,None,141.685189,43.768821
None,69,ぬ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,2.11,水涵保,留萌南部,None,141.669871,43.850884
カンバ,69,お,山地災害防止（土砂）,増毛町,None,他Ｌ,0,天トドマツ,None,3.0,水涵保,留萌南部,None,141.669787,43.847114
None,69,ろ,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,7.41,水涵保,留萌南部,None,141.671375,43.846263
None,69,は,山地災害防止（土砂）,増毛町,None,トドマツ,0,他Ｌ,None,3.34,水涵保,留萌南部,None,141.668832,43.847561
None,69,に,山地災害防止（土砂）,増毛町,None,天トドマツ,0,他Ｌ,None,9.0,水涵保,留萌南部,None,141.668736,43.843804
