A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.188376,43.956515
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.19135,43.955026
None,None,None,None,網走南部,128,イ,4.17,None,大空町,None,None,自然維持,0,144.179637,43.926998
None,他Ｌ,保健保,風致保,網走南部,128,い,40.2,None,大空町,None,他Ｌ,自然維持,0,144.187805,43.954543
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.181027,43.954092
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.179346,43.952709
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.178142,43.951883
None,他Ｌ,保健保,風致保,網走南部,128,い,40.2,None,大空町,None,他Ｌ,自然維持,0,144.179595,43.949125
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.178553,43.947962
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.180816,43.942526
None,None,None,None,網走南部,128,ロ,1.82,None,大空町,None,None,自然維持,0,144.180401,43.941726
None,None,None,None,網走南部,267,ト,0.01,None,大空町,None,None,水源涵養,0,144.261383,43.768953
None,天エゾマツ,水涵保,None,網走南部,353,な,18.78,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.371798,43.737739
None,None,None,None,網走南部,353,ヘ,1.33,None,大空町,None,None,水源涵養,0,144.371186,43.737714
None,天エゾマツ,水涵保,None,網走南部,353,た,7.24,None,大空町,ダケカンバ,天トドマツ,水源涵養,0,144.370067,43.737094
None,ダケカンバ,水涵保,None,網走南部,255,り,14.88,None,大空町,シナノキ,他Ｌ,水源涵養,0,144.364332,43.736568
None,カラマツ,水涵保,None,網走南部,255,ろ,6.32,None,大空町,None,他Ｌ,水源涵養,0,144.363843,43.736195
None,カラマツ,水涵保,None,網走南部,255,い,10.61,None,大空町,None,他Ｌ,水源涵養,0,144.361956,43.738756
None,ダケカンバ,水涵保,None,網走南部,255,る,7.24,None,大空町,シナノキ,他Ｌ,水源涵養,0,144.365285,43.740231
None,カラマツ,水涵保,None,網走南部,255,よ,3.39,None,大空町,None,他Ｌ,水源涵養,0,144.362398,43.73709
None,カラマツ,水涵保,None,網走南部,255,ろ,6.32,None,大空町,None,他Ｌ,水源涵養,0,144.361913,43.73636
None,カラマツ,水涵保,None,網走南部,256,よ,3.06,None,大空町,None,他Ｌ,水源涵養,0,144.357405,43.738927
None,カラマツ,水涵保,None,網走南部,255,よ,3.39,None,大空町,None,他Ｌ,水源涵養,0,144.357061,43.736903
None,None,水涵保,None,網走南部,255,ニ,0.16,None,大空町,None,None,水源涵養,0,144.358763,43.736274
None,カラマツ,水涵保,None,網走南部,255,ろ,6.32,None,大空町,None,他Ｌ,水源涵養,0,144.357149,43.736193
None,天エゾマツ,水涵保,None,網走南部,353,れ,8.93,None,大空町,シナノキ,天トドマツ,水源涵養,0,144.368644,43.734585
None,天エゾマツ,水涵保,None,網走南部,353,な,18.78,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.369327,43.733025
None,天エゾマツ,水涵保,None,網走南部,353,れ,8.93,None,大空町,シナノキ,天トドマツ,水源涵養,0,144.368926,43.731671
None,トドマツ,水涵保,None,網走南部,254,い,21.87,None,大空町,None,他Ｌ,水源涵養,0,144.366023,43.735889
None,天エゾマツ,水涵保,None,網走南部,353,な,18.78,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.366732,43.725956
None,天エゾマツ,水涵保,None,網走南部,353,そ,9.47,None,大空町,ダケカンバ,天トドマツ,水源涵養,0,144.369228,43.729442
None,None,None,None,網走南部,353,ホ,0.36,None,大空町,None,None,水源涵養,0,144.368388,43.726946
None,天エゾマツ,水涵保,None,網走南部,353,つ,8.97,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.369236,43.726951
None,天エゾマツ,水涵保,None,網走南部,353,な,18.78,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.370117,43.728147
None,天エゾマツ,水涵保,None,網走南部,353,そ,9.47,None,大空町,ダケカンバ,天トドマツ,水源涵養,0,144.366742,43.72942
None,天エゾマツ,水涵保,None,網走南部,353,つ,8.97,None,大空町,他Ｌ,天トドマツ,水源涵養,0,144.366026,43.727061
None,カラマツ,水涵保,None,網走南部,255,は,11.31,None,大空町,None,他Ｌ,水源涵養,0,144.363745,43.735557
None,None,水涵保,None,網走南部,255,ホ,0.34,None,大空町,None,None,水源涵養,0,144.362505,43.734668
None,カラマツ,水涵保,None,網走南部,255,は,11.31,None,大空町,None,他Ｌ,水源涵養,0,144.359181,43.734642
None,天エゾマツ,水涵保,None,網走南部,254,わ,1.13,None,大空町,天トドマツ,他Ｌ,水源涵養,0,144.360707,43.732011
None,None,None,None,網走南部,254,イ,0.34,None,大空町,None,None,水源涵養,0,144.361102,43.73181
None,天エゾマツ,水涵保,None,網走南部,254,わ,1.13,None,大空町,天トドマツ,他Ｌ,水源涵養,0,144.35947,43.732349
None,天エゾマツ,水涵保,None,網走南部,254,る,34.17,None,大空町,天トドマツ,他Ｌ,水源涵養,0,144.361128,43.731944
