A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
ミズナラ,2224,と,自然維持,室蘭市,None,ダケカンバ,0,他Ｌ,None,8.06,水涵保,後志,None,141.010133,42.431938
None,2224,い,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,0.36,水涵保,後志,None,141.016013,42.426563
ミズナラ,2224,ほ,水源涵養,室蘭市,None,ダケカンバ,2,他Ｌ,None,3.85,水涵保,後志,None,141.015208,42.430347
None,2224,に,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,1.63,水涵保,後志,None,141.015478,42.42974
ミズナラ,2224,ほ,水源涵養,室蘭市,None,他Ｌ,1,ダケカンバ,None,3.82,水涵保,後志,None,141.014567,42.429004
ミズナラ,2224,ほ,水源涵養,室蘭市,None,ダケカンバ,2,他Ｌ,None,3.85,水涵保,後志,None,141.013204,42.429936
None,2224,は,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,1.09,水涵保,後志,None,141.014986,42.427899
ミズナラ,2224,ほ,水源涵養,室蘭市,None,ダケカンバ,2,他Ｌ,None,3.85,水涵保,後志,None,141.014601,42.427578
None,2223,ち,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,2.39,水涵保,後志,None,141.012623,42.428122
None,2223,へ,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,2.25,水涵保,後志,None,141.012729,42.425463
None,2223,り,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,3.4,水涵保,後志,None,141.014948,42.424908
None,2223,ぬ,水源涵養,室蘭市,None,トドマツ,0,None,None,3.85,水涵保,後志,None,141.01463,42.422945
ミズナラ,2223,か,水源涵養,室蘭市,None,他Ｌ,0,ダケカンバ,None,26.54,水涵保,後志,None,141.008849,42.426763
None,2223,る,水源涵養,室蘭市,None,トドマツ,0,None,None,2.85,水涵保,後志,None,141.013287,42.421713
None,2224,イ,自然維持,室蘭市,None,None,0,None,None,5.88,水涵保,後志,None,141.008254,42.433104
None,2223,ニ,自然維持,室蘭市,None,None,0,None,None,6.38,水涵保,後志,None,141.00431,42.433671
None,2223,ロ,自然維持,室蘭市,None,None,0,None,None,6.81,水涵保,後志,None,141.006024,42.431995
ミズナラ,2223,わ,水源涵養,室蘭市,None,他Ｌ,0,ダケカンバ,None,6.75,水涵保,後志,None,141.011016,42.429607
None,2223,と,水源涵養,室蘭市,None,トドマツ,0,他Ｌ,None,2.31,水涵保,後志,None,141.011143,42.427525
他Ｌ,2223,よ,自然維持,室蘭市,None,ダケカンバ,0,ミズナラ,None,21.13,水涵保,後志,None,141.007074,42.428668
ミズナラ,2223,た,自然維持,室蘭市,None,ダケカンバ,0,他Ｌ,None,3.56,水涵保,後志,None,141.004237,42.429935
None,2223,イ,自然維持,室蘭市,None,None,0,None,None,0.01,None,後志,None,141.003687,42.434944
None,2220,イ,自然維持,室蘭市,None,None,0,None,None,6.14,水涵保,後志,None,141.002707,42.43289
None,2219,イ,自然維持,室蘭市,None,None,0,None,None,21.88,水涵保,後志,None,140.994415,42.431167
