A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,留萌南部,1182,イ,40.38,None,小平町,None,None,自然維持,0,141.825225,44.105486
None,None,None,None,留萌南部,1187,イ,45.81,None,小平町,None,None,自然維持,0,141.818024,44.090712
None,None,None,None,留萌南部,1187,ハ,10.8,None,小平町,None,None,山地災害防止（土砂）,0,141.82473,44.082589
None,トドマツ,None,None,留萌南部,1189,ろ,1.5,None,小平町,None,他Ｌ,水源涵養,0,141.825613,44.070654
None,他Ｌ,None,None,留萌南部,1189,お,115.77,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.826396,44.064776
None,他Ｌ,None,None,留萌南部,1187,へ,22.97,None,小平町,ミズナラ,カンバ,山地災害防止（土砂）,0,141.822499,44.086842
None,None,None,None,留萌南部,1190,イ,7.5,None,小平町,None,None,山地災害防止（土砂）,0,141.819059,44.085552
None,他Ｌ,None,None,留萌南部,1190,ろ,58.33,None,小平町,ミズナラ,天トドマツ,水源涵養,0,141.814653,44.077024
None,他Ｌ,None,None,留萌南部,1190,い,34.94,None,小平町,天トドマツ,ミズナラ,山地災害防止（土砂）,0,141.81074,44.089365
None,他Ｌ,None,None,留萌南部,1190,に,66.24,None,小平町,カンバ,ミズナラ,水源涵養,0,141.813741,44.082152
None,他Ｌ,None,None,留萌南部,1190,は,27.13,None,小平町,ミズナラ,天トドマツ,水源涵養,0,141.820899,44.074636
None,None,None,None,留萌南部,1190,ロ,0.27,None,小平町,None,None,水源涵養,0,141.819237,44.075064
None,トドマツ,None,None,留萌南部,1191,へ,7.0,None,小平町,None,他Ｌ,水源涵養,0,141.816456,44.072287
None,None,None,None,留萌南部,1189,ハ,0.49,None,小平町,None,None,水源涵養,0,141.819212,44.068612
None,他Ｌ,None,None,留萌南部,1189,お,115.77,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.819969,44.070966
None,他Ｌ,None,None,留萌南部,1191,お,42.47,None,小平町,ミズナラ,天トドマツ,水源涵養,0,141.816357,44.069095
None,トドマツ,None,None,留萌南部,1189,は,19.34,None,小平町,トドマツ,他Ｌ,水源涵養,0,141.825563,44.058464
None,ミズナラ,None,None,留萌南部,1191,る,0.6,None,小平町,シナノキ,他Ｌ,水源涵養,0,141.826131,44.049623
None,他Ｌ,None,None,留萌南部,1189,お,115.77,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.823796,44.061722
None,他Ｌ,None,None,留萌南部,1191,わ,18.5,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.82103,44.064811
None,他Ｌ,None,None,留萌南部,1189,お,115.77,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.818772,44.068655
None,トドマツ,None,None,留萌南部,1191,ほ,4.79,None,小平町,None,カンバ,水源涵養,0,141.821489,44.060852
None,他Ｌ,None,None,留萌南部,1191,ち,4.8,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.819238,44.057971
None,トドマツ,None,None,留萌南部,1192,に,8.51,None,小平町,None,他Ｌ,水源涵養,0,141.817732,44.058299
None,天トドマツ,None,None,留萌南部,1192,ね,45.22,None,小平町,ミズナラ,他Ｌ,水源涵養,0,141.815781,44.062416
None,他Ｌ,None,None,留萌南部,1193,と,62.79,None,小平町,カンバ,ミズナラ,水源涵養,0,141.810177,44.062733
None,トドマツ,None,None,留萌南部,1191,に,12.8,None,小平町,None,他Ｌ,水源涵養,0,141.821941,44.05684
None,トドマツ,None,None,留萌南部,1191,は,20.0,None,小平町,None,他Ｌ,水源涵養,0,141.823117,44.053243
None,天トドマツ,None,None,留萌南部,1192,か,5.7,None,小平町,ミズナラ,他Ｌ,水源涵養,0,141.819211,44.054353
None,他Ｌ,None,None,留萌南部,1191,と,1.8,None,小平町,シナノキ,ミズナラ,水源涵養,0,141.820963,44.051753
None,アカエゾマツ,None,None,留萌南部,1192,れ,2.52,None,小平町,トドマツ,他Ｌ,水源涵養,0,141.820938,44.050276
None,トドマツ,None,None,留萌南部,1192,り,6.49,None,小平町,None,他Ｌ,水源涵養,0,141.824372,44.048006
None,トドマツ,None,None,留萌南部,1192,ち,2.71,None,小平町,None,他Ｌ,水源涵養,0,141.824365,44.046329
None,アカエゾマツ,None,None,留萌南部,1192,つ,1.5,None,小平町,他Ｌ,トドマツ,水源涵養,0,141.821527,44.047734
None,トドマツ,None,None,留萌南部,1192,わ,0.7,None,小平町,None,他Ｌ,水源涵養,0,141.821375,44.048575
None,トドマツ,None,None,留萌南部,1192,へ,3.77,None,小平町,None,他Ｌ,水源涵養,0,141.818283,44.050612
None,トドマツ,None,None,留萌南部,1192,ほ,19.22,None,小平町,None,他Ｌ,水源涵養,0,141.818026,44.052622
None,トドマツ,None,None,留萌南部,1192,と,1.3,None,小平町,None,他Ｌ,水源涵養,0,141.818608,44.049613
None,アカエゾマツ,None,None,留萌南部,1192,そ,2.6,None,小平町,トドマツ,他Ｌ,水源涵養,0,141.819668,44.048705
None,他Ｌ,None,None,留萌南部,1192,よ,8.74,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.817493,44.049761
None,アカエゾマツ,None,None,留萌南部,1192,お,5.05,None,小平町,カンバ,トドマツ,水源涵養,0,141.818395,44.047265
None,トドマツ,None,None,留萌南部,1192,は,9.96,None,小平町,None,他Ｌ,水源涵養,0,141.813381,44.053982
None,他Ｌ,None,None,留萌南部,1193,ち,3.44,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.808996,44.05669
None,天トドマツ,None,None,留萌南部,1193,へ,1.44,None,小平町,None,他Ｌ,水源涵養,0,141.811786,44.052762
None,トドマツ,None,None,留萌南部,1192,ろ,9.4,None,小平町,None,他Ｌ,水源涵養,0,141.815305,44.05029
None,トドマツ,None,None,留萌南部,1192,る,5.0,None,小平町,トドマツ,カンバ,水源涵養,0,141.815076,44.047802
None,トドマツ,None,None,留萌南部,1193,い,6.0,None,小平町,トドマツ,他Ｌ,水源涵養,0,141.812869,44.048174
None,トドマツ,None,None,留萌南部,1193,ろ,11.33,None,小平町,None,他Ｌ,水源涵養,0,141.810204,44.052294
None,トドマツ,None,None,留萌南部,1192,ぬ,4.2,None,小平町,None,他Ｌ,水源涵養,0,141.825548,44.044763
None,他Ｌ,None,None,留萌南部,1192,よ,8.74,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.825707,44.043329
None,他Ｌ,None,None,留萌南部,1191,り,1.8,None,小平町,シナノキ,ミズナラ,水源涵養,0,141.825815,44.042673
None,トドマツ,None,None,留萌南部,1027,い,4.8,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.82572,44.032542
None,トドマツ,None,None,留萌南部,1027,と,1.3,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.825419,44.030163
None,他Ｌ,None,None,留萌南部,1192,た,1.81,None,小平町,ミズナラ,天トドマツ,水源涵養,0,141.82282,44.045
None,トドマツ,None,None,留萌南部,1192,い,8.25,None,小平町,None,他Ｌ,水源涵養,0,141.82054,44.046074
None,None,None,None,留萌南部,1192,イ,0.22,None,小平町,None,None,水源涵養,0,141.823974,44.043268
None,他Ｌ,None,None,留萌南部,1192,よ,8.74,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.824215,44.042643
None,トドマツ,None,None,留萌南部,1192,い,8.25,None,小平町,None,他Ｌ,水源涵養,0,141.823011,44.04297
None,トドマツ,土流保,None,留萌南部,1028,ろ,2.87,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.823631,44.033938
None,トドマツ,None,None,留萌南部,1027,ち,0.25,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.824131,44.030985
None,トドマツ,None,None,留萌南部,1027,か,6.1,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.824153,44.029556
None,カラマツ,None,None,留萌南部,1026,ほ,19.24,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.820988,44.028162
None,トドマツ,None,None,留萌南部,1026,と,9.93,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.819848,44.024957
None,None,None,None,留萌南部,1026,ロ,0.09,None,小平町,None,None,山地災害防止（土砂）,0,141.818294,44.026067
None,None,None,None,留萌南部,1026,イ,0.17,None,小平町,None,None,山地災害防止（土砂）,0,141.8173,44.026321
None,None,None,None,留萌南部,1026,イ,0.17,None,小平町,None,None,山地災害防止（土砂）,0,141.816912,44.026367
None,トドマツ,None,None,留萌南部,1026,ち,0.44,None,小平町,None,カンバ,山地災害防止（土砂）,3,141.809529,44.026276
None,天トドマツ,None,None,留萌南部,1194,い,168.54,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.807059,44.070932
None,天トドマツ,None,None,留萌南部,1195,い,99.06,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.797879,44.073309
None,他Ｌ,None,None,留萌南部,1194,ろ,10.0,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.805715,44.063742
None,None,None,None,留萌南部,1194,イ,1.26,None,小平町,None,None,水源涵養,0,141.802191,44.067193
None,天トドマツ,None,None,留萌南部,1194,い,168.54,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.80206,44.066972
None,天トドマツ,None,None,留萌南部,1194,い,168.54,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.801918,44.066529
None,天トドマツ,None,None,留萌南部,1195,い,99.06,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.802202,44.066038
None,None,None,None,留萌南部,1195,イ,0.39,None,小平町,None,None,水源涵養,0,141.802055,44.066174
None,None,None,None,留萌南部,1194,イ,1.26,None,小平町,None,None,水源涵養,0,141.802026,44.065833
None,天トドマツ,None,None,留萌南部,1194,い,168.54,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.801946,44.065364
None,None,None,None,留萌南部,1193,イ,0.05,None,小平町,None,None,水源涵養,0,141.804966,44.058276
None,None,None,None,留萌南部,1195,イ,0.39,None,小平町,None,None,水源涵養,0,141.801071,44.063373
None,他Ｌ,None,None,留萌南部,1195,ろ,2.0,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.801377,44.063378
None,None,None,None,留萌南部,1194,イ,1.26,None,小平町,None,None,水源涵養,0,141.800951,44.062579
None,天トドマツ,None,None,留萌南部,1194,い,168.54,None,小平町,他Ｌ,ミズナラ,水源涵養,0,141.800153,44.062326
None,None,None,None,留萌南部,1195,イ,0.39,None,小平町,None,None,水源涵養,0,141.802631,44.059819
None,他Ｌ,None,None,留萌南部,1195,ろ,2.0,None,小平町,天トドマツ,ミズナラ,水源涵養,0,141.80041,44.063913
None,None,None,None,留萌南部,1195,イ,0.39,None,小平町,None,None,水源涵養,0,141.800743,44.062485
None,天トドマツ,None,None,留萌南部,1193,に,1.25,None,小平町,None,他Ｌ,水源涵養,0,141.806297,44.05693
None,トドマツ,None,None,留萌南部,1193,は,17.17,None,小平町,None,他Ｌ,水源涵養,0,141.810437,44.055312
None,天トドマツ,None,None,留萌南部,1193,ほ,1.29,None,小平町,None,他Ｌ,水源涵養,0,141.808427,44.053043
None,カラマツ,None,None,留萌南部,1026,に,1.7,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.824458,44.023204
None,カラマツ,None,None,留萌南部,1026,に,1.7,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.824892,44.022081
None,カラマツ,None,None,留萌南部,1026,ほ,19.24,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.826338,44.021781
None,天トドマツ,None,None,留萌南部,1021,お,43.8,None,小平町,カンバ,他Ｌ,水源涵養,0,141.825321,44.008404
None,None,None,None,留萌南部,1026,ハ,1.47,None,小平町,None,None,山地災害防止（土砂）,0,141.826732,44.022165
None,カラマツ,None,None,留萌南部,1026,へ,25.25,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.821454,44.025571
None,トドマツ,None,None,留萌南部,1026,と,9.93,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.818674,44.023692
None,カラマツ,None,None,留萌南部,1026,へ,25.25,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.822949,44.01939
None,他Ｌ,None,None,留萌南部,1026,ぬ,2.87,None,小平町,シナノキ,カンバ,山地災害防止（土砂）,0,141.820982,44.020123
None,カラマツ,None,None,留萌南部,1025,ほ,18.94,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.818214,44.015271
None,トドマツ,None,None,留萌南部,1026,ち,11.19,None,小平町,None,他Ｌ,山地災害防止（土砂）,2,141.815455,44.024578
None,トドマツ,None,None,留萌南部,1026,ち,2.99,None,小平町,None,カンバ,水源涵養,1,141.813574,44.024917
None,他Ｎ,None,None,留萌南部,1026,り,12.88,None,小平町,カンバ,他Ｌ,山地災害防止（土砂）,0,141.817323,44.021377
None,トドマツ,None,None,留萌南部,1026,ち,5.33,None,小平町,None,カンバ,水源涵養,0,141.811034,44.025176
None,他Ｌ,None,None,留萌南部,1026,か,1.16,None,小平町,シナノキ,カンバ,山地災害防止（土砂）,0,141.809993,44.024557
None,カラマツ,None,None,留萌南部,1025,に,29.06,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.814995,44.018018
None,カラマツ,None,None,留萌南部,1025,は,15.72,None,小平町,None,他Ｌ,山地災害防止（土砂）,0,141.811277,44.018022
None,他Ｎ,None,None,留萌南部,1025,と,3.27,None,小平町,天トドマツ,他Ｌ,山地災害防止（土砂）,0,141.808955,44.018465
None,他Ｎ,None,None,留萌南部,1025,へ,2.18,None,小平町,カンバ,他Ｌ,山地災害防止（土砂）,0,141.812205,44.015832
None,カラマツ,None,None,留萌南部,1025,い,3.47,None,小平町,None,カンバ,山地災害防止（土砂）,0,141.809189,44.016471
None,他Ｌ,None,None,留萌南部,1026,お,11.02,None,小平町,ミズナラ,カンバ,山地災害防止（土砂）,0,141.822803,44.01528
None,トドマツ,None,None,留萌南部,1021,は,8.54,None,小平町,None,他Ｌ,水源涵養,0,141.822173,44.010628
None,トドマツ,None,None,留萌南部,1021,ろ,12.44,None,小平町,None,他Ｌ,水源涵養,0,141.818952,44.010779
None,天トドマツ,None,None,留萌南部,1021,お,43.8,None,小平町,カンバ,他Ｌ,水源涵養,0,141.82324,44.008279
None,トドマツ,None,None,留萌南部,1019,ろ,5.02,None,小平町,None,トドマツ,水源涵養,0,141.824453,44.006732
None,他Ｌ,None,None,留萌南部,1021,ぬ,23.93,None,小平町,ミズナラ,カンバ,水源涵養,0,141.820508,44.008051
None,他Ｌ,None,None,留萌南部,1019,り,4.06,None,小平町,シナノキ,天トドマツ,水源涵養,0,141.81962,44.006971
None,トドマツ,None,None,留萌南部,1021,ろ,12.44,None,小平町,None,他Ｌ,水源涵養,0,141.820688,44.008379
None,他Ｌ,None,None,留萌南部,1021,ぬ,23.93,None,小平町,ミズナラ,カンバ,水源涵養,0,141.8179,44.007482
None,他Ｌ,None,None,留萌南部,1021,ぬ,23.93,None,小平町,ミズナラ,カンバ,水源涵養,0,141.819686,44.007683
None,トドマツ,None,None,留萌南部,1021,ろ,12.44,None,小平町,None,他Ｌ,水源涵養,0,141.818853,44.008153
None,トドマツ,None,None,留萌南部,1021,ろ,12.44,None,小平町,None,他Ｌ,水源涵養,0,141.819631,44.008943
None,None,None,None,留萌南部,1021,ハ,1.16,None,小平町,None,None,水源涵養,0,141.819333,44.009663
None,他Ｌ,None,None,留萌南部,1021,ぬ,23.93,None,小平町,ミズナラ,カンバ,水源涵養,0,141.818519,44.008027
None,None,None,None,留萌南部,1021,ロ,0.07,None,小平町,None,None,水源涵養,0,141.817599,44.007362
None,他Ｌ,None,None,留萌南部,1021,ぬ,23.93,None,小平町,ミズナラ,カンバ,水源涵養,0,141.815597,44.009917
None,他Ｌ,None,None,留萌南部,1018,わ,24.4,None,小平町,ミズナラ,天トドマツ,水源涵養,0,141.818171,44.004793
