A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,石狩,4100,ト,0.32,None,小樽市,None,None,山地災害防止（気象）,0,141.28629,43.194565
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.286513,43.192439
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.285815,43.193968
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.283103,43.192478
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.283342,43.188522
None,シラカバ,防風保,None,石狩,4100,と,2.01,None,小樽市,None,ドロノキ,山地災害防止（気象）,0,141.279644,43.187173
None,None,None,None,石狩,4100,ヘ,1.11,None,小樽市,None,None,山地災害防止（気象）,0,141.280482,43.184849
None,None,防風保,None,石狩,4100,ワ,2.19,None,小樽市,None,None,山地災害防止（気象）,0,141.278167,43.186783
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.277332,43.180712
None,None,防風保,None,石狩,4100,ワ,2.19,None,小樽市,None,None,山地災害防止（気象）,0,141.280162,43.183135
None,None,防風保,None,石狩,4100,ワ,2.19,None,小樽市,None,None,山地災害防止（気象）,0,141.277383,43.188791
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.276881,43.189033
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.276833,43.188458
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.276979,43.187183
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.276428,43.183996
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.274368,43.186978
None,None,None,None,石狩,4100,ホ,0.89,None,小樽市,None,None,山地災害防止（気象）,0,141.271733,43.184103
None,ドロノキ,防風保,None,石狩,4100,へ,0.79,None,小樽市,None,カンバ,山地災害防止（気象）,0,141.266216,43.177406
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.261728,43.177147
None,ドロノキ,防風保,None,石狩,4100,る,1.85,None,小樽市,None,None,山地災害防止（気象）,0,141.273966,43.173166
None,ドロノキ,防風保,None,石狩,4100,ぬ,0.02,None,小樽市,None,None,山地災害防止（気象）,0,141.272738,43.172201
None,ドロノキ,防風保,None,石狩,4100,る,1.85,None,小樽市,None,None,山地災害防止（気象）,0,141.271385,43.171329
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.266825,43.183212
None,None,None,None,石狩,4100,ニ,1.0,None,小樽市,None,None,山地災害防止（気象）,0,141.254889,43.175322
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.247064,43.169818
None,None,防風保,None,石狩,4100,チ,48.37,None,小樽市,None,None,山地災害防止（気象）,0,141.233904,43.166827
None,クロマツ,防風保,None,石狩,4100,ほ,5.11,None,小樽市,None,ドロノキ,山地災害防止（気象）,0,141.239248,43.165034
None,None,None,None,石狩,4100,ロ,1.23,None,小樽市,None,None,山地災害防止（気象）,0,141.235465,43.163487
None,None,None,None,石狩,4100,ハ,0.38,None,小樽市,None,None,山地災害防止（気象）,0,141.232529,43.164838
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.231275,43.164453
None,None,None,None,石狩,4100,ロ,1.23,None,小樽市,None,None,山地災害防止（気象）,0,141.232542,43.164162
None,カシワ,防風保,None,石狩,4100,い,317.56,None,小樽市,他Ｌ,他Ｌ,山地災害防止（気象）,0,141.231976,43.162146
None,None,None,None,石狩,4100,リ,0.5,None,小樽市,None,None,山地災害防止（気象）,0,141.226955,43.162964
None,None,None,None,石狩,4100,イ,0.63,None,小樽市,None,None,山地災害防止（気象）,0,141.225665,43.162196
None,他Ｌ,防風保,None,石狩,4100,ろ,2.73,None,小樽市,None,None,山地災害防止（気象）,0,141.229326,43.159458
None,他Ｌ,防風保,None,石狩,4100,は,2.21,None,小樽市,None,None,山地災害防止（気象）,0,141.228258,43.160055
None,カシワ,防風保,None,石狩,4182,い,71.77,None,小樽市,ミズナラ,他Ｌ,山地災害防止（気象）,0,141.222804,43.162269
None,None,防風保,None,石狩,4182,ハ,9.22,None,小樽市,None,None,山地災害防止（気象）,0,141.222346,43.162309
None,None,None,None,石狩,4182,ニ,0.15,None,小樽市,None,None,山地災害防止（土砂）,0,141.222756,43.162082
None,None,防風保,None,石狩,4182,ハ,9.22,None,小樽市,None,None,山地災害防止（気象）,0,141.217729,43.160782
None,カシワ,防風保,None,石狩,4182,い,71.77,None,小樽市,ミズナラ,他Ｌ,山地災害防止（気象）,0,141.215445,43.158763
None,None,None,None,石狩,4182,ロ,0.24,None,小樽市,None,None,山地災害防止（土砂）,0,141.214159,43.157678
None,None,防風保,None,石狩,4182,ハ,9.22,None,小樽市,None,None,山地災害防止（気象）,0,141.206427,43.156781
None,カシワ,防風保,None,石狩,4182,い,71.77,None,小樽市,ミズナラ,他Ｌ,山地災害防止（気象）,0,141.21032,43.156697
None,None,None,None,石狩,4182,イ,0.3,None,小樽市,None,None,山地災害防止（土砂）,0,141.206474,43.155613
None,None,防風保,None,石狩,4182,ハ,9.22,None,小樽市,None,None,山地災害防止（気象）,0,141.1917,43.152008
None,カシワ,防風保,None,石狩,4182,い,71.77,None,小樽市,ミズナラ,他Ｌ,山地災害防止（気象）,0,141.204548,43.154815
None,None,None,None,石狩,4174,イ,0.06,None,小樽市,None,None,水源涵養,0,141.004537,43.236835
None,カンバ,保健保,None,石狩,4174,い,20.61,None,小樽市,他Ｌ,イタヤカエデ,水源涵養,0,141.004097,43.236694
None,None,魚付保,保健保,石狩,4173,ニ,38.26,None,小樽市,None,None,山地災害防止（土砂）,0,141.001997,43.238587
None,カンバ,保健保,None,石狩,4174,い,20.61,None,小樽市,他Ｌ,イタヤカエデ,水源涵養,0,141.002769,43.236642
None,他Ｌ,魚付保,保健保,石狩,4173,り,2.75,None,小樽市,ミズナラ,イタヤカエデ,自然維持,0,141.000773,43.236779
None,None,None,None,石狩,4174,ヘ,0.16,None,小樽市,None,None,水源涵養,0,140.997449,43.236525
None,他Ｌ,魚付保,保健保,石狩,4173,へ,4.56,None,小樽市,ミズナラ,イタヤカエデ,山地災害防止（土砂）,0,141.000856,43.23778
None,None,魚付保,保健保,石狩,4173,ニ,38.26,None,小樽市,None,None,山地災害防止（土砂）,0,140.997367,43.238085
None,None,魚付保,保健保,石狩,4173,ト,3.16,None,小樽市,None,None,山地災害防止（土砂）,0,140.996662,43.236719
None,トドマツ,保健保,None,石狩,4174,は,17.81,None,小樽市,None,他Ｌ,水源涵養,0,140.999157,43.233965
None,他Ｌ,土崩保,None,石狩,4184,い,0.76,None,小樽市,None,None,山地災害防止（土砂）,0,141.036734,43.180487
None,他Ｌ,土崩保,None,石狩,4184,い,0.76,None,小樽市,None,None,山地災害防止（土砂）,0,141.035049,43.180815
None,トドマツ,水涵保,None,石狩,4101,ほ,5.26,None,小樽市,他Ｌ,カンバ,水源涵養,0,141.067105,43.09465
None,None,None,None,石狩,4101,ロ,1.54,None,小樽市,None,None,水源涵養,0,141.068905,43.092803
None,トドマツ,水涵保,None,石狩,4101,に,5.79,None,小樽市,他Ｌ,カンバ,水源涵養,0,141.068184,43.093287
None,None,None,None,石狩,4101,イ,1.45,None,小樽市,None,None,水源涵養,1,141.068285,43.092908
None,トドマツ,水涵保,None,石狩,4101,に,5.79,None,小樽市,他Ｌ,カンバ,水源涵養,0,141.066498,43.093428
None,None,None,None,石狩,4101,ロ,1.54,None,小樽市,None,None,水源涵養,0,141.067444,43.09295
None,トドマツ,水涵保,None,石狩,4101,に,5.79,None,小樽市,他Ｌ,カンバ,水源涵養,0,141.065384,43.092698
None,トドマツ,水涵保,None,石狩,4101,は,2.95,None,小樽市,他Ｌ,カンバ,水源涵養,2,141.06609,43.091531
None,None,水涵保,None,石狩,4101,イ,0.37,None,小樽市,None,None,水源涵養,2,141.063474,43.093053
None,None,水涵保,None,石狩,4101,ハ,0.84,None,小樽市,None,None,水源涵養,0,141.063985,43.092424
None,トドマツ,水涵保,None,石狩,4101,に,5.79,None,小樽市,他Ｌ,カンバ,水源涵養,0,141.063348,43.092307
None,トドマツ,水涵保,None,石狩,4101,は,2.95,None,小樽市,他Ｌ,カンバ,水源涵養,2,141.062645,43.091504
None,カンバ,水涵保,None,石狩,4101,ろ,4.13,None,小樽市,トドマツ,他Ｌ,森林空間利用,2,141.068025,43.091809
None,トドマツ,水涵保,None,石狩,4101,は,2.95,None,小樽市,他Ｌ,カンバ,水源涵養,2,141.064296,43.090839
None,None,水涵保,None,石狩,4101,ハ,0.84,None,小樽市,None,None,水源涵養,0,141.061684,43.091138
None,トドマツ,水涵保,None,石狩,4101,は,11.41,None,小樽市,他Ｌ,カンバ,水源涵養,1,141.060713,43.090365
None,カンバ,水涵保,None,石狩,4101,ろ,5.49,None,小樽市,トドマツ,他Ｌ,森林空間利用,1,141.060716,43.088752
None,トドマツ,水涵保,None,石狩,4102,に,5.12,None,小樽市,他Ｌ,カンバ,森林空間利用,2,141.064594,43.082677
None,カンバ,水涵保,None,石狩,4102,に,9.75,None,小樽市,他Ｌ,トドマツ,森林空間利用,1,141.060496,43.086425
None,トドマツ,水涵保,None,石狩,4102,い,18.36,None,小樽市,他Ｌ,カンバ,水源涵養,1,141.059812,43.083874
None,トドマツ,水涵保,None,石狩,4102,い,10.8,None,小樽市,他Ｌ,カンバ,水源涵養,2,141.05909,43.080884
None,カンバ,水涵保,None,石狩,4113,い,6.9,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,2,141.030896,43.124703
None,カラマツ,水涵保,None,石狩,4114,ろ,13.73,None,小樽市,None,他Ｌ,水源涵養,0,141.014612,43.1567
None,カラマツ,水涵保,None,石狩,4114,ろ,13.73,None,小樽市,None,他Ｌ,水源涵養,0,141.014434,43.15586
None,None,水涵保,None,石狩,4114,ニ,0.04,None,小樽市,None,None,水源涵養,0,141.014375,43.155965
None,カラマツ,水涵保,None,石狩,4114,ろ,13.73,None,小樽市,None,他Ｌ,水源涵養,0,141.012611,43.157582
None,カラマツ,水涵保,None,石狩,4114,ろ,13.73,None,小樽市,None,他Ｌ,水源涵養,0,141.013672,43.15615
None,None,None,None,石狩,4114,ロ,1.02,None,小樽市,None,None,水源涵養,0,141.012001,43.155983
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.014269,43.155353
None,None,水涵保,None,石狩,4114,ニ,0.04,None,小樽市,None,None,水源涵養,0,141.014188,43.15537
None,None,水涵保,None,石狩,4114,ニ,0.04,None,小樽市,None,None,水源涵養,0,141.01394,43.154592
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.014046,43.154658
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.01332,43.15538
None,None,None,None,石狩,4114,ロ,1.02,None,小樽市,None,None,水源涵養,0,141.013979,43.155363
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.011664,43.155264
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.013453,43.154241
None,None,None,None,石狩,4114,ロ,1.02,None,小樽市,None,None,水源涵養,0,141.013044,43.154408
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.01279,43.153708
None,None,None,None,石狩,4114,イ,0.48,None,小樽市,None,None,水源涵養,0,141.012377,43.152947
None,カンバ,水涵保,None,石狩,4114,い,4.61,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,2,141.014874,43.149768
None,カンバ,水涵保,None,石狩,4114,い,4.61,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,2,141.013983,43.14976
None,None,None,None,石狩,4114,ハ,0.83,None,小樽市,None,None,水源涵養,0,141.012942,43.150749
None,None,None,None,石狩,4114,イ,0.48,None,小樽市,None,None,水源涵養,0,141.014247,43.150738
None,None,None,None,石狩,4115,ロ,0.98,None,小樽市,None,None,山地災害防止（土砂）,0,141.013703,43.148523
None,他Ｌ,水涵保,None,石狩,4115,れ,2.29,None,小樽市,トドマツ,カンバ,山地災害防止（土砂）,0,141.013766,43.148438
None,他Ｌ,水涵保,None,石狩,4115,れ,2.29,None,小樽市,トドマツ,カンバ,山地災害防止（土砂）,0,141.012654,43.147868
None,他Ｌ,水涵保,None,石狩,4115,れ,2.29,None,小樽市,トドマツ,カンバ,山地災害防止（土砂）,0,141.013314,43.147096
None,None,None,None,石狩,4115,ロ,0.98,None,小樽市,None,None,山地災害防止（土砂）,0,141.01325,43.147205
None,カンバ,水涵保,None,石狩,4115,い,3.74,None,小樽市,イタヤカエデ,他Ｌ,山地災害防止（土砂）,5,141.01335,43.146502
None,トドマツ,水涵保,None,石狩,4115,ち,2.13,None,小樽市,None,None,山地災害防止（土砂）,0,141.012568,43.146716
None,カンバ,水涵保,None,石狩,4115,い,3.74,None,小樽市,イタヤカエデ,他Ｌ,山地災害防止（土砂）,5,141.012384,43.145444
None,トドマツ,水涵保,None,石狩,4114,へ,4.0,None,小樽市,None,他Ｌ,水源涵養,0,141.010401,43.156184
None,トドマツ,水涵保,None,石狩,4114,ほ,3.68,None,小樽市,None,他Ｌ,水源涵養,0,141.008242,43.158047
None,他Ｌ,水涵保,None,石狩,4114,い,4.13,None,小樽市,イタヤカエデ,カンバ,水源涵養,3,141.00895,43.156885
None,None,None,None,石狩,4114,ロ,1.02,None,小樽市,None,None,水源涵養,0,141.011158,43.153995
None,他Ｌ,水涵保,None,石狩,4114,ぬ,3.33,None,小樽市,None,アカエゾマツ,水源涵養,0,141.011617,43.153861
None,カンバ,水涵保,None,石狩,4114,い,33.39,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,1,141.006195,43.155887
None,トドマツ,水涵保,None,石狩,4114,に,3.56,None,小樽市,None,他Ｌ,水源涵養,2,141.005703,43.153338
None,トドマツ,水涵保,None,石狩,4114,ち,3.2,None,小樽市,None,None,水源涵養,0,141.007222,43.151433
None,カンバ,水涵保,None,石狩,4114,い,3.19,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,4,141.007916,43.151074
None,カンバ,水涵保,None,石狩,4114,い,3.19,None,小樽市,イタヤカエデ,他Ｌ,水源涵養,4,141.005074,43.152217
None,他Ｌ,水涵保,None,石狩,4115,い,5.32,None,小樽市,イタヤカエデ,カンバ,山地災害防止（土砂）,3,141.007111,43.148933
None,他Ｌ,水涵保,None,石狩,4114,り,1.5,None,小樽市,ミズナラ,トドマツ,水源涵養,0,141.0114,43.149817
None,他Ｌ,水涵保,None,石狩,4115,わ,1.95,None,小樽市,イタヤカエデ,カンバ,山地災害防止（土砂）,0,141.010338,43.147899
