A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,網走南部,354,コ,5.93,None,小清水町,None,None,森林空間利用,0,144.416741,43.941887
None,None,飛砂保,保健保,網走南部,354,エ,29.62,None,小清水町,None,None,森林空間利用,0,144.419445,43.940696
None,None,None,None,網走南部,354,カ,0.08,None,小清水町,None,None,森林空間利用,0,144.41879,43.941313
None,None,None,None,網走南部,354,リ,0.43,None,小清水町,None,None,森林空間利用,0,144.416004,43.942097
None,None,飛砂保,保健保,網走南部,354,タ,2.46,None,小清水町,None,None,森林空間利用,0,144.415182,43.94211
None,None,飛砂保,保健保,網走南部,354,タ,2.46,None,小清水町,None,None,森林空間利用,0,144.414515,43.941638
None,None,None,None,網走南部,354,テ,0.02,None,小清水町,None,None,森林空間利用,0,144.415616,43.940927
None,None,None,None,網走南部,354,ヨ,0.1,None,小清水町,None,None,森林空間利用,0,144.415443,43.941079
None,None,None,None,網走南部,354,ニ,0.05,None,小清水町,None,None,森林空間利用,0,144.413992,43.940943
None,None,飛砂保,None,網走南部,354,オ,0.01,None,小清水町,None,None,森林空間利用,0,144.414417,43.940853
None,None,None,None,網走南部,354,ル,0.05,None,小清水町,None,None,森林空間利用,0,144.413622,43.9424
None,None,None,None,網走南部,354,ツ,0.04,None,小清水町,None,None,森林空間利用,0,144.413206,43.941123
None,None,None,None,網走南部,354,ト,0.03,None,小清水町,None,None,森林空間利用,0,144.413486,43.941059
None,None,飛砂保,保健保,網走南部,354,マ,0.01,None,小清水町,None,None,森林空間利用,0,144.41257,43.941263
None,None,None,None,網走南部,354,ケ,0.11,None,小清水町,None,None,森林空間利用,0,144.412885,43.941198
None,None,飛砂保,保健保,網走南部,354,ロ,0.05,None,小清水町,None,None,森林空間利用,0,144.412403,43.9412
None,None,None,None,網走南部,354,ナ,0.01,None,小清水町,None,None,森林空間利用,0,144.412469,43.941256
None,None,None,None,網走南部,354,ソ,0.36,None,小清水町,None,None,森林空間利用,0,144.412156,43.941313
None,None,飛砂保,保健保,網走南部,354,フ,0.82,None,小清水町,None,None,森林空間利用,0,144.412313,43.941393
None,None,飛砂保,保健保,網走南部,354,エ,29.62,None,小清水町,None,None,森林空間利用,0,144.412932,43.942068
None,None,飛砂保,保健保,網走南部,354,エ,29.62,None,小清水町,None,None,森林空間利用,0,144.40549,43.943
None,None,None,None,網走南部,354,コ,5.93,None,小清水町,None,None,森林空間利用,0,144.412655,43.942766
None,None,None,None,網走南部,354,ヌ,0.1,None,小清水町,None,None,森林空間利用,0,144.395693,43.946578
None,None,None,None,網走南部,354,ク,0.04,None,小清水町,None,None,森林空間利用,0,144.3954,43.945832
None,None,None,None,網走南部,354,ヌ,0.1,None,小清水町,None,None,森林空間利用,0,144.395117,43.94562
None,None,飛砂保,保健保,網走南部,354,エ,29.62,None,小清水町,None,None,森林空間利用,0,144.393685,43.946686
None,None,None,None,網走南部,354,ク,0.04,None,小清水町,None,None,森林空間利用,0,144.389689,43.947469
None,None,飛砂保,保健保,網走南部,354,エ,29.62,None,小清水町,None,None,森林空間利用,0,144.391341,43.946653
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.376337,43.95142
None,None,None,None,網走南部,354,ノ,0.05,None,小清水町,None,None,森林空間利用,0,144.376475,43.951173
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.371302,43.95239
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.387098,43.948444
None,None,None,None,網走南部,354,ノ,0.05,None,小清水町,None,None,森林空間利用,0,144.386935,43.948222
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.385489,43.948305
None,None,None,None,網走南部,354,チ,0.5,None,小清水町,None,None,森林空間利用,0,144.382959,43.949628
None,None,None,None,網走南部,354,チ,0.5,None,小清水町,None,None,森林空間利用,0,144.382844,43.949125
None,None,None,None,網走南部,354,ネ,5.0,None,小清水町,None,None,森林空間利用,0,144.373056,43.952621
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.368166,43.953569
None,None,None,None,網走南部,354,ヘ,0.28,None,小清水町,None,None,森林空間利用,0,144.369525,43.95331
None,None,None,None,網走南部,354,ホ,1.13,None,小清水町,None,None,森林空間利用,0,144.366343,43.954021
None,None,飛砂保,None,網走南部,354,ヤ,0.07,None,小清水町,None,None,森林空間利用,0,144.366954,43.953474
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.364696,43.954409
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.362984,43.954487
None,None,None,None,網走南部,354,ホ,1.13,None,小清水町,None,None,森林空間利用,0,144.367108,43.953202
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.36701,43.953227
None,None,飛砂保,None,網走南部,354,ラ,0.34,None,小清水町,None,None,森林空間利用,0,144.362412,43.955084
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.362447,43.954755
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.362511,43.954202
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.361936,43.954393
None,None,飛砂保,保健保,網走南部,354,イ,16.24,None,小清水町,None,None,森林空間利用,0,144.361173,43.953502
None,None,None,None,網走南部,356,け,0.4,None,小清水町,None,None,森林空間利用,1,144.553811,43.920729
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.553742,43.920886
None,アカエゾマツ,潮害保,保健保,網走南部,356,や,0.74,None,小清水町,None,None,森林空間利用,1,144.553685,43.920763
None,アカエゾマツ,潮害保,保健保,網走南部,356,や,0.74,None,小清水町,None,None,森林空間利用,1,144.553247,43.920387
None,None,None,None,網走南部,356,け,0.4,None,小清水町,None,None,森林空間利用,1,144.553696,43.919857
None,None,潮害保,保健保,網走南部,356,な,0.59,None,小清水町,None,None,森林空間利用,0,144.553443,43.919215
None,None,None,None,網走南部,356,ま,0.76,None,小清水町,None,None,森林空間利用,1,144.552218,43.921001
None,None,None,None,網走南部,356,ま,0.76,None,小清水町,None,None,森林空間利用,1,144.552651,43.920661
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.55202,43.920515
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.551669,43.920904
None,None,None,None,網走南部,356,ま,0.76,None,小清水町,None,None,森林空間利用,1,144.551543,43.920509
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.550871,43.920505
None,他Ｌ,潮害保,保健保,網走南部,356,へ,4.53,None,小清水町,None,天アカエゾ,森林空間利用,0,144.550336,43.919835
None,他Ｌ,潮害保,保健保,網走南部,356,と,3.0,None,小清水町,None,None,森林空間利用,0,144.552024,43.918942
None,None,潮害保,保健保,網走南部,356,い,4.68,None,小清水町,None,None,森林空間利用,0,144.54858,43.921262
None,None,保健保,None,網走南部,356,ム,0.13,None,小清水町,None,None,森林空間利用,0,144.549661,43.920552
None,None,潮害保,保健保,網走南部,356,い,4.68,None,小清水町,None,None,森林空間利用,0,144.548853,43.920705
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.547295,43.920581
None,他Ｌ,潮害保,保健保,網走南部,356,へ,4.53,None,小清水町,None,天アカエゾ,森林空間利用,0,144.547411,43.919425
None,None,None,None,網走南部,356,み,1.54,None,小清水町,None,None,森林空間利用,1,144.545587,43.921489
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.537145,43.922497
None,アカエゾマツ,潮害保,保健保,網走南部,356,む,0.76,None,小清水町,None,カシワ,森林空間利用,1,144.544339,43.921565
None,None,潮害保,保健保,網走南部,356,る,0.97,None,小清水町,None,None,森林空間利用,1,144.545795,43.920444
None,None,None,None,網走南部,356,み,1.54,None,小清水町,None,None,森林空間利用,1,144.544719,43.92115
None,None,None,None,網走南部,356,ひ,1.14,None,小清水町,None,None,森林空間利用,1,144.546685,43.918931
None,None,None,None,網走南部,356,も,0.45,None,小清水町,None,None,森林空間利用,1,144.546113,43.919083
None,None,潮害保,保健保,網走南部,356,み,2.98,None,小清水町,None,None,森林空間利用,0,144.544981,43.919283
None,アカエゾマツ,潮害保,保健保,網走南部,356,う,0.84,None,小清水町,None,None,森林空間利用,1,144.543899,43.920023
None,None,潮害保,保健保,網走南部,356,キ,0.38,None,小清水町,None,None,森林空間利用,0,144.540552,43.92195
None,アカエゾマツ,潮害保,保健保,網走南部,356,う,0.84,None,小清水町,None,None,森林空間利用,1,144.54303,43.920795
None,None,None,None,網走南部,356,め,0.83,None,小清水町,None,None,森林空間利用,1,144.543228,43.921574
None,アカエゾマツ,潮害保,保健保,網走南部,356,む,0.76,None,小清水町,None,カシワ,森林空間利用,1,144.542415,43.921325
None,None,None,None,網走南部,356,め,0.83,None,小清水町,None,None,森林空間利用,1,144.541673,43.921457
None,None,None,None,網走南部,356,ゆ,1.85,None,小清水町,None,None,森林空間利用,1,144.539627,43.922102
None,None,None,None,網走南部,356,ゆ,1.85,None,小清水町,None,None,森林空間利用,1,144.540263,43.921627
None,他Ｌ,潮害保,保健保,網走南部,356,ほ,4.57,None,小清水町,None,None,森林空間利用,0,144.541592,43.920183
None,None,潮害保,保健保,網走南部,356,み,2.98,None,小清水町,None,None,森林空間利用,0,144.541399,43.919161
None,None,潮害保,保健保,網走南部,356,ぬ,3.0,None,小清水町,None,None,森林空間利用,1,144.539576,43.92109
None,None,潮害保,保健保,網走南部,356,ウ,0.03,None,小清水町,None,None,森林空間利用,0,144.53966,43.920755
None,None,潮害保,保健保,網走南部,356,ウ,0.03,None,小清水町,None,None,森林空間利用,0,144.5398,43.920278
None,None,潮害保,保健保,網走南部,356,ウ,0.03,None,小清水町,None,None,森林空間利用,0,144.539699,43.920106
None,アカエゾマツ,潮害保,保健保,網走南部,356,そ,1.48,None,小清水町,None,カシワ,森林空間利用,0,144.539353,43.920563
None,None,潮害保,None,網走南部,356,ホ,0.11,None,小清水町,None,None,森林空間利用,0,144.540464,43.918957
None,アカエゾマツ,潮害保,保健保,網走南部,356,ら,1.15,None,小清水町,None,カシワ,森林空間利用,1,144.538597,43.921912
None,アカエゾマツ,潮害保,保健保,網走南部,356,ら,1.15,None,小清水町,None,カシワ,森林空間利用,1,144.538151,43.92148
None,None,潮害保,保健保,網走南部,356,ぬ,3.0,None,小清水町,None,None,森林空間利用,1,144.536678,43.922008
None,None,None,None,網走南部,356,き,1.28,None,小清水町,None,None,森林空間利用,1,144.536151,43.922339
None,None,潮害保,保健保,網走南部,356,ぬ,3.0,None,小清水町,None,None,森林空間利用,1,144.537402,43.921681
None,None,None,None,網走南部,356,き,1.28,None,小清水町,None,None,森林空間利用,1,144.536456,43.921674
None,アカエゾマツ,潮害保,保健保,網走南部,356,く,1.02,None,小清水町,None,None,森林空間利用,1,144.534745,43.922086
None,None,None,None,網走南部,356,ナ,0.15,None,小清水町,None,None,森林空間利用,0,144.538491,43.921398
None,アカエゾマツ,潮害保,保健保,網走南部,356,そ,1.48,None,小清水町,None,カシワ,森林空間利用,0,144.538502,43.920633
None,他Ｌ,潮害保,保健保,網走南部,356,に,1.94,None,小清水町,None,None,森林空間利用,0,144.537107,43.920917
None,アカエゾマツ,潮害保,保健保,網走南部,356,す,1.6,None,小清水町,None,カシワ,森林空間利用,0,144.536008,43.921127
None,None,潮害保,None,網走南部,356,ネ,0.18,None,小清水町,None,None,森林空間利用,0,144.535639,43.921593
None,アカエゾマツ,潮害保,保健保,網走南部,356,す,1.6,None,小清水町,None,カシワ,森林空間利用,0,144.535303,43.920844
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.534006,43.922612
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.535393,43.922453
None,None,None,None,網走南部,356,さ,1.31,None,小清水町,None,None,森林空間利用,1,144.533616,43.922289
None,None,潮害保,保健保,網走南部,356,ぬ,3.0,None,小清水町,None,None,森林空間利用,1,144.533925,43.921729
None,None,保健保,None,網走南部,356,ツ,0.1,None,小清水町,None,None,森林空間利用,0,144.531892,43.922334
None,None,None,None,網走南部,356,さ,1.31,None,小清水町,None,None,森林空間利用,1,144.532884,43.922284
None,None,潮害保,保健保,網走南部,356,ぬ,3.0,None,小清水町,None,None,森林空間利用,1,144.532045,43.922207
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.5328,43.921325
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.532567,43.921679
None,アカエゾマツ,潮害保,保健保,網走南部,356,な,1.25,None,小清水町,None,カシワ,森林空間利用,1,144.531348,43.921926
None,アカエゾマツ,潮害保,保健保,網走南部,356,な,1.25,None,小清水町,None,カシワ,森林空間利用,1,144.532074,43.921564
None,他Ｌ,潮害保,保健保,網走南部,356,は,1.38,None,小清水町,None,None,森林空間利用,0,144.533907,43.920845
None,アカエゾマツ,潮害保,保健保,網走南部,356,せ,1.75,None,小清水町,None,カシワ,森林空間利用,0,144.532392,43.920752
None,None,保健保,None,網走南部,356,ツ,0.1,None,小清水町,None,None,森林空間利用,0,144.531885,43.921135
None,カラマツ,潮害保,保健保,網走南部,356,り,1.5,None,小清水町,None,他Ｌ,森林空間利用,0,144.531611,43.921197
None,None,None,None,網走南部,356,あ,1.67,None,小清水町,None,None,森林空間利用,1,144.529832,43.922758
None,None,潮害保,None,網走南部,356,ア,0.07,None,小清水町,None,None,森林空間利用,0,144.532253,43.921432
None,アカエゾマツ,潮害保,保健保,網走南部,356,な,1.25,None,小清水町,None,カシワ,森林空間利用,1,144.530773,43.921523
