A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,3083,イ,自然維持,島牧村,None,None,0,None,None,41.32,水涵保,後志,None,140.197198,42.793256
None,3084,イ,自然維持,島牧村,None,None,0,None,None,13.38,水涵保,後志,None,140.207366,42.78268
None,3083,イ,自然維持,島牧村,None,None,0,None,None,41.32,水涵保,後志,None,140.203306,42.78635
イタヤカエデ,3084,へ,自然維持,島牧村,None,ダケカンバ,0,他Ｌ,None,27.24,水涵保,後志,None,140.209091,42.780807
None,3084,る,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.28,水涵保,後志,None,140.206407,42.781096
None,3084,や,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.15,水涵保,後志,None,140.203864,42.781719
None,3084,ぬ,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.88,水涵保,後志,None,140.205364,42.780651
None,3084,イ,自然維持,島牧村,None,None,0,None,None,13.38,水涵保,後志,None,140.202394,42.784949
None,3084,ろ,水源涵養,島牧村,None,カラマツ,0,他Ｌ,None,3.5,水涵保,後志,None,140.200711,42.784198
None,3084,え,水源涵養,島牧村,None,トドマツ,0,None,None,0.16,水涵保,後志,None,140.203195,42.781586
None,3084,こ,水源涵養,島牧村,None,トドマツ,0,None,None,0.07,水涵保,後志,None,140.202448,42.781338
None,3084,り,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.31,水涵保,後志,None,140.202892,42.780295
None,3084,ふ,水源涵養,島牧村,None,トドマツ,0,None,None,0.17,水涵保,後志,None,140.201698,42.78098
None,3084,ち,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.28,水涵保,後志,None,140.201877,42.77996
ダケカンバ,3084,ほ,水源涵養,島牧村,None,ミズナラ,0,他Ｌ,None,58.96,水涵保,後志,None,140.200094,42.782125
None,3084,け,水源涵養,島牧村,None,トドマツ,0,None,None,0.19,水涵保,後志,None,140.201039,42.780703
None,3084,ま,水源涵養,島牧村,None,トドマツ,0,None,None,0.2,水涵保,後志,None,140.200497,42.780718
None,3083,ロ,自然維持,島牧村,None,None,0,None,None,5.6,水涵保,後志,None,140.193767,42.791752
None,3080,ト,自然維持,島牧村,None,None,0,None,None,0.04,None,後志,None,140.185177,42.798361
None,3080,ヌ,自然維持,島牧村,None,None,0,None,None,0.03,水涵保,後志,None,140.184718,42.798523
None,3081,ロ,自然維持,島牧村,None,None,0,None,None,47.19,水涵保,後志,None,140.18868,42.793418
None,3083,ロ,自然維持,島牧村,None,None,0,None,None,5.6,水涵保,後志,None,140.19968,42.788943
イタヤカエデ,3083,に,自然維持,島牧村,None,他Ｌ,0,ダケカンバ,None,55.07,水涵保,後志,None,140.195311,42.789763
ミズナラ,3083,は,水源涵養,島牧村,None,他Ｌ,0,ブナ,None,10.1,水涵保,後志,None,140.19329,42.78629
None,3084,に,自然維持,島牧村,None,カラマツ,0,他Ｌ,None,3.75,水涵保,後志,None,140.19681,42.784224
None,3084,い,水源涵養,島牧村,None,カラマツ,0,他Ｌ,None,3.63,水涵保,後志,None,140.195893,42.782993
None,3084,う,水源涵養,島牧村,None,トドマツ,0,None,None,0.28,水涵保,後志,None,140.19899,42.780701
None,3084,ね,水源涵養,島牧村,None,トドマツ,0,None,None,0.21,水涵保,後志,None,140.198185,42.780127
None,3084,く,水源涵養,島牧村,None,トドマツ,0,None,None,0.02,水涵保,後志,None,140.197229,42.781462
None,3084,ロ,水源涵養,島牧村,None,None,0,None,None,1.32,None,後志,None,140.196338,42.782164
ダケカンバ,3084,ほ,水源涵養,島牧村,None,ミズナラ,0,他Ｌ,None,58.96,水涵保,後志,None,140.196236,42.781379
None,3084,れ,水源涵養,島牧村,None,トドマツ,0,シナノキ,None,0.46,水涵保,後志,None,140.196027,42.781824
None,3084,そ,水源涵養,島牧村,None,トドマツ,0,ダケカンバ,None,1.11,水涵保,後志,None,140.19695,42.780789
None,3084,つ,水源涵養,島牧村,None,トドマツ,0,ウダイカンバ,None,0.41,水涵保,後志,None,140.197355,42.780421
None,3084,つ,水源涵養,島牧村,None,トドマツ,0,ウダイカンバ,None,0.41,水涵保,後志,None,140.196941,42.780095
None,3084,そ,水源涵養,島牧村,None,トドマツ,0,ダケカンバ,None,1.11,水涵保,後志,None,140.196339,42.780678
None,3084,い,水源涵養,島牧村,None,カラマツ,0,他Ｌ,None,3.63,水涵保,後志,None,140.193974,42.783119
ダケカンバ,3084,ほ,水源涵養,島牧村,None,ミズナラ,0,他Ｌ,None,58.96,水涵保,後志,None,140.193705,42.783821
ミズナラ,3082,と,水源涵養,島牧村,None,他Ｌ,0,イタヤカエデ,None,12.78,水涵保,後志,None,140.192214,42.784821
None,3084,の,水源涵養,島牧村,None,トドマツ,0,None,None,0.29,水涵保,後志,None,140.192733,42.783329
None,3084,た,水源涵養,島牧村,None,トドマツ,0,None,None,0.12,水涵保,後志,None,140.195016,42.781671
None,3084,お,水源涵養,島牧村,None,トドマツ,0,None,None,0.48,水涵保,後志,None,140.194495,42.782057
None,3084,お,水源涵養,島牧村,None,トドマツ,0,None,None,0.48,水涵保,後志,None,140.194066,42.78169
None,3084,と,水源涵養,島牧村,None,ダケカンバ,0,None,None,0.32,水涵保,後志,None,140.193632,42.782326
ダケカンバ,3084,ほ,水源涵養,島牧村,None,ミズナラ,0,他Ｌ,None,58.96,水涵保,後志,None,140.189795,42.782195
None,3083,ろ,自然維持,島牧村,None,トドマツ,0,ドイツトウヒ,None,1.43,水涵保,後志,None,140.190753,42.786491
他Ｌ,3083,い,水源涵養,島牧村,None,トドマツ,0,ドイツトウヒ,None,0.5,水涵保,後志,None,140.191263,42.78598
ダケカンバ,3082,へ,自然維持,島牧村,None,トドマツ,0,ドイツトウヒ,None,6.76,水涵保,後志,None,140.189425,42.786016
ミズナラ,3082,ち,自然維持,島牧村,None,他Ｌ,0,イタヤカエデ,None,7.82,水涵保,後志,None,140.189022,42.788633
ミズナラ,3082,ち,自然維持,島牧村,None,他Ｌ,0,イタヤカエデ,None,7.82,水涵保,後志,None,140.185051,42.786285
ミズナラ,3082,と,水源涵養,島牧村,None,他Ｌ,0,イタヤカエデ,None,12.78,水涵保,後志,None,140.190379,42.784066
ミズナラ,3082,と,水源涵養,島牧村,None,他Ｌ,0,イタヤカエデ,None,12.78,水涵保,後志,None,140.189815,42.784334
ミズナラ,3084,ら,水源涵養,島牧村,None,ダケカンバ,0,トドマツ,None,0.7,水涵保,後志,None,140.191489,42.783084
None,3084,よ,水源涵養,島牧村,None,トドマツ,0,None,None,0.5,水涵保,後志,None,140.190486,42.783102
