A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
天トドマツ,395,る,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,11.85,水涵保,北空知支,None,142.138276,44.390019
None,395,イ,水源涵養,幌加内町,None,None,0,None,None,0.43,None,北空知支,None,142.136893,44.389838
天トドマツ,395,ぬ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,2.0,水涵保,北空知支,None,142.137867,44.388387
天トドマツ,395,る,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,11.85,水涵保,北空知支,None,142.137013,44.386957
天トドマツ,395,ち,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,8.01,水涵保,北空知支,None,142.136149,44.39039
None,395,ハ,水源涵養,幌加内町,None,None,0,None,None,0.83,水涵保,北空知支,None,142.130722,44.389112
天トドマツ,395,ち,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,8.01,水涵保,北空知支,None,142.135107,44.388836
天トドマツ,395,ぬ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,2.0,水涵保,北空知支,None,142.136516,44.388322
天アカエゾ,395,ろ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,55.19,水涵保,北空知支,None,142.129389,44.385223
天トドマツ,395,り,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,10.0,水涵保,北空知支,None,142.132504,44.38435
ヤチダモ,395,へ,水源涵養,幌加内町,None,他Ｌ,0,カンバ,None,10.5,水涵保,北空知支,None,142.130157,44.380837
天トドマツ,395,い,水源涵養,幌加内町,None,カンバ,0,ミズナラ,None,15.67,水涵保,北空知支,None,142.125779,44.384234
天トドマツ,395,い,水源涵養,幌加内町,None,カンバ,0,ミズナラ,None,15.67,水涵保,北空知支,None,142.122567,44.383665
ミズナラ,388,は,水源涵養,幌加内町,None,他Ｌ,0,カンバ,None,26.0,水涵保,北空知支,None,142.121883,44.38155
シナノキ,388,に,水源涵養,幌加内町,None,他Ｌ,0,ミズナラ,None,9.87,水涵保,北空知支,None,142.117102,44.375779
他Ｌ,388,ろ,水源涵養,幌加内町,None,カンバ,0,ミズナラ,None,21.98,水涵保,北空知支,None,142.119704,44.377146
カンバ,387,へ,水源涵養,幌加内町,None,ドロノキ,0,トドマツ,None,3.28,水涵保,北空知支,None,142.128063,44.37493
カンバ,387,ろ,水源涵養,幌加内町,None,トドマツ,0,トドマツ,None,24.82,水涵保,北空知支,None,142.126804,44.37215
天トドマツ,387,ち,水源涵養,幌加内町,None,他Ｌ,0,カンバ,None,3.38,水涵保,北空知支,None,142.121944,44.372374
None,380,ハ,水源涵養,幌加内町,None,None,0,None,None,3.59,None,北空知支,None,142.150032,44.370414
他Ｌ,380,る,水源涵養,幌加内町,None,カンバ,0,ミズナラ,None,11.69,水涵保,北空知支,None,142.147194,44.368319
ミズナラ,380,ぬ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,27.01,水涵保,北空知支,None,142.146925,44.364387
ミズナラ,380,ぬ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,27.01,水涵保,北空知支,None,142.145094,44.364833
トドマツ,380,と,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,2.37,水涵保,北空知支,None,142.144882,44.365707
天トドマツ,379,い,森林空間利用,幌加内町,None,ミズナラ,0,シナノキ,None,36.25,水涵保,北空知支,保健保,142.14611,44.36389
None,379,イ,森林空間利用,幌加内町,None,None,0,None,None,0.47,None,北空知支,None,142.145465,44.363557
他Ｌ,380,る,水源涵養,幌加内町,None,カンバ,0,ミズナラ,None,11.69,水涵保,北空知支,None,142.14333,44.368742
None,380,イ,水源涵養,幌加内町,None,None,0,None,None,0.93,None,北空知支,None,142.144384,44.366934
トドマツ,380,と,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,2.37,水涵保,北空知支,None,142.143881,44.365845
トドマツ,380,と,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,2.37,水涵保,北空知支,None,142.143612,44.365244
ミズナラ,380,ぬ,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,27.01,水涵保,北空知支,None,142.14096,44.36652
カンバ,379,ぬ,水源涵養,幌加内町,None,アカエゾマツ,0,トドマツ,None,0.51,水涵保,北空知支,None,142.142308,44.365279
他Ｌ,379,ほ,水源涵養,幌加内町,None,天トドマツ,0,カンバ,None,36.06,水涵保,北空知支,None,142.139551,44.364281
None,379,ハ,水源涵養,幌加内町,None,None,0,None,None,0.56,None,北空知支,None,142.138654,44.366024
None,379,ニ,森林空間利用,幌加内町,None,None,0,None,None,0.01,None,北空知支,None,142.14415,44.362873
天トドマツ,379,い,森林空間利用,幌加内町,None,ミズナラ,0,シナノキ,None,36.25,水涵保,北空知支,保健保,142.144741,44.357471
None,379,ロ,森林空間利用,幌加内町,None,None,0,None,None,2.52,None,北空知支,None,142.144139,44.363912
天トドマツ,379,る,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,5.88,水涵保,北空知支,None,142.142354,44.355214
トドマツ,379,は,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,5.0,水涵保,北空知支,None,142.137753,44.356856
None,378,は,水源涵養,幌加内町,None,カンバ,0,他Ｌ,None,3.53,水涵保,北空知支,None,142.139247,44.355105
他Ｌ,378,い,森林空間利用,幌加内町,None,ミズナラ,0,カンバ,None,6.03,水涵保,北空知支,保健保,142.144214,44.352703
天アカエゾ,375,は,森林空間利用,幌加内町,None,天トドマツ,0,カンバ,None,6.95,水涵保,北空知支,保健保,142.142926,44.351732
天アカエゾ,378,ろ,森林空間利用,幌加内町,None,天トドマツ,0,カンバ,None,5.93,水涵保,北空知支,保健保,142.141688,44.352641
None,378,イ,森林空間利用,幌加内町,None,None,0,None,None,2.09,None,北空知支,None,142.138682,44.353744
天アカエゾ,378,ろ,森林空間利用,幌加内町,None,天トドマツ,0,カンバ,None,5.93,水涵保,北空知支,保健保,142.138989,44.352712
天アカエゾ,375,は,森林空間利用,幌加内町,None,天トドマツ,0,カンバ,None,6.95,水涵保,北空知支,保健保,142.139357,44.351808
他Ｌ,378,い,森林空間利用,幌加内町,None,ミズナラ,0,カンバ,None,6.03,水涵保,北空知支,保健保,142.138179,44.353414
None,378,ロ,森林空間利用,幌加内町,None,None,0,None,None,0.08,水涵保,北空知支,None,142.137875,44.353197
カンバ,378,と,水源涵養,幌加内町,None,ミズナラ,0,シナノキ,None,9.86,水涵保,北空知支,None,142.137074,44.353503
トドマツ,378,に,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,1.11,水涵保,北空知支,None,142.13672,44.35333
None,375,ろ,森林空間利用,幌加内町,None,カンバ,0,他Ｌ,None,4.65,水涵保,北空知支,保健保,142.137436,44.348914
トドマツ,380,ち,水源涵養,幌加内町,None,アカエゾマツ,0,カンバ,None,0.56,水涵保,北空知支,None,142.135865,44.366956
None,380,ロ,水源涵養,幌加内町,None,None,0,None,None,2.55,None,北空知支,None,142.133528,44.366797
トドマツ,379,と,水源涵養,幌加内町,None,ドロノキ,0,カンバ,None,2.93,水涵保,北空知支,None,142.134905,44.3663
