A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,水涵保,None,上川中部,33,は,3.06,None,愛別町,カンバ,天トドマツ,水源涵養,1,142.663703,44.015288
None,トドマツ,水涵保,None,上川中部,33,け,1.4,None,愛別町,None,None,水源涵養,0,142.667384,44.014956
None,ミズナラ,水涵保,None,上川中部,33,よ,5.39,None,愛別町,他Ｌ,天トドマツ,山地災害防止（土砂）,1,142.667853,44.012946
None,ミズナラ,水涵保,None,上川中部,33,る,20.38,None,愛別町,カンバ,天トドマツ,水源涵養,0,142.668558,44.016116
None,他Ｌ,水涵保,None,上川中部,33,や,2.54,None,愛別町,カンバ,シナノキ,水源涵養,0,142.666282,44.012744
None,トドマツ,水涵保,None,上川中部,33,く,1.3,None,愛別町,None,None,水源涵養,0,142.665252,44.012349
None,他Ｌ,水涵保,None,上川中部,33,た,0.19,None,愛別町,シナノキ,カンバ,山地災害防止（土砂）,1,142.66692,44.011891
None,他Ｌ,水涵保,None,上川中部,33,せ,4.52,None,愛別町,カンバ,シナノキ,山地災害防止（土砂）,0,142.667436,44.010026
None,ミズナラ,水涵保,None,上川中部,33,よ,5.39,None,愛別町,他Ｌ,天トドマツ,山地災害防止（土砂）,1,142.665083,44.010178
None,ミズナラ,水涵保,None,上川中部,33,よ,5.39,None,愛別町,他Ｌ,天トドマツ,山地災害防止（土砂）,1,142.664882,44.008267
None,ミズナラ,水涵保,None,上川中部,33,よ,6.62,None,愛別町,カンバ,他Ｌ,水源涵養,0,142.660386,44.014559
None,トドマツ,水涵保,None,上川中部,33,の,3.38,None,愛別町,None,None,水源涵養,0,142.662423,44.01267
None,トドマツ,水涵保,None,上川中部,33,む,3.08,None,愛別町,None,None,水源涵養,0,142.662002,44.010078
None,他Ｌ,水涵保,None,上川中部,33,ぬ,30.21,None,愛別町,天トドマツ,ミズナラ,水源涵養,0,142.664179,44.011909
None,他Ｌ,水涵保,None,上川中部,35,つ,3.56,None,愛別町,カンバ,シナノキ,水源涵養,0,142.667617,44.007834
None,None,水涵保,None,上川中部,33,チ,0.5,None,愛別町,None,None,水源涵養,0,142.659138,44.004275
None,他Ｌ,水涵保,None,上川中部,33,ち,4.69,None,愛別町,天トドマツ,ミズナラ,山地災害防止（土砂）,1,142.665677,44.008111
None,ミズナラ,水涵保,None,上川中部,33,よ,5.39,None,愛別町,他Ｌ,天トドマツ,山地災害防止（土砂）,1,142.664332,44.008362
None,ミズナラ,水涵保,None,上川中部,33,よ,5.39,None,愛別町,他Ｌ,天トドマツ,山地災害防止（土砂）,1,142.664265,44.008028
