A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,トドマツ,水涵保,None,上川中部,150,く,4.75,None,旭川市,None,カンバ,水源涵養,0,142.434356,43.94307
None,ウダイカンバ,水涵保,None,上川中部,150,の,1.22,None,旭川市,None,None,水源涵養,0,142.431601,43.945649
None,シナノキ,水涵保,None,上川中部,150,け,10.12,None,旭川市,カンバ,他Ｌ,水源涵養,0,142.435848,43.941663
None,他Ｌ,水涵保,None,上川中部,150,れ,1.83,None,旭川市,カンバ,シナノキ,水源涵養,0,142.432857,43.943905
None,他Ｌ,水涵保,None,上川中部,150,わ,5.0,None,旭川市,None,カンバ,水源涵養,0,142.433204,43.941718
None,ウダイカンバ,水涵保,None,上川中部,150,や,1.8,None,旭川市,None,他Ｌ,水源涵養,0,142.431973,43.941614
None,他Ｌ,水涵保,None,上川中部,150,か,3.73,None,旭川市,シナノキ,カンバ,水源涵養,0,142.430086,43.942409
None,トドマツ,水涵保,None,上川中部,150,う,17.55,None,旭川市,None,カンバ,水源涵養,0,142.429629,43.944951
None,トドマツ,水涵保,None,上川中部,150,む,4.78,None,旭川市,None,カンバ,水源涵養,0,142.427325,43.94263
None,アカエゾマツ,水涵保,None,上川中部,150,ら,6.45,None,旭川市,None,カンバ,水源涵養,0,142.42705,43.940428
None,トドマツ,水涵保,None,上川中部,149,れ,4.02,None,旭川市,None,None,水源涵養,0,142.422073,43.942506
None,カンバ,水涵保,None,上川中部,134,ろ,5.75,None,旭川市,ミズナラ,他Ｌ,自然維持,0,142.232212,43.945132
None,カンバ,水涵保,None,上川中部,134,い,64.71,None,旭川市,ミズナラ,他Ｌ,自然維持,0,142.230479,43.947055
None,カンバ,水涵保,None,上川中部,133,い,72.8,None,旭川市,None,他Ｌ,自然維持,0,142.211873,43.947042
None,他Ｌ,水涵保,None,上川中部,133,ち,25.9,None,旭川市,天トドマツ,シナノキ,水源涵養,0,142.215521,43.943166
None,他Ｌ,水涵保,None,上川中部,133,ぬ,5.44,None,旭川市,天トドマツ,シナノキ,水源涵養,0,142.211236,43.944031
None,他Ｌ,水涵保,None,上川中部,133,と,2.25,None,旭川市,天トドマツ,シナノキ,水源涵養,0,142.212487,43.940092
None,トドマツ,水涵保,None,上川中部,133,は,3.75,None,旭川市,カンバ,ヤチダモ,水源涵養,0,142.209873,43.940551
None,他Ｌ,水涵保,None,上川中部,133,へ,79.87,None,旭川市,天トドマツ,シナノキ,水源涵養,0,142.202506,43.938052
None,カンバ,水涵保,None,上川中部,133,ろ,8.25,None,旭川市,他Ｌ,ミズナラ,自然維持,0,142.205888,43.94672
None,トドマツ,水涵保,None,上川中部,150,る,15.36,None,旭川市,None,カンバ,水源涵養,0,142.435116,43.939713
None,カラマツ,水涵保,None,上川中部,150,ぬ,3.74,None,旭川市,None,None,水源涵養,0,142.437023,43.936084
None,カラマツ,水涵保,None,上川中部,150,ぬ,3.74,None,旭川市,None,None,水源涵養,0,142.437553,43.935003
None,グイマツ,水涵保,None,上川中部,150,お,9.78,None,旭川市,None,カンバ,水源涵養,0,142.433995,43.935665
None,グイマツ,水涵保,None,上川中部,151,い,10.39,None,旭川市,None,カンバ,水源涵養,0,142.438108,43.93233
None,グイマツ,水涵保,None,上川中部,151,い,10.39,None,旭川市,None,カンバ,水源涵養,0,142.437045,43.93404
None,グイマツ,水涵保,None,上川中部,150,お,9.78,None,旭川市,None,カンバ,水源涵養,0,142.435118,43.934524
None,None,水涵保,None,上川中部,150,イ,0.7,None,旭川市,None,None,水源涵養,0,142.433446,43.934431
None,他Ｌ,水涵保,None,上川中部,151,ち,1.38,None,旭川市,カンバ,シナノキ,水源涵養,0,142.433973,43.933661
None,トドマツ,水涵保,None,上川中部,151,ろ,18.17,None,旭川市,None,カンバ,水源涵養,0,142.436285,43.930238
None,トドマツ,水涵保,None,上川中部,151,は,4.54,None,旭川市,None,カンバ,水源涵養,0,142.435332,43.928531
None,シナノキ,水涵保,None,上川中部,151,り,12.96,None,旭川市,ミズナラ,他Ｌ,水源涵養,0,142.43428,43.925697
None,トドマツ,水涵保,None,上川中部,151,と,3.42,None,旭川市,None,カンバ,水源涵養,0,142.435006,43.918497
None,他Ｌ,水涵保,None,上川中部,150,た,2.73,None,旭川市,カンバ,シナノキ,水源涵養,0,142.433662,43.938573
None,他Ｌ,水涵保,None,上川中部,150,ね,7.01,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.430076,43.937483
None,他Ｌ,水涵保,None,上川中部,150,ね,7.01,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.430712,43.936021
None,トドマツ,水涵保,None,上川中部,150,な,4.72,None,旭川市,None,カンバ,水源涵養,0,142.42972,43.940408
None,トドマツ,水涵保,None,上川中部,150,り,10.03,None,旭川市,カンバ,エゾマツ,水源涵養,0,142.427126,43.938075
None,カンバ,水涵保,None,上川中部,150,ち,5.0,None,旭川市,天トドマツ,他Ｌ,水源涵養,0,142.425718,43.936054
None,トドマツ,水涵保,None,上川中部,151,ろ,18.17,None,旭川市,None,カンバ,水源涵養,0,142.433304,43.932165
None,None,水涵保,None,上川中部,151,イ,1.21,None,旭川市,None,None,水源涵養,0,142.429891,43.926237
None,カラマツ,水涵保,None,上川中部,150,へ,15.24,None,旭川市,None,カンバ,水源涵養,0,142.423112,43.940112
None,カンバ,水涵保,None,上川中部,150,よ,8.5,None,旭川市,None,他Ｌ,水源涵養,0,142.419184,43.939129
None,カンバ,水涵保,None,上川中部,150,ほ,5.0,None,旭川市,None,他Ｌ,水源涵養,0,142.420627,43.937524
None,他Ｌ,水涵保,None,上川中部,150,そ,1.84,None,旭川市,カンバ,シナノキ,水源涵養,0,142.421718,43.935025
None,他Ｌ,水涵保,None,上川中部,150,に,13.1,None,旭川市,None,None,水源涵養,0,142.418281,43.936228
None,カラマツ,水涵保,None,上川中部,150,と,14.4,None,旭川市,None,カンバ,水源涵養,0,142.42332,43.933775
None,カンバ,水涵保,None,上川中部,150,は,13.19,None,旭川市,シナノキ,他Ｌ,水源涵養,0,142.420216,43.932682
None,トドマツ,水涵保,None,上川中部,150,ろ,3.18,None,旭川市,None,カンバ,水源涵養,0,142.419634,43.930068
None,トドマツ,水涵保,None,上川中部,151,に,13.24,None,旭川市,None,カンバ,水源涵養,0,142.432451,43.929093
None,シナノキ,水涵保,None,上川中部,151,る,15.68,None,旭川市,ミズナラ,他Ｌ,水源涵養,0,142.431881,43.926134
None,トドマツ,水涵保,None,上川中部,151,に,13.24,None,旭川市,None,カンバ,水源涵養,0,142.429691,43.927757
None,シナノキ,水涵保,None,上川中部,151,お,10.26,None,旭川市,ミズナラ,他Ｌ,水源涵養,0,142.427852,43.922159
None,シナノキ,水涵保,None,上川中部,151,わ,24.12,None,旭川市,ミズナラ,他Ｌ,水源涵養,0,142.433999,43.920968
None,シナノキ,水涵保,None,上川中部,151,ぬ,4.27,None,旭川市,ミズナラ,他Ｌ,水源涵養,0,142.431401,43.919824
None,トドマツ,水涵保,None,上川中部,151,ほ,2.01,None,旭川市,None,カンバ,水源涵養,0,142.429899,43.918823
None,カンバ,水涵保,None,上川中部,150,ま,3.0,None,旭川市,None,他Ｌ,水源涵養,0,142.417597,43.93866
None,他Ｌ,水涵保,None,上川中部,149,や,11.35,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.414151,43.936253
None,他Ｌ,水涵保,None,上川中部,150,つ,6.71,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.415806,43.936482
None,他Ｌ,水涵保,None,上川中部,150,い,10.8,None,旭川市,None,ダケカンバ,水源涵養,0,142.416202,43.93149
None,トドマツ,水涵保,None,上川中部,149,た,3.64,None,旭川市,None,None,水源涵養,0,142.412626,43.934668
None,トドマツ,水涵保,None,上川中部,149,そ,8.11,None,旭川市,None,None,水源涵養,0,142.411804,43.931391
None,アカエゾマツ,水涵保,None,上川中部,149,よ,1.26,None,旭川市,None,None,水源涵養,0,142.407834,43.931868
None,他Ｌ,水涵保,None,上川中部,149,ね,24.38,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.409352,43.930343
None,アカエゾマツ,水涵保,None,上川中部,149,か,7.13,None,旭川市,None,None,水源涵養,0,142.406667,43.929431
None,他Ｌ,水涵保,None,上川中部,149,つ,5.25,None,旭川市,ミズナラ,シナノキ,水源涵養,0,142.40394,43.928393
None,トドマツ,水涵保,None,上川中部,151,へ,1.46,None,旭川市,None,カンバ,水源涵養,0,142.432066,43.915052
None,他Ｌ,水涵保,None,上川中部,136,は,73.03,None,旭川市,カンバ,シナノキ,森林空間利用,0,142.247654,43.931849
None,カンバ,水涵保,None,上川中部,136,へ,5.06,None,旭川市,シナノキ,他Ｌ,森林空間利用,0,142.253056,43.927645
None,他Ｌ,水涵保,None,上川中部,136,に,33.2,None,旭川市,ミズナラ,シナノキ,森林空間利用,0,142.252765,43.92471
None,他Ｌ,水涵保,None,上川中部,136,ほ,9.0,None,旭川市,ミズナラ,シナノキ,森林空間利用,0,142.250189,43.927305
None,カンバ,水涵保,None,上川中部,135,ろ,8.28,None,旭川市,ミズナラ,シナノキ,森林空間利用,0,142.252302,43.921895
None,トドマツ,水涵保,None,上川中部,135,い,4.38,None,旭川市,None,ヤチダモ,水源涵養,0,142.250283,43.920177
None,カンバ,水涵保,None,上川中部,135,ち,16.2,None,旭川市,シナノキ,他Ｌ,水源涵養,0,142.24731,43.921834
None,トドマツ,水涵保,保健保,上川中部,140,ぬ,1.98,None,旭川市,None,カンバ,森林空間利用,0,142.290251,43.843348
None,トドマツ,水涵保,保健保,上川中部,140,る,2.23,None,旭川市,None,カンバ,森林空間利用,0,142.291823,43.842165
None,他Ｌ,水涵保,保健保,上川中部,140,り,2.0,None,旭川市,カンバ,ヤチダモ,森林空間利用,0,142.289384,43.842498
None,ミズナラ,水涵保,保健保,上川中部,140,お,7.53,None,旭川市,シナノキ,他Ｌ,森林空間利用,0,142.290455,43.840564
