A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,3180,る,自然維持,木古内町,None,ブナ,0,他Ｌ,None,11.26,水涵保,檜山,None,140.287399,41.671975
None,3181,れ,水源涵養,木古内町,None,トドマツ,0,None,None,3.08,水涵保,檜山,None,140.2856,41.669641
None,3181,り,水源涵養,木古内町,None,トドマツ,0,None,None,1.84,水涵保,檜山,None,140.288671,41.667596
None,3181,よ,水源涵養,木古内町,None,トドマツ,0,None,None,3.02,水涵保,檜山,None,140.286412,41.667573
None,3181,わ,水源涵養,木古内町,None,トドマツ,0,他Ｌ,None,1.8,水涵保,檜山,None,140.287947,41.665154
None,3181,つ,水源涵養,木古内町,None,ブナ,0,None,None,32.95,水涵保,檜山,None,140.286334,41.664643
None,3181,た,水源涵養,木古内町,None,トドマツ,0,None,None,2.14,水涵保,檜山,None,140.284687,41.668449
None,3181,つ,水源涵養,木古内町,None,ブナ,0,None,None,32.95,水涵保,檜山,None,140.28392,41.670335
None,3181,か,水源涵養,木古内町,None,トドマツ,0,None,None,3.06,水涵保,檜山,None,140.285098,41.665655
None,3181,ロ,水源涵養,木古内町,None,None,0,None,None,3.32,水涵保,檜山,None,140.282509,41.666018
None,3181,ロ,水源涵養,木古内町,None,None,0,None,None,3.32,水涵保,檜山,None,140.2822,41.66439
None,3182,ロ,水源涵養,木古内町,None,None,0,None,None,2.25,水涵保,檜山,None,140.282893,41.66346
None,3051,ぬ,水源涵養,木古内町,None,ブナ,0,イタヤカエデ,None,8.6,None,檜山,None,140.443699,41.790451
None,3051,ニ,水源涵養,木古内町,None,None,1,None,None,0.82,None,檜山,None,140.443372,41.790538
None,3069,ハ,水源涵養,木古内町,None,None,1,None,None,0.06,None,檜山,None,140.434656,41.797278
None,3052,ニ,水源涵養,木古内町,None,None,1,None,None,0.11,None,檜山,None,140.438564,41.796228
None,3051,わ,水源涵養,木古内町,None,ブナ,0,他Ｌ,None,2.09,水涵保,檜山,None,140.439492,41.795237
None,3051,わ,水源涵養,木古内町,None,ブナ,0,他Ｌ,None,2.09,水涵保,檜山,None,140.439491,41.795791
None,3051,ぬ,水源涵養,木古内町,None,ブナ,0,イタヤカエデ,None,8.6,None,檜山,None,140.441144,41.794047
None,3051,ニ,水源涵養,木古内町,None,None,1,None,None,0.82,None,檜山,None,140.441209,41.793656
None,3051,ぬ,水源涵養,木古内町,None,ブナ,0,イタヤカエデ,None,8.6,None,檜山,None,140.440404,41.793141
None,3051,ほ,水源涵養,木古内町,None,トドマツ,0,None,None,8.69,水涵保,檜山,None,140.43811,41.791986
None,3052,ち,水源涵養,木古内町,None,イタヤカエデ,0,ブナ,None,2.65,水涵保,檜山,None,140.437651,41.796286
None,3051,に,水源涵養,木古内町,None,トドマツ,0,他Ｌ,None,9.24,水涵保,檜山,None,140.435675,41.794276
None,3069,へ,水源涵養,木古内町,None,ブナ,0,他Ｌ,None,26.17,水涵保,檜山,None,140.434836,41.796739
None,3069,と,水源涵養,木古内町,None,トドマツ,0,None,None,10.01,水涵保,檜山,None,140.434251,41.796656
None,3052,ち,水源涵養,木古内町,None,イタヤカエデ,0,ブナ,None,2.65,水涵保,檜山,None,140.433924,41.794099
