A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,330,イ,自然維持,東川町,None,None,0,None,None,1077.77,水涵保,上川中部,None,142.866864,43.64921
None,330,ロ,自然維持,東川町,None,None,0,None,None,186.13,水涵保,上川中部,保健保,142.836389,43.654001
天トドマツ,323,い,自然維持,東川町,None,他Ｌ,0,天エゾマツ,None,81.1,水涵保,上川中部,保健保,142.824696,43.646797
天アカエゾ,323,ろ,自然維持,東川町,None,天エゾマツ,0,天トドマツ,None,104.52,水涵保,上川中部,保健保,142.817475,43.644601
天アカエゾ,329,い,自然維持,東川町,None,天エゾマツ,0,カンバ,None,186.3,水涵保,上川中部,None,142.849646,43.632751
天トドマツ,325,い,自然維持,東川町,None,天エゾマツ,0,カンバ,None,86.98,水涵保,上川中部,None,142.835226,43.637997
天トドマツ,325,ろ,自然維持,東川町,None,天エゾマツ,0,天アカエゾ,None,380.05,水涵保,上川中部,None,142.825362,43.637224
他Ｌ,327,ろ,自然維持,東川町,None,天トドマツ,0,ミズナラ,None,42.38,水涵保,上川中部,None,142.813328,43.629811
天アカエゾ,328,ろ,自然維持,東川町,None,天エゾマツ,0,天トドマツ,None,127.89,水涵保,上川中部,None,142.838439,43.627287
天トドマツ,328,い,自然維持,東川町,None,他Ｌ,0,天エゾマツ,None,61.45,水涵保,上川中部,None,142.831623,43.624427
ミズナラ,327,い,自然維持,東川町,None,他Ｌ,0,天トドマツ,None,72.05,水涵保,上川中部,None,142.816496,43.62793
天アカエゾ,320,ほ,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,105.89,水涵保,上川中部,保健保,142.800272,43.644611
None,320,ナ,森林空間利用,東川町,None,None,0,None,None,0.05,水涵保,上川中部,保健保,142.797399,43.649301
他Ｌ,320,い,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,22.24,水涵保,上川中部,保健保,142.79619,43.648837
None,320,へ,森林空間利用,東川町,None,他Ｌ,0,カンバ,None,0.72,水涵保,上川中部,保健保,142.795277,43.648732
None,320,へ,森林空間利用,東川町,None,他Ｌ,0,カンバ,None,0.72,水涵保,上川中部,保健保,142.795484,43.648349
None,320,ト,森林空間利用,東川町,None,None,0,None,None,0.02,水涵保,上川中部,保健保,142.795058,43.648625
None,320,ソ,森林空間利用,東川町,None,None,0,None,None,0.03,None,上川中部,None,142.795349,43.648037
None,320,ル,森林空間利用,東川町,None,None,0,None,None,0.24,None,上川中部,None,142.795072,43.648196
他Ｌ,320,い,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,22.24,水涵保,上川中部,保健保,142.795528,43.647628
None,320,リ,森林空間利用,東川町,None,None,0,None,None,0.02,水涵保,上川中部,保健保,142.795958,43.648362
None,320,ホ,森林空間利用,東川町,None,None,0,None,None,0.3,水涵保,上川中部,保健保,142.795094,43.647471
None,320,イ,森林空間利用,東川町,None,None,0,None,None,0.09,水涵保,上川中部,保健保,142.794786,43.648466
None,320,ヨ,森林空間利用,東川町,None,None,0,None,None,0.11,水涵保,上川中部,保健保,142.79463,43.648211
None,320,イ,森林空間利用,東川町,None,None,0,None,None,0.09,水涵保,上川中部,保健保,142.794466,43.648325
None,320,ウ,森林空間利用,東川町,None,None,0,None,None,0.06,水涵保,上川中部,保健保,142.794729,43.647776
None,320,に,森林空間利用,東川町,None,他Ｌ,0,カンバ,None,0.3,水涵保,上川中部,保健保,142.794795,43.647897
None,320,ヨ,森林空間利用,東川町,None,None,0,None,None,0.11,水涵保,上川中部,保健保,142.794984,43.647884
None,320,に,森林空間利用,東川町,None,他Ｌ,0,カンバ,None,0.3,水涵保,上川中部,保健保,142.794549,43.647751
None,320,ヨ,森林空間利用,東川町,None,None,0,None,None,0.11,水涵保,上川中部,保健保,142.794657,43.647408
None,320,ヘ,森林空間利用,東川町,None,None,0,None,None,0.13,水涵保,上川中部,保健保,142.795213,43.646957
None,320,ホ,森林空間利用,東川町,None,None,0,None,None,0.3,水涵保,上川中部,保健保,142.795201,43.647096
None,320,オ,森林空間利用,東川町,None,None,0,None,None,0.23,水涵保,上川中部,保健保,142.795268,43.646271
None,320,ツ,森林空間利用,東川町,None,None,0,None,None,0.13,None,上川中部,None,142.795094,43.6464
None,320,ネ,森林空間利用,東川町,None,None,0,None,None,0.05,水涵保,上川中部,保健保,142.794861,43.647133
None,320,ネ,森林空間利用,東川町,None,None,0,None,None,0.05,水涵保,上川中部,保健保,142.794667,43.647221
None,320,レ,森林空間利用,東川町,None,None,0,None,None,0.14,None,上川中部,None,142.794874,43.646891
None,320,ハ,森林空間利用,東川町,None,None,0,None,None,0.01,水涵保,上川中部,保健保,142.794983,43.646656
None,320,ニ,森林空間利用,東川町,None,None,0,None,None,0.42,水涵保,上川中部,保健保,142.7945,43.647022
None,320,オ,森林空間利用,東川町,None,None,0,None,None,0.23,水涵保,上川中部,保健保,142.794882,43.6462
None,320,タ,森林空間利用,東川町,None,None,0,None,None,0.2,None,上川中部,None,142.794483,43.646174
None,320,カ,森林空間利用,東川町,None,None,0,None,None,0.04,None,上川中部,None,142.793788,43.646732
None,320,チ,森林空間利用,東川町,None,None,0,None,None,0.01,None,上川中部,None,142.793426,43.647056
None,320,カ,森林空間利用,東川町,None,None,0,None,None,0.04,None,上川中部,None,142.793383,43.64636
None,320,ヌ,森林空間利用,東川町,None,None,0,None,None,2.71,水涵保,上川中部,None,142.792292,43.646547
他Ｌ,320,い,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,22.24,水涵保,上川中部,保健保,142.792713,43.642007
None,320,ワ,森林空間利用,東川町,None,None,0,None,None,0.35,水涵保,上川中部,None,142.792989,43.646802
None,320,カ,森林空間利用,東川町,None,None,0,None,None,0.04,None,上川中部,None,142.792707,43.646157
None,320,カ,森林空間利用,東川町,None,None,0,None,None,0.04,None,上川中部,None,142.792351,43.646016
他Ｌ,320,は,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,2.19,水涵保,上川中部,None,142.791063,43.645956
他Ｌ,320,い,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,22.24,水涵保,上川中部,保健保,142.789675,43.645436
他Ｌ,320,ろ,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,40.95,水涵保,上川中部,保健保,142.789024,43.642598
他Ｌ,318,ち,森林空間利用,東川町,None,天エゾマツ,0,天トドマツ,None,87.79,水涵保,上川中部,None,142.779372,43.64025
天トドマツ,317,ぬ,森林空間利用,東川町,None,天エゾマツ,0,他Ｌ,None,18.5,水涵保,上川中部,None,142.773685,43.643679
None,317,ハ,森林空間利用,東川町,None,None,0,None,None,3.65,None,上川中部,None,142.761404,43.641245
