A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,3232,ニ,自然維持,枝幸町,None,None,0,None,None,0.01,土崩保,宗谷,保健保,142.50117,45.058781
None,3232,イ,自然維持,枝幸町,None,None,0,None,None,4.61,土崩保,宗谷,保健保,142.499749,45.057045
None,3238,は,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,None,None,1.85,土流保,宗谷,保健保,142.558495,44.976074
None,3238,チ,山地災害防止（土砂）,枝幸町,None,None,0,None,None,0.01,None,宗谷,None,142.558833,44.975918
None,3238,は,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,None,None,1.85,土流保,宗谷,保健保,142.559231,44.975536
ハンノキ,3238,め,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,ダケカンバ,None,2.41,土流保,宗谷,保健保,142.560229,44.974115
None,3236,ト,山地災害防止（土砂）,枝幸町,None,None,0,None,None,0.01,土流保,宗谷,None,142.527722,45.0254
シナノキ,3236,に,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,カンバ,None,18.38,土流保,宗谷,None,142.529058,45.024306
None,3236,ヘ,山地災害防止（土砂）,枝幸町,None,None,0,None,None,0.01,土流保,宗谷,None,142.529053,45.024096
None,3236,よ,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,None,None,5.0,土流保,宗谷,None,142.529477,45.021374
None,3236,は,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,5.0,土流保,宗谷,None,142.529179,45.018572
None,3236,は,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,5.0,土流保,宗谷,None,142.529397,45.015983
None,3236,ろ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,None,None,7.19,土流保,宗谷,None,142.522861,45.023142
None,3236,い,山地災害防止（土砂）,枝幸町,None,トドマツ,0,カンバ,None,9.99,土流保,宗谷,None,142.525624,45.024893
シナノキ,3236,に,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,カンバ,None,18.38,土流保,宗谷,None,142.527205,45.021907
None,3236,る,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,6.45,土流保,宗谷,None,142.525711,45.020428
None,3236,ハ,山地災害防止（土砂）,枝幸町,None,None,0,None,None,0.05,None,宗谷,None,142.52377,45.0212
None,3236,ぬ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,9.2,土流保,宗谷,None,142.525022,45.018366
シナノキ,3237,ぬ,山地災害防止（気象）,枝幸町,None,他Ｌ,0,カンバ,None,2.18,土流保,宗谷,魚付保,142.526531,45.016426
None,3237,ま,山地災害防止（気象）,枝幸町,None,アカエゾマツ,0,None,None,2.42,土流保,宗谷,魚付保,142.526039,45.015002
None,3237,へ,山地災害防止（気象）,枝幸町,None,エゾマツ,0,他Ｌ,None,0.75,土流保,宗谷,魚付保,142.527397,45.014345
None,3236,と,山地災害防止（土砂）,枝幸町,None,トドマツ,0,カンバ,None,10.9,土流保,宗谷,None,142.522467,45.019381
None,3236,ほ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,カンバ,None,18.2,土流保,宗谷,None,142.519498,45.017484
カンバ,3236,か,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,ミズナラ,None,2.31,土流保,宗谷,None,142.518234,45.023484
カンバ,3236,へ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,トドマツ,None,23.2,土流保,宗谷,None,142.518865,45.021324
シナノキ,3236,わ,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,カンバ,None,33.1,土流保,宗谷,None,142.514914,45.0214
None,3236,ち,山地災害防止（土砂）,枝幸町,None,トドマツ,0,None,None,7.05,土流保,宗谷,None,142.515736,45.016886
None,3236,そ,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,None,None,0.55,土流保,宗谷,None,142.516219,45.015884
None,3237,た,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,8.51,土流保,宗谷,None,142.516398,45.015254
None,3236,お,山地災害防止（土砂）,枝幸町,None,トドマツ,0,None,None,2.6,土流保,宗谷,None,142.51369,45.01874
None,3236,つ,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,None,None,0.33,土流保,宗谷,None,142.512645,45.017396
None,3236,つ,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,None,None,0.33,土流保,宗谷,None,142.512098,45.017092
None,3237,そ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,2.15,土流保,宗谷,None,142.514096,45.01615
None,3237,そ,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,2.15,土流保,宗谷,None,142.512614,45.01639
None,3237,た,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,8.51,土流保,宗谷,None,142.512375,45.014703
None,3234,い,山地災害防止（土砂）,枝幸町,None,トドマツ,0,カンバ,None,2.84,土流保,宗谷,None,142.504657,45.028944
天トドマツ,3235,ぬ,山地災害防止（土砂）,枝幸町,None,カンバ,0,他Ｌ,None,79.32,土流保,宗谷,None,142.504987,45.027973
シナノキ,3234,ほ,山地災害防止（土砂）,枝幸町,None,他Ｌ,0,天トドマツ,None,0.66,土流保,宗谷,None,142.504656,45.028442
None,3234,イ,山地災害防止（土砂）,枝幸町,None,None,0,None,None,1.71,None,宗谷,None,142.504252,45.028518
None,3235,と,山地災害防止（土砂）,枝幸町,None,トドマツ,0,他Ｌ,None,6.76,土流保,宗谷,None,142.505007,45.027118
天トドマツ,3235,ぬ,山地災害防止（土砂）,枝幸町,None,カンバ,0,他Ｌ,None,79.32,土流保,宗谷,None,142.50474,45.026269
None,3235,る,山地災害防止（土砂）,枝幸町,None,アカエゾマツ,0,None,None,3.2,土流保,宗谷,None,142.50564,45.025752
None,3235,ロ,山地災害防止（土砂）,枝幸町,None,None,0,None,None,0.77,None,宗谷,None,142.503988,45.026596
None,3234,い,山地災害防止（土砂）,枝幸町,None,トドマツ,0,カンバ,None,2.84,土流保,宗谷,None,142.503235,45.029172
