A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
イタヤカエデ,2459,か,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,1.09,水涵保,空知,None,141.939924,42.996577
None,2459,ら,水源涵養,栗山町,None,トドマツ,0,None,None,0.45,水涵保,空知,None,141.941353,42.99598
イタヤカエデ,2459,い,水源涵養,栗山町,None,他Ｌ,2,トドマツ,None,15.29,水涵保,空知,None,141.940018,42.991205
イタヤカエデ,2459,な,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,0.3,水涵保,空知,None,141.939449,42.99603
イタヤカエデ,2459,つ,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,2.44,水涵保,空知,None,141.938232,42.994766
イタヤカエデ,2459,よ,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,2.75,水涵保,空知,None,141.934736,42.996151
イタヤカエデ,2459,そ,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,2.01,水涵保,空知,None,141.935127,42.995279
None,2437,ろ,水源涵養,栗山町,None,トドマツ,0,None,None,4.23,水涵保,空知,None,141.909829,43.032605
トドマツ,2437,い,水源涵養,栗山町,None,他Ｌ,0,シナノキ,None,5.63,水涵保,空知,None,141.9074,43.033214
None,2437,ち,水源涵養,栗山町,None,トドマツ,0,None,None,2.02,水涵保,空知,None,141.903842,43.03321
None,2437,へ,水源涵養,栗山町,None,トドマツ,0,None,None,2.12,水涵保,空知,None,141.902746,43.032607
None,2437,と,水源涵養,栗山町,None,トドマツ,0,None,None,4.52,水涵保,空知,None,141.908246,43.031608
None,2437,は,水源涵養,栗山町,None,ストローブマツ,0,None,None,14.24,水涵保,空知,None,141.909435,43.029833
None,2437,に,水源涵養,栗山町,None,ストローブマツ,0,None,None,12.0,水涵保,空知,None,141.91004,43.02789
シナノキ,2437,り,水源涵養,栗山町,None,他Ｌ,0,トドマツ,None,5.75,水涵保,空知,None,141.904932,43.034268
None,2439,ほ,水源涵養,栗山町,None,ヤチダモ,0,None,None,3.02,水涵保,空知,None,141.911463,43.021748
None,2439,か,水源涵養,栗山町,None,トドマツ,0,None,None,1.7,水涵保,空知,None,141.909539,43.021002
None,2439,へ,水源涵養,栗山町,None,カラマツ,0,None,None,9.19,水涵保,空知,None,141.909858,43.019627
None,2439,イ,水源涵養,栗山町,None,None,0,None,None,0.01,None,空知,None,141.909936,43.016852
None,2439,ろ,水源涵養,栗山町,None,カラマツ,0,None,None,13.34,水涵保,空知,None,141.907762,43.017703
None,2439,に,水源涵養,栗山町,None,トドマツ,0,トドマツ,None,8.99,水涵保,空知,None,141.904576,43.016823
トドマツ,2458,い,水源涵養,栗山町,None,他Ｌ,2,イタヤカエデ,None,10.8,水涵保,空知,None,141.930816,42.995116
イタヤカエデ,2458,い,水源涵養,栗山町,None,他Ｌ,1,トドマツ,None,32.7,水涵保,空知,None,141.929384,42.995056
None,2439,る,水源涵養,栗山町,None,ストローブマツ,0,None,None,0.6,水涵保,空知,None,141.90793,43.016107
None,2439,わ,水源涵養,栗山町,None,トドマツ,0,None,None,0.29,水涵保,空知,None,141.906889,43.014358
None,2439,ぬ,水源涵養,栗山町,None,ストローブマツ,0,None,None,0.17,水涵保,空知,None,141.906334,43.014273
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.908941,43.011956
None,2442,へ,水源涵養,栗山町,None,トドマツ,0,None,None,2.85,水涵保,空知,None,141.907936,43.013347
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.908105,43.012329
None,2439,ち,水源涵養,栗山町,None,カラマツ,0,None,None,3.64,水涵保,空知,None,141.907017,43.015129
None,2439,り,水源涵養,栗山町,None,ストローブマツ,0,None,None,3.34,水涵保,空知,None,141.904131,43.014279
None,2442,へ,水源涵養,栗山町,None,トドマツ,0,None,None,2.85,水涵保,空知,None,141.906234,43.012366
シナノキ,2442,た,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,5.31,水涵保,空知,None,141.903348,43.012713
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.905263,43.011327
None,2442,ホ,水源涵養,栗山町,None,None,1,None,None,0.24,None,空知,None,141.904388,43.012431
None,2442,イ,水源涵養,栗山町,None,None,0,None,None,0.65,None,空知,None,141.908771,43.008612
シナノキ,2442,よ,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.76,水涵保,空知,None,141.90738,43.010085
None,2442,ち,水源涵養,栗山町,None,トドマツ,0,None,None,4.14,水涵保,空知,None,141.908367,43.007618
None,2442,ろ,水源涵養,栗山町,None,トドマツ,0,None,None,3.5,水涵保,空知,None,141.906386,43.008573
None,2442,り,水源涵養,栗山町,None,トドマツ,0,None,None,0.84,水涵保,空知,None,141.907225,43.007291
None,2442,り,水源涵養,栗山町,None,トドマツ,0,None,None,0.84,水涵保,空知,None,141.906489,43.007077
シナノキ,2442,か,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,3.4,水涵保,空知,None,141.90836,43.005834
None,2442,は,水源涵養,栗山町,None,トドマツ,0,None,None,0.97,水涵保,空知,None,141.907038,43.006643
None,2442,は,水源涵養,栗山町,None,トドマツ,0,None,None,0.97,水涵保,空知,None,141.906379,43.006425
シナノキ,2442,か,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,3.4,水涵保,空知,None,141.907184,43.005682
None,2442,ち,水源涵養,栗山町,None,トドマツ,0,None,None,4.14,水涵保,空知,None,141.905483,43.008487
None,2442,ち,水源涵養,栗山町,None,トドマツ,0,None,None,4.14,水涵保,空知,None,141.905185,43.008994
シナノキ,2443,い,水源涵養,栗山町,None,トドマツ,1,他Ｌ,None,1.69,水涵保,空知,None,141.905031,43.008756
シナノキ,2443,い,水源涵養,栗山町,None,他Ｌ,2,トドマツ,None,1.73,水涵保,空知,None,141.903341,43.010466
None,2443,ニ,水源涵養,栗山町,None,None,0,None,None,0.04,水涵保,空知,None,141.902749,43.009819
None,2443,よ,水源涵養,栗山町,None,トドマツ,0,None,None,5.29,水涵保,空知,None,141.904038,43.008783
None,2443,ハ,水源涵養,栗山町,None,None,0,None,None,0.38,水涵保,空知,None,141.903115,43.009326
None,2443,イ,水源涵養,栗山町,None,None,0,None,None,2.16,None,空知,None,141.900052,43.009779
None,2442,ろ,水源涵養,栗山町,None,トドマツ,0,None,None,3.5,水涵保,空知,None,141.905552,43.007753
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.905656,43.007221
シナノキ,2443,い,水源涵養,栗山町,None,トドマツ,1,他Ｌ,None,1.69,水涵保,空知,None,141.904734,43.007727
None,2445,ハ,水源涵養,栗山町,None,None,0,None,None,1.33,水涵保,空知,None,141.905223,43.007004
None,2445,ロ,水源涵養,栗山町,None,None,0,None,None,0.04,水涵保,空知,None,141.905343,43.007033
None,2443,ハ,水源涵養,栗山町,None,None,0,None,None,0.38,水涵保,空知,None,141.905168,43.00711
None,2443,ニ,水源涵養,栗山町,None,None,0,None,None,0.04,水涵保,空知,None,141.905294,43.007139
シナノキ,2443,い,水源涵養,栗山町,None,トドマツ,1,他Ｌ,None,1.69,水涵保,空知,None,141.904268,43.00732
None,2442,ハ,水源涵養,栗山町,None,None,0,None,None,1.08,水涵保,空知,None,141.905741,43.006423
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.906447,43.00596
None,2445,へ,水源涵養,栗山町,None,トドマツ,0,None,None,2.0,水涵保,空知,None,141.905123,43.006582
None,2443,ロ,水源涵養,栗山町,None,None,0,None,None,0.75,None,空知,None,141.904299,43.007688
None,2443,ち,水源涵養,栗山町,None,トドマツ,0,None,None,4.98,水涵保,空知,None,141.903629,43.007091
シナノキ,2445,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,13.32,水涵保,空知,None,141.90425,43.006799
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.913053,43.001634
None,2442,と,水源涵養,栗山町,None,トドマツ,0,None,None,5.98,水涵保,空知,None,141.911988,43.001062
シナノキ,2449,へ,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,13.2,水涵保,空知,None,141.915486,42.995171
シナノキ,2449,と,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,11.73,水涵保,空知,None,141.911953,42.998276
None,2449,は,水源涵養,栗山町,None,トドマツ,0,None,None,2.09,水涵保,空知,None,141.91368,42.996975
None,2449,ハ,水源涵養,栗山町,None,None,0,None,None,0.05,水涵保,空知,None,141.910375,42.996938
None,2449,ロ,水源涵養,栗山町,None,None,0,None,None,0.95,水涵保,空知,None,141.91047,42.996429
ミズナラ,2449,ち,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,6.02,水涵保,空知,None,141.910736,42.996044
None,2442,イ,水源涵養,栗山町,None,None,0,None,None,0.65,None,空知,None,141.908039,43.004828
シナノキ,2442,わ,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,3.17,水涵保,空知,None,141.910255,43.002943
イタヤカエデ,2442,い,水源涵養,栗山町,None,トドマツ,0,他Ｌ,None,17.62,水涵保,空知,None,141.908978,43.004644
None,2442,ぬ,水源涵養,栗山町,None,トドマツ,0,None,None,0.57,水涵保,空知,None,141.908622,43.004011
None,2442,に,水源涵養,栗山町,None,トドマツ,0,None,None,0.42,水涵保,空知,None,141.907519,43.004916
None,2442,ハ,水源涵養,栗山町,None,None,0,None,None,1.08,水涵保,空知,None,141.906767,43.004946
