A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,101,へ,水源涵養,標津町,None,アカエゾマツ,0,ダケカンバ,None,7.09,水涵保,根釧東部,None,145.04986,43.86112
None,101,ろ,水源涵養,標津町,None,アカエゾマツ,0,ダケカンバ,None,3.29,水涵保,根釧東部,None,145.048048,43.862226
天エゾマツ,101,と,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,101.24,水涵保,根釧東部,None,145.048298,43.864106
None,101,は,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,11.17,水涵保,根釧東部,None,145.043998,43.859486
None,100,ち,水源涵養,標津町,None,アカエゾマツ,0,ダケカンバ,None,14.31,水涵保,根釧東部,None,145.049282,43.856667
天トドマツ,100,か,水源涵養,標津町,None,ダケカンバ,0,天エゾマツ,None,101.45,水涵保,根釧東部,None,145.057043,43.853252
None,100,ち,水源涵養,標津町,None,アカエゾマツ,3,ダケカンバ,None,4.5,水涵保,根釧東部,None,145.047432,43.85446
天エゾマツ,101,と,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,101.24,水涵保,根釧東部,None,145.041242,43.858105
None,100,ち,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,6.68,水涵保,根釧東部,None,145.04413,43.856843
None,100,ち,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,7.04,水涵保,根釧東部,None,145.043293,43.854334
None,101,は,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,10.38,水涵保,根釧東部,None,145.04237,43.862082
None,101,は,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,11.17,水涵保,根釧東部,None,145.038086,43.860919
None,101,は,水源涵養,標津町,None,アカエゾマツ,1,他Ｌ,None,9.44,水涵保,根釧東部,None,145.037004,43.861454
None,101,は,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,11.17,水涵保,根釧東部,None,145.037147,43.859218
None,101,は,水源涵養,標津町,None,アカエゾマツ,1,他Ｌ,None,9.44,水涵保,根釧東部,None,145.039621,43.859522
None,101,は,水源涵養,標津町,None,トドマツ,3,他Ｌ,None,4.0,水涵保,根釧東部,None,145.038903,43.857284
None,100,り,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,6.33,水涵保,根釧東部,None,145.039084,43.854665
None,101,に,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,14.01,水涵保,根釧東部,None,145.033404,43.862903
None,101,は,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,11.17,水涵保,根釧東部,None,145.034805,43.860478
天エゾマツ,101,と,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,101.24,水涵保,根釧東部,None,145.030397,43.86465
None,101,イ,水源涵養,標津町,None,None,0,None,None,2.7,None,根釧東部,None,145.032467,43.862493
None,101,に,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,11.79,水涵保,根釧東部,None,145.027964,43.864554
None,101,に,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,14.01,水涵保,根釧東部,None,145.030283,43.861132
None,101,は,水源涵養,標津町,None,トドマツ,4,他Ｌ,None,12.06,水涵保,根釧東部,None,145.034209,43.857738
None,100,イ,水源涵養,標津町,None,None,0,None,None,3.1,None,根釧東部,None,145.031754,43.855154
None,100,り,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,5.29,水涵保,根釧東部,None,145.032252,43.854697
None,100,り,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,5.29,水涵保,根釧東部,None,145.030953,43.856011
None,108,イ,水源涵養,標津町,None,None,0,None,None,0.8,None,根釧東部,None,145.015403,43.875301
None,108,ほ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,7.77,水涵保,根釧東部,None,145.008586,43.878118
天トドマツ,108,る,水源涵養,標津町,None,ハンノキ,0,ダケカンバ,None,77.57,水涵保,根釧東部,None,145.004538,43.880922
None,108,ろ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,2.5,水涵保,根釧東部,None,145.000427,43.884022
None,108,に,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,12.81,水涵保,根釧東部,None,145.001469,43.881282
天トドマツ,108,お,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,23.53,水涵保,根釧東部,None,144.99731,43.88501
None,108,は,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,7.06,水涵保,根釧東部,None,145.003345,43.878248
None,104,は,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,4.54,水涵保,根釧東部,None,144.996532,43.878068
None,101,に,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,5.63,水涵保,根釧東部,None,145.024506,43.866459
None,102,り,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,7.01,水涵保,根釧東部,None,145.020461,43.867927
None,101,に,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,5.63,水涵保,根釧東部,None,145.022941,43.865213
天トドマツ,102,つ,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,97.11,水涵保,根釧東部,None,145.020643,43.86721
None,102,わ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,3.94,水涵保,根釧東部,None,145.021444,43.866756
None,102,り,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,7.01,水涵保,根釧東部,None,145.019654,43.866135
天トドマツ,108,る,水源涵養,標津町,None,ハンノキ,0,ダケカンバ,None,77.57,水涵保,根釧東部,None,145.019009,43.870959
None,108,り,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,0.92,水涵保,根釧東部,None,145.016862,43.872313
他Ｌ,104,に,水源涵養,標津町,None,アカエゾマツ,2,トドマツ,None,8.47,水涵保,根釧東部,None,145.013588,43.870482
None,108,ち,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,6.19,水涵保,根釧東部,None,145.012647,43.874579
他Ｌ,104,に,水源涵養,標津町,None,アカエゾマツ,2,トドマツ,None,8.47,水涵保,根釧東部,None,145.013782,43.871826
None,104,う,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,3.69,水涵保,根釧東部,None,145.0123,43.871384
None,104,う,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,3.69,水涵保,根釧東部,None,145.011987,43.870215
None,102,な,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,1.56,水涵保,根釧東部,None,145.016791,43.868132
None,102,ふ,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,2.69,水涵保,根釧東部,None,145.017666,43.864827
天トドマツ,102,つ,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,97.11,水涵保,根釧東部,None,145.015232,43.867547
天トドマツ,102,つ,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,97.11,水涵保,根釧東部,None,145.012629,43.868291
None,102,ぬ,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,9.74,水涵保,根釧東部,None,145.014568,43.866224
None,101,に,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,11.79,水涵保,根釧東部,None,145.025668,43.863531
None,101,ほ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,1.08,水涵保,根釧東部,None,145.024045,43.861416
None,101,ロ,水源涵養,標津町,None,None,0,None,None,2.28,水涵保,根釧東部,None,145.022586,43.861433
None,100,ロ,水源涵養,標津町,None,None,0,None,None,2.85,水涵保,根釧東部,None,145.025634,43.859564
None,100,り,水源涵養,標津町,None,トドマツ,2,他Ｌ,None,7.81,水涵保,根釧東部,None,145.027134,43.856191
天トドマツ,100,か,水源涵養,標津町,None,ダケカンバ,0,天エゾマツ,None,101.45,水涵保,根釧東部,None,145.021456,43.859509
None,100,お,水源涵養,標津町,None,アカエゾマツ,0,None,None,1.58,水涵保,根釧東部,None,145.023958,43.854963
None,100,ハ,水源涵養,標津町,None,None,0,None,None,0.68,水涵保,根釧東部,None,145.023346,43.859075
None,100,ほ,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,14.73,水涵保,根釧東部,None,145.02183,43.857198
None,102,り,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,9.82,水涵保,根釧東部,None,145.019473,43.862866
None,102,ろ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,1.01,水涵保,根釧東部,None,145.015847,43.863912
None,102,り,水源涵養,標津町,None,トドマツ,1,他Ｌ,None,3.71,水涵保,根釧東部,None,145.013887,43.862367
天トドマツ,102,つ,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,97.11,水涵保,根釧東部,None,145.007439,43.864803
天トドマツ,100,る,水源涵養,標津町,None,ダケカンバ,0,他Ｌ,None,39.85,水涵保,根釧東部,None,145.008586,43.857213
None,99,ニ,水源涵養,標津町,None,None,0,None,None,7.3,水涵保,根釧東部,None,145.017136,43.855265
None,108,と,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,7.69,水涵保,根釧東部,None,145.010296,43.876201
None,108,ぬ,水源涵養,標津町,None,アカエゾマツ,0,他Ｌ,None,0.72,水涵保,根釧東部,None,145.009733,43.874718
他Ｌ,104,に,水源涵養,標津町,None,トドマツ,1,アカエゾマツ,None,10.62,水涵保,根釧東部,None,145.008864,43.871634
None,108,へ,水源涵養,標津町,None,トドマツ,0,他Ｌ,None,6.88,水涵保,根釧東部,None,145.006675,43.875028
