A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,81,に,山地災害防止（気象）,江別市,None,ドロノキ,0,シラカバ,None,0.72,防風保,石狩,None,141.576181,43.168059
None,81,は,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.15,防風保,石狩,None,141.575054,43.167963
None,81,へ,山地災害防止（気象）,江別市,None,アカエゾマツ,0,ドロノキ,None,0.79,防風保,石狩,None,141.574375,43.16791
None,81,ろ,山地災害防止（気象）,江別市,None,カラマツ,0,ヤチダモ,None,1.37,防風保,石狩,None,141.573544,43.167841
None,81,ロ,山地災害防止（気象）,江別市,None,None,0,None,None,0.05,None,石狩,None,141.573205,43.167813
None,81,ろ,山地災害防止（気象）,江別市,None,カラマツ,0,ヤチダモ,None,1.37,防風保,石狩,None,141.572816,43.167786
None,81,イ,山地災害防止（気象）,江別市,None,None,1,None,None,0.29,None,石狩,None,141.571995,43.167717
None,81,イ,山地災害防止（気象）,江別市,None,None,2,None,None,0.03,防風保,石狩,None,141.571677,43.167698
None,81,ろ,山地災害防止（気象）,江別市,None,カラマツ,0,ヤチダモ,None,1.37,防風保,石狩,None,141.570578,43.167602
None,81,い,山地災害防止（気象）,江別市,None,カラマツ,0,None,None,0.46,防風保,石狩,None,141.569292,43.167497
None,81,ほ,山地災害防止（気象）,江別市,None,アカエゾマツ,0,ドロノキ,None,1.27,防風保,石狩,None,141.567605,43.167362
None,80,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.23,防風保,石狩,None,141.561919,43.155922
None,80,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.96,防風保,石狩,None,141.561516,43.155883
None,80,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.23,防風保,石狩,None,141.562057,43.154976
None,80,ハ,山地災害防止（気象）,江別市,None,None,2,None,None,0.2,防風保,石狩,None,141.561971,43.155174
None,80,ロ,山地災害防止（気象）,江別市,None,None,0,None,None,0.33,None,石狩,None,141.561459,43.153749
None,80,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.96,防風保,石狩,None,141.561879,43.154715
None,80,ハ,山地災害防止（気象）,江別市,None,None,1,None,None,0.35,None,石狩,None,141.561658,43.155262
None,80,イ,山地災害防止（気象）,江別市,None,None,0,None,None,0.17,None,石狩,None,141.561107,43.156097
None,80,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.96,防風保,石狩,None,141.561763,43.15413
None,80,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.23,防風保,石狩,None,141.562207,43.153951
None,80,ほ,山地災害防止（気象）,江別市,None,シラカバ,0,アカエゾマツ,None,1.75,防風保,石狩,None,141.561958,43.1534
None,80,ほ,山地災害防止（気象）,江別市,None,シラカバ,0,アカエゾマツ,None,1.75,防風保,石狩,None,141.562143,43.152135
None,80,ニ,山地災害防止（気象）,江別市,None,None,0,None,None,0.17,None,石狩,None,141.561882,43.151121
None,80,に,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.2,防風保,石狩,None,141.562872,43.149809
None,80,は,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.96,防風保,石狩,None,141.562366,43.150335
None,79,ロ,山地災害防止（気象）,江別市,None,None,0,None,None,0.02,防風保,石狩,None,141.563973,43.141523
None,79,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.19,防風保,石狩,None,141.563765,43.141377
None,79,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,1.02,防風保,石狩,None,141.563648,43.14196
None,79,イ,山地災害防止（気象）,江別市,None,None,0,None,None,0.09,None,石狩,None,141.563147,43.142316
None,79,ロ,山地災害防止（気象）,江別市,None,None,0,None,None,0.02,防風保,石狩,None,141.563306,43.141451
None,79,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,1.02,防風保,石狩,None,141.56326,43.141498
None,79,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,None,None,0.19,防風保,石狩,None,141.563347,43.14132
None,79,は,山地災害防止（気象）,江別市,None,ドロノキ,0,カンバ,None,1.33,防風保,石狩,None,141.563818,43.14056
None,78,に,山地災害防止（気象）,江別市,None,ドロノキ,0,ヤチダモ,None,2.12,防風保,石狩,None,141.529886,43.152774
None,78,ほ,山地災害防止（気象）,江別市,None,アカエゾマツ,0,ドロノキ,None,0.37,防風保,石狩,None,141.528204,43.15297
None,78,イ,山地災害防止（気象）,江別市,None,None,0,None,None,0.02,防風保,石狩,None,141.528522,43.153197
None,78,は,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,0.58,防風保,石狩,None,141.527674,43.152857
None,78,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,5.16,防風保,石狩,None,141.526553,43.152783
None,78,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,0.89,防風保,石狩,None,141.524303,43.152122
None,78,ロ,山地災害防止（気象）,江別市,None,None,0,None,None,0.08,None,石狩,None,141.523348,43.151983
None,78,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,0.89,防風保,石狩,None,141.523194,43.152132
None,78,ろ,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,0.89,防風保,石狩,None,141.523506,43.151762
None,78,い,山地災害防止（気象）,江別市,None,ヤチダモ,0,他Ｌ,None,5.16,防風保,石狩,None,141.521431,43.151859
None,31,い,森林空間利用,江別市,None,トドマツ,10,None,None,0.12,水涵保,石狩,None,141.531518,43.078137
None,31,い,森林空間利用,江別市,None,ヤチダモ,16,None,None,0.16,水涵保,石狩,None,141.533428,43.076703
トドマツ,31,い,森林空間利用,江別市,None,アカエゾマツ,20,他Ｌ,None,0.3,水涵保,石狩,None,141.534082,43.076196
None,31,い,森林空間利用,江別市,None,ドロノキ,18,None,None,0.15,水涵保,石狩,None,141.533715,43.076478
None,31,い,森林空間利用,江別市,None,オニグルミ,19,ドロノキ,None,0.06,水涵保,石狩,None,141.533675,43.07596
None,31,い,森林空間利用,江別市,None,ヤチダモ,13,オニグルミ,None,0.18,水涵保,石狩,None,141.532504,43.077413
