A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,15,め,山地災害防止（土砂）,清水町,None,他Ｌ,0,None,None,0.96,土流保,十勝西部,None,142.845115,43.006905
None,15,さ,山地災害防止（土砂）,清水町,None,アカエゾマツ,0,他Ｌ,None,1.98,土流保,十勝西部,None,142.844171,43.00723
他Ｌ,15,く,山地災害防止（土砂）,清水町,None,トドマツ,0,カラマツ,None,3.62,土流保,十勝西部,None,142.844731,43.006146
他Ｌ,15,ゆ,山地災害防止（土砂）,清水町,None,ミズナラ,0,シナノキ,None,7.91,土流保,十勝西部,None,142.843264,43.00786
None,15,あ,山地災害防止（土砂）,清水町,None,トドマツ,0,他Ｌ,None,2.33,土流保,十勝西部,None,142.843255,43.006945
None,15,ロ,山地災害防止（土砂）,清水町,None,None,0,None,None,4.91,None,十勝西部,None,142.842103,43.007581
他Ｌ,15,ゆ,山地災害防止（土砂）,清水町,None,ミズナラ,0,シナノキ,None,7.91,土流保,十勝西部,None,142.842482,43.007316
None,15,さ,山地災害防止（土砂）,清水町,None,アカエゾマツ,0,他Ｌ,None,1.98,土流保,十勝西部,None,142.843215,43.0056
None,15,あ,山地災害防止（土砂）,清水町,None,トドマツ,0,他Ｌ,None,2.33,土流保,十勝西部,None,142.842879,43.006817
ミズナラ,15,う,山地災害防止（土砂）,清水町,None,他Ｌ,1,トドマツ,None,3.89,土流保,十勝西部,None,142.841405,43.007791
None,15,う,山地災害防止（土砂）,清水町,None,トドマツ,0,ダケカンバ,None,5.03,土流保,十勝西部,None,142.841134,43.006015
ミズナラ,15,う,山地災害防止（土砂）,清水町,None,他Ｌ,1,トドマツ,None,3.89,土流保,十勝西部,None,142.840608,43.005881
None,15,め,山地災害防止（土砂）,清水町,None,他Ｌ,0,None,None,0.96,土流保,十勝西部,None,142.846109,43.002927
他Ｌ,15,く,山地災害防止（土砂）,清水町,None,トドマツ,0,カラマツ,None,3.62,土流保,十勝西部,None,142.843925,43.004838
None,15,ロ,山地災害防止（土砂）,清水町,None,None,0,None,None,4.91,None,十勝西部,None,142.84445,43.003987
None,15,め,山地災害防止（土砂）,清水町,None,他Ｌ,0,None,None,0.96,土流保,十勝西部,None,142.845521,43.003523
None,15,さ,山地災害防止（土砂）,清水町,None,アカエゾマツ,0,他Ｌ,None,1.98,土流保,十勝西部,None,142.845262,43.003708
None,15,こ,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,0.76,土流保,十勝西部,None,142.845261,43.003413
None,15,さ,山地災害防止（土砂）,清水町,None,アカエゾマツ,0,他Ｌ,None,1.98,土流保,十勝西部,None,142.844141,43.003807
None,15,こ,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,0.76,土流保,十勝西部,None,142.844651,43.003006
ダケカンバ,15,ま,山地災害防止（土砂）,清水町,None,カラマツ,0,トドマツ,None,0.9,土流保,十勝西部,None,142.845645,43.002755
None,15,ロ,山地災害防止（土砂）,清水町,None,None,0,None,None,4.91,None,十勝西部,None,142.845263,43.002887
None,15,さ,山地災害防止（土砂）,清水町,None,アカエゾマツ,1,None,None,0.19,土流保,十勝西部,None,142.844266,43.002692
天トドマツ,15,き,山地災害防止（土砂）,清水町,None,他Ｌ,1,ダケカンバ,None,2.39,土流保,十勝西部,None,142.843346,43.003817
None,15,あ,山地災害防止（土砂）,清水町,None,トドマツ,0,他Ｌ,None,2.33,土流保,十勝西部,None,142.841615,43.004388
None,16,ろ,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,0.53,土流保,十勝西部,None,142.843795,43.002422
None,16,ろ,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,0.53,土流保,十勝西部,None,142.843294,43.002228
None,16,ろ,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,0.53,土流保,十勝西部,None,142.842645,43.001963
None,16,ま,山地災害防止（土砂）,清水町,None,トドマツ,0,None,None,3.64,土流保,十勝西部,None,142.84045,43.002649
他Ｌ,16,ほ,山地災害防止（土砂）,清水町,None,ヤチダモ,0,ダケカンバ,None,0.45,土流保,十勝西部,None,142.840812,43.000967
