A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,1104,イ,水源涵養,清里町,None,None,0,None,None,0.02,None,網走南部,None,144.642796,43.793253
シナノキ,1102,と,自然維持,清里町,None,他Ｌ,0,天トドマツ,None,5.41,水涵保,網走南部,None,144.63096,43.79555
None,1102,ロ,水源涵養,清里町,None,None,0,None,None,0.01,None,網走南部,None,144.634692,43.793295
シナノキ,1102,い,水源涵養,清里町,None,天トドマツ,0,他Ｌ,None,14.58,水涵保,網走南部,None,144.634764,43.792823
シナノキ,1102,い,水源涵養,清里町,None,天トドマツ,0,他Ｌ,None,14.58,水涵保,網走南部,None,144.634204,43.794157
None,1102,ハ,水源涵養,清里町,None,None,0,None,None,1.28,None,網走南部,None,144.633591,43.795014
None,1102,イ,水源涵養,清里町,None,None,0,None,None,0.32,None,網走南部,None,144.634599,43.793432
None,1102,ろ,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,6.71,水涵保,網走南部,None,144.631874,43.792248
天トドマツ,1100,た,自然維持,清里町,None,他Ｌ,0,シナノキ,None,11.41,None,網走南部,None,144.628893,43.795426
天トドマツ,1100,い,水源涵養,清里町,None,ダケカンバ,0,他Ｌ,None,5.1,水涵保,網走南部,None,144.62802,43.792403
None,1100,ろ,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,8.71,水涵保,網走南部,None,144.626421,43.792455
None,1100,る,水源涵養,清里町,None,トドマツ,0,None,None,8.23,水涵保,網走南部,None,144.625509,43.790584
None,1100,は,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,6.0,水涵保,網走南部,None,144.624468,43.793684
None,1100,イ,水源涵養,清里町,None,None,0,None,None,0.06,None,網走南部,None,144.622397,43.791381
他Ｌ,1105,い,水源涵養,清里町,None,天トドマツ,0,天エゾマツ,None,51.11,水涵保,網走南部,None,144.641792,43.783555
None,1102,お,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,6.12,水涵保,網走南部,None,144.636879,43.785349
None,1105,ホ,水源涵養,清里町,None,None,0,None,None,0.09,水涵保,網走南部,None,144.642609,43.783058
None,1105,ホ,水源涵養,清里町,None,None,0,None,None,0.09,水涵保,網走南部,None,144.642826,43.783038
他Ｌ,1105,い,水源涵養,清里町,None,天トドマツ,0,天エゾマツ,None,51.11,水涵保,網走南部,None,144.642991,43.782998
None,1105,ホ,水源涵養,清里町,None,None,0,None,None,0.09,水涵保,網走南部,None,144.642591,43.782788
天トドマツ,1103,そ,水源涵養,清里町,None,天エゾマツ,0,他Ｌ,None,12.12,水涵保,網走南部,None,144.642762,43.782254
天トドマツ,1103,そ,水源涵養,清里町,None,天エゾマツ,0,他Ｌ,None,12.12,水涵保,網走南部,None,144.641621,43.783375
None,1105,ヘ,水源涵養,清里町,None,None,0,None,None,3.72,None,網走南部,None,144.644137,43.782385
None,1103,い,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,4.23,水涵保,網走南部,None,144.6409,43.783377
None,1103,ハ,水源涵養,清里町,None,None,0,None,None,1.34,水涵保,網走南部,None,144.642318,43.782734
None,1105,ホ,水源涵養,清里町,None,None,0,None,None,0.09,水涵保,網走南部,None,144.642463,43.782871
None,1103,ハ,水源涵養,清里町,None,None,0,None,None,1.34,水涵保,網走南部,None,144.641694,43.783208
None,1103,い,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,4.23,水涵保,網走南部,None,144.64146,43.782369
None,1103,い,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,4.23,水涵保,網走南部,None,144.642774,43.781795
None,1103,い,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,4.23,水涵保,網走南部,None,144.643215,43.779795
None,1103,む,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,1.55,水涵保,網走南部,None,144.641689,43.781476
天トドマツ,1103,そ,水源涵養,清里町,None,天エゾマツ,0,他Ｌ,None,12.12,水涵保,網走南部,None,144.639993,43.783932
None,1103,む,水源涵養,清里町,None,カラマツ,0,他Ｌ,None,1.55,水涵保,網走南部,None,144.640388,43.782847
None,1102,わ,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,5.85,水涵保,網走南部,None,144.637837,43.783727
ニレ,1102,ら,水源涵養,清里町,None,ダケカンバ,0,シナノキ,None,1.9,水涵保,網走南部,None,144.637981,43.781741
None,1102,か,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,7.6,水涵保,網走南部,None,144.642085,43.778601
None,1102,れ,水源涵養,清里町,None,トドマツ,0,他Ｌ,None,4.8,水涵保,網走南部,None,144.642816,43.775729
