A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,1010,よ,水源涵養,猿払村,None,トドマツ,0,カンバ,None,40.74,水涵保,宗谷,None,142.017104,45.360014
シナノキ,1010,な,水源涵養,猿払村,None,他Ｌ,0,カンバ,None,13.91,水涵保,宗谷,None,142.014592,45.359638
None,1010,よ,水源涵養,猿払村,None,トドマツ,0,カンバ,None,40.74,水涵保,宗谷,None,142.011474,45.359044
None,1010,ハ,水源涵養,猿払村,None,None,0,None,None,1.25,None,宗谷,None,142.011443,45.360364
シナノキ,1010,な,水源涵養,猿払村,None,他Ｌ,0,カンバ,None,13.91,水涵保,宗谷,None,142.01073,45.358788
None,1010,た,水源涵養,猿払村,None,トドマツ,0,他Ｌ,None,9.39,水涵保,宗谷,None,142.006129,45.359453
None,1016,り,水源涵養,猿払村,None,アカエゾマツ,0,None,None,0.51,水涵保,宗谷,None,142.028834,45.335624
None,1016,ハ,水源涵養,猿払村,None,None,0,None,None,0.45,水涵保,宗谷,None,142.027931,45.331219
None,1016,に,水源涵養,猿払村,None,アカエゾマツ,0,None,None,3.95,水涵保,宗谷,None,142.028313,45.332274
None,1017,ま,水源涵養,猿払村,None,アカエゾマツ,0,カンバ,None,0.85,水涵保,宗谷,None,142.028536,45.32998
ミズナラ,1017,と,水源涵養,猿払村,None,天エゾマツ,0,天トドマツ,None,7.52,水涵保,宗谷,None,142.028074,45.32933
カンバ,1017,く,水源涵養,猿払村,None,天エゾマツ,0,天トドマツ,None,31.62,水涵保,宗谷,None,142.027696,45.326996
None,1017,ヘ,水源涵養,猿払村,None,None,0,None,None,0.3,水涵保,宗谷,None,142.027369,45.324617
他Ｌ,1012,お,水源涵養,猿払村,None,天エゾマツ,0,天トドマツ,None,5.47,水涵保,宗谷,None,142.020298,45.355544
他Ｌ,1012,へ,水源涵養,猿払村,None,天エゾマツ,0,天トドマツ,None,32.53,水涵保,宗谷,None,142.022442,45.353081
トドマツ,1012,つ,水源涵養,猿払村,None,トドマツ,0,カンバ,None,11.22,水涵保,宗谷,None,142.017536,45.352403
天エゾマツ,1012,ま,水源涵養,猿払村,None,天トドマツ,0,ミズナラ,None,3.63,水涵保,宗谷,None,142.022693,45.349868
他Ｌ,1012,ね,水源涵養,猿払村,None,天エゾマツ,0,天トドマツ,None,5.08,水涵保,宗谷,None,142.021422,45.351556
天エゾマツ,1012,よ,水源涵養,猿払村,None,天トドマツ,0,ミズナラ,None,4.63,水涵保,宗谷,None,142.020192,45.349298
None,1012,る,水源涵養,猿払村,None,アカエゾマツ,0,None,None,5.08,水涵保,宗谷,None,142.019616,45.357561
