A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,カンバ,None,None,留萌南部,180,い,11.0,None,留萌市,ミズナラ,他Ｌ,自然維持,0,141.825132,43.96212
None,他Ｌ,None,None,留萌南部,174,に,11.75,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.827556,43.94476
None,他Ｌ,None,None,留萌南部,174,に,11.75,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.825523,43.943835
None,他Ｌ,None,None,留萌南部,175,は,7.33,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.819962,43.953447
None,他Ｌ,None,None,留萌南部,175,ろ,81.33,None,留萌市,天トドマツ,カンバ,水源涵養,0,141.815672,43.953974
None,他Ｌ,None,None,留萌南部,180,ろ,8.2,None,留萌市,シナノキ,天トドマツ,水源涵養,1,141.814359,43.957962
None,他Ｌ,None,None,留萌南部,180,ろ,47.1,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.819946,43.960931
None,None,None,None,留萌南部,180,ロ,0.02,None,留萌市,None,None,水源涵養,0,141.809716,43.956427
None,他Ｌ,None,None,留萌南部,174,ほ,5.3,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.821455,43.949439
None,None,None,None,留萌南部,174,イ,1.01,None,留萌市,None,None,水源涵養,0,141.820575,43.948539
None,None,None,None,留萌南部,176,イ,1.12,None,留萌市,None,None,水源涵養,0,141.821262,43.948081
None,他Ｌ,None,None,留萌南部,176,は,23.65,None,留萌市,シナノキ,カンバ,水源涵養,0,141.821318,43.948118
None,None,None,None,留萌南部,174,イ,1.01,None,留萌市,None,None,水源涵養,0,141.824816,43.944649
None,他Ｌ,None,None,留萌南部,174,は,96.78,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.822269,43.946959
None,他Ｌ,None,None,留萌南部,174,は,96.78,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.821758,43.947866
None,他Ｌ,None,None,留萌南部,176,は,23.65,None,留萌市,シナノキ,カンバ,水源涵養,0,141.823367,43.943706
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.809052,43.950204
None,他Ｌ,None,None,留萌南部,176,ろ,156.67,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.815913,43.941027
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.806929,43.956172
None,None,None,None,留萌南部,179,ロ,0.24,None,留萌市,None,None,水源涵養,0,141.807521,43.955718
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.80451,43.955804
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.801449,43.955287
None,他Ｌ,None,None,留萌南部,180,は,46.29,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.801914,43.954248
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.801538,43.954637
None,None,None,None,留萌南部,180,イ,0.29,None,留萌市,None,None,水源涵養,0,141.801826,43.954204
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.801772,43.95398
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.801745,43.95342
None,None,None,None,留萌南部,180,イ,0.29,None,留萌市,None,None,水源涵養,0,141.801476,43.953216
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.801165,43.95272
None,他Ｌ,None,None,留萌南部,179,に,102.19,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.80109,43.952878
None,トドマツ,None,None,留萌南部,179,ろ,12.22,None,留萌市,トドマツ,カンバ,水源涵養,0,141.801635,43.951009
None,他Ｌ,None,None,留萌南部,180,は,46.29,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.798651,43.954152
None,None,None,None,留萌南部,180,イ,0.29,None,留萌市,None,None,水源涵養,0,141.798919,43.950705
None,他Ｌ,None,None,留萌南部,180,は,46.29,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.799706,43.951756
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.798643,43.950194
None,他Ｌ,None,None,留萌南部,180,は,46.29,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.79877,43.94986
None,None,None,None,留萌南部,180,イ,0.29,None,留萌市,None,None,水源涵養,0,141.798568,43.949942
None,他Ｌ,None,None,留萌南部,181,ほ,12.56,None,留萌市,天トドマツ,ミズナラ,水源涵養,0,141.798445,43.948931
None,None,None,None,留萌南部,181,イ,3.54,None,留萌市,None,None,水源涵養,0,141.79752,43.947961
None,他Ｌ,None,None,留萌南部,181,ほ,12.56,None,留萌市,天トドマツ,ミズナラ,水源涵養,0,141.797689,43.947749
None,他Ｌ,None,None,留萌南部,179,は,15.52,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.799697,43.948565
None,トドマツ,None,None,留萌南部,179,い,31.91,None,留萌市,None,トドマツ,水源涵養,0,141.800681,43.946998
None,他Ｌ,None,None,留萌南部,181,ほ,12.56,None,留萌市,天トドマツ,ミズナラ,水源涵養,0,141.795435,43.948783
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.796829,43.947259
None,他Ｌ,None,None,留萌南部,181,ほ,12.56,None,留萌市,天トドマツ,ミズナラ,水源涵養,0,141.796623,43.946836
None,None,None,None,留萌南部,179,イ,1.62,None,留萌市,None,None,水源涵養,0,141.794095,43.945358
None,トドマツ,None,None,留萌南部,178,ほ,12.67,None,留萌市,カンバ,トドマツ,水源涵養,0,141.800911,43.940527
None,他Ｌ,None,None,留萌南部,178,り,44.71,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.802355,43.94256
None,他Ｌ,None,None,留萌南部,179,は,15.52,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.79587,43.944222
None,トドマツ,None,None,留萌南部,179,い,31.91,None,留萌市,None,トドマツ,水源涵養,0,141.793781,43.944849
None,他Ｌ,None,None,留萌南部,179,は,15.52,None,留萌市,シナノキ,天トドマツ,水源涵養,0,141.793689,43.945384
None,トドマツ,None,None,留萌南部,178,へ,6.86,None,留萌市,トドマツ,他Ｌ,水源涵養,0,141.794431,43.942237
None,None,None,None,留萌南部,178,イ,0.6,None,留萌市,None,None,水源涵養,0,141.792291,43.942575
None,トドマツ,None,None,留萌南部,181,は,16.92,None,留萌市,None,他Ｌ,水源涵養,0,141.790452,43.94371
None,他Ｌ,None,None,留萌南部,178,り,44.71,None,留萌市,カンバ,天トドマツ,水源涵養,0,141.791434,43.941668
None,他Ｌ,None,None,留萌南部,181,に,16.64,None,留萌市,ミズナラ,天トドマツ,水源涵養,0,141.791086,43.94059
None,トドマツ,None,None,留萌南部,181,ろ,22.06,None,留萌市,None,他Ｌ,水源涵養,0,141.788038,43.940378
None,他Ｌ,None,None,留萌南部,181,に,16.64,None,留萌市,ミズナラ,天トドマツ,水源涵養,0,141.787732,43.941262
None,カンバ,None,None,留萌南部,176,い,12.54,None,留萌市,シナノキ,他Ｌ,水源涵養,0,141.825663,43.938784
None,None,None,None,留萌南部,176,イ,1.12,None,留萌市,None,None,水源涵養,0,141.827003,43.938437
None,カンバ,None,None,留萌南部,176,い,12.54,None,留萌市,シナノキ,他Ｌ,水源涵養,0,141.825245,43.93674
None,トドマツ,土流保,None,留萌南部,158,わ,1.97,None,留萌市,None,カンバ,山地災害防止（土砂）,0,141.824879,43.931304
None,トドマツ,土流保,None,留萌南部,159,ち,7.09,None,留萌市,None,他Ｌ,山地災害防止（土砂）,0,141.827117,43.929969
None,トドマツ,土流保,None,留萌南部,159,い,7.93,None,留萌市,None,他Ｌ,山地災害防止（土砂）,0,141.825153,43.923864
