A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,カンバ,水涵保,None,胆振東部,202,ろ,5.62,None,白老町,イタヤカエデ,他Ｌ,自然維持,0,141.352233,42.682456
None,カンバ,水涵保,None,胆振東部,202,い,58.12,None,白老町,エゾマツ,ミズナラ,水源涵養,1,141.341979,42.68052
None,カンバ,水涵保,None,胆振東部,202,い,14.81,None,白老町,ミズナラ,他Ｌ,水源涵養,4,141.342084,42.67561
None,カンバ,水涵保,None,胆振東部,208,い,18.55,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.342433,42.670427
None,アカエゾマツ,水涵保,None,胆振東部,208,に,5.36,None,白老町,None,None,水源涵養,5,141.340674,42.671098
None,None,水涵保,None,胆振東部,208,ハ,0.01,None,白老町,None,None,水源涵養,0,141.343016,42.66764
None,カンバ,水涵保,None,胆振東部,208,い,18.55,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.342943,42.66807
None,トドマツ,水涵保,None,胆振東部,208,は,10.54,None,白老町,None,None,水源涵養,2,141.342305,42.669521
None,カンバ,水涵保,None,胆振東部,208,い,18.55,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.342837,42.667024
None,トドマツ,水涵保,None,胆振東部,208,は,10.54,None,白老町,None,None,水源涵養,2,141.341067,42.667071
None,トドマツ,水涵保,None,胆振東部,213,へ,4.7,None,白老町,None,None,水源涵養,1,141.338791,42.665858
None,トドマツ,水涵保,None,胆振東部,213,へ,2.75,None,白老町,None,None,水源涵養,2,141.340042,42.66448
None,トドマツ,水涵保,None,胆振東部,213,へ,1.67,None,白老町,None,None,水源涵養,4,141.341595,42.662787
None,ミズナラ,水涵保,None,胆振東部,213,い,9.09,None,白老町,エゾマツ,カンバ,水源涵養,1,141.341367,42.660917
None,トドマツ,水涵保,None,胆振東部,217,い,8.78,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.340918,42.659623
None,トドマツ,水涵保,None,胆振東部,217,い,6.88,None,白老町,ミズナラ,エゾマツ,水源涵養,3,141.340193,42.659638
None,エゾマツ,水涵保,None,胆振東部,201,い,40.52,None,白老町,カンバ,他Ｌ,水源涵養,1,141.333096,42.682143
None,カンバ,水涵保,None,胆振東部,201,い,20.7,None,白老町,他Ｌ,エゾマツ,水源涵養,2,141.335509,42.680285
None,カンバ,水涵保,None,胆振東部,202,い,10.88,None,白老町,エゾマツ,他Ｌ,水源涵養,3,141.335811,42.677818
None,カンバ,水涵保,None,胆振東部,201,い,20.7,None,白老町,他Ｌ,エゾマツ,水源涵養,2,141.33379,42.67825
None,アカエゾマツ,水涵保,None,胆振東部,201,は,2.44,None,白老町,None,None,水源涵養,6,141.33216,42.678027
None,カンバ,水涵保,None,胆振東部,201,い,20.7,None,白老町,他Ｌ,エゾマツ,水源涵養,2,141.332994,42.677906
None,アカエゾマツ,水涵保,None,胆振東部,202,は,4.98,None,白老町,None,None,水源涵養,0,141.339094,42.67719
None,カンバ,水涵保,None,胆振東部,202,い,4.09,None,白老町,ミズナラ,他Ｌ,水源涵養,2,141.339828,42.67611
None,アカエゾマツ,水涵保,None,胆振東部,202,に,3.53,None,白老町,None,None,水源涵養,0,141.336815,42.67623
None,アカエゾマツ,水涵保,None,胆振東部,202,ほ,8.22,None,白老町,None,None,水源涵養,0,141.340271,42.67376
None,カンバ,水涵保,None,胆振東部,202,い,4.09,None,白老町,ミズナラ,他Ｌ,水源涵養,2,141.335831,42.674033
None,カンバ,水涵保,None,胆振東部,208,い,18.55,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.335211,42.672968
None,カンバ,水涵保,None,胆振東部,202,い,4.09,None,白老町,ミズナラ,他Ｌ,水源涵養,2,141.332734,42.673324
None,エゾマツ,水涵保,None,胆振東部,201,ろ,7.5,None,白老町,他Ｌ,トドマツ,水源涵養,0,141.331903,42.67987
None,アカエゾマツ,水涵保,None,胆振東部,201,は,2.15,None,白老町,None,None,水源涵養,3,141.328231,42.677602
None,カンバ,水涵保,None,胆振東部,201,い,20.7,None,白老町,他Ｌ,エゾマツ,水源涵養,2,141.327208,42.678724
None,アカエゾマツ,水涵保,None,胆振東部,201,は,4.69,None,白老町,None,None,水源涵養,1,141.324636,42.678092
None,アカエゾマツ,水涵保,None,胆振東部,201,は,4.05,None,白老町,None,None,水源涵養,5,141.330688,42.676074
None,カンバ,水涵保,None,胆振東部,201,い,18.39,None,白老町,他Ｌ,エゾマツ,水源涵養,3,141.328901,42.676089
None,アカエゾマツ,水涵保,None,胆振東部,201,は,4.81,None,白老町,None,None,水源涵養,4,141.330277,42.673672
None,カンバ,水涵保,None,胆振東部,208,い,18.55,None,白老町,ミズナラ,エゾマツ,水源涵養,2,141.331806,42.672753
None,トドマツ,水涵保,None,胆振東部,207,い,17.15,None,白老町,エゾマツ,他Ｌ,水源涵養,0,141.331064,42.672825
