A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,4013,り,水源涵養,知内町,None,ブナ,0,他Ｌ,None,26.33,水涵保,檜山,None,140.284129,41.659943
None,4013,ち,水源涵養,知内町,None,ブナ,0,他Ｌ,None,6.38,水涵保,檜山,None,140.288457,41.659753
None,4013,り,水源涵養,知内町,None,ブナ,0,他Ｌ,None,26.33,水涵保,檜山,None,140.289527,41.658068
None,4013,イ,水源涵養,知内町,None,None,0,None,None,14.64,水涵保,檜山,None,140.286818,41.658696
None,4013,い,水源涵養,知内町,None,トドマツ,0,None,None,0.75,水涵保,檜山,None,140.287988,41.65663
None,4013,イ,水源涵養,知内町,None,None,0,None,None,14.64,水涵保,檜山,None,140.285243,41.660953
None,4013,イ,水源涵養,知内町,None,None,0,None,None,14.64,水涵保,檜山,None,140.282834,41.661264
None,4014,ち,自然維持,知内町,None,ブナ,0,他Ｌ,None,66.29,水涵保,檜山,None,140.283274,41.655368
None,4046,ほ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,3.63,水涵保,檜山,None,140.279774,41.653123
None,4046,に,水源涵養,知内町,None,トドマツ,0,None,None,2.63,水涵保,檜山,None,140.279137,41.652575
None,4038,ほ,水源涵養,知内町,None,トドマツ,0,None,None,1.66,水涵保,檜山,None,140.28822,41.65073
None,4038,ろ,水源涵養,知内町,None,トドマツ,0,None,None,6.34,水涵保,檜山,None,140.287256,41.6496
None,4038,へ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,7.19,水涵保,檜山,None,140.285792,41.650946
None,4038,り,水源涵養,知内町,None,ブナ,0,他Ｌ,None,4.33,水涵保,檜山,None,140.289183,41.644703
None,4039,は,水源涵養,知内町,None,トドマツ,0,None,None,1.72,水涵保,檜山,None,140.287659,41.644686
None,4039,と,水源涵養,知内町,None,ブナ,0,他Ｌ,None,12.9,水涵保,檜山,None,140.286314,41.645302
None,4040,へ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,12.39,水涵保,檜山,None,140.286038,41.643513
None,4040,ち,水源涵養,知内町,None,ブナ,0,他Ｌ,None,9.78,水涵保,檜山,None,140.287114,41.642084
None,4038,に,水源涵養,知内町,None,トドマツ,0,None,None,7.22,水涵保,檜山,None,140.284632,41.650034
None,4039,と,水源涵養,知内町,None,ブナ,0,他Ｌ,None,12.9,水涵保,檜山,None,140.282902,41.650729
None,4039,ほ,水源涵養,知内町,None,トドマツ,0,None,None,10.91,水涵保,檜山,None,140.282434,41.647981
None,4039,へ,水源涵養,知内町,None,トドマツ,0,None,None,9.79,水涵保,檜山,None,140.280953,41.650568
None,4039,と,水源涵養,知内町,None,ブナ,0,他Ｌ,None,12.9,水涵保,檜山,None,140.279537,41.648716
None,4045,ぬ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,7.44,水涵保,檜山,None,140.276085,41.64377
None,4039,に,水源涵養,知内町,None,スギ,0,ブナ,None,2.89,水涵保,檜山,None,140.284198,41.645929
None,4040,ほ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,1.31,水涵保,檜山,None,140.285345,41.644808
None,4040,は,水源涵養,知内町,None,トドマツ,0,None,None,1.89,水涵保,檜山,None,140.284845,41.644155
None,4040,に,水源涵養,知内町,None,トドマツ,0,None,None,1.69,水涵保,檜山,None,140.282554,41.646347
None,4040,と,水源涵養,知内町,None,ブナ,0,他Ｌ,None,6.73,水涵保,檜山,None,140.285382,41.641856
None,4040,ろ,水源涵養,知内町,None,トドマツ,0,None,None,5.57,水涵保,檜山,None,140.282217,41.642901
None,4040,へ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,12.39,水涵保,檜山,None,140.279805,41.64588
None,4040,ち,水源涵養,知内町,None,ブナ,0,他Ｌ,None,9.78,水涵保,檜山,None,140.279678,41.643363
None,4040,ほ,水源涵養,知内町,None,ブナ,0,他Ｌ,None,1.31,水涵保,檜山,None,140.288375,41.640798
None,4040,い,水源涵養,知内町,None,トドマツ,0,ブナ,None,2.06,水涵保,檜山,None,140.28745,41.640855
None,4040,ち,水源涵養,知内町,None,ブナ,0,他Ｌ,None,9.78,水涵保,檜山,None,140.288719,41.639927
None,4041,と,水源涵養,知内町,None,トドマツ,0,ブナ,None,7.48,水涵保,檜山,None,140.286058,41.639369
