A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,None,None,None,宗谷,151,ル,20.19,None,礼文町,None,None,森林空間利用,0,141.059752,45.424066
None,None,None,None,宗谷,151,ヘ,166.81,None,礼文町,None,None,森林空間利用,0,141.060164,45.421488
None,None,雪崩保,None,宗谷,151,ワ,0.03,None,礼文町,None,None,森林空間利用,0,141.060198,45.421075
None,None,None,None,宗谷,151,チ,0.03,None,礼文町,None,None,森林空間利用,0,141.060123,45.420996
None,None,None,None,宗谷,150,チ,0.2,None,礼文町,None,None,森林空間利用,0,141.059636,45.421506
None,None,None,None,宗谷,150,ロ,1.13,None,礼文町,None,None,山地災害防止（気象）,0,141.05917,45.421257
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.043068,45.445534
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.042669,45.447056
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.039933,45.449719
None,None,雪崩保,None,宗谷,151,と,3.02,None,礼文町,None,None,森林空間利用,0,141.054326,45.435421
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.047896,45.44017
None,天トドマツ,None,None,宗谷,151,は,1.44,None,礼文町,None,他Ｌ,森林空間利用,0,141.043805,45.434955
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.05106,45.432175
None,None,None,None,宗谷,151,オ,11.93,None,礼文町,None,None,森林空間利用,0,141.054888,45.425675
None,None,None,None,宗谷,151,ヨ,0.54,None,礼文町,None,None,森林空間利用,0,141.055932,45.422619
None,None,雪崩保,None,宗谷,151,へ,0.28,None,礼文町,None,None,森林空間利用,0,141.055201,45.423183
None,None,None,None,宗谷,151,リ,0.53,None,礼文町,None,None,森林空間利用,0,141.055459,45.422235
None,None,None,None,宗谷,151,ヌ,0.03,None,礼文町,None,None,森林空間利用,0,141.055115,45.422562
None,None,None,None,宗谷,150,ト,63.4,None,礼文町,None,None,山地災害防止（気象）,0,141.053493,45.422927
None,None,None,None,宗谷,150,ホ,0.1,None,礼文町,None,None,森林空間利用,0,141.051799,45.422421
None,None,None,None,宗谷,150,ト,63.4,None,礼文町,None,None,山地災害防止（気象）,0,141.05183,45.422314
None,None,None,None,宗谷,152,ハ,0.17,None,礼文町,None,None,水源涵養,0,141.051263,45.422586
