A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,イタヤカエデ,土流保,None,後志,1001,は,11.56,None,神恵内村,シナノキ,ダケカンバ,自然維持,0,140.350424,43.276126
None,None,土流保,None,後志,1001,ハ,2.06,None,神恵内村,None,None,自然維持,0,140.349709,43.274401
None,イタヤカエデ,土崩保,保健保,後志,1001,い,8.63,None,神恵内村,ダケカンバ,他Ｌ,山地災害防止（土砂）,0,140.346397,43.27792
None,None,土流保,None,後志,1001,ロ,5.13,None,神恵内村,None,None,自然維持,0,140.347764,43.274621
None,None,土崩保,保健保,後志,1001,イ,20.97,None,神恵内村,None,None,山地災害防止（土砂）,0,140.34542,43.275786
None,None,土流保,None,後志,1004,ロ,3.5,None,神恵内村,None,None,自然維持,0,140.360737,43.264667
None,None,土流保,None,後志,1004,イ,12.88,None,神恵内村,None,None,自然維持,0,140.359302,43.261475
None,None,土流保,None,後志,1007,イ,19.5,None,神恵内村,None,None,自然維持,0,140.356747,43.252989
None,None,土流保,None,後志,1002,ロ,6.9,None,神恵内村,None,None,自然維持,0,140.358593,43.270704
None,シナノキ,土流保,None,後志,1002,ろ,57.38,None,神恵内村,ダケカンバ,イタヤカエデ,自然維持,0,140.35149,43.270451
None,他Ｌ,土流保,None,後志,1001,ろ,2.88,None,神恵内村,シナノキ,イタヤカエデ,自然維持,0,140.348007,43.272796
None,ダケカンバ,土流保,None,後志,1003,は,21.27,None,神恵内村,他Ｌ,イタヤカエデ,自然維持,0,140.352142,43.265635
None,None,土流保,None,後志,1003,ロ,3.75,None,神恵内村,None,None,自然維持,0,140.350152,43.266306
None,イタヤカエデ,土流保,None,後志,1003,ろ,10.0,None,神恵内村,シナノキ,他Ｌ,自然維持,0,140.348141,43.26494
None,ダケカンバ,土崩保,保健保,後志,1002,い,3.38,None,神恵内村,シナノキ,イタヤカエデ,山地災害防止（土砂）,0,140.346576,43.269725
None,None,土崩保,保健保,後志,1002,イ,10.81,None,神恵内村,None,None,山地災害防止（土砂）,0,140.34519,43.270626
None,イタヤカエデ,土崩保,保健保,後志,1003,い,23.33,None,神恵内村,他Ｌ,シナノキ,山地災害防止（土砂）,0,140.345708,43.267518
None,ダケカンバ,土流保,None,後志,1004,い,51.15,None,神恵内村,トドマツ,他Ｌ,自然維持,0,140.353386,43.261902
None,他Ｌ,土流保,None,後志,1007,い,39.48,None,神恵内村,イタヤカエデ,ダケカンバ,自然維持,0,140.353348,43.257002
None,他Ｌ,土流保,None,後志,1008,い,35.24,None,神恵内村,イタヤカエデ,ダケカンバ,自然維持,0,140.348657,43.253609
None,イタヤカエデ,土崩保,保健保,後志,1005,い,47.41,None,神恵内村,他Ｌ,ダケカンバ,山地災害防止（土砂）,0,140.341752,43.261301
None,None,土流保,None,後志,1006,ハ,2.94,None,神恵内村,None,None,自然維持,0,140.34304,43.258667
None,None,土崩保,保健保,後志,1006,ロ,2.19,None,神恵内村,None,None,山地災害防止（土砂）,0,140.341324,43.258222
None,ダケカンバ,土流保,None,後志,1006,ろ,9.69,None,神恵内村,他Ｌ,イタヤカエデ,自然維持,0,140.344669,43.257867
None,イタヤカエデ,土流保,None,後志,1009,い,31.32,None,神恵内村,ダケカンバ,シナノキ,自然維持,0,140.342783,43.253651
None,None,土崩保,保健保,後志,1003,イ,6.36,None,神恵内村,None,None,山地災害防止（土砂）,0,140.343656,43.266264
None,None,土崩保,保健保,後志,1005,イ,9.56,None,神恵内村,None,None,山地災害防止（土砂）,0,140.334381,43.258976
None,イタヤカエデ,土崩保,保健保,後志,1006,い,5.51,None,神恵内村,シナノキ,他Ｌ,山地災害防止（土砂）,0,140.33922,43.257206
None,None,土崩保,保健保,後志,1006,イ,10.65,None,神恵内村,None,None,山地災害防止（土砂）,0,140.336987,43.25692
None,None,土崩保,保健保,後志,1009,イ,6.11,None,神恵内村,None,None,山地災害防止（土砂）,0,140.336609,43.253166
None,ダケカンバ,水涵保,None,後志,1142,ろ,80.53,None,神恵内村,トドマツ,他Ｌ,自然維持,0,140.509822,43.208848
None,ダケカンバ,水涵保,None,後志,1142,い,29.92,None,神恵内村,シナノキ,他Ｌ,自然維持,0,140.509611,43.200145
None,ダケカンバ,水涵保,None,後志,1141,ろ,75.77,None,神恵内村,シナノキ,他Ｌ,自然維持,0,140.503506,43.20442
None,ダケカンバ,水涵保,None,後志,1128,ろ,13.48,None,神恵内村,シナノキ,他Ｌ,水源涵養,0,140.496759,43.206108
None,他Ｌ,水涵保,None,後志,1141,い,13.7,None,神恵内村,ダケカンバ,ミズナラ,自然維持,0,140.504871,43.198398
None,None,水涵保,None,後志,1141,イ,3.06,None,神恵内村,None,None,自然維持,0,140.501847,43.198902
None,他Ｌ,保健保,None,後志,1143,い,10.7,None,神恵内村,ミズナラ,イタヤカエデ,自然維持,0,140.509702,43.197465
None,ダケカンバ,水涵保,None,後志,1140,い,1.8,None,神恵内村,イタヤカエデ,他Ｌ,自然維持,0,140.499748,43.197415
None,他Ｌ,水涵保,None,後志,1140,ろ,37.92,None,神恵内村,イタヤカエデ,ミズナラ,自然維持,0,140.496746,43.194356
None,トドマツ,水涵保,None,後志,1163,い,10.0,None,神恵内村,None,ダケカンバ,水源涵養,0,140.512516,43.176012
None,ダケカンバ,水涵保,None,後志,1167,に,0.95,None,神恵内村,None,None,水源涵養,0,140.51259,43.170605
None,ミズナラ,水涵保,None,後志,1160,に,51.87,None,神恵内村,他Ｌ,イタヤカエデ,水源涵養,0,140.50989,43.180069
None,トドマツ,水涵保,None,後志,1160,ろ,21.01,None,神恵内村,None,他Ｌ,水源涵養,0,140.505847,43.177734
None,他Ｌ,水涵保,None,後志,1148,い,26.83,None,神恵内村,シナノキ,ミズナラ,自然維持,0,140.491982,43.182697
None,ダケカンバ,水涵保,None,後志,1149,ろ,7.56,None,神恵内村,シナノキ,他Ｌ,自然維持,0,140.497572,43.180189
None,None,水涵保,None,後志,1163,イ,0.63,None,神恵内村,None,None,水源涵養,0,140.511062,43.175275
None,トドマツ,水涵保,None,後志,1167,ろ,0.5,None,神恵内村,None,None,水源涵養,0,140.509742,43.169315
None,トドマツ,水涵保,None,後志,1167,ろ,0.5,None,神恵内村,None,None,水源涵養,0,140.510022,43.168907
None,他Ｌ,水涵保,None,後志,1167,い,32.24,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.509437,43.168919
None,ダケカンバ,水涵保,None,後志,1167,は,0.1,None,神恵内村,None,None,水源涵養,0,140.508942,43.16797
None,None,None,None,後志,1168,イ,0.06,None,神恵内村,None,None,水源涵養,0,140.509314,43.167701
None,他Ｌ,水涵保,None,後志,1168,に,68.0,None,神恵内村,ミズナラ,シナノキ,水源涵養,0,140.509069,43.167645
None,トドマツ,水涵保,None,後志,1169,ろ,1.6,None,神恵内村,None,None,水源涵養,0,140.508485,43.166769
None,他Ｌ,水涵保,None,後志,1162,ろ,45.58,None,神恵内村,イタヤカエデ,シナノキ,水源涵養,0,140.507798,43.170614
None,トドマツ,水涵保,None,後志,1161,ろ,5.05,None,神恵内村,None,None,水源涵養,0,140.504821,43.171836
None,トドマツ,水涵保,None,後志,1160,い,3.95,None,神恵内村,None,他Ｌ,水源涵養,0,140.503637,43.175335
None,トドマツ,水涵保,None,後志,1160,は,0.2,None,神恵内村,None,None,水源涵養,0,140.500361,43.175402
None,トドマツ,水涵保,None,後志,1159,ろ,0.12,None,神恵内村,None,None,水源涵養,0,140.499919,43.17539
None,他Ｌ,水涵保,None,後志,1159,ほ,12.29,None,神恵内村,トドマツ,イタヤカエデ,水源涵養,0,140.498704,43.175633
None,トドマツ,水涵保,None,後志,1159,い,0.99,None,神恵内村,None,他Ｌ,水源涵養,0,140.499111,43.17268
None,ダケカンバ,水涵保,None,後志,1161,は,29.17,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.503358,43.169798
None,トドマツ,水涵保,None,後志,1161,い,0.75,None,神恵内村,None,None,水源涵養,0,140.501223,43.170316
None,ダケカンバ,水涵保,None,後志,1161,は,29.17,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.50025,43.170402
None,None,None,None,後志,1161,イ,1.23,None,神恵内村,None,None,水源涵養,0,140.498513,43.164921
None,ダケカンバ,水涵保,None,後志,1161,に,0.35,None,神恵内村,None,他Ｌ,水源涵養,0,140.500538,43.168016
None,ミズナラ,水涵保,None,後志,1161,ほ,0.43,None,神恵内村,None,None,水源涵養,0,140.501246,43.168226
None,ミズナラ,水涵保,None,後志,1160,に,51.87,None,神恵内村,他Ｌ,イタヤカエデ,水源涵養,0,140.499844,43.171388
None,ダケカンバ,水涵保,None,後志,1159,へ,35.42,None,神恵内村,シナノキ,他Ｌ,水源涵養,0,140.498178,43.170183
None,トドマツ,水涵保,None,後志,1159,は,0.66,None,神恵内村,イタヤカエデ,他Ｌ,水源涵養,0,140.497859,43.167114
None,他Ｌ,水涵保,None,後志,1159,に,9.85,None,神恵内村,イタヤカエデ,トドマツ,水源涵養,0,140.496242,43.167623
None,ダケカンバ,水涵保,None,後志,1173,ほ,43.14,None,神恵内村,シナノキ,他Ｌ,自然維持,0,140.512663,43.154308
None,ダケカンバ,水涵保,None,後志,1169,ほ,1.04,None,神恵内村,None,他Ｌ,水源涵養,0,140.510444,43.166539
None,トドマツ,水涵保,None,後志,1169,ろ,1.6,None,神恵内村,None,None,水源涵養,0,140.508846,43.166042
None,ダケカンバ,水涵保,None,後志,1170,い,57.29,None,神恵内村,ミズナラ,他Ｌ,水源涵養,0,140.519686,43.161968
None,他Ｌ,水涵保,None,後志,1169,に,54.28,None,神恵内村,ミズナラ,イタヤカエデ,水源涵養,0,140.506696,43.165758
None,None,None,None,後志,1169,イ,1.91,None,神恵内村,None,None,水源涵養,0,140.507929,43.16657
None,トドマツ,水涵保,None,後志,1169,い,1.68,None,神恵内村,None,None,水源涵養,0,140.506293,43.16563
None,他Ｌ,水涵保,None,後志,1169,に,54.28,None,神恵内村,ミズナラ,イタヤカエデ,水源涵養,0,140.507419,43.166249
None,トドマツ,水涵保,None,後志,1169,い,1.68,None,神恵内村,None,None,水源涵養,0,140.504608,43.165452
None,トドマツ,水涵保,None,後志,1169,い,1.68,None,神恵内村,None,None,水源涵養,0,140.505133,43.165025
None,他Ｌ,水涵保,None,後志,1173,に,32.63,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.50677,43.162721
None,ミズナラ,水涵保,None,後志,1173,と,3.5,None,神恵内村,イタヤカエデ,他Ｌ,水源涵養,0,140.504287,43.163056
None,トドマツ,水涵保,None,後志,1173,い,2.75,None,神恵内村,None,他Ｌ,水源涵養,0,140.505334,43.161599
None,None,None,None,後志,1172,イ,0.14,None,神恵内村,None,None,水源涵養,0,140.511101,43.160423
None,ミズナラ,水涵保,None,後志,1170,ろ,0.36,None,神恵内村,None,他Ｌ,水源涵養,0,140.502706,43.16434
None,None,None,None,後志,1170,イ,0.07,None,神恵内村,None,None,水源涵養,0,140.501906,43.164336
None,ダケカンバ,水涵保,None,後志,1170,い,57.29,None,神恵内村,ミズナラ,他Ｌ,水源涵養,0,140.50154,43.164346
None,トドマツ,水涵保,None,後志,1162,い,1.3,None,神恵内村,None,他Ｌ,水源涵養,0,140.501507,43.165189
None,他Ｌ,水涵保,None,後志,1173,に,32.63,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.507354,43.159345
None,ダケカンバ,水涵保,None,後志,1161,は,29.17,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.499099,43.165791
None,他Ｌ,水涵保,None,後志,1162,ろ,45.58,None,神恵内村,イタヤカエデ,シナノキ,水源涵養,0,140.498634,43.163887
None,ミズナラ,水涵保,None,後志,1158,よ,6.38,None,神恵内村,シナノキ,他Ｌ,水源涵養,0,140.496769,43.16513
None,トドマツ,水涵保,None,後志,1158,り,0.63,None,神恵内村,None,None,水源涵養,0,140.497121,43.164079
None,ミズナラ,水涵保,None,後志,1158,よ,6.38,None,神恵内村,シナノキ,他Ｌ,水源涵養,0,140.496684,43.164207
None,他Ｌ,水涵保,None,後志,1173,に,32.63,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.501115,43.16428
None,トドマツ,水涵保,None,後志,1173,へ,0.13,None,神恵内村,None,None,水源涵養,0,140.499219,43.163453
None,他Ｌ,水涵保,None,後志,1173,に,32.63,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.498711,43.163747
None,None,None,None,後志,1173,イ,1.34,None,神恵内村,None,None,水源涵養,0,140.4995,43.163283
None,ミズナラ,水涵保,None,後志,1158,わ,18.97,None,神恵内村,シナノキ,他Ｌ,水源涵養,0,140.492701,43.161451
None,トドマツ,水涵保,None,後志,1174,は,1.75,None,神恵内村,None,他Ｌ,水源涵養,0,140.498163,43.16227
None,None,None,None,後志,1174,イ,0.61,None,神恵内村,None,None,水源涵養,0,140.494951,43.161787
None,トドマツ,水涵保,None,後志,1174,ろ,0.89,None,神恵内村,None,他Ｌ,水源涵養,0,140.497092,43.161641
None,トドマツ,水涵保,None,後志,1174,に,2.19,None,神恵内村,None,他Ｌ,水源涵養,0,140.502723,43.159461
None,他Ｌ,水涵保,None,後志,1175,と,42.6,None,神恵内村,ミズナラ,イタヤカエデ,水源涵養,0,140.502269,43.155539
None,他Ｌ,水涵保,None,後志,1174,へ,33.32,None,神恵内村,ミズナラ,イタヤカエデ,水源涵養,0,140.499438,43.160075
None,トドマツ,水涵保,None,後志,1175,い,6.72,None,神恵内村,None,ダケカンバ,水源涵養,0,140.498942,43.1576
None,ダケカンバ,水涵保,None,後志,1175,り,1.53,None,神恵内村,None,他Ｌ,水源涵養,0,140.497752,43.156059
None,トドマツ,水涵保,None,後志,1178,ろ,11.05,None,神恵内村,None,ダケカンバ,水源涵養,0,140.509864,43.151301
None,他Ｌ,水涵保,None,後志,1174,ほ,2.28,None,神恵内村,シナノキ,ミズナラ,水源涵養,0,140.50746,43.155566
None,他Ｌ,水涵保,None,後志,1178,と,1.37,None,神恵内村,ミズナラ,シナノキ,水源涵養,0,140.511778,43.1495
None,他Ｌ,水涵保,None,後志,1178,ち,26.01,None,神恵内村,シナノキ,ダケカンバ,水源涵養,0,140.51197,43.147296
None,トドマツ,水涵保,None,後志,1178,は,0.77,None,神恵内村,None,ダケカンバ,水源涵養,0,140.508435,43.148142
None,他Ｌ,水涵保,None,後志,1178,へ,8.43,None,神恵内村,トドマツ,シナノキ,水源涵養,0,140.509617,43.146502
None,他Ｌ,水涵保,None,後志,1178,り,10.69,None,神恵内村,ダケカンバ,シナノキ,水源涵養,0,140.505526,43.146321
None,他Ｌ,水涵保,None,後志,1176,る,10.89,None,神恵内村,シナノキ,イタヤカエデ,水源涵養,0,140.498709,43.153081
None,トドマツ,水涵保,None,後志,1178,い,9.25,None,神恵内村,None,他Ｌ,水源涵養,0,140.505166,43.148888
None,トドマツ,水涵保,None,後志,1177,は,17.64,None,神恵内村,None,ダケカンバ,水源涵養,0,140.499631,43.150059
None,他Ｌ,水涵保,None,後志,1178,ち,26.01,None,神恵内村,シナノキ,ダケカンバ,水源涵養,0,140.503048,43.147679
None,トドマツ,水涵保,None,後志,1178,い,9.25,None,神恵内村,None,他Ｌ,水源涵養,0,140.502414,43.147582
None,他Ｌ,水涵保,None,後志,1178,ほ,3.83,None,神恵内村,ダケカンバ,ミズナラ,水源涵養,0,140.50191,43.146757
None,None,None,None,後志,1178,イ,0.57,None,神恵内村,None,None,水源涵養,0,140.501301,43.14768
None,他Ｌ,水涵保,None,後志,1178,ち,26.01,None,神恵内村,シナノキ,ダケカンバ,水源涵養,0,140.500874,43.14769
