A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
イタヤカエデ,3483,い,森林空間利用,積丹町,None,他Ｌ,0,ミズナラ,None,2.21,土崩保,石狩,魚付保,140.629103,43.295858
イタヤカエデ,3483,い,森林空間利用,積丹町,None,他Ｌ,0,ミズナラ,None,2.21,土崩保,石狩,魚付保,140.628457,43.294419
イタヤカエデ,3483,ろ,森林空間利用,積丹町,None,他Ｌ,0,ミズナラ,None,37.09,土崩保,石狩,魚付保,140.538186,43.340562
None,3482,は,森林空間利用,積丹町,None,None,0,None,None,6.63,土崩保,石狩,魚付保,140.530872,43.34676
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.507009,43.363434
None,3482,ト,森林空間利用,積丹町,None,None,0,None,None,14.14,土崩保,石狩,魚付保,140.50697,43.366011
None,3482,リ,森林空間利用,積丹町,None,None,1,None,None,0.08,None,石狩,None,140.505356,43.36673
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.505217,43.366725
None,3482,ヌ,森林空間利用,積丹町,None,None,0,None,None,0.05,魚付保,石狩,None,140.507819,43.361445
None,3482,ト,森林空間利用,積丹町,None,None,0,None,None,14.14,土崩保,石狩,魚付保,140.507032,43.362294
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.507205,43.360593
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.50448,43.368068
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.503791,43.368361
None,3482,リ,森林空間利用,積丹町,None,None,1,None,None,0.08,None,石狩,None,140.504095,43.368045
None,3482,リ,森林空間利用,積丹町,None,None,2,None,None,0.12,None,石狩,None,140.498441,43.36948
None,3482,ヘ,森林空間利用,積丹町,None,None,0,None,None,34.91,土崩保,石狩,魚付保,140.500095,43.369056
None,3482,ろ,森林空間利用,積丹町,None,None,0,None,None,18.02,土崩保,石狩,魚付保,140.498245,43.369462
None,3482,い,森林空間利用,積丹町,None,None,0,None,None,15.14,土崩保,石狩,魚付保,140.524359,43.357958
