A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,ダケカンバ,土流保,None,宗谷,4150,な,2.9,None,豊富町,None,天トドマツ,山地災害防止（土砂）,0,141.906761,45.195655
None,カンバ,土流保,None,宗谷,4150,い,7.1,None,豊富町,他Ｌ,天トドマツ,山地災害防止（土砂）,0,141.906875,45.193597
None,他Ｌ,土流保,None,宗谷,4150,ね,20.65,None,豊富町,カンバ,シナノキ,山地災害防止（土砂）,0,141.907084,45.191677
None,天トドマツ,土流保,None,宗谷,4150,れ,2.7,None,豊富町,天エゾマツ,カンバ,山地災害防止（土砂）,0,141.904438,45.195038
None,トドマツ,土流保,None,宗谷,4150,よ,4.0,None,豊富町,None,カンバ,山地災害防止（土砂）,0,141.907834,45.189774
None,他Ｌ,土流保,None,宗谷,4150,つ,28.13,None,豊富町,シナノキ,カンバ,山地災害防止（土砂）,0,141.908856,45.186094
None,トドマツ,土流保,None,宗谷,4150,わ,9.93,None,豊富町,None,カンバ,山地災害防止（土砂）,0,141.906112,45.189227
None,カンバ,土流保,None,宗谷,4150,と,6.8,None,豊富町,None,他Ｌ,山地災害防止（土砂）,0,141.902756,45.189622
None,他Ｌ,土流保,None,宗谷,4150,そ,5.31,None,豊富町,カンバ,ミズナラ,山地災害防止（土砂）,0,141.90638,45.185717
None,アカエゾマツ,土流保,None,宗谷,4150,か,3.03,None,豊富町,None,他Ｌ,山地災害防止（土砂）,0,141.904062,45.187685
None,トドマツ,土流保,None,宗谷,4149,へ,1.98,None,豊富町,None,他Ｌ,山地災害防止（土砂）,0,141.903087,45.186613
None,天トドマツ,土流保,None,宗谷,4149,ち,10.24,None,豊富町,他Ｌ,天エゾマツ,山地災害防止（土砂）,0,141.904756,45.183176
None,エゾマツ,土流保,None,宗谷,4149,ろ,3.6,None,豊富町,None,他Ｌ,山地災害防止（土砂）,0,141.903694,45.185625
None,アカエゾマツ,土流保,None,宗谷,4149,い,3.4,None,豊富町,None,他Ｌ,山地災害防止（土砂）,0,141.903053,45.184326
None,トドマツ,土流保,None,宗谷,4149,は,10.7,None,豊富町,None,カンバ,山地災害防止（土砂）,0,141.903994,45.180856
None,天トドマツ,土流保,None,宗谷,4149,と,55.15,None,豊富町,他Ｌ,天エゾマツ,山地災害防止（土砂）,0,141.908922,45.176348
None,None,None,None,宗谷,4149,ハ,0.12,None,豊富町,None,None,山地災害防止（土砂）,0,141.904504,45.177449
None,トドマツ,土流保,None,宗谷,4149,に,5.12,None,豊富町,None,カンバ,山地災害防止（土砂）,0,141.903236,45.177846
None,None,None,None,宗谷,4149,ロ,0.29,None,豊富町,None,None,山地災害防止（土砂）,0,141.902314,45.176508
None,None,None,None,宗谷,4149,ロ,0.29,None,豊富町,None,None,山地災害防止（土砂）,0,141.902786,45.176964
None,トドマツ,土流保,None,宗谷,4149,ほ,3.9,None,豊富町,None,カンバ,山地災害防止（土砂）,0,141.904097,45.175619
None,None,None,None,宗谷,4125,ニ,3.29,None,豊富町,None,None,山地災害防止（土砂）,0,141.904616,45.169894
