A45_031,A45_015,A45_028,A45_029,A45_009,A45_004,A45_010,A45_027,A45_030,A45_014,A45_021,A45_018,A45_026,A45_007,center_lng,center_lat
None,他Ｌ,水涵保,None,空知,1,い,19.37,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,1,141.747461,43.02606
None,None,水涵保,None,空知,1,ワ,0.55,None,長沼町,None,None,森林空間利用,0,141.747439,43.026192
None,None,水涵保,None,空知,1,チ,0.56,None,長沼町,None,None,森林空間利用,0,141.747646,43.026023
None,他Ｌ,水涵保,None,空知,1,い,19.37,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,1,141.747631,43.025639
None,他Ｌ,水涵保,None,空知,1,い,19.37,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,1,141.74702,43.024999
None,トドマツ,水涵保,None,空知,1,む,1.59,None,長沼町,None,他Ｌ,森林空間利用,0,141.746494,43.023486
None,トドマツ,水涵保,None,空知,1,ろ,1.75,None,長沼町,他Ｌ,トドマツ,森林空間利用,0,141.746932,43.021451
None,トドマツ,水涵保,None,空知,1,ね,1.31,None,長沼町,イタヤカエデ,他Ｌ,森林空間利用,0,141.750369,43.020835
None,トドマツ,水涵保,None,空知,1,そ,0.13,None,長沼町,None,他Ｌ,森林空間利用,0,141.751388,43.019791
None,トドマツ,水涵保,None,空知,1,つ,0.19,None,長沼町,イタヤカエデ,他Ｌ,森林空間利用,0,141.75113,43.019899
None,他Ｌ,水涵保,None,空知,1,い,4.25,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,4,141.750809,43.019349
None,トドマツ,水涵保,None,空知,1,て,0.31,None,長沼町,None,None,森林空間利用,0,141.75324,43.017051
None,ストローブマツ,水涵保,None,空知,1,あ,0.99,None,長沼町,None,他Ｌ,森林空間利用,0,141.752837,43.017291
None,トドマツ,水涵保,None,空知,1,た,4.85,None,長沼町,イタヤカエデ,他Ｌ,森林空間利用,0,141.751896,43.018054
None,None,水涵保,None,空知,1,チ,0.56,None,長沼町,None,None,森林空間利用,0,141.748466,43.018332
None,トドマツ,水涵保,None,空知,1,ら,1.31,None,長沼町,None,他Ｌ,森林空間利用,0,141.748827,43.021193
None,他Ｌ,水涵保,None,空知,1,い,19.37,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,1,141.749641,43.020218
None,トドマツ,水涵保,None,空知,1,な,1.43,None,長沼町,None,None,森林空間利用,0,141.749931,43.019487
None,他Ｌ,水涵保,None,空知,1,い,19.37,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,1,141.74908,43.019963
None,トドマツ,水涵保,None,空知,1,ね,1.31,None,長沼町,イタヤカエデ,他Ｌ,森林空間利用,0,141.749156,43.019776
None,トドマツ,水涵保,None,空知,1,ら,1.31,None,長沼町,None,他Ｌ,森林空間利用,0,141.74902,43.019127
None,トドマツ,水涵保,None,空知,1,お,7.82,None,長沼町,None,他Ｎ,森林空間利用,0,141.746673,43.019318
None,トドマツ,水涵保,None,空知,1,れ,2.85,None,長沼町,イタヤカエデ,他Ｌ,森林空間利用,0,141.750498,43.017363
None,トドマツ,水涵保,None,空知,1,か,3.87,None,長沼町,None,None,森林空間利用,0,141.747995,43.016734
None,ストローブマツ,水涵保,None,空知,1,わ,1.75,None,長沼町,None,None,森林空間利用,0,141.746328,43.01632
None,ストローブマツ,水涵保,None,空知,1,え,1.48,None,長沼町,None,他Ｌ,森林空間利用,0,141.754455,43.014489
None,トドマツ,水涵保,None,空知,1,さ,0.03,None,長沼町,None,None,森林空間利用,0,141.756911,43.011699
None,トドマツ,水涵保,None,空知,1,き,4.6,None,長沼町,None,None,森林空間利用,0,141.756357,43.012163
None,他Ｌ,水涵保,None,空知,2,い,12.41,None,長沼町,イタヤカエデ,シナノキ,森林空間利用,1,141.756561,43.011301
None,None,None,None,空知,2,ホ,1.9,None,長沼町,None,None,森林空間利用,0,141.756121,43.011364
None,トドマツ,水涵保,None,空知,2,へ,2.14,None,長沼町,他Ｌ,トドマツ,森林空間利用,0,141.756413,43.011333
None,None,水涵保,None,空知,1,リ,0.02,None,長沼町,None,None,森林空間利用,0,141.755212,43.013058
None,他Ｌ,水涵保,None,空知,1,い,5.21,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,2,141.755678,43.01265
None,None,水涵保,None,空知,1,ホ,0.11,None,長沼町,None,None,森林空間利用,2,141.756132,43.012522
None,None,水涵保,None,空知,1,ホ,0.11,None,長沼町,None,None,森林空間利用,2,141.755309,43.012414
None,トドマツ,水涵保,None,空知,1,き,4.6,None,長沼町,None,None,森林空間利用,0,141.755295,43.012832
None,他Ｌ,水涵保,None,空知,1,い,5.21,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,2,141.755245,43.012305
None,None,None,None,空知,1,ホ,0.09,None,長沼町,None,None,森林空間利用,1,141.754866,43.012483
None,他Ｌ,水涵保,None,空知,1,い,5.21,None,長沼町,シナノキ,イタヤカエデ,森林空間利用,2,141.754164,43.013148
None,None,None,None,空知,1,ロ,0.03,None,長沼町,None,None,森林空間利用,0,141.754724,43.012739
None,None,None,None,空知,1,イ,0.03,None,長沼町,None,None,森林空間利用,0,141.754805,43.012621
