A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,401,イ,水源涵養,雨竜町,None,None,0,None,None,0.53,水涵保,北空知支,None,141.823752,43.709941
None,401,い,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,15.48,水涵保,北空知支,None,141.822756,43.708624
None,401,ホ,水源涵養,雨竜町,None,None,0,None,None,0.58,None,北空知支,None,141.823363,43.7075
None,401,い,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,15.48,水涵保,北空知支,None,141.823962,43.70572
ミズナラ,409,へ,水源涵養,雨竜町,None,他Ｌ,0,シナノキ,None,0.56,None,北空知支,None,141.817758,43.708085
ミズナラ,409,ち,水源涵養,雨竜町,None,シナノキ,0,他Ｌ,None,35.5,None,北空知支,None,141.816426,43.709717
None,409,い,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,6.1,None,北空知支,None,141.811435,43.70987
トドマツ,409,ろ,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,4.55,None,北空知支,None,141.809434,43.709431
None,409,ほ,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,16.13,None,北空知支,None,141.814686,43.707741
トドマツ,401,は,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,57.67,水涵保,北空知支,None,141.824723,43.697115
None,401,に,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,6.34,水涵保,北空知支,None,141.828737,43.689342
None,401,ほ,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,12.91,水涵保,北空知支,None,141.828496,43.687728
None,401,ほ,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,12.91,水涵保,北空知支,None,141.82458,43.689792
None,401,ニ,水源涵養,雨竜町,None,None,0,None,None,0.01,None,北空知支,None,141.829166,43.687385
None,401,ハ,水源涵養,雨竜町,None,None,0,None,None,0.71,None,北空知支,None,141.825445,43.687333
シナノキ,401,り,水源涵養,雨竜町,None,他Ｌ,0,カンバ,None,12.43,水涵保,北空知支,None,141.826432,43.686786
None,401,ニ,水源涵養,雨竜町,None,None,0,None,None,0.01,None,北空知支,None,141.82448,43.687413
None,402,ハ,水源涵養,雨竜町,None,None,0,None,None,0.16,None,北空知支,None,141.824396,43.687367
None,402,ロ,水源涵養,雨竜町,None,None,0,None,None,5.6,水涵保,北空知支,None,141.824338,43.68726
None,402,は,水源涵養,雨竜町,None,天トドマツ,0,カンバ,None,17.05,水涵保,北空知支,None,141.824429,43.686158
None,401,ほ,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,12.91,水涵保,北空知支,None,141.825466,43.686099
None,401,ろ,水源涵養,雨竜町,None,トドマツ,0,トドマツ,None,3.1,水涵保,北空知支,None,141.822835,43.703352
トドマツ,401,は,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,57.67,水涵保,北空知支,None,141.819933,43.702375
トドマツ,401,は,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,57.67,水涵保,北空知支,None,141.819477,43.702129
シナノキ,401,り,水源涵養,雨竜町,None,他Ｌ,0,カンバ,None,12.43,水涵保,北空知支,None,141.819514,43.701547
None,401,ち,水源涵養,雨竜町,None,カラマツ,0,カンバ,None,3.79,水涵保,北空知支,None,141.818242,43.700628
カンバ,401,る,水源涵養,雨竜町,None,他Ｌ,0,シナノキ,None,7.57,水涵保,北空知支,None,141.819517,43.699627
None,401,ち,水源涵養,雨竜町,None,カラマツ,0,カンバ,None,3.79,水涵保,北空知支,None,141.821544,43.697268
None,401,と,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,4.87,水涵保,北空知支,None,141.820364,43.696125
シナノキ,401,り,水源涵養,雨竜町,None,他Ｌ,0,カンバ,None,12.43,水涵保,北空知支,None,141.826812,43.688307
None,401,と,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,4.87,水涵保,北空知支,None,141.82206,43.694329
None,401,ロ,水源涵養,雨竜町,None,None,0,None,None,2.52,水涵保,北空知支,None,141.8207,43.697386
カンバ,402,ろ,水源涵養,雨竜町,None,トドマツ,0,他Ｌ,None,0.58,水涵保,北空知支,None,141.819824,43.695725
イタヤカエデ,402,い,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,0.76,水涵保,北空知支,None,141.819516,43.696969
None,402,は,水源涵養,雨竜町,None,天トドマツ,0,カンバ,None,17.05,水涵保,北空知支,None,141.817983,43.69842
シナノキ,401,ぬ,水源涵養,雨竜町,None,他Ｌ,0,天トドマツ,None,3.06,水涵保,北空知支,None,141.81684,43.69981
シナノキ,402,つ,水源涵養,雨竜町,None,他Ｌ,0,カンバ,None,2.82,水涵保,北空知支,None,141.816033,43.695997
None,402,ほ,水源涵養,雨竜町,None,トドマツ,0,カンバ,None,7.0,水涵保,北空知支,None,141.814926,43.694651
シナノキ,402,お,水源涵養,雨竜町,None,カンバ,0,他Ｌ,None,17.68,水涵保,北空知支,None,141.813176,43.694913
None,402,ホ,水源涵養,雨竜町,None,None,0,None,None,0.14,None,北空知支,None,141.812652,43.692951
None,402,ぬ,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,5.41,水涵保,北空知支,None,141.812382,43.694454
None,403,い,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,4.61,水涵保,北空知支,None,141.811604,43.695331
None,403,ニ,水源涵養,雨竜町,None,None,0,None,None,0.58,None,北空知支,None,141.811069,43.695238
None,403,ホ,水源涵養,雨竜町,None,None,0,None,None,0.04,None,北空知支,None,141.811405,43.694708
None,402,ニ,水源涵養,雨竜町,None,None,0,None,None,4.19,水涵保,北空知支,None,141.813603,43.692551
シナノキ,402,お,水源涵養,雨竜町,None,カンバ,0,他Ｌ,None,17.68,水涵保,北空知支,None,141.812057,43.693231
None,403,い,水源涵養,雨竜町,None,カンバ,0,天トドマツ,None,4.61,水涵保,北空知支,None,141.81065,43.694384
