面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
31.38,23,0002,None,None,0,11,00,2,133,None,99230002060002,None,23206020,0206,None,99.0,26,11,142.985735,44.480986
12.15,23,0011,None,None,0,11,00,2,93,None,99230002110011,None,23211110,0211,None,98.0,26,11,142.951128,44.485337
5.07,23,0054,None,None,0,11,00,1,42,None,99230002060054,None,23206540,0206,None,23.0,26,11,142.984845,44.475254
5.82,23,0043,None,None,2,11,00,2,133,None,99230002060043,None,23206430,0206,None,39.0,26,11,142.986084,44.476391
0.65,23,0043,None,None,2,11,00,2,133,None,99230002070043,None,23207430,0207,None,98.0,26,18,142.980425,44.485215
6.42,23,0046,None,None,2,11,00,2,133,None,99230002060046,None,23206460,0206,None,98.0,26,11,142.980892,44.484
6.99,23,0053,None,None,0,11,00,1,56,None,99230002060053,None,23206530,0206,None,26.0,26,11,142.991995,44.471028
10.72,23,0001,None,None,0,11,00,2,133,None,99230002060001,None,23206010,0206,None,99.0,26,11,142.985721,44.471324
4.79,23,0057,None,None,0,11,00,1,36,None,99230002060057,None,23206570,0206,None,26.0,26,11,142.983937,44.482125
25.12,23,0056,None,None,0,11,00,1,55,None,99230002270056,None,23227560,0227,None,26.0,26,1,142.868548,44.493479
5.79,23,0008,None,None,0,11,00,2,133,None,99230002270008,None,23227080,0227,None,99.0,26,1,142.863027,44.488309
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.952331,44.482335
3.84,23,0041,None,None,2,11,00,2,133,None,99230002060041,None,23206410,0206,None,99.0,26,11,142.978547,44.470681
15.18,23,0044,None,None,2,11,00,2,133,None,99230002060044,None,23206440,0206,None,99.0,26,11,142.982517,44.472294
17.33,23,0037,None,None,2,11,00,2,133,None,99230003100037,None,23310370,0310,None,99.0,26,12,142.680529,44.597431
1.99,23,0051,None,None,2,11,00,1,84,None,99230002070051,None,23207510,0207,None,23.0,26,18,142.968431,44.483289
8.94,23,0054,None,None,0,11,00,1,53,None,99230002070054,None,23207540,0207,None,23.0,26,18,142.950868,44.483046
31.38,23,0002,None,None,0,11,00,2,133,None,99230002060002,None,23206020,0206,None,99.0,26,11,142.980161,44.482996
8.94,23,0054,None,None,0,11,00,1,53,None,99230002070054,None,23207540,0207,None,23.0,26,18,142.963451,44.490452
11.4,23,0052,None,None,0,11,00,1,56,None,99230002060052,None,23206520,0206,None,26.0,26,11,142.988387,44.468311
10.72,23,0001,None,None,0,11,00,2,133,None,99230002060001,None,23206010,0206,None,99.0,26,11,142.988192,44.466739
0.47,23,0056,None,None,0,11,00,1,41,None,99230002060056,None,23206560,0206,None,23.0,26,11,142.983093,44.480575
4.65,23,0031,None,None,2,11,00,2,133,None,99230002060031,None,23206310,0206,None,99.0,26,11,142.980561,44.479633
2.2,23,0031,None,None,2,11,00,2,93,None,99230002070031,None,23207310,0207,None,98.0,26,18,142.979253,44.479426
1.68,23,0055,None,None,0,11,00,1,41,None,99230002060055,None,23206550,0206,None,26.0,26,11,142.985216,44.479079
38.57,23,0003,None,None,0,11,00,2,101,None,99230002060003,None,23206030,0206,None,99.0,26,11,142.987925,44.473519
2.86,23,0045,None,None,2,11,00,2,133,None,99230002060045,None,23206450,0206,None,99.0,26,11,142.987069,44.478483
10.72,23,0001,None,None,0,11,00,2,133,None,99230002060001,None,23206010,0206,None,99.0,26,11,142.979432,44.471848
13.43,23,0042,None,None,2,11,00,2,133,None,99230002060042,None,23206420,0206,None,39.0,26,11,142.980459,44.475532
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.968316,44.486417
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.954449,44.482999
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.967088,44.486041
5.07,23,0054,None,None,0,11,00,1,42,None,99230002060054,None,23206540,0206,None,23.0,26,11,142.981522,44.477813
1.3,23,0058,None,None,0,11,00,1,28,None,99230002070058,None,23207580,0207,None,26.0,26,18,142.969017,44.482887
5.07,23,0054,None,None,0,11,00,1,42,None,99230002060054,None,23206540,0206,None,23.0,26,11,142.983105,44.475078
123.17,23,0003,None,91.0,0,11,00,2,133,None,99230002750003,None,23275030,0275,26.0,98.0,26,11,142.600818,44.462877
8.94,23,0054,None,None,0,11,00,1,53,None,99230002070054,None,23207540,0207,None,23.0,26,18,142.962057,44.487534
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.955467,44.483848
1.3,23,0058,None,None,0,11,00,1,28,None,99230002070058,None,23207580,0207,None,26.0,26,18,142.971451,44.479906
38.57,23,0003,None,None,0,11,00,2,101,None,99230002060003,None,23206030,0206,None,99.0,26,11,142.977655,44.475427
6.82,23,0051,None,None,0,11,00,1,57,None,99230002060051,None,23206510,0206,None,23.0,26,11,142.991321,44.4677
7.66,23,0041,None,None,2,11,00,2,133,None,99230002070041,None,23207410,0207,None,99.0,26,18,142.968235,44.478662
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.963886,44.485391
7.99,23,0057,None,None,0,11,00,1,29,None,99230002070057,None,23207570,0207,None,26.0,26,18,142.965172,44.484046
219.21,23,0004,None,91.0,0,11,00,2,133,None,99230002740004,None,23274040,0274,26.0,98.0,26,11,142.587939,44.435565
15.18,23,0044,None,None,2,11,00,2,133,None,99230002060044,None,23206440,0206,None,99.0,26,11,142.983619,44.476156
10.45,23,0006,None,None,0,11,00,2,133,None,99230002050006,None,23205060,0205,None,99.0,26,11,142.990408,44.465438
34.74,23,0052,None,None,0,11,00,1,45,None,99230002850052,None,23285520,0285,None,26.0,26,12,142.656611,44.502365
65.49,23,0042,None,None,2,11,00,2,133,None,99230002850042,None,23285420,0285,None,99.0,26,12,142.655252,44.500133
