面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176030,0176,26.0,None,05,11,140.675995,42.850794
40.74,12,0092,None,None,0,03,00,6,122,None,99120001760092,None,12176980,0176,None,None,05,54,140.66877,42.856982
42.67,12,0004,None,54.0,0,03,00,2,133,None,99120001760004,None,12176020,0176,26.0,98.0,05,11,140.662684,42.860936
26.92,12,0006,None,54.0,0,03,00,2,133,None,99120001760006,None,12176030,0176,26.0,98.0,05,11,140.679499,42.854434
13.17,12,0005,None,52.0,0,03,00,2,112,None,99120001760005,None,12176010,0176,26.0,98.0,05,11,140.678328,42.856265
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.665932,42.866975
13.17,12,0005,None,52.0,0,03,00,2,112,None,99120001760005,None,12176010,0176,26.0,98.0,05,11,140.661124,42.869743
24.71,12,0097,None,None,0,03,00,6,122,None,99120001760097,None,12176970,0176,None,None,05,52,140.667918,42.862545
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.663155,42.865013
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.679008,42.853395
40.74,12,0092,None,None,0,03,00,6,122,None,99120001760092,None,12176980,0176,None,None,05,54,140.678634,42.853219
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.663017,42.867234
26.92,12,0006,None,54.0,0,03,00,2,133,None,99120001760006,None,12176010,0176,26.0,98.0,05,11,140.670597,42.864606
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.665072,42.864398
26.92,12,0006,None,54.0,0,03,00,2,133,None,99120001760006,None,12176030,0176,26.0,98.0,05,11,140.665762,42.85219
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.665968,42.865106
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.672645,42.849645
28.35,12,0098,None,None,0,03,00,6,122,None,99120001760098,None,12176980,0176,None,None,05,54,140.658652,42.860472
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.667675,42.86391
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.676981,42.852659
24.71,12,0097,None,None,0,03,00,6,122,None,99120001760097,None,12176970,0176,None,None,05,52,140.661589,42.868563
3.63,12,0095,None,54.0,0,03,00,6,122,None,99120001760095,None,12176950,0176,26.0,None,05,11,140.66961,42.853351
3.63,12,0095,None,54.0,0,03,00,6,122,None,99120001760095,None,12176950,0176,26.0,None,05,11,140.670741,42.851511
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.666619,42.856
56.37,12,0099,None,52.0,0,03,00,6,122,None,99120001760099,None,12176940,0176,26.0,None,05,11,140.674041,42.855224
3.63,12,0095,None,54.0,0,03,00,6,122,None,99120001760095,None,12176950,0176,26.0,None,05,11,140.67104,42.850143
3.63,12,0095,None,54.0,0,03,00,6,122,None,99120001760095,None,12176950,0176,26.0,None,05,11,140.670583,42.850717
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.671332,42.857343
27.22,12,0091,None,54.0,0,03,00,6,122,None,99120001760091,None,12176950,0176,26.0,None,05,11,140.671876,42.85508
16.34,12,0053,None,52.0,0,03,00,1,61,None,99120001740053,None,12174520,0174,26.0,50.0,05,11,140.643164,42.875376
109.39,12,0005,None,54.0,0,03,00,2,133,None,99120001740005,None,12174050,0174,26.0,98.0,05,11,140.633703,42.85792
8.69,12,0095,None,None,0,03,00,6,122,None,99120001740095,None,12174950,0174,None,None,05,54,140.630905,42.85611
8.69,12,0095,None,None,0,03,00,6,122,None,99120001740095,None,12174950,0174,None,None,05,54,140.634167,42.855232
12.53,12,0008,None,52.0,0,03,00,2,112,None,99120001740008,None,12174010,0174,26.0,98.0,05,11,140.645455,42.873048
9.59,12,0053,None,54.0,0,03,00,1,58,None,99120001750053,None,12175530,0175,26.0,50.0,05,11,140.649496,42.860699
5.89,12,0052,None,54.0,0,03,00,1,58,None,99120001750052,None,12175520,0175,26.0,50.0,05,11,140.646568,42.861072
10.16,12,0098,None,None,0,03,00,6,122,None,99120001750098,None,12175980,0175,None,None,05,54,140.653084,42.857213
24.33,12,0008,None,54.0,0,03,00,2,133,None,99120001750008,None,12175020,0175,26.0,98.0,05,11,140.65456,42.863276
109.39,12,0005,None,54.0,0,03,00,2,133,None,99120001740005,None,12174050,0174,26.0,98.0,05,11,140.626424,42.859648
3.54,12,0004,None,54.0,0,03,00,2,133,None,99120001750004,None,12175040,0175,26.0,98.0,05,11,140.650124,42.858238
109.39,12,0005,None,54.0,0,03,00,2,133,None,99120001740005,None,12174050,0174,26.0,98.0,05,11,140.633344,42.861897
11.47,12,0092,None,52.0,0,03,00,6,122,None,99120001740092,None,12174920,0174,26.0,None,05,11,140.640815,42.873026
