面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
3.94,18,0016,None,None,0,09,00,2,133,None,99180000010016,None,18001160,0001,None,99.0,01,12,141.466133,43.793739
2.1,18,0096,None,None,0,09,00,6,122,None,99180000280096,None,18028960,0028,None,None,01,11,141.478952,43.786711
22.05,18,0001,None,None,0,09,00,2,133,None,99180000010001,None,18001010,0001,None,98.0,01,1,141.507892,43.807603
3.53,18,0014,None,None,0,09,00,2,133,None,99180000010014,None,18001140,0001,None,98.0,01,12,141.50515,43.807748
7.85,18,0051,None,None,0,09,00,1,64,None,99180000010051,None,18001510,0001,None,23.0,01,12,141.502834,43.8047
3.79,18,0051,None,None,0,09,00,1,48,None,99180000280051,None,18028510,0028,None,23.0,01,11,141.480731,43.795666
16.56,18,0003,None,None,0,09,00,2,133,None,99180000010003,None,18001030,0001,None,99.0,01,12,141.495854,43.804042
5.82,18,0004,None,None,0,09,00,2,133,None,99180000280004,None,18028040,0028,None,39.0,01,11,141.479076,43.785321
9.2,18,0054,None,None,0,09,00,1,50,None,99180000010054,None,18001540,0001,None,23.0,01,12,141.498859,43.804381
5.12,18,0062,None,None,0,09,00,1,40,None,99180000010062,None,18001620,0001,None,23.0,01,12,141.493553,43.804235
1.64,18,0011,None,None,0,09,00,2,133,None,99180000280011,None,18028110,0028,None,98.0,01,11,141.473905,43.793168
7.85,18,0051,None,None,0,09,00,1,64,None,99180000010051,None,18001510,0001,None,23.0,01,12,141.503293,43.803725
9.2,18,0054,None,None,0,09,00,1,50,None,99180000010054,None,18001540,0001,None,23.0,01,12,141.499687,43.803605
3.97,18,0007,None,None,0,09,00,2,133,None,99180000010007,None,18001070,0001,None,98.0,01,12,141.488753,43.803196
8.77,18,0041,None,None,3,09,00,2,133,None,99180000010041,None,18001410,0001,None,99.0,01,12,141.48683,43.795808
9.2,18,0054,None,None,0,09,00,1,50,None,99180000010054,None,18001540,0001,None,23.0,01,12,141.501492,43.803295
5.16,18,0060,None,None,0,09,00,1,42,None,99180000010060,None,18001600,0001,None,23.0,01,12,141.49076,43.802901
3.08,18,0055,None,None,0,09,00,1,36,None,99180000280055,None,18028550,0028,None,23.0,01,11,141.485236,43.794665
9.2,18,0054,None,None,0,09,00,1,50,None,99180000010054,None,18001540,0001,None,23.0,01,12,141.502573,43.802495
4.03,18,0054,None,None,0,09,00,1,37,None,99180000280054,None,18028540,0028,None,23.0,01,11,141.482849,43.794549
10.09,18,0032,None,None,2,09,00,2,133,None,99180000280032,None,18028320,0028,None,99.0,01,11,141.475228,43.787781
9.2,18,0054,None,None,0,09,00,1,50,None,99180000010054,None,18001540,0001,None,23.0,01,12,141.499859,43.802722
6.0,18,0061,None,None,0,09,00,1,41,None,99180000010061,None,18001610,0001,None,23.0,01,12,141.493767,43.801634
10.53,18,0053,None,None,0,09,00,1,45,None,99180000280053,None,18028530,0028,None,23.0,01,11,141.492959,43.792708
16.56,18,0003,None,None,0,09,00,2,133,None,99180000010003,None,18001030,0001,None,99.0,01,12,141.499916,43.802229
5.86,18,0042,None,None,2,09,00,2,133,None,99180000280042,None,18028420,0028,None,39.0,01,11,141.478174,43.783063
0.37,18,0052,None,None,0,09,00,1,64,None,99180000010052,None,18001520,0001,None,23.0,01,12,141.496211,43.80177
7.77,18,0013,None,None,0,09,00,2,133,None,99180000010013,None,18001130,0001,None,99.0,01,12,141.464458,43.794782
2.77,18,0096,None,None,0,09,00,6,122,None,99180000010096,None,18001960,0001,None,None,01,12,141.484947,43.801009
9.94,18,0055,None,None,0,09,00,1,49,None,99180000010055,None,18001550,0001,None,23.0,01,12,141.486316,43.800162
9.22,18,0041,None,None,2,09,00,2,133,None,99180000280041,None,18028410,0028,None,99.0,01,11,141.476507,43.79062
