面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
9.34,16,0056,None,None,3.0,07,00,1.0,64.0,None,99160000450056,None,16045560,0045,None,17.0,11,11.0,141.96808,43.399481
27.74,16,0002,None,None,0.0,07,00,2.0,101.0,None,99160003390002,None,16339020,0339,None,98.0,12,11.0,141.80093,43.493995
16.9,16,0005,None,None,0.0,07,00,2.0,101.0,None,99160003390005,None,16339050,0339,None,98.0,12,11.0,141.799329,43.485943
79.59,16,0004,None,None,0.0,07,00,2.0,133.0,None,99160003400004,None,16340040,0340,None,98.0,12,11.0,141.785197,43.489296
5.76,16,0056,None,None,0.0,07,00,1.0,70.0,None,99160003400056,None,16340560,0340,None,23.0,12,11.0,141.793013,43.480112
3.0,16,0098,None,None,0.0,07,00,6.0,122.0,None,99160003400098,None,16340980,0340,None,None,12,1.0,141.7935,43.479926
6.64,16,0098,None,None,0.0,07,00,6.0,122.0,None,99160003390098,None,16339980,0339,None,None,12,1.0,141.798594,43.493408
14.13,16,0007,None,None,0.0,07,00,2.0,133.0,None,99160003400007,None,16340070,0340,None,98.0,12,11.0,141.801399,43.480429
27.74,16,0002,None,None,0.0,07,00,2.0,101.0,None,99160003390002,None,16339020,0339,None,98.0,12,11.0,141.79761,43.496371
31.93,16,0003,None,None,0.0,07,00,2.0,133.0,None,99160003390003,None,16339030,0339,None,98.0,12,11.0,141.794615,43.493154
15.94,16,0007,None,None,0.0,07,00,2.0,133.0,None,99160003390007,None,16339070,0339,None,98.0,12,11.0,141.80797,43.493941
3.46,16,0051,None,None,0.0,07,00,1.0,66.0,None,99160003400051,None,16340510,0340,None,23.0,12,11.0,141.796382,43.484368
14.13,16,0007,None,None,0.0,07,00,2.0,133.0,None,99160003400007,None,16340070,0340,None,98.0,12,11.0,141.795706,43.480477
