面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
30.57,13,0008,None,None,0.0,04,00,2.0,133.0,None,99130000510008,None,13051080,0051,12.0,99.0,13,11.0,142.142999,42.89942
80.69,13,0004,None,None,0.0,04,00,2.0,133.0,None,99130000560004,None,13056040,0056,None,98.0,13,12.0,142.144431,42.893975
52.25,13,0002,None,None,0.0,04,00,2.0,133.0,None,99130000020002,None,13002020,0002,None,98.0,13,12.0,142.039403,42.722719
1.23,13,0095,None,None,0.0,04,00,6.0,122.0,None,99130000020095,None,13002950,0002,None,None,13,12.0,142.045233,42.72482
11.72,13,0074,None,None,0.0,04,00,1.0,47.0,None,99130000020074,None,13002740,0002,None,23.0,13,12.0,142.03615,42.720432
11.72,13,0074,None,None,0.0,04,00,1.0,47.0,None,99130000020074,None,13002740,0002,None,23.0,13,12.0,142.041067,42.719912
1.77,13,0061,None,None,0.0,04,00,1.0,50.0,None,99130000020061,None,13002610,0002,None,17.0,13,12.0,142.045743,42.719017
8.26,13,0052,None,None,2.0,04,00,1.0,68.0,None,99130000020052,None,13002520,0002,None,17.0,13,12.0,142.04553,42.711251
0.99,13,0078,None,None,0.0,04,00,1.0,46.0,None,99130000020078,None,13002780,0002,None,23.0,13,12.0,142.04637,42.710833
52.25,13,0002,None,None,0.0,04,00,2.0,133.0,None,99130000020002,None,13002020,0002,None,98.0,13,12.0,142.036431,42.721703
0.82,13,0079,None,None,0.0,04,00,1.0,46.0,None,99130000020079,None,13002790,0002,None,23.0,13,12.0,142.03931,42.718377
11.72,13,0074,None,None,0.0,04,00,1.0,47.0,None,99130000020074,None,13002740,0002,None,23.0,13,12.0,142.042322,42.721882
0.68,13,0082,None,None,0.0,04,00,1.0,46.0,None,99130000020082,None,13002820,0002,None,23.0,13,12.0,142.047865,42.717458
1.59,13,0068,None,None,0.0,04,00,1.0,48.0,None,99130000020068,None,13002680,0002,None,23.0,13,12.0,142.049468,42.715917
1.08,13,0069,None,None,0.0,04,00,1.0,48.0,None,99130000020069,None,13002690,0002,None,17.0,13,12.0,142.048704,42.716404
0.99,13,0078,None,None,0.0,04,00,1.0,46.0,None,99130000020078,None,13002780,0002,None,23.0,13,12.0,142.049029,42.71422
