市区町村名,地番,大字名,丁目名,center_lng,center_lat
中川郡美深町,506-2W3,字仁宇布,,142.522949,44.466166
中川郡美深町,869-3,字仁宇布,,142.479239,44.497571
中川郡美深町,975,字仁宇布,,142.479016,44.496786
中川郡美深町,972,字仁宇布,,142.475236,44.493624
中川郡美深町,255,字辺溪,,142.430621,44.474654
中川郡美深町,254,字辺溪,,142.431075,44.473953
中川郡美深町,458-4,字辺溪,,142.431878,44.473867
中川郡美深町,458-3,字辺溪,,142.431591,44.474417
中川郡美深町,459,字辺溪,,142.433161,44.475646
中川郡美深町,458-2,字辺溪,,142.431565,44.475993
中川郡美深町,国有地-7,字辺溪,,142.430602,44.476204
中川郡美深町,256,字辺溪,,142.430504,44.475935
中川郡美深町,259,字辺溪,,142.430769,44.475333
中川郡美深町,252,字辺溪,,142.429716,44.475108
中川郡美深町,257-1,字辺溪,,142.430368,44.475557
中川郡美深町,257-3,字辺溪,,142.430374,44.475064
中川郡美深町,458-1,字辺溪,,142.431601,44.475351
中川郡美深町,国有地-6,字辺溪,,142.431249,44.474861
中川郡美深町,253,字辺溪,,142.43017,44.474457
中川郡美深町,261-3,字辺溪,,142.428103,44.474754
中川郡美深町,257-2,字辺溪,,142.429839,44.474967
中川郡美深町,261-6,字辺溪,,142.429704,44.475502
中川郡美深町,261-5,字辺溪,,142.428723,44.476081
中川郡美深町,261-1,字辺溪,,142.42887,44.475364
中川郡美深町,261-2,字辺溪,,142.427709,44.475407
中川郡美深町,261-4,字辺溪,,142.428069,44.474525
中川郡美深町,250,字辺溪,,142.426922,44.473901
中川郡美深町,258,字辺溪,,142.42976,44.474355
中川郡美深町,251,字辺溪,,142.42917,44.473297
中川郡美深町,262-1,字辺溪,,142.426922,44.475324
中川郡美深町,579,字辺溪,,142.425983,44.475612
中川郡美深町,578,字辺溪,,142.425539,44.476624
中川郡美深町,278,字辺溪,,142.4242,44.480263
中川郡美深町,277,字辺溪,,142.425125,44.480397
中川郡美深町,271,字辺溪,,142.426364,44.480208
中川郡美深町,272,字辺溪,,142.428459,44.479778
中川郡美深町,273-1,字辺溪,,142.427584,44.48
中川郡美深町,434-8,字辺溪,,142.428705,44.480635
中川郡美深町,451-1,字辺溪,,142.430127,44.480499
中川郡美深町,434-9,字辺溪,,142.429258,44.480301
中川郡美深町,451-2,字辺溪,,142.429052,44.479949
中川郡美深町,451-3,字辺溪,,142.429243,44.479819
中川郡美深町,267,字辺溪,,142.42581,44.47906
中川郡美深町,268,字辺溪,,142.426175,44.478436
中川郡美深町,266,字辺溪,,142.424303,44.477899
中川郡美深町,国有地-12,字辺溪,,142.426329,44.477501
中川郡美深町,264,字辺溪,,142.426519,44.47738
中川郡美深町,612,字辺溪,,142.426205,44.477364
中川郡美深町,618,字辺溪,,142.426563,44.476872
中川郡美深町,水-3,字辺溪,,142.422915,44.480881
中川郡美深町,263,字辺溪,,142.428298,44.477117
中川郡美深町,道-6,字辺溪,,142.429646,44.478187
中川郡美深町,国有地-8,字辺溪,,142.431273,44.478718
中川郡美深町,455-2,字辺溪,,142.430458,44.477872
中川郡美深町,260,字辺溪,,142.429867,44.476725
中川郡美深町,457-1,字辺溪,,142.43088,44.476273
中川郡美深町,457-2,字辺溪,,142.431618,44.476609
中川郡美深町,455-1,字辺溪,,142.431191,44.478358
中川郡美深町,456,字辺溪,,142.432389,44.476564
中川郡美深町,460,字辺溪,,142.433548,44.477943
中川郡美深町,454,字辺溪,,142.431965,44.478202
中川郡美深町,453-2,字辺溪,,142.430566,44.479007
中川郡美深町,452,字辺溪,,142.431482,44.479008
中川郡美深町,450,字辺溪,,142.432335,44.479479
中川郡美深町,449,字辺溪,,142.431603,44.480189
中川郡美深町,453-1,字辺溪,,142.430037,44.479674
中川郡美深町,434-10,字辺溪,,142.430615,44.480595
