小字名,市区町村名,地番,center_lng,center_lat
字轟,余市郡赤井川村,18-2,140.880947,42.994438
字轟,余市郡赤井川村,18,140.880385,42.994516
字轟,余市郡赤井川村,7-1,140.88107,42.995645
字轟,余市郡赤井川村,6-10,140.880476,42.998633
字轟,余市郡赤井川村,6-1,140.881398,42.997214
字轟,余市郡赤井川村,5-2,140.881592,42.999283
字轟,余市郡赤井川村,5-12,140.880454,43.000292
字轟,余市郡赤井川村,5-11,140.880478,43.000585
字轟,余市郡赤井川村,4-11,140.881989,43.000293
字轟,余市郡赤井川村,5-15,140.880735,43.000676
字轟,余市郡赤井川村,5-14,140.880643,43.000705
字轟,余市郡赤井川村,4-6,140.881631,43.001303
字轟,余市郡赤井川村,4-1,140.880669,43.002736
字轟,余市郡赤井川村,4-7,140.880931,43.001361
字轟,余市郡赤井川村,4-9,140.880735,43.003252
字轟,余市郡赤井川村,4-10,140.881219,43.003229
字轟,余市郡赤井川村,3-23,140.881262,43.003639
字轟,余市郡赤井川村,3-19,140.880874,43.003804
字轟,余市郡赤井川村,3-1,140.884231,43.006836
字轟,余市郡赤井川村,26-4,140.906416,43.01258
字轟,余市郡赤井川村,26-1,140.907625,43.012277
字轟,余市郡赤井川村,26-3,140.907209,43.01189
字轟,余市郡赤井川村,26-2,140.903603,43.012858
字轟,余市郡赤井川村,25,140.900792,43.013609
字轟,余市郡赤井川村,23-3,140.898648,43.012758
字轟,余市郡赤井川村,23-6,140.899215,43.013342
字轟,余市郡赤井川村,23-1,140.897939,43.012959
字轟,余市郡赤井川村,23-5,140.895567,43.012371
字轟,余市郡赤井川村,23-4,140.894407,43.012049
字轟,余市郡赤井川村,23-2,140.894356,43.011839
字轟,余市郡赤井川村,22,140.890563,43.010791
字轟,余市郡赤井川村,24,140.893802,43.012293
字轟,余市郡赤井川村,20-2,140.892466,43.011694
字轟,余市郡赤井川村,21-2,140.892092,43.011384
字轟,余市郡赤井川村,21-1,140.891628,43.011263
字轟,余市郡赤井川村,水-2,140.908462,43.012068
字轟,余市郡赤井川村,20-3,140.890255,43.011056
字轟,余市郡赤井川村,20-4,140.890759,43.010948
字轟,余市郡赤井川村,20-1,140.890111,43.010495
字轟,余市郡赤井川村,19-2,140.885821,43.010149
字轟,余市郡赤井川村,19-3,140.885577,43.010366
字轟,余市郡赤井川村,19-1,140.885264,43.010592
字轟,余市郡赤井川村,3-18,140.88403,43.011032
字轟,余市郡赤井川村,3-21,140.88011,43.009699
字轟,余市郡赤井川村,3-24,140.881484,43.01015
字轟,余市郡赤井川村,3-20,140.882154,43.010665
字轟,余市郡赤井川村,3-17,140.881801,43.010606
字轟,余市郡赤井川村,27-1,140.909824,43.012321
字轟,余市郡赤井川村,27-3,140.910006,43.012181
字轟,余市郡赤井川村,27-2,140.909574,43.011781
字落合,余市郡赤井川村,9,140.883089,43.053557
字落合,余市郡赤井川村,10,140.882386,43.055068
字落合,余市郡赤井川村,12,140.885008,43.054483
字落合,余市郡赤井川村,12-2,140.886166,43.054532
字落合,余市郡赤井川村,108,140.887281,43.055022
字常盤,余市郡赤井川村,401-3,140.958605,43.078102
字常盤,余市郡赤井川村,615,140.957479,43.076562
字常盤,余市郡赤井川村,425,140.960957,43.074164
字常盤,余市郡赤井川村,93-2,140.956151,43.077241
字常盤,余市郡赤井川村,93,140.956393,43.077887
字常盤,余市郡赤井川村,614,140.954622,43.077358
字常盤,余市郡赤井川村,426,140.949804,43.074515
字常盤,余市郡赤井川村,617,140.957199,43.074222
字常盤,余市郡赤井川村,427,140.949752,43.070234
字常盤,余市郡赤井川村,618,140.947892,43.071318
字落合,余市郡赤井川村,237-2,140.941738,43.073956
字落合,余市郡赤井川村,238,140.943388,43.075357
字落合,余市郡赤井川村,238-2,140.943904,43.074498
字落合,余市郡赤井川村,水-24,140.943059,43.077287
字落合,余市郡赤井川村,237,140.94104,43.075393
字常盤,余市郡赤井川村,467-3,140.950302,43.081818
字常盤,余市郡赤井川村,467-1,140.946094,43.082193
字常盤,余市郡赤井川村,403-2,140.946659,43.079666
字常盤,余市郡赤井川村,403-1,140.945231,43.081009
字常盤,余市郡赤井川村,613,140.94388,43.079535
字落合,余市郡赤井川村,237-3,140.94251,43.079171
字落合,余市郡赤井川村,水-23,140.940604,43.078281
字常盤,余市郡赤井川村,水-1,140.941054,43.082749
字落合,余市郡赤井川村,235-4,140.940313,43.080646
字落合,余市郡赤井川村,235-2,140.938633,43.08156
字落合,余市郡赤井川村,235-3,140.937649,43.081044
字常盤,余市郡赤井川村,634,140.942963,43.080848
字常盤,余市郡赤井川村,402-1,140.942623,43.081411
字常盤,余市郡赤井川村,402-2,140.941808,43.08254
字常盤,余市郡赤井川村,402-3,140.941546,43.082881
字落合,余市郡赤井川村,235-5,140.939815,43.084423
字落合,余市郡赤井川村,236,140.937694,43.083018
字落合,余市郡赤井川村,235-1,140.938984,43.083925
字落合,余市郡赤井川村,234,140.936815,43.084278
字落合,余市郡赤井川村,水-22,140.936685,43.084482
字常盤,余市郡赤井川村,468-1,140.942497,43.084277
字常盤,余市郡赤井川村,608,140.942353,43.085717
字常盤,余市郡赤井川村,665,140.946361,43.085558
字常盤,余市郡赤井川村,636-2,140.946796,43.085386
字常盤,余市郡赤井川村,15,140.946146,43.085185
字常盤,余市郡赤井川村,469,140.945468,43.084887
字常盤,余市郡赤井川村,468-2,140.944015,43.083201
字常盤,余市郡赤井川村,468-3,140.945013,43.083515
字常盤,余市郡赤井川村,468-4,140.943808,43.082211
字常盤,余市郡赤井川村,612,140.944608,43.081278
字常盤,余市郡赤井川村,466-1,140.946386,43.083163
字常盤,余市郡赤井川村,466-3,140.945971,43.083655
字常盤,余市郡赤井川村,467-2,140.945684,43.083597
字常盤,余市郡赤井川村,465-2,140.946124,43.083646
字常盤,余市郡赤井川村,609,140.946838,43.083421
字常盤,余市郡赤井川村,466-4,140.94794,43.082598
字常盤,余市郡赤井川村,465-4,140.948008,43.082788
字常盤,余市郡赤井川村,465-1,140.948853,43.082939
字常盤,余市郡赤井川村,466-5,140.948793,43.082501
字常盤,余市郡赤井川村,465-3,140.949857,43.082679
字常盤,余市郡赤井川村,398-8,140.951397,43.083835
字常盤,余市郡赤井川村,398-4,140.950059,43.084485
字常盤,余市郡赤井川村,398-6,140.947887,43.084375
字常盤,余市郡赤井川村,398-5,140.948416,43.084544
字常盤,余市郡赤井川村,398-1,140.947585,43.085223
字常盤,余市郡赤井川村,610,140.947422,43.085918
字常盤,余市郡赤井川村,398-9,140.950524,43.085182
字常盤,余市郡赤井川村,398-10,140.950098,43.085525
字常盤,余市郡赤井川村,18-37,140.951531,43.085497
字常盤,余市郡赤井川村,18-3,140.951866,43.085456
字常盤,余市郡赤井川村,398-7,140.95123,43.085327
字常盤,余市郡赤井川村,623,140.950016,43.0861
字常盤,余市郡赤井川村,654-2,140.953922,43.08439
字常盤,余市郡赤井川村,18-23,140.953858,43.084537
字常盤,余市郡赤井川村,18-22,140.953967,43.084671
字常盤,余市郡赤井川村,18-24,140.953655,43.084637
字常盤,余市郡赤井川村,18-25,140.953761,43.084765
字常盤,余市郡赤井川村,18-26,140.953867,43.084893
字常盤,余市郡赤井川村,18-27,140.953975,43.085019
字常盤,余市郡赤井川村,18-33,140.953961,43.085208
字常盤,余市郡赤井川村,18-38,140.952254,43.085162
字常盤,余市郡赤井川村,18-34,140.95279,43.085876
字常盤,余市郡赤井川村,18-36,140.953331,43.085198
字常盤,余市郡赤井川村,18-32,140.954508,43.085649
字常盤,余市郡赤井川村,18-14,140.954821,43.085682
字常盤,余市郡赤井川村,18-15,140.954714,43.085555
字常盤,余市郡赤井川村,18-31,140.9544,43.085524
字常盤,余市郡赤井川村,18-30,140.954295,43.085397
字常盤,余市郡赤井川村,18-29,140.954188,43.085272
字常盤,余市郡赤井川村,18-28,140.954082,43.085146
字常盤,余市郡赤井川村,18-19,140.954287,43.085051
字常盤,余市郡赤井川村,18-18,140.954395,43.085177
字常盤,余市郡赤井川村,18-17,140.954501,43.085304
字常盤,余市郡赤井川村,18-16,140.954607,43.085429
字常盤,余市郡赤井川村,654-1,140.955037,43.085705
字常盤,余市郡赤井川村,18-13,140.954928,43.085808
字常盤,余市郡赤井川村,18-12,140.955035,43.085935
字常盤,余市郡赤井川村,666,140.956601,43.086217
字常盤,余市郡赤井川村,52,140.956444,43.085394
字常盤,余市郡赤井川村,51-1,140.955832,43.084288
字常盤,余市郡赤井川村,18-20,140.954181,43.084925
字常盤,余市郡赤井川村,18-21,140.954074,43.084798
字常盤,余市郡赤井川村,51-2,140.954826,43.083976
字常盤,余市郡赤井川村,399-2,140.9538,43.08297
字常盤,余市郡赤井川村,400-3,140.95489,43.08369
字常盤,余市郡赤井川村,400-1,140.955082,43.083424
字常盤,余市郡赤井川村,510,140.957639,43.082642
字常盤,余市郡赤井川村,400-2,140.955863,43.08332
字常盤,余市郡赤井川村,39,140.956799,43.082767
字常盤,余市郡赤井川村,400-7,140.957963,43.082199
字常盤,余市郡赤井川村,400-5,140.955309,43.082626
字常盤,余市郡赤井川村,401-4,140.953256,43.082629
字常盤,余市郡赤井川村,399-1,140.954022,43.083761
字常盤,余市郡赤井川村,466-2,140.951105,43.08224
字常盤,余市郡赤井川村,637,140.952441,43.082647
字常盤,余市郡赤井川村,404,140.950807,43.079252
字常盤,余市郡赤井川村,401-1,140.955262,43.079023
字常盤,余市郡赤井川村,401-2,140.957134,43.080558
字常盤,余市郡赤井川村,400-4,140.954874,43.082019
字常盤,余市郡赤井川村,400-9,140.956964,43.081441
字常盤,余市郡赤井川村,400-10,140.957417,43.081401
字常盤,余市郡赤井川村,400-6,140.957452,43.081855
字常盤,余市郡赤井川村,400-8,140.957669,43.081389
字常盤,余市郡赤井川村,水-6,140.939243,43.089153
字常盤,余市郡赤井川村,460,140.959043,43.08189
字常盤,余市郡赤井川村,464,140.958663,43.080944
字常盤,余市郡赤井川村,89,140.963493,43.078211
字常盤,余市郡赤井川村,458,140.962977,43.080314
字常盤,余市郡赤井川村,457,140.963222,43.082127
字常盤,余市郡赤井川村,459,140.95938,43.08321
字常盤,余市郡赤井川村,509,140.958116,43.083098
字常盤,余市郡赤井川村,38-3,140.958486,43.08323
字常盤,余市郡赤井川村,462,140.958123,43.082524
字常盤,余市郡赤井川村,38-1,140.958311,43.083827
字常盤,余市郡赤井川村,38-2,140.958998,43.083249
字常盤,余市郡赤井川村,611,140.958598,43.084404
字常盤,余市郡赤井川村,36-1,140.961357,43.085248
字常盤,余市郡赤井川村,622,140.958931,43.08433
字常盤,余市郡赤井川村,36-2,140.959023,43.084262
字常盤,余市郡赤井川村,622-2,140.958815,43.084359
字常盤,余市郡赤井川村,53,140.95771,43.084645
字常盤,余市郡赤井川村,35,140.958509,43.084799
字常盤,余市郡赤井川村,621,140.958757,43.084814
字常盤,余市郡赤井川村,36-3,140.958904,43.084609
字常盤,余市郡赤井川村,54-1,140.957945,43.085485
字常盤,余市郡赤井川村,54-3,140.958387,43.085741
字常盤,余市郡赤井川村,54-2,140.958708,43.085551
字常盤,余市郡赤井川村,638,140.962205,43.08476
字常盤,余市郡赤井川村,48-1,140.963592,43.08431
字常盤,余市郡赤井川村,68-2,140.964284,43.085862
字常盤,余市郡赤井川村,628,140.964339,43.085507
字常盤,余市郡赤井川村,69-1,140.965707,43.085427
字常盤,余市郡赤井川村,646,140.965377,43.085031
字常盤,余市郡赤井川村,606-2,140.966197,43.085545
字常盤,余市郡赤井川村,606-4,140.965781,43.085915
字常盤,余市郡赤井川村,448-1,140.967577,43.085401
字常盤,余市郡赤井川村,70-2,140.966673,43.085549
字常盤,余市郡赤井川村,453-1,140.967439,43.084876
