市区町村名,地番,大字名,丁目名,center_lng,center_lat
北斗市,6-4,茂辺地,,140.601528,41.746573
北斗市,748-1,茂辺地,,140.601493,41.745614
北斗市,国有地-14,茂辺地,,140.601659,41.743084
北斗市,749-5,茂辺地,,140.59957,41.743192
北斗市,749-3,茂辺地,,140.599639,41.744616
北斗市,746-3,茂辺地,,140.600984,41.745526
北斗市,747,茂辺地,,140.601197,41.74583
北斗市,748-2,茂辺地,,140.601119,41.745481
北斗市,748-3,茂辺地,,140.60141,41.745749
北斗市,746-1,茂辺地,,140.601263,41.74622
北斗市,6-3,茂辺地,,140.601436,41.746146
北斗市,751-1,茂辺地,,140.600707,41.747755
北斗市,740,茂辺地,,140.600743,41.746022
北斗市,750-2,茂辺地,,140.599903,41.74696
北斗市,750-1,茂辺地,,140.599665,41.74505
北斗市,414-1,当別,,140.598674,41.74515
北斗市,河川-26,茂辺地,,140.599227,41.747049
北斗市,415,当別,,140.599397,41.746346
北斗市,416-2,当別,,140.599276,41.746745
北斗市,424-1,当別,,140.598234,41.746647
北斗市,424-5,当別,,140.597491,41.746262
北斗市,414-2,当別,,140.598137,41.744928
北斗市,414-3,当別,,140.597716,41.745038
北斗市,461-42,当別,,140.597831,41.745207
北斗市,461-40,当別,,140.597481,41.745002
北斗市,412-3,当別,,140.597469,41.744746
北斗市,414-4,当別,,140.597654,41.744817
北斗市,412-18,当別,,140.597563,41.744547
北斗市,412-20,当別,,140.59757,41.744171
北斗市,412-26,当別,,140.597825,41.744009
北斗市,412-19,当別,,140.597821,41.744383
北斗市,412-27,当別,,140.59809,41.744228
北斗市,412-28,当別,,140.598342,41.743963
北斗市,414-5,当別,,140.598343,41.744651
北斗市,412-2,当別,,140.597854,41.744598
北斗市,国有地-230,当別,,140.599417,41.745795
北斗市,413,当別,,140.598894,41.744272
北斗市,412-1,当別,,140.598477,41.744132
北斗市,749-1,茂辺地,,140.599148,41.743788
北斗市,749-6,茂辺地,,140.600525,41.743287
北斗市,水-26,茂辺地,,140.598844,41.743709
北斗市,411,当別,,140.598591,41.742602
北斗市,412-36,当別,,140.598325,41.742959
北斗市,412-34,当別,,140.597964,41.743333
北斗市,412-35,当別,,140.598019,41.743107
北斗市,412-33,当別,,140.598156,41.743654
北斗市,412-42,当別,,140.598243,41.743538
北斗市,412-38,当別,,140.598298,41.743771
北斗市,412-29,当別,,140.598057,41.74386
北斗市,412-43,当別,,140.59812,41.74344
北斗市,412-39,当別,,140.597997,41.743535
北斗市,412-30,当別,,140.59783,41.743676
北斗市,412-25,当別,,140.597583,41.743827
北斗市,412-31,当別,,140.597608,41.743492
北斗市,412-37,当別,,140.597514,41.743238
北斗市,412-41,当別,,140.597733,41.743318
北斗市,412-40,当別,,140.597842,41.743409
北斗市,412-44,当別,,140.597822,41.743215
北斗市,412-45,当別,,140.59767,41.743097
北斗市,409-19,当別,,140.597854,41.742944
北斗市,409-18,当別,,140.597597,41.742623
北斗市,409-20,当別,,140.598154,41.742775
北斗市,409-21,当別,,140.597495,41.742405
