市区町村名,地番,大字名,丁目名,center_lng,center_lat
名寄市,1463-1,風連町字日進,,142.561611,44.224007
名寄市,1463-7,風連町字日進,,142.562159,44.224481
名寄市,5281,風連町字日進,,142.561818,44.225276
名寄市,5280,風連町字日進,,142.562036,44.225745
名寄市,5288,風連町字日進,,142.562283,44.226385
名寄市,5292,風連町字日進,,142.56256,44.226336
名寄市,5289,風連町字日進,,142.561954,44.226884
名寄市,1466-3,風連町字日進,,142.561793,44.229436
名寄市,5293,風連町字日進,,142.561652,44.227586
名寄市,5294,風連町字日進,,142.561947,44.227215
名寄市,5286,風連町字日進,,142.56227,44.226198
名寄市,5290,風連町字日進,,142.561847,44.226419
名寄市,5291,風連町字日進,,142.560937,44.226468
名寄市,5295,風連町字日進,,142.561209,44.227955
名寄市,2632,風連町字日進,,142.561276,44.228754
名寄市,5271,風連町字日進,,142.560826,44.225301
名寄市,5279,風連町字日進,,142.560943,44.226058
名寄市,5285,風連町字日進,,142.562274,44.224535
名寄市,1463-2,風連町字日進,,142.560527,44.223699
名寄市,1463-3,風連町字日進,,142.560462,44.223622
名寄市,道-1,風連町字日進,,142.560434,44.223852
名寄市,5284,風連町字日進,,142.559741,44.224986
名寄市,1463-6,風連町字日進,,142.560649,44.223881
名寄市,1535-4,風連町字日進,,142.560821,44.229194
名寄市,1535-5,風連町字日進,,142.560464,44.228883
名寄市,5267,風連町字日進,,142.561091,44.227244
名寄市,5276,風連町字日進,,142.56105,44.225929
名寄市,無地番-23,風連町字日進,,142.559848,44.224749
名寄市,1565-1,風連町字日進,,142.559683,44.224107
名寄市,1565-2,風連町字日進,,142.560067,44.224064
名寄市,1565-4,風連町字日進,,142.560293,44.224146
名寄市,5272,風連町字日進,,142.560022,44.225672
名寄市,5277,風連町字日進,,142.561336,44.225724
名寄市,1565-5,風連町字日進,,142.559932,44.224694
名寄市,1565-3,風連町字日進,,142.560356,44.224483
名寄市,1561-4,風連町字日進,,142.55934,44.225136
名寄市,1562-2,風連町字日進,,142.559155,44.225292
名寄市,5273,風連町字日進,,142.559435,44.22577
名寄市,5296,風連町字日進,,142.558997,44.225648
名寄市,無地番-38,風連町字日進,,142.559414,44.224785
名寄市,水-67,風連町字日進,,142.559721,44.22366
名寄市,1535-7,風連町字日進,,142.559675,44.229702
名寄市,1535-1,風連町字日進,,142.559643,44.229213
名寄市,5278,風連町字日進,,142.560584,44.226704
名寄市,5268,風連町字日進,,142.557746,44.227648
名寄市,5270,風連町字日進,,142.559233,44.226689
名寄市,1533-1,風連町字日進,,142.558443,44.228773
名寄市,5266,風連町字日進,,142.560581,44.22808
名寄市,1561-3,風連町字日進,,142.558777,44.225797
名寄市,1561-12,風連町字日進,,142.558591,44.225961
名寄市,1561-14,風連町字日進,,142.558581,44.225891
