市区町村名,地番,大字名,丁目名,center_lng,center_lat
天塩郡豊富町,10086,字エベコロベツ,,141.973563,45.081832
天塩郡豊富町,10043,字エベコロベツ,,141.97084,45.084314
天塩郡豊富町,長狭物不明-72,字下エベコロベツ,,141.918259,45.092638
天塩郡豊富町,5312,字下エベコロベツ,,141.915595,45.092778
天塩郡豊富町,長狭物不明-73,字下エベコロベツ,,141.916698,45.091954
天塩郡豊富町,6863,字下エベコロベツ,,141.912236,45.092226
天塩郡豊富町,水-28,字下エベコロベツ,,141.914402,45.092584
天塩郡豊富町,1658-3,字下エベコロベツ,,141.910347,45.091561
天塩郡豊富町,6862-4,字下エベコロベツ,,141.910969,45.091724
天塩郡豊富町,6862-6,字下エベコロベツ,,141.911166,45.092346
天塩郡豊富町,6862-7,字下エベコロベツ,,141.911327,45.09207
天塩郡豊富町,1658-2,字下エベコロベツ,,141.909901,45.091728
天塩郡豊富町,6862-2,字下エベコロベツ,,141.909982,45.092252
天塩郡豊富町,1657-2,字下エベコロベツ,,141.909251,45.092334
天塩郡豊富町,1657-6,字下エベコロベツ,,141.908548,45.091819
天塩郡豊富町,1657-11,字下エベコロベツ,,141.909094,45.091977
天塩郡豊富町,長狭物不明-94,字下エベコロベツ,,141.909156,45.091742
天塩郡豊富町,1657-13,字下エベコロベツ,,141.908615,45.091755
天塩郡豊富町,水-26,字下エベコロベツ,,141.909514,45.091818
天塩郡豊富町,1658-4,字下エベコロベツ,,141.909023,45.09008
天塩郡豊富町,1658-5,字下エベコロベツ,,141.909139,45.08998
天塩郡豊富町,1658-1,字下エベコロベツ,,141.909848,45.090007
天塩郡豊富町,水-27,字下エベコロベツ,,141.909754,45.088821
天塩郡豊富町,5051,字下エベコロベツ,,141.909745,45.089021
天塩郡豊富町,長狭物不明-96,字下エベコロベツ,,141.909429,45.089435
天塩郡豊富町,7558,字下エベコロベツ,,141.901746,45.082669
天塩郡豊富町,1916,字下エベコロベツ,,141.899511,45.081441
天塩郡豊富町,長狭物不明-91,字下エベコロベツ,,141.898613,45.081486
天塩郡豊富町,1915,字下エベコロベツ,,141.897023,45.08218
天塩郡豊富町,長狭物不明-90,字下エベコロベツ,,141.898743,45.0825
天塩郡豊富町,7391,字下エベコロベツ,,141.899235,45.083212
天塩郡豊富町,1503-1,字下エベコロベツ,,141.896386,45.083983
天塩郡豊富町,1503-2,字下エベコロベツ,,141.896878,45.084259
