市区町村名,地番,大字名,丁目名,center_lng,center_lat
小樽市,851,朝里川温泉,１丁目,141.053875,43.087799
小樽市,852,朝里川温泉,１丁目,141.05405,43.087487
小樽市,546-33,朝里川温泉,１丁目,141.058293,43.092769
小樽市,546-52,朝里川温泉,１丁目,141.058441,43.093609
小樽市,546-5,朝里川温泉,１丁目,141.060928,43.092564
小樽市,546-10,朝里川温泉,１丁目,141.059629,43.092653
小樽市,546-54,朝里川温泉,１丁目,141.058887,43.093139
小樽市,546-27,朝里川温泉,１丁目,141.059875,43.092822
小樽市,546-9,朝里川温泉,１丁目,141.058906,43.092695
小樽市,長狭物不明-2,朝里川温泉,１丁目,141.062768,43.092609
小樽市,850,朝里川温泉,１丁目,141.055378,43.091909
小樽市,809,朝里川温泉,１丁目,141.057855,43.092173
小樽市,835,朝里川温泉,１丁目,141.065606,43.091386
小樽市,830,朝里川温泉,１丁目,141.053993,43.090789
小樽市,853,朝里川温泉,１丁目,141.055976,43.088858
小樽市,854,朝里川温泉,１丁目,141.055975,43.089258
小樽市,839,朝里川温泉,１丁目,141.054449,43.090586
小樽市,810,朝里川温泉,１丁目,141.065189,43.091458
小樽市,546-7,朝里川温泉,１丁目,141.058846,43.096305
小樽市,546-28,朝里川温泉,１丁目,141.049665,43.098599
小樽市,546-25,朝里川温泉,１丁目,141.062525,43.095449
小樽市,546-22,朝里川温泉,１丁目,141.062583,43.095122
小樽市,546-8,朝里川温泉,１丁目,141.062851,43.094886
小樽市,546-3,朝里川温泉,１丁目,141.062528,43.093347
小樽市,546-2,朝里川温泉,１丁目,141.063467,43.093894
小樽市,546-34,朝里川温泉,１丁目,141.059638,43.093486
小樽市,546-53,朝里川温泉,１丁目,141.058779,43.093539
小樽市,546-36,朝里川温泉,１丁目,141.058915,43.093472
小樽市,546-31,朝里川温泉,１丁目,141.058559,43.093232
小樽市,546-32,朝里川温泉,１丁目,141.057624,43.093723
小樽市,546-55,朝里川温泉,１丁目,141.058485,43.094007
小樽市,546-35,朝里川温泉,１丁目,141.058303,43.093788
小樽市,545-1X(3/3),朝里川温泉,１丁目,141.01499,43.094133
小樽市,545-15,朝里川温泉,１丁目,141.001755,43.100459
小樽市,545-13,朝里川温泉,１丁目,141.001643,43.100841
小樽市,545-8,朝里川温泉,１丁目,141.002151,43.101426
小樽市,545-18,朝里川温泉,１丁目,141.002439,43.102249
小樽市,水-3,朝里川温泉,１丁目,141.016508,43.101638
小樽市,546-58,朝里川温泉,１丁目,141.042659,43.102957
小樽市,546-24,朝里川温泉,１丁目,141.044085,43.102457
小樽市,546-23,朝里川温泉,１丁目,141.043125,43.102363
小樽市,546-16,朝里川温泉,１丁目,141.04282,43.102169
小樽市,546-63,朝里川温泉,１丁目,141.044941,43.101198
小樽市,546-30,朝里川温泉,１丁目,141.043148,43.101128
小樽市,546-62,朝里川温泉,１丁目,141.043729,43.101233
小樽市,546-6,朝里川温泉,１丁目,141.046564,43.101281
小樽市,546-59,朝里川温泉,１丁目,141.044511,43.101829
小樽市,546-61,朝里川温泉,１丁目,141.042731,43.101433
小樽市,546-29,朝里川温泉,１丁目,141.04221,43.101732
小樽市,長狭物不明-2,見晴町,,141.145795,43.10833
小樽市,126,見晴町,,141.146438,43.112284
小樽市,131-2X(5/8),見晴町,,141.16257,43.10691
小樽市,130,見晴町,,141.148377,43.111502
小樽市,129,見晴町,,141.147153,43.110956
小樽市,131-2X(3/8),見晴町,,141.14917,43.109589
小樽市,131-1,見晴町,,141.149573,43.112523
小樽市,127,見晴町,,141.146847,43.1128
小樽市,128,見晴町,,141.14865,43.112984
小樽市,111X(2/2),星野町,,141.177155,43.116503
小樽市,111X(1/2),星野町,,141.177465,43.116973
小樽市,112-1,星野町,,141.178094,43.11723
小樽市,118,星野町,,141.180525,43.120701
小樽市,117,星野町,,141.178931,43.12094
小樽市,119,星野町,,141.182007,43.121396
小樽市,131-6,見晴町,,141.189823,43.120987
小樽市,131-7,見晴町,,141.191076,43.121218
小樽市,121-2,星野町,,141.181209,43.122542
小樽市,120-3,星野町,,141.182211,43.122519
小樽市,363-3,星野町,,141.18143,43.122665
小樽市,121-1,星野町,,141.180805,43.12202
小樽市,123-2,星野町,,141.179864,43.122065
小樽市,120-4,星野町,,141.18185,43.12202
小樽市,98,星野町,,141.176513,43.121708
小樽市,89,星野町,,141.171031,43.121848
小樽市,124,星野町,,141.178186,43.121886
小樽市,97,星野町,,141.17565,43.12229
小樽市,125-3,星野町,,141.177407,43.122588
小樽市,125-4,星野町,,141.177036,43.122458
小樽市,125-6,星野町,,141.176573,43.122563
小樽市,95,星野町,,141.175496,43.122718
小樽市,93,星野町,,141.174109,43.122436
小樽市,92,星野町,,141.173025,43.122322
小樽市,91,星野町,,141.171986,43.122212
小樽市,131-2X(4/8),見晴町,,141.162048,43.121759
小樽市,88,星野町,,141.17013,43.122251
小樽市,99,星野町,,141.173851,43.121428
小樽市,100,星野町,,141.171742,43.120617
小樽市,116,星野町,,141.177842,43.120825
小樽市,107,星野町,,141.176712,43.120704
小樽市,本番不明-2,星野町,,141.175628,43.120592
小樽市,本番不明-1,星野町,,141.174497,43.120474
小樽市,101,星野町,,141.172556,43.120524
小樽市,104,星野町,,141.174688,43.119501
小樽市,108,星野町,,141.175819,43.11962
小樽市,109,星野町,,141.176904,43.119732
小樽市,102,星野町,,141.173456,43.120104
小樽市,115,星野町,,141.178577,43.119908
小樽市,114,星野町,,141.18008,43.119326
小樽市,113,星野町,,141.178512,43.118636
小樽市,110,星野町,,141.177086,43.118025
小樽市,103,星野町,,141.175103,43.118825
小樽市,138,見晴町,,141.148788,43.118953
小樽市,113,見晴町,,141.14754,43.11883
小樽市,137,見晴町,,141.149045,43.118004
小樽市,114,見晴町,,141.145723,43.118501
小樽市,112,見晴町,,141.147347,43.120023
小樽市,筆界未定地-1,見晴町,,141.148834,43.120549
小樽市,142,見晴町,,141.149394,43.12246
小樽市,143,見晴町,,141.150077,43.123254
小樽市,111-1,見晴町,,141.146963,43.122742
小樽市,110-4,見晴町,,141.147171,43.122176
小樽市,141,見晴町,,141.147968,43.123004
小樽市,140,見晴町,,141.148435,43.121903
小樽市,長狭物不明-7,見晴町,,141.146915,43.127148
小樽市,110-5,見晴町,,141.147496,43.121563
小樽市,111-2,見晴町,,141.146965,43.121518
小樽市,306,桂岡町,,141.144725,43.121827
小樽市,307,桂岡町,,141.145387,43.122133
小樽市,308-1,桂岡町,,141.145873,43.122889
小樽市,131-2X(2/8),見晴町,,141.139078,43.119245
小樽市,1653,桂岡町,,141.145831,43.120831
小樽市,118,見晴町,,141.145925,43.116739
小樽市,116,見晴町,,141.145575,43.117652
小樽市,115,見晴町,,141.147318,43.117835
小樽市,117,見晴町,,141.147496,43.11685
小樽市,136X(1/2),見晴町,,141.149154,43.117009
小樽市,119-2,見晴町,,141.148045,43.116209
小樽市,135X(1/2),見晴町,,141.149487,43.116094
小樽市,135X(2/2),見晴町,,141.150411,43.115756
小樽市,136X(2/2),見晴町,,141.150453,43.115947
小樽市,119-1,見晴町,,141.14728,43.115873
