市区町村名,地番,大字名,丁目名,center_lng,center_lat
日高郡新ひだか町,428,三石稲見,,142.734174,42.266862
日高郡新ひだか町,1048,三石歌笛,,142.72743,42.268928
日高郡新ひだか町,303-37,三石稲見,,142.725053,42.271497
日高郡新ひだか町,303-1,三石稲見,,142.735313,42.270099
日高郡新ひだか町,303-47,三石稲見,,142.731232,42.272661
日高郡新ひだか町,303-46,三石稲見,,142.731081,42.273111
日高郡新ひだか町,303-45,三石稲見,,142.73039,42.272899
日高郡新ひだか町,303-44,三石稲見,,142.729794,42.273488
日高郡新ひだか町,303-42,三石稲見,,142.728923,42.273255
日高郡新ひだか町,303-43,三石稲見,,142.729268,42.273512
日高郡新ひだか町,303-41,三石稲見,,142.72917,42.273757
日高郡新ひだか町,303-39,三石稲見,,142.728613,42.274386
日高郡新ひだか町,303-33,三石稲見,,142.724209,42.271967
日高郡新ひだか町,303-78,三石稲見,,142.723925,42.271975
日高郡新ひだか町,303-75,三石稲見,,142.723189,42.272074
日高郡新ひだか町,974-13,三石歌笛,,142.723087,42.27198
日高郡新ひだか町,303-3,三石稲見,,142.718738,42.275164
日高郡新ひだか町,973-1,三石歌笛,,142.717643,42.273446
日高郡新ひだか町,973-5,三石歌笛,,142.719941,42.272992
日高郡新ひだか町,973-4,三石歌笛,,142.720677,42.2726
日高郡新ひだか町,973-7,三石歌笛,,142.720378,42.272345
日高郡新ひだか町,973-3,三石歌笛,,142.717601,42.272871
日高郡新ひだか町,973-6,三石歌笛,,142.717499,42.272518
日高郡新ひだか町,974-10,三石歌笛,,142.718342,42.271916
日高郡新ひだか町,水-1001,三石歌笛,,142.720853,42.27212
日高郡新ひだか町,974-4,三石歌笛,,142.720409,42.271065
日高郡新ひだか町,974-3,三石歌笛,,142.718533,42.270305
日高郡新ひだか町,974-12,三石歌笛,,142.721733,42.271866
日高郡新ひだか町,974-11,三石歌笛,,142.722887,42.271723
日高郡新ひだか町,303-79,三石稲見,,142.724141,42.271769
日高郡新ひだか町,303-76,三石稲見,,142.724166,42.271887
日高郡新ひだか町,303-77,三石稲見,,142.724409,42.271629
日高郡新ひだか町,303-34,三石稲見,,142.723806,42.271478
日高郡新ひだか町,303-35,三石稲見,,142.724558,42.270838
日高郡新ひだか町,974-5,三石歌笛,,142.722162,42.270295
日高郡新ひだか町,974-6,三石歌笛,,142.718872,42.26807
日高郡新ひだか町,979-7,三石歌笛,,142.71775,42.267258
日高郡新ひだか町,975-10,三石歌笛,,142.718469,42.266965
日高郡新ひだか町,982-2,三石歌笛,,142.719274,42.267044
日高郡新ひだか町,983,三石歌笛,,142.720061,42.266915
日高郡新ひだか町,975-2,三石歌笛,,142.719312,42.266758
日高郡新ひだか町,977-2,三石歌笛,,142.719981,42.266427
日高郡新ひだか町,978-3,三石歌笛,,142.720023,42.266322
日高郡新ひだか町,974-2,三石歌笛,,142.72134,42.266605
日高郡新ひだか町,991-9,三石歌笛,,142.719305,42.265968
日高郡新ひだか町,991-7,三石歌笛,,142.719369,42.266136
日高郡新ひだか町,975-27,三石歌笛,,142.719832,42.266459
日高郡新ひだか町,978-2,三石歌笛,,142.7198,42.266412
日高郡新ひだか町,975-25,三石歌笛,,142.719954,42.266335
日高郡新ひだか町,975-20,三石歌笛,,142.719456,42.266504
日高郡新ひだか町,975-26,三石歌笛,,142.719186,42.266358
日高郡新ひだか町,975-24,三石歌笛,,142.719499,42.266417
日高郡新ひだか町,978-4,三石歌笛,,142.719312,42.266213
日高郡新ひだか町,979-4,三石歌笛,,142.719203,42.266279
日高郡新ひだか町,975-23,三石歌笛,,142.718717,42.266616
日高郡新ひだか町,991-8,三石歌笛,,142.719042,42.265922
日高郡新ひだか町,991-6,三石歌笛,,142.719168,42.26551
日高郡新ひだか町,991-4,三石歌笛,,142.719677,42.265127
日高郡新ひだか町,991-2,三石歌笛,,142.719463,42.263172
日高郡新ひだか町,991-1,三石歌笛,,142.7216,42.264327
日高郡新ひだか町,978-1,三石歌笛,,142.72327,42.264948
日高郡新ひだか町,991-3,三石歌笛,,142.723252,42.265943
日高郡新ひだか町,976,三石歌笛,,142.722539,42.266155
