小字名,市区町村名,地番,center_lng,center_lat
字旭岱,爾志郡乙部町,734,140.241725,41.979666
字旭岱,爾志郡乙部町,735-1,140.243194,41.98114
字旭岱,爾志郡乙部町,735-3,140.242404,41.981899
字旭岱,爾志郡乙部町,国有地-76,140.241722,41.981466
字旭岱,爾志郡乙部町,733-2,140.241304,41.981222
字旭岱,爾志郡乙部町,733-1,140.240609,41.980418
字旭岱,爾志郡乙部町,733-3,140.240658,41.981244
字旭岱,爾志郡乙部町,732,140.238525,41.979867
字旭岱,爾志郡乙部町,731,140.240243,41.979676
字旭岱,爾志郡乙部町,730,140.237945,41.979208
字旭岱,爾志郡乙部町,道-1,140.238985,41.979672
字旭岱,爾志郡乙部町,724-2,140.23377,41.977823
字旭岱,爾志郡乙部町,国有地-86,140.232591,41.977201
字旭岱,爾志郡乙部町,724-3,140.234818,41.977358
字旭岱,爾志郡乙部町,724-1,140.235114,41.976722
字旭岱,爾志郡乙部町,726,140.235466,41.978243
字旭岱,爾志郡乙部町,727,140.236001,41.977566
字旭岱,爾志郡乙部町,728-1,140.236795,41.978348
字旭岱,爾志郡乙部町,728-2,140.236941,41.977769
字旭岱,爾志郡乙部町,725,140.235676,41.976914
字旭岱,爾志郡乙部町,国有地-82,140.234456,41.976074
字旭岱,爾志郡乙部町,723,140.234819,41.975796
字旭岱,爾志郡乙部町,722,140.234439,41.976273
字旭岱,爾志郡乙部町,717,140.232223,41.975596
字旭岱,爾志郡乙部町,道-5,140.231097,41.97549
字旭岱,爾志郡乙部町,718-2,140.231919,41.976602
字旭岱,爾志郡乙部町,718-1,140.231601,41.976075
字旭岱,爾志郡乙部町,714-1,140.22924,41.975673
字旭岱,爾志郡乙部町,水-10,140.229697,41.974716
字旭岱,爾志郡乙部町,719,140.232581,41.976676
字姫川,爾志郡乙部町,886-5,140.224265,41.982022
字姫川,爾志郡乙部町,886-4,140.222634,41.982024
字旭岱,爾志郡乙部町,750,140.22381,41.981168
字旭岱,爾志郡乙部町,808,140.223468,41.977614
字旭岱,爾志郡乙部町,707-1,140.227422,41.975645
字旭岱,爾志郡乙部町,国有地-98,140.22623,41.97531
字旭岱,爾志郡乙部町,702-1,140.225352,41.975239
字旭岱,爾志郡乙部町,701-1,140.223798,41.974701
字旭岱,爾志郡乙部町,698,140.222926,41.975782
字旭岱,爾志郡乙部町,水-6,140.223229,41.975511
字旭岱,爾志郡乙部町,701-4,140.224009,41.973407
字旭岱,爾志郡乙部町,700-1,140.2235,41.972575
字旭岱,爾志郡乙部町,689-3,140.223202,41.972274
