市区町村名,地番,大字名,丁目名,center_lng,center_lat
網走郡大空町,483-3,東藻琴山園,,144.354515,43.739886
網走郡大空町,483-1,東藻琴山園,,144.353753,43.7407
網走郡大空町,473-4,東藻琴山園,,144.346974,43.739479
網走郡大空町,475-13,東藻琴山園,,144.347981,43.741985
網走郡大空町,473-1,東藻琴山園,,144.346855,43.740325
網走郡大空町,484-3,東藻琴山園,,144.350235,43.741267
網走郡大空町,484-11,東藻琴山園,,144.349996,43.743802
網走郡大空町,477-2,東藻琴山園,,144.349546,43.744044
網走郡大空町,477-7,東藻琴山園,,144.345251,43.742764
網走郡大空町,477-1,東藻琴山園,,144.346155,43.743585
網走郡大空町,478-4,東藻琴山園,,144.347328,43.744499
網走郡大空町,478-1,東藻琴山園,,144.346908,43.745363
網走郡大空町,478-5,東藻琴山園,,144.349108,43.744596
網走郡大空町,478-2,東藻琴山園,,144.349244,43.745659
網走郡大空町,487,東藻琴山園,,144.35059,43.74554
網走郡大空町,486-2,東藻琴山園,,144.351468,43.746109
網走郡大空町,485-14,東藻琴山園,,144.3525,43.744141
網走郡大空町,水-36,東藻琴山園,,144.351444,43.744504
網走郡大空町,486-6,東藻琴山園,,144.351469,43.744728
網走郡大空町,486-5,東藻琴山園,,144.351621,43.744737
網走郡大空町,486-7,東藻琴山園,,144.350641,43.744681
網走郡大空町,485-16,東藻琴山園,,144.351246,43.744069
網走郡大空町,485-2,東藻琴山園,,144.350648,43.744129
網走郡大空町,484-8,東藻琴山園,,144.351798,43.742225
網走郡大空町,484-10,東藻琴山園,,144.353049,43.742679
網走郡大空町,485-15,東藻琴山園,,144.352043,43.743855
網走郡大空町,484-9,東藻琴山園,,144.353505,43.742995
網走郡大空町,484-4,東藻琴山園,,144.353706,43.74291
網走郡大空町,484-1,東藻琴山園,,144.355285,43.742375
網走郡大空町,485-11,東藻琴山園,,144.355843,43.743418
網走郡大空町,485-1,東藻琴山園,,144.354386,43.744052
網走郡大空町,486-8,東藻琴山園,,144.353498,43.744837
網走郡大空町,486-1,東藻琴山園,,144.355418,43.74582
網走郡大空町,498-3,東藻琴山園,,144.356699,43.74589
網走郡大空町,485-17,東藻琴山園,,144.356808,43.744849
網走郡大空町,495-9,東藻琴山園,,144.35752,43.745329
網走郡大空町,495-4,東藻琴山園,,144.359059,43.74561
網走郡大空町,486-4,東藻琴山園,,144.358929,43.745129
網走郡大空町,494-1,東藻琴山園,,144.3588,43.744284
網走郡大空町,494-8,東藻琴山園,,144.360629,43.743533
網走郡大空町,492-2,東藻琴山園,,144.359853,43.743035
網走郡大空町,492-3,東藻琴山園,,144.359357,43.742714
網走郡大空町,485-4,東藻琴山園,,144.356603,43.743501
網走郡大空町,485-9,東藻琴山園,,144.356617,43.74367
網走郡大空町,485-8,東藻琴山園,,144.356317,43.743489
網走郡大空町,485-7,東藻琴山園,,144.357133,43.741615
網走郡大空町,493-10,東藻琴山園,,144.358258,43.740072
網走郡大空町,492-1,東藻琴山園,,144.358821,43.74147
網走郡大空町,493-1,東藻琴山園,,144.362431,43.741862
網走郡大空町,493-4,東藻琴山園,,144.361194,43.740221
網走郡大空町,502-10,東藻琴山園,,144.364017,43.742024
網走郡大空町,501-6,東藻琴山園,,144.365384,43.741216
網走郡大空町,502-9,東藻琴山園,,144.365787,43.743612
網走郡大空町,502-8,東藻琴山園,,144.364579,43.74399
網走郡大空町,493-3,東藻琴山園,,144.361299,43.742892
網走郡大空町,493-2,東藻琴山園,,144.3609,43.743142
網走郡大空町,494-5,東藻琴山園,,144.362576,43.744028
網走郡大空町,494-4,東藻琴山園,,144.362972,43.743856
網走郡大空町,494-2,東藻琴山園,,144.362622,43.743641
網走郡大空町,502-4,東藻琴山園,,144.363752,43.744588
網走郡大空町,494-11,東藻琴山園,,144.363104,43.744496
網走郡大空町,水-34,東藻琴山園,,144.36241,43.744793
網走郡大空町,495-2,東藻琴山園,,144.362285,43.745782
網走郡大空町,494-12,東藻琴山園,,144.36279,43.745337
網走郡大空町,494-7,東藻琴山園,,144.363563,43.745378
網走郡大空町,499-4,東藻琴山園,,144.363651,43.745584
網走郡大空町,496-2,東藻琴山園,,144.36319,43.745635
網走郡大空町,496-3,東藻琴山園,,144.363443,43.745963
網走郡大空町,499-3,東藻琴山園,,144.36361,43.745959
網走郡大空町,505-10,東藻琴山園,,144.364166,43.745763
網走郡大空町,505-11,東藻琴山園,,144.363822,43.745596
網走郡大空町,502-2,東藻琴山園,,144.364018,43.74506
網走郡大空町,502-1,東藻琴山園,,144.367161,43.74426
網走郡大空町,505-5,東藻琴山園,,144.368301,43.74563
網走郡大空町,503-4,東藻琴山園,,144.369646,43.742982
網走郡大空町,501-7,東藻琴山園,,144.370657,43.742327
網走郡大空町,503-8,東藻琴山園,,144.370884,43.742556
網走郡大空町,503-9,東藻琴山園,,144.370906,43.742317
網走郡大空町,501-5,東藻琴山園,,144.371033,43.742253
網走郡大空町,503-7,東藻琴山園,,144.370982,43.742455
網走郡大空町,504-1,東藻琴山園,,144.371092,43.745084
網走郡大空町,503-6,東藻琴山園,,144.370693,43.744431
網走郡大空町,503-2,東藻琴山園,,144.369159,43.744117
網走郡大空町,503-1,東藻琴山園,,144.369484,43.745189
網走郡大空町,504-2,東藻琴山園,,144.370729,43.745605
網走郡大空町,509-2,東藻琴山園,,144.370596,43.745395
網走郡大空町,503-10,東藻琴山園,,144.370928,43.742112
網走郡大空町,501-4,東藻琴山園,,144.369989,43.741476
