小字名,市区町村名,地番,center_lng,center_lat
字加野,虻田郡真狩村,348-2,140.819745,42.70165
字加野,虻田郡真狩村,350,140.819105,42.701442
字加野,虻田郡真狩村,348-5,140.819486,42.702821
字加野,虻田郡真狩村,348-1,140.819609,42.702372
字加野,虻田郡真狩村,362-1,140.819304,42.704039
字加野,虻田郡真狩村,361-1,140.818497,42.704684
字加野,虻田郡真狩村,361-10,140.818196,42.704166
字加野,虻田郡真狩村,349-2,140.818665,42.703642
字加野,虻田郡真狩村,351-2,140.818756,42.703619
字加野,虻田郡真狩村,362-4,140.819172,42.703708
字加野,虻田郡真狩村,348-3,140.819603,42.703457
字加野,虻田郡真狩村,349-3,140.818912,42.703581
字加野,虻田郡真狩村,348-4,140.819362,42.703221
字加野,虻田郡真狩村,349-7,140.818802,42.703068
字加野,虻田郡真狩村,351-1,140.818661,42.703424
字加野,虻田郡真狩村,349-6,140.818299,42.703273
字加野,虻田郡真狩村,361-11,140.817851,42.704143
字加野,虻田郡真狩村,361-4,140.817544,42.704262
字加野,虻田郡真狩村,361-7,140.81776,42.704695
字加野,虻田郡真狩村,358-3,140.817525,42.704766
字加野,虻田郡真狩村,358-6,140.817301,42.704784
字加野,虻田郡真狩村,358-4,140.817592,42.70487
字加野,虻田郡真狩村,358-5,140.817104,42.705083
字加野,虻田郡真狩村,358-7,140.816907,42.705049
字加野,虻田郡真狩村,361-9,140.817437,42.704076
字加野,虻田郡真狩村,356-1,140.815666,42.704726
字加野,虻田郡真狩村,357-3,140.816987,42.704792
字加野,虻田郡真狩村,357-1,140.816435,42.704928
字加野,虻田郡真狩村,411-1,140.816182,42.70395
字加野,虻田郡真狩村,411-2,140.815903,42.703242
字加野,虻田郡真狩村,349-1,140.817889,42.70227
字加野,虻田郡真狩村,346-2,140.816932,42.700461
字加野,虻田郡真狩村,346-1,140.816578,42.701308
字加野,虻田郡真狩村,347,140.818255,42.700283
字加野,虻田郡真狩村,1041,140.814908,42.69954
字加野,虻田郡真狩村,345-1,140.814031,42.700263
字加野,虻田郡真狩村,343-1,140.813765,42.699483
字加野,虻田郡真狩村,424,140.812956,42.698974
字加野,虻田郡真狩村,343-2,140.81341,42.699095
字加野,虻田郡真狩村,水-3056,140.81957,42.69967
字加野,虻田郡真狩村,1042,140.813343,42.698319
字加野,虻田郡真狩村,341,140.812091,42.698581
字加野,虻田郡真狩村,340,140.811152,42.699117
字加野,虻田郡真狩村,339,140.811464,42.699805
字加野,虻田郡真狩村,338,140.810289,42.699057
字加野,虻田郡真狩村,226,140.804903,42.699327
字加野,虻田郡真狩村,335,140.807466,42.699944
字加野,虻田郡真狩村,337-2,140.809336,42.699015
字加野,虻田郡真狩村,水-3067,140.809697,42.699129
字加野,虻田郡真狩村,337-1,140.809536,42.699793
字加野,虻田郡真狩村,329-2,140.809583,42.70162
字加野,虻田郡真狩村,330,140.810007,42.702835
字加野,虻田郡真狩村,409-1,140.808808,42.702613
字加野,虻田郡真狩村,409-4,140.807774,42.702802
字加野,虻田郡真狩村,409-5,140.80824,42.702194
字加野,虻田郡真狩村,409-2,140.807672,42.701697
字加野,虻田郡真狩村,409-3,140.808125,42.700935
字加野,虻田郡真狩村,396,140.806753,42.701437
字加野,虻田郡真狩村,227,140.805663,42.70056
字加野,虻田郡真狩村,395-3,140.805717,42.701579
字加野,虻田郡真狩村,395-2,140.806052,42.702317
字加野,虻田郡真狩村,395-4,140.80709,42.702637
字加野,虻田郡真狩村,259,140.805939,42.70401
字加野,虻田郡真狩村,395-1,140.806493,42.703188
字加野,虻田郡真狩村,230-2,140.805159,42.703037
字加野,虻田郡真狩村,260,140.807124,42.705181
字加野,虻田郡真狩村,404,140.808138,42.703579
字加野,虻田郡真狩村,1047,140.807803,42.703687
字加野,虻田郡真狩村,403-2,140.808556,42.703999
字加野,虻田郡真狩村,405-10,140.810123,42.703183
字加野,虻田郡真狩村,402,140.809615,42.704706
字加野,虻田郡真狩村,405-1,140.811398,42.704426
字加野,虻田郡真狩村,405-7,140.812549,42.704853
字加野,虻田郡真狩村,405-6,140.81275,42.704794
字加野,虻田郡真狩村,405-8,140.812292,42.704137
字加野,虻田郡真狩村,405-3,140.811533,42.703602
字加野,虻田郡真狩村,405-13,140.812148,42.703908
字加野,虻田郡真狩村,405-16,140.81241,42.703506
字加野,虻田郡真狩村,405-15,140.812407,42.703518
字加野,虻田郡真狩村,405-14,140.812404,42.703509
字加野,虻田郡真狩村,405-11,140.811771,42.702912
字加野,虻田郡真狩村,405-9,140.812349,42.703703
字加野,虻田郡真狩村,405-17,140.811667,42.703281
字加野,虻田郡真狩村,405-2,140.811322,42.703446
字加野,虻田郡真狩村,405-4,140.810913,42.703239
字加野,虻田郡真狩村,331,140.810741,42.70251
字加野,虻田郡真狩村,332,140.811351,42.70258
字加野,虻田郡真狩村,329-1,140.811579,42.702167
字加野,虻田郡真狩村,329-4,140.809624,42.701882
字加野,虻田郡真狩村,329-3,140.810256,42.700993
字加野,虻田郡真狩村,長狭物不明-3042,140.81359,42.700553
